cat,IPC5
clss,NOTCOV
ent,KYOTOGHG
gwp,AR4
note,"Part of emissions not-covered by an (I)NDC, based on per-country, per-main-sector and per-kyoto-GHG information from countries' (I)NDCs and their corresponding HISTCR_PRIMAPHIST21 emissions."
scen,HISTORY
srce,PRIMAPHIST21
tablename,KYOTOGHG_IPC5_NOTCOV_EMI_HISTORY_PRIMAPHIST21
tpe,EMI
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0.0027148000000000003,0.0027416,0.002977,0.0032452,0.0032661,0.0034031999999999995,0.00076824,0.00086152,0.0012161,0.0012924000000000002,0.0016628,0.0016599,0.0015407,0.0015198,0.0014572,0.0014125,0.0014006,0.0015049000000000002,0.0015019,0.0015675,0.0016748000000000002,0.001633,0.0016479,0.0016429000000000005,0.0016591999999999998,0.0016754,0.0016917000000000002,0.001708
AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIA,8.7999e-05,0.00010934,0.00011378,0.00013184,0.00017239,0.00022365,0.00021632,0.00017704,0.00014656,0.00013356,0.00016968,0.00016426,0.00010555,0.00012319,0.00010886,0.0001057,0.00010129,8.972799999999999e-05,0.000111,0.00014888,0.00017928,0.0001912,0.00019155,0.00015485,0.00015696,0.00015906,0.00016116,0.00016327
ALB,0.038144,0.027952,0.018983,0.018476,0.019817,0.018416,0.01791,0.014572,0.018297,0.032244,0.032512,0.03284,0.036445,0.035936,0.040349,0.039068,0.034032,0.033233,0.035203,0.028316,0.027401,0.029618,0.028092,0.032059,0.032037,0.032014999999999995,0.031992,0.03197
AND,0.0021513,0.0022849,0.0022918,0.002258,0.002221,0.0022348000000000003,0.0021854,0.002062,0.0020502,0.001898,0.0018137,0.0018292,0.0018039,0.0018452,0.001866,0.0018872,0.0018698,0.0018476,0.0018139,0.0017284000000000002,0.0017273,0.0016315,0.0015679,0.0016471,0.0016265,0.0016059000000000002,0.0015853,0.0015646
ANT,0.024034,0.025264,0.026406,0.021422,0.025548,0.025676,0.024889,0.040862,0.041494,0.040316000000000005,0.040641,0.040677,0.039479,0.039509,0.040126,0.041348,0.041377,0.044414,0.04442,0.039551,0.034061,0.043788,0.043487,0.041644,0.041727,0.04181,0.041893,0.041976
ARE,0.34631,0.38481,0.37643,0.39428,0.41792,0.43618,0.47203,0.45734,0.46068,0.4663100000000001,0.47918,0.47099,0.53133,0.56182,0.5746600000000001,0.5766600000000001,0.59216,0.61939,0.67673,0.69738,0.71597,0.72623,0.78937,0.78217,0.80545,0.82873,0.8520200000000001,0.8753
ARG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARM,0.08215900000000001,0.087436,0.050407,0.025276,0.0083351,0.0090115,0.0065798,0.0081622,0.008460200000000001,0.0081056,0.012436,0.01202,0.010212,0.010886,0.011312,0.013559,0.014015,0.021754,0.024543,0.020499,0.020845,0.023742,0.0235,0.025512,0.026735,0.027958,0.029181,0.030404
ATA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDI,0.044223,0.045594,0.047144,0.048693,0.054355,0.054385,0.057484,0.061448,0.062908,0.050183,0.051822,0.07342699999999999,0.078374,0.08195,0.079596,0.081354,0.085347,0.086867,0.08934,0.091754,0.094615,0.097386,0.097774,0.10484,0.10792,0.111,0.11408,0.11717
BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEN,0.037161,0.037757,0.038412,0.039515,0.040379000000000005,0.041005,0.049647,0.051703,0.052329,0.052061,0.044581,0.047054,0.050898,0.054176,0.055755999999999986,0.059064,0.06943400000000001,0.079864,0.081354,0.08671799999999999,0.093572,0.097148,0.10013,0.10157,0.10573,0.10989000000000003,0.11405,0.11821
BES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGD,0.24704,0.24734,0.26224000000000003,0.2676,0.27446,0.30068,0.29293,0.31618,0.32214,0.32303000000000004,0.33614,0.36952,0.37906,0.3871,0.40498,0.44074,0.46935,0.51405,0.5676899999999999,0.6147699999999999,0.6711,0.68212,0.69106,0.71467,0.74424,0.7738,0.8033600000000001,0.8329200000000001
BGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHR,0.045326,0.045058,0.048574,0.048306,0.049438,0.04911,0.050213,0.04911,0.052508000000000006,0.051763,0.052508000000000006,0.053878,0.057425,0.060822,0.054892,0.056888,0.063295,0.063712,0.055994,0.052805999999999985,0.051077,0.049855,0.049408,0.054130999999999985,0.054007000000000006,0.053883000000000014,0.053759,0.053635
BHS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLZ,0.0048604,0.005358,0.0051792,0.0049528,0.0051882,0.0057097,0.005519,0.0074887,0.0088625,0.0085973,0.011068,0.013309,0.01023,0.010171,0.010803,0.010636,0.010805,0.011005,0.011318,0.011598,0.012036,0.01327,0.013303,0.012907,0.013129,0.01335,0.013572,0.013793
BOL,0.063325,0.059123,0.060762,0.063176,0.066037,0.072861,0.07080499999999999,0.067467,0.06982100000000001,0.060852,0.058795000000000014,0.057335,0.058319,0.061388,0.07926799999999999,0.08254600000000001,0.091099,0.10013,0.1192,0.12605,0.12546,0.13917000000000002,0.15347,0.1475,0.15441,0.16132,0.16823,0.17515
BRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN,0.012368,0.01322,0.014584,0.015583,0.016961,0.01816,0.019844,0.02204,0.02155,0.021078,0.021384,0.021151,0.021465,0.023034,0.022866,0.021587,0.030807,0.030056,0.030372000000000007,0.025652,0.022264,0.023137,0.023584,0.02679,0.027139,0.027488,0.027837,0.028186000000000006
BTN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BWA,0.035253,0.034151,0.039187,0.039425,0.038829,0.040677,0.038263,0.040647,0.047978,0.051345,0.052120000000000014,0.052597000000000005,0.052508000000000006,0.05209,0.051763,0.054087,0.055041,0.054206,0.059332,0.056411,0.060017,0.060345,0.062371,0.061599,0.062447,0.063295,0.064144,0.064992
CAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,14.9983,15.5765,16.2917,18.1929,18.4462,19.7485,20.9911,19.6531,20.0882,19.4505,21.3159,21.3547,22.3649,24.9724,28.0031,30.3155,32.5535,34.3773,33.7962,35.021,36.2547,39.8664,41.0912,42.4321,44.0625,45.69300000000001,47.3235,48.9539
CIV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COD,0.25658000000000003,0.26224000000000003,0.26939,0.27654,0.28548,0.29442,0.30336,0.3123,0.32244,0.33018000000000003,0.40409,0.4172,0.42972,0.4467,0.4419300000000001,0.4598100000000001,0.4759100000000001,0.49349,0.51405,0.52895,0.5384899999999999,0.56084,0.5605399999999999,0.59163,0.60788,0.6241300000000001,0.6403800000000001,0.65663
COG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COK,0.00025929,0.0003539,0.00048285,0.00050389,0.00053685,0.00036909,0.0010377,0.00077096,0.00070802,0.0008459,0.00066105,0.00057726,0.00032729,0.00031841,0.0002598,0.00033522,0.00042009,0.00034616,0.00038573,0.00037676,0.00034672,0.00033793,0.00032598,0.00021802,0.00019051,0.00016299,0.00013547,0.00010796
COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPV,0.0011443,0.0012158,0.001186,0.0011831,0.0011056,0.0011801,0.0012486,0.001347,0.0013142000000000002,0.0014185,0.0018893,0.0017493,0.0018059,0.0018774,0.0016837,0.0018178,0.001639,0.0017344,0.001794,0.0018357,0.0019221,0.0019906,0.0020175,0.0020088000000000003,0.0020391,0.0020695,0.0020998,0.0021302
CRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUB,0.37131,0.30396,0.26403000000000004,0.21098000000000006,0.21665,0.20681,0.22797,0.24317,0.22559,0.23244,0.23214,0.23125,0.21247,0.19251,0.18685,0.17543,0.16932,0.16938,0.16143,0.20106,0.1839,0.18151,0.18765,0.16334,0.15922999999999998,0.15512,0.15102000000000002,0.14691
CUW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DJI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMA,0.0011694,0.0012349,0.0012614,0.0012218,0.001375,0.0015293,0.0015907,0.0016488,0.0021098,0.0020902,0.0021581,0.0023688000000000003,0.0023262,0.0023882,0.0025992,0.0025947,0.0026892,0.0028256,0.0028623,0.0029368000000000003,0.0030503,0.0033501,0.0033805,0.0033847,0.0034767,0.0035687,0.0036607,0.0037527
DNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERI,0.0097923,0.010099,0.017700999999999998,0.021069,0.02235,0.023691,0.025211,0.025866000000000004,0.018476,0.019638,0.020324,0.021694,0.021724,0.022261000000000003,0.019966,0.019281,0.018238,0.018536,0.017493,0.018297,0.019251,0.020383,0.020532,0.019112,0.019034,0.018955,0.018877,0.018798
ESP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
