cat,IPCM0EL,,,,,,,,,,,,,,,,,,,,,,,,,,,
clss,COV,,,,,,,,,,,,,,,,,,,,,,,,,,,
ent,KYOTOGHG,,,,,,,,,,,,,,,,,,,,,,,,,,,
family,emi,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwp,AR4,,,,,,,,,,,,,,,,,,,,,,,,,,,
note,"Part of emissions covered by an (I)NDC, based on per-country, per-main-sector and per-kyoto-GHG information from countries' (I)NDCs and their corresponding HISTCR_PRIMAPHIST21 emissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,
scen,HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,
srce,PRIMAPHIST21,,,,,,,,,,,,,,,,,,,,,,,,,,,
tablename,KYOTOGHG_IPCM0EL_COV_EMI_HISTORY_PRIMAPHIST21,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpe,EMI,,,,,,,,,,,,,,,,,,,,,,,,,,,
unit,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,12.8281607,13.0307883,12.0477527,12.1968431,12.2399125,12.82152,13.9125235,14.8752481,15.6794568,16.5713695,14.8422581,13.2859946,15.9497131,16.7076184,16.3503578,17.1656743,17.5669128,18.3722419,21.7612236,24.8840067,28.6983817,32.6810402,31.2559014,30.53449,32.0983324,31.6483196,33.5512389,34.0195882
AGO,72.26154,74.452576,76.798372,76.156024,69.874436,81.263994,82.038182,77.270062,79.960688,75.869022,70.553662,71.730492,76.19514,76.68821,86.23735,87.1496,84.65702,90.13913,89.16186,91.01528,97.05819,99.51851,100.81962,96.99173,97.02397,100.3047,100.82403,100.44727
AIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,3.8352,5.53799,3.33155,3.24467,3.50211,3.44226,3.34946,3.46534,4.18529,4.52578,3.20162,3.65472,3.83872,4.10054,4.34277,4.24251,4.15024,4.49098,4.58142,4.97499,5.22985,5.9321,5.5358,5.6955,6.4381,5.8967,6.1264,6.221
AND,0.467564421,0.476166788,0.485835229,0.49652144,0.500830129,0.529150525,0.56052946,0.57121069,0.58524833,0.60342947,0.615880195,0.615418201,0.621660047,0.624179653,0.649876853,0.664415688,0.632435045,0.626759529,0.62408831,0.601169301,0.60417644,0.575352321,0.568994629,0.561647678,0.547079439,0.54818602,0.554021141,0.556672432
ANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,57.80209238,63.47206889,64.96005463,72.25448023,78.9036086,80.249067,72.8393545,75.818925,97.750585,97.307966,131.84168,128.86017,119.706045,150.431515,165.385245,177.18081,180.92126,188.43054,207.05561,210.64692,199.584255,201.195575,207.835175,202.272995,233.397349,250.536803,258.736747,255.9331902
ARG,242.8382115,252.4019858,257.7700696,261.4620784,266.6969412,260.6655362,272.747048,274.4033597,278.8985918,280.9451261,296.9295671,293.5944862,287.0192635,304.9926093,317.2126072,326.7033979,341.3797097,355.7946967,352.1373206,341.5865676,315.8041881,325.6571575,327.468338,337.4221822,339.2946311,342.3608984,347.167044,348.1713996
ARM,24.57190409,22.94020535,27.61215761,12.2647617,12.1480194,12.9488012,9.4777,9.666482,8.250838,6.211324,4.717035,4.755994,4.452606,4.942463,5.26746,6.130619,6.23514,7.065281,7.813014,6.818795,6.920487,7.722549,8.645943,8.410206,8.509927,9.181289,9.24501,9.179852
