cat,IPCM0EL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clss,COV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ent,KYOTOGHG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family,emi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwp,AR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
note,"Emissions covered by an (I)NDC, based on per-country, per-main-sector and per-kyoto-GHG information from countries' (I)NDCs and their corresponding HISTCR_PRIMAPHIST21 emissions (1990 to 2017). Future values were calculated using methods stated in info_per_country.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scen,SSP2BLMESGBFILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
srce,CORR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tablename,KYOTOGHG_IPCM0EL_COV_EMI_SSP2BLMESGBFILLED_CORR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpe,EMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unit,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,12.8281,13.0307,12.0476,12.1969,12.24,12.8216,13.9125,14.8752,15.6795,16.5714,14.8423,13.286,15.9498,16.7076,16.3504,17.1656,17.567,18.3722,21.7611,24.884,28.6984,32.6811,31.2559,30.5344,32.0983,31.6482,33.5513,34.0195,36.8883,36.505,36.3737,36.4907,36.7885,37.2491,37.8554,38.5917,39.4453,40.3998,41.4348,42.5303,43.6663,44.8608,46.1419,47.5052,48.9476,50.4666,52.0847,53.8242,55.6847,57.6678,59.7772,62.0329,64.448,67.0185,69.7412,72.6141,75.6575,78.8815,82.2696,85.8059,89.4748
AGO,72.26149987,74.45249952,76.79839886,76.15599754,69.87439431,81.26408627,82.03803642,77.27026484,79.9607537,75.86901805,70.55365515,71.7305893,76.1951727,76.6882266,86.23729701,87.149582,84.657018,90.13917199,89.16182601,91.01517404,97.05822199,99.51854299,100.819622,96.99180097,97.02398,100.304758,100.824037,100.447216,118.0309,119.7547,120.36,120.0336,119.2602,118.1477,116.7867,115.2526,113.5786,111.7592,109.7987,107.6968,105.4498,103.0453,100.5658,98.1345,95.8598,93.8377,92.0445,90.4097,88.9449,87.6581,86.5545,85.6732,85.0312,84.5995,84.3502,84.258,84.3887,84.7898,85.4145,86.2203,87.1687
AIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,3.835132274,5.537932029,3.331530348,3.244688346,3.50212809,3.442284347,3.349425448,3.465352541,4.185318927,4.525800107,3.201600865,3.654714819,3.838741144,4.100559435,4.342770784,4.242509477,4.150238194,4.490997499,4.581384119,4.974964629,5.229851643,5.932094219,5.53580292,5.695510238,6.438140791,5.89676143,6.12638267,6.221058114,6.527295523,6.542292341,6.568154202,6.606793965,6.656069227,6.713148956,6.775508177,6.840698431,6.909331831,6.982785638,7.059682592,7.139028006,7.219521136,7.305446787,7.401166278,7.505914467,7.618773181,7.738824246,7.864537375,7.993617138,8.124227187,8.254225122,8.381545054,8.509553615,8.641693952,8.776206236,8.91125412,9.045077774,9.177065083,9.307216046,9.434535978,9.558336248,9.67746914
AND,0.467567536,0.476168269,0.485829905,0.496520321,0.500833634,0.529147847,0.560528626,0.57121068,0.585240803,0.603426764,0.615870753,0.615424785,0.621655583,0.624181954,0.649871904,0.664413548,0.632432952,0.626759306,0.624088786,0.601166779,0.604179112,0.575351818,0.569000098,0.561649625,0.547086123,0.548177541,0.554024364,0.556669048,0.55623152,0.55623152,0.55623152,0.55623152,0.55623152,0.55623152,0.55623152,0.55623152,0.55623152,0.55623152,0.55623152,0.55623152,0.55623152,0.55623152,0.55623152,0.55623152,0.55623152,0.55623152,0.55623152,0.55623152,0.55623152,0.55623152,0.55623152,0.55623152,0.55623152,0.55623152,0.55623152,0.55623152,0.55623152,0.55623152,0.55623152,0.55623152,0.55623152
ANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,57.80207125,63.47201335,64.95998435,72.25446108,78.90360044,80.24903197,72.83931281,75.81888287,97.75038107,97.30799811,131.841613,128.8601126,119.7060593,150.4315102,165.3851629,177.1808681,180.9213182,188.4305497,207.05561,210.6470274,199.5843283,201.1954819,207.8352682,202.2728939,233.3973273,250.5367715,258.7368397,255.9331417,253.1451726,256.0666772,259.8277387,264.3134777,268.8964456,273.5763398,278.3499327,283.2118788,288.1382742,293.0771763,297.9802732,302.7996564,307.4874177,312.0532394,316.5402896,320.9510899,325.2872539,329.5498911,333.7163081,337.7308302,341.5453474,345.1117495,348.382229,351.2839651,353.8257326,356.0773265,358.1024902,359.9582094,361.6251191,363.1264171,364.5731498,366.0699091,367.7148314
ARG,242.8383,252.4021,257.77,261.462,266.6969,260.6655,272.747,274.4033,278.8986,280.945,296.9296,293.5946,287.0193,304.9927,317.2126,326.7034,341.3797,355.7947,352.1372,341.5865,315.8042,325.657,327.4683,337.4221,339.2946,342.361,347.167,348.1714,332.4421,337.3455,342.3366,347.566,353.0819,358.8632,364.8882,371.1342,377.5476,384.0567,390.6115,397.1632,403.6643,410.5053,417.914,425.6056,433.3006,440.7246,447.6823,454.0289,459.5733,464.1297,467.517,470.0057,472.0408,473.7032,475.0688,476.2086,477.1229,477.7788,478.1928,478.3809,478.3584
ARM,24.5718633,22.94026062,27.61222956,12.26477296,12.14797865,12.94885383,9.477682425,9.666549198,8.250804669,6.211282845,4.717088603,4.756006433,4.452622573,4.942425236,5.267504764,6.130564695,6.235081624,7.065260987,7.812950945,6.818767627,6.920526066,7.722523397,8.645973674,8.410199496,8.509835932,9.181307821,9.24496134,9.179838943,8.755589488,8.807522205,8.85657841,8.899881589,8.938364666,8.97723646,9.020850614,9.073249793,9.133501074,9.19903892,9.270640765,9.34916179,9.435223943,9.529837891,9.633003633,9.744410197,9.863435631,9.989768963,10.12208855,10.2591505,10.40025511,10.5447027,10.69187132,10.84720301,11.01435172,11.19012998,11.37111705,11.55373674,11.73519028,11.91151274,12.07726207,12.22691848,12.35488443
