cat,IPCM0EL,,,,,,,,,,,,,,,,,,,,,,,,,,,
clss,COV,,,,,,,,,,,,,,,,,,,,,,,,,,,
ent,KYOTOGHG,,,,,,,,,,,,,,,,,,,,,,,,,,,
family,share,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwp,AR4,,,,,,,,,,,,,,,,,,,,,,,,,,,
note,"Share of emissions covered by an (I)NDC, based on per-country, per-main-sector and per-kyoto-GHG information from countries' (I)NDCs and their corresponding HISTCR_PRIMAPHIST21 emissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,
scen,HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,
srce,PRIMAPHIST21,,,,,,,,,,,,,,,,,,,,,,,,,,,
tablename,KYOTOGHG_IPCM0EL_COV_PC_HISTORY_PRIMAPHIST21,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpe,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,
unit,MtCO2eq/MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AGO,0.999999998,0.999999994,0.999999985,0.999999968,0.999999918,0.999999831,0.999999225,0.999998251,0.99999692,0.999994966,0.999989443,0.999971969,0.999940586,0.999907773,0.999861993,0.999745124,0.999735685,0.999706895,0.999658334,0.999635074,0.999629453,0.999632796,0.999608583,0.999563051,0.999533117,0.999519277,0.999492809,0.999461858
AIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,0.565528611,0.684828238,0.57452065,0.550609776,0.543251961,0.53863964,0.519572706,0.531381688,0.571678973,0.582823601,0.455594733,0.493386994,0.497510484,0.511438372,0.522841139,0.523120774,0.51596775,0.542928685,0.559770309,0.57465545,0.58664165,0.615011582,0.595849883,0.598708109,0.623331409,0.597104118,0.602160671,0.607507408
AND,0.97993783,0.979810423,0.980583117,0.981168504,0.981507112,0.982851976,0.983452569,0.983743529,0.98392872,0.984029816,0.984086338,0.982808389,0.98170612,0.980308383,0.979386488,0.978186399,0.975690696,0.973697441,0.971919246,0.969576922,0.968080615,0.966036163,0.96430888,0.962998517,0.960271929,0.961377658,0.959482463,0.958155268
ANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,0.944328615,0.943158393,0.941779354,0.946672061,0.948308152,0.946711385,0.936855701,0.936325736,0.948488596,0.944399512,0.956939783,0.957293376,0.952820343,0.962060977,0.966284867,0.968016854,0.970228479,0.972650196,0.975476465,0.976081732,0.977694607,0.979654581,0.981560228,0.982011173,0.985337667,0.985885884,0.985993943,0.985489276
ARG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ARM,0.946651846,0.942314132,0.954317742,0.915308887,0.915819448,0.918560381,0.887622914,0.88651405,0.872528571,0.82973094,0.776859124,0.777049053,0.753302865,0.7707005,0.77179557,0.79860416,0.778344168,0.800505437,0.818890351,0.805096833,0.813882709,0.825902998,0.829016001,0.813058856,0.813108977,0.818283794,0.797708366,0.816079986
ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AZE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BDI,0.737030956,0.736531072,0.733751214,0.730828582,0.722900547,0.721811029,0.720706503,0.724906612,0.71779278,0.699353261,0.699928876,0.719095866,0.715745345,0.710569009,0.724009544,0.722066242,0.726196124,0.723985282,0.725556304,0.728008126,0.733812504,0.735479644,0.731108482,0.750515413,0.754906741,0.751445644,0.737358793,0.732793972
BEL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BEN,0.832810612,0.834125152,0.830122059,0.823168149,0.831333305,0.816292582,0.828145953,0.835980048,0.837379921,0.839269684,0.840773571,0.835795413,0.850389316,0.842468953,0.834988696,0.846651435,0.809856559,0.818338511,0.813354943,0.817632787,0.822863149,0.820043295,0.819924946,0.822604418,0.826049619,0.81550796,0.824746579,0.828606976
BFA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BGD,0.276496487,0.278500786,0.301549924,0.298990303,0.313266374,0.352106813,0.363463572,0.370329948,0.362584559,0.362952147,0.375350317,0.401274269,0.40293624,0.411845902,0.420093442,0.424418341,0.441995959,0.443779246,0.450904187,0.461850517,0.478777683,0.488795174,0.503436863,0.503044891,0.515260166,0.551209695,0.554377808,0.558652376
BGR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BHR,0.75054918,0.861652799,0.840881783,0.855590179,0.866382517,0.865389113,0.87445677,0.875899687,0.886111845,0.880600604,0.889908477,0.856825693,0.87104771,0.880346657,0.882190968,0.873085607,0.860856334,0.895133474,0.902230244,0.893188637,0.892596417,0.887274886,0.882406854,0.892086,0.88925292,0.865441595,0.861061074,0.85906001
BHS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BIH,0.979524335,0.980828184,0.975648077,0.983233046,0.989014902,0.989047972,0.99083521,0.989835793,0.988086207,0.977363612,0.977129867,0.981665178,0.985203242,0.980955202,0.976692021,0.971764419,0.97037296,0.967403922,0.9664265,0.965641804,0.962156669,0.96464005,0.960274958,0.957307241,0.957857337,0.953569513,0.952678121,0.951150094
BLR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BLZ,0.632698465,0.670527986,0.641697866,0.674189405,0.673256394,0.712529986,0.67538682,0.7084853,0.681901436,0.651732512,0.685244769,0.694958634,0.633914002,0.587747613,0.676531105,0.669843956,0.679962986,0.670654289,0.649347366,0.675521235,0.662242454,0.657509767,0.620589957,0.582472549,0.5890894,0.632143186,0.631462112,0.632616443
BOL,0.963501213,0.95819344,0.955025754,0.952452784,0.947583647,0.77339446,0.556431704,0.44681925,0.403429328,0.406296844,0.438521419,0.496483764,0.60966822,0.568150017,0.467556352,0.448003322,0.458190444,0.424175532,0.418926689,0.412421322,0.422913217,0.414535656,0.425606024,0.413743552,0.408765055,0.393669582,0.393102582,0.388074434
BRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BRB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BRN,0.982380956,0.981841946,0.981182787,0.980386381,0.979322639,0.979072266,0.964340981,0.962428638,0.963060775,0.955620441,0.952661372,0.949756392,0.943539752,0.942501463,0.93870614,0.933816394,0.93325356,0.947393084,0.948950102,0.939479654,0.934844277,0.940275172,0.935169852,0.925497852,0.92976456,0.929415649,0.932063846,0.931253746
BTN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BWA,0.221817417,0.227145738,0.243538754,0.271973358,0.255221913,0.241622578,0.215808466,0.226076858,0.273963745,0.267626882,0.306311416,0.245972696,0.24450719,0.445157262,0.431300401,0.380555315,0.323858111,0.381590939,0.21882991,0.377382976,0.189404755,0.150782641,0.313964182,0.385910552,0.517335288,0.565523002,0.583177388,0.43231231
CAF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CAN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHN,0.694118002,0.702673218,0.710332369,0.721807581,0.728300999,0.728706071,0.727537877,0.739166198,0.726175066,0.714401982,0.722393578,0.723145477,0.735594925,0.758870774,0.769818915,0.779733188,0.785959793,0.79610489,0.799983732,0.802586505,0.8093355,0.813205777,0.812091537,0.814548381,0.811460841,0.805729252,0.801729208,0.80155358
CIV,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMR,0.960287253,0.960923965,0.966479365,0.967174673,0.98334369,0.985912605,0.983772796,0.982237249,0.985090999,0.984575524,0.986469985,0.988455519,0.991235778,0.990258903,0.988961287,0.988973195,0.989017446,0.989539088,0.988962327,0.9913206,0.990550316,0.992290277,0.993022636,0.993880472,0.994486172,0.995244249,0.99596649,0.996681984
COD,0.834997175,0.82663623,0.821739506,0.814949452,0.827558244,0.821347637,0.795547821,0.787757827,0.782702851,0.759809331,0.752197422,0.777009299,0.783104238,0.78886257,0.787994862,0.782300359,0.783306599,0.761481688,0.765479787,0.755564538,0.755297927,0.743937397,0.736239505,0.747929076,0.746775557,0.741695849,0.735618538,0.725132078
COG,0.999999898,0.999999722,0.999999344,0.999997524,0.999995289,0.999990133,0.999982411,0.99997729,0.999965389,0.999955042,0.999922366,0.999870229,0.999753025,0.999737838,0.999650833,0.999574193,0.999575825,0.999451639,0.999367572,0.999381593,0.999377352,0.999306264,0.999273199,0.999241567,0.999164399,0.999114131,0.999063839,0.99896212
COK,0.767966874,0.76639096,0.755571593,0.726270367,0.704924257,0.689675754,0.68977177,0.679277292,0.668254399,0.704796788,0.716688961,0.66667541,0.649472965,0.67786667,0.770097139,0.790274431,0.79842671,0.798623434,0.805939538,0.805967113,0.806951131,0.806988706,0.806489531,0.807793013,0.807943476,0.81391501,0.823949472,0.831068205
COL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
COM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
