cat,IPCM0EL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clss,COV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ent,KYOTOGHG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family,share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwp,AR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
note,"Share of emissions covered by an (I)NDC, based on per-country, per-main-sector and per-kyoto-GHG information from countries' (I)NDCs and their corresponding HISTCR_PRIMAPHIST21 emissions (1990 to 2017). Future values were calculated using methods stated in info_per_country.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scen,SSP3BLAIMCGEFILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
srce,CORR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tablename,KYOTOGHG_IPCM0EL_COV_PC_SSP3BLAIMCGEFILLED_CORR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpe,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unit,MtCO2eq/MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999997335,1,0.99999738,1,1,1,0.999997592,0.99999766,1,1,1,1,1,1,1,0.999998232,1,1,1,1,0.999998551,1,1,1,1,1,1,0.999998919,1,0.999999007,1,1,1
AGO,0.999999998,0.999999994,0.999999985,0.999999968,0.999999918,0.999999831,0.999999225,0.999998251,0.99999692,0.999994966,0.999989443,0.999971969,0.999940586,0.999907773,0.999861993,0.999745124,0.999735685,0.999706895,0.999658334,0.999635074,0.999629453,0.999632796,0.999608583,0.999563051,0.999533117,0.999519277,0.999492809,0.999461858,0.999398853,0.99931464,0.999223871,0.999125943,0.999022116,0.998911349,0.998794187,0.998670403,0.998537719,0.998396633,0.998247914,0.998089376,0.99792117,0.997744076,0.997554454,0.997355064,0.997144789,0.996923341,0.996692888,0.996449954,0.996200362,0.995940193,0.995671019,0.995392528,0.995101028,0.994798737,0.994486048,0.994165103,0.993832662,0.993492615,0.99314501,0.992789289,0.992427976
AIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,0.565528611,0.684828238,0.57452065,0.550609776,0.543251961,0.53863964,0.519572706,0.531381688,0.571678973,0.582823601,0.455594733,0.493386994,0.497510484,0.511438372,0.522841139,0.523120774,0.51596775,0.542928685,0.559770309,0.57465545,0.58664165,0.615011582,0.595849883,0.598708109,0.623331409,0.597104118,0.602160671,0.607507408,0.619445922,0.622424875,0.625252136,0.627992266,0.630702942,0.633353803,0.635922307,0.638388526,0.640768267,0.643076394,0.64530224,0.647440444,0.649482443,0.651412904,0.653240219,0.654991245,0.656689812,0.658358527,0.659994936,0.66158808,0.663146888,0.664676139,0.666183237,0.667666315,0.669120831,0.670549066,0.671952544,0.673333731,0.674681854,0.675990959,0.677265659,0.678510621,0.679730072
AND,0.97993783,0.979810423,0.980583117,0.981168504,0.981507112,0.982851976,0.983452569,0.983743529,0.98392872,0.984029816,0.984086338,0.982808389,0.98170612,0.980308383,0.979386488,0.978186399,0.975690696,0.973697441,0.971919246,0.969576922,0.968080615,0.966036163,0.96430888,0.962998517,0.960271929,0.961377658,0.959482463,0.958155268,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757
ANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,0.944328615,0.943158393,0.941779354,0.946672061,0.948308152,0.946711385,0.936855701,0.936325736,0.948488596,0.944399512,0.956939783,0.957293376,0.952820343,0.962060977,0.966284867,0.968016854,0.970228479,0.972650196,0.975476465,0.976081732,0.977694607,0.979654581,0.981560228,0.982011173,0.985337667,0.985885884,0.985993943,0.985489276,0.985970242,0.986317738,0.986719901,0.987164574,0.987604057,0.988040176,0.988474169,0.988906827,0.989334424,0.989749395,0.990147197,0.990524081,0.990876999,0.991209922,0.99152763,0.991828857,0.992112526,0.992377716,0.992628675,0.992866737,0.993087172,0.993285747,0.993458597,0.993613618,0.993757943,0.993886967,0.993996332,0.994081816,0.994148632,0.994203894,0.994246237,0.994274333,0.994286856
ARG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999701,0.999999708,1,1,1,1,1,1,1,0.999999751,0.999999756,1,1,1,1,1,1,0.999999779,1,1,1,1,1,1,1,1,0.999999798,1,0.999999801,1,0.999999804,1,1
ARM,0.946651846,0.942314132,0.954317742,0.915308887,0.915819448,0.918560381,0.887622914,0.88651405,0.872528571,0.82973094,0.776859124,0.777049053,0.753302865,0.7707005,0.77179557,0.79860416,0.778344168,0.800505437,0.818890351,0.805096833,0.813882709,0.825902998,0.829016001,0.813058856,0.813108977,0.818283794,0.797708366,0.816079986,0.813705536,0.812908019,0.812148164,0.8114263,0.810736086,0.810066896,0.809411428,0.808763688,0.808125028,0.807503447,0.806903477,0.806328668,0.805781934,0.805258242,0.804748466,0.804249596,0.803759704,0.803276606,0.802811731,0.802373168,0.801956027,0.801556722,0.801171492,0.80080223,0.800446286,0.80009558,0.799742593,0.799380734,0.799017728,0.798665514,0.798324281,0.797994483,0.797676178
