cat,IPCM0EL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clss,COV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ent,KYOTOGHG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family,share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwp,AR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
note,"Share of emissions covered by an (I)NDC, based on per-country, per-main-sector and per-kyoto-GHG information from countries' (I)NDCs and their corresponding HISTCR_PRIMAPHIST21 emissions (1990 to 2017). Future values were calculated using methods stated in info_per_country.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scen,SSP4BLGCAM4FILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
srce,CORR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tablename,KYOTOGHG_IPCM0EL_COV_PC_SSP4BLGCAM4FILLED_CORR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpe,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unit,MtCO2eq/MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999997609,0.999997661,1,0.999997761,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999998674
AGO,0.999999998,0.999999994,0.999999985,0.999999968,0.999999918,0.999999831,0.999999225,0.999998251,0.99999692,0.999994966,0.999989443,0.999971969,0.999940586,0.999907773,0.999861993,0.999745124,0.999735685,0.999706895,0.999658334,0.999635074,0.999629453,0.999632796,0.999608583,0.999563051,0.999533117,0.999519277,0.999492809,0.999461858,0.999280664,0.999047465,0.998782294,0.998468931,0.998089068,0.997641584,0.997131918,0.996562512,0.995944725,0.995289031,0.994609741,0.99392549,0.993257173,0.992600618,0.991935907,0.991258479,0.990570482,0.989869166,0.989150821,0.988411952,0.987650764,0.986857341,0.986025795,0.985161956,0.984270057,0.983352404,0.98240984,0.981442478,0.980449643,0.979432877,0.978390012,0.977323701,0.976233736
AIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,0.565528611,0.684828238,0.57452065,0.550609776,0.543251961,0.53863964,0.519572706,0.531381688,0.571678973,0.582823601,0.455594733,0.493386994,0.497510484,0.511438372,0.522841139,0.523120774,0.51596775,0.542928685,0.559770309,0.57465545,0.58664165,0.615011582,0.595849883,0.598708109,0.623331409,0.597104118,0.602160671,0.607507408,0.617736275,0.619312286,0.620837757,0.622433933,0.624196146,0.626061765,0.627977924,0.629891992,0.631777111,0.633604907,0.635326561,0.636900373,0.638288414,0.639555612,0.64080069,0.642027102,0.643238999,0.644437452,0.645605309,0.646708025,0.647726677,0.64864093,0.649432278,0.650080205,0.650589343,0.650987295,0.65129939,0.65155325,0.651786391,0.652043776,0.65235821,0.652764852,0.653295085
AND,0.97993783,0.979810423,0.980583117,0.981168504,0.981507112,0.982851976,0.983452569,0.983743529,0.98392872,0.984029816,0.984086338,0.982808389,0.98170612,0.980308383,0.979386488,0.978186399,0.975690696,0.973697441,0.971919246,0.969576922,0.968080615,0.966036163,0.96430888,0.962998517,0.960271929,0.961377658,0.959482463,0.958155268,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757,0.96133757
ANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,0.944328615,0.943158393,0.941779354,0.946672061,0.948308152,0.946711385,0.936855701,0.936325736,0.948488596,0.944399512,0.956939783,0.957293376,0.952820343,0.962060977,0.966284867,0.968016854,0.970228479,0.972650196,0.975476465,0.976081732,0.977694607,0.979654581,0.981560228,0.982011173,0.985337667,0.985885884,0.985993943,0.985489276,0.985848813,0.986118933,0.98649917,0.986990577,0.987535481,0.988111872,0.98870065,0.989285798,0.989854716,0.990395419,0.99089727,0.991352,0.991753086,0.992114655,0.992453771,0.992769592,0.993061655,0.993329759,0.993579207,0.993813767,0.994031473,0.994230752,0.994410329,0.994572161,0.994718931,0.994850564,0.994966955,0.995067917,0.995155811,0.995234147,0.995304315,0.995367611,0.995425238
ARG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999749,1,1,1,1,1,1,1,1,0.999999782,0.999999785,0.999999787,1,0.99999979,1,1,1,0.999999795,1,0.999999796,1,1,1,0.999999799,1
ARM,0.946651846,0.942314132,0.954317742,0.915308887,0.915819448,0.918560381,0.887622914,0.88651405,0.872528571,0.82973094,0.776859124,0.777049053,0.753302865,0.7707005,0.77179557,0.79860416,0.778344168,0.800505437,0.818890351,0.805096833,0.813882709,0.825902998,0.829016001,0.813058856,0.813108977,0.818283794,0.797708366,0.816079986,0.813911808,0.813161236,0.812508144,0.811916253,0.811338789,0.810769972,0.810208001,0.809651566,0.809113205,0.808612882,0.808161188,0.807768519,0.807444488,0.807163828,0.806890557,0.806619257,0.806344683,0.806063851,0.805781731,0.80550313,0.805223133,0.804937595,0.804642917,0.804349186,0.804064771,0.803785954,0.803508798,0.803230696,0.802955834,0.802691435,0.802439238,0.802200535,0.801976674
