cat,IPCM0EL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clss,NOTCOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ent,KYOTOGHG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family,emi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwp,AR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
note,"Emissions not covered by an (I)NDC, based on per-country, per-main-sector and per-kyoto-GHG information from countries' (I)NDCs and their corresponding HISTCR_PRIMAPHIST21 emissions (1990 to 2017). Future values were calculated using methods stated in info_per_country.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scen,SSP2BLMESGBFILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
srce,CORR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tablename,KYOTOGHG_IPCM0EL_NOTCOV_EMI_SSP2BLMESGBFILLED_CORR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpe,EMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unit,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABW,1.7053,1.749,1.5329,1.6681,1.6907,1.7488,1.7642,1.8211,1.8756,1.8881,2.4681,2.499,2.5289,2.6556,2.7111,2.8145,2.8117,2.9208,2.7569,2.7285,2.6095,2.6039,1.4532,0.96826,0.98086,1.0009,1.0284,1.025,0.58942,0.617753333,0.648126667,0.68135,0.71743,0.75618,0.797406667,0.84092,0.887266667,0.936856667,0.989186667,1.043796667,1.100266667,1.1591,1.221166667,1.286333333,1.3545,1.425566667,1.5003,1.578966667,1.661266667,1.746833333,1.8354,1.927733333,2.0247,2.125966667,2.231266667,2.340266667,2.4534,2.571166667,2.692966667,2.818233333,2.946366667
AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,4.28E-15,4.38E-15,0,1.00E-04,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,7.16E-15,0,7.74E-15,0,0,0,0,0,0
AGO,1.28E-07,4.82E-07,1.14E-06,2.46E-06,5.69E-06,1.37E-05,6.36E-05,0.00013516,0.0002463,0.00038195,0.00074485,0.002010703,0.004527302,0.007073402,0.011902993,0.022217995,0.022381999,0.026428012,0.030473988,0.033225961,0.035978012,0.036557012,0.039478001,0.042399031,0.045320005,0.048242028,0.051163004,0.054083971,0.0819,0.106,0.1313,0.1576,0.1848,0.213,0.242,0.272,0.303,0.3352,0.3685,0.4031,0.439,0.4762,0.5143,0.5537,0.5952,0.6392,0.6866,0.7367,0.7898,0.8466,0.9072,0.9732,1.0458,1.125,1.2111,1.3041,1.4054,1.5168,1.638,1.769,1.9092
AIA,0.054377,0.054476,0.058155,0.069317,0.069626,0.069793,0.073539,0.073516,0.080897,0.084593,0.092123,0.099456,0.099554,0.10699,0.12612,0.13361,0.1484,0.15576,0.15572,0.15202,0.15581,0.14856,0.1486,0.14167,0.14915,0.15231,0.15669,0.15602,0.15074,0.15074,0.15074,0.15074,0.15074,0.15074,0.15074,0.15074,0.15074,0.15074,0.15074,0.15074,0.15074,0.15074,0.15074,0.15074,0.15074,0.15074,0.15074,0.15074,0.15074,0.15074,0.15074,0.15074,0.15074,0.15074,0.15074,0.15074,0.15074,0.15074,0.15074,0.15074,0.15074
ALB,2.946367726,2.548667971,2.467269652,2.648211654,2.94447191,2.948415653,3.097074552,3.056047459,3.135781073,3.239499893,3.825699135,3.752685181,3.877158856,3.917140565,3.963329216,3.867490523,3.893361806,3.780802501,3.603015881,3.682335371,3.685048357,3.713405781,3.75479708,3.817489762,3.890459209,3.97883857,4.04761733,4.019241886,4.060704477,4.065307659,4.073245798,4.085106035,4.100230773,4.117751044,4.136891823,4.156901569,4.177968169,4.200514362,4.224117408,4.248471994,4.273178864,4.299553213,4.328933722,4.361085533,4.395726819,4.432575754,4.471162625,4.510782862,4.550872813,4.590774878,4.629854946,4.669146385,4.709706048,4.750993764,4.79244588,4.833522226,4.874034917,4.913983954,4.953064022,4.991063752,5.02763086
AND,0.009572464,0.009811731,0.009620095,0.009529679,0.009436366,0.009232153,0.009431374,0.00943932,0.009559197,0.009793236,0.009959247,0.010765215,0.011584417,0.012538046,0.013678096,0.014816452,0.015757048,0.016930694,0.018031214,0.018863221,0.019920888,0.020228182,0.021059902,0.021580375,0.022633877,0.022022459,0.023395636,0.024310952,0.022370147,0.022370147,0.022370147,0.022370147,0.022370147,0.022370147,0.022370147,0.022370147,0.022370147,0.022370147,0.022370147,0.022370147,0.022370147,0.022370147,0.022370147,0.022370147,0.022370147,0.022370147,0.022370147,0.022370147,0.022370147,0.022370147,0.022370147,0.022370147,0.022370147,0.022370147,0.022370147,0.022370147,0.022370147,0.022370147,0.022370147,0.022370147,0.022370147
ANT,5.6017,4.5335,3.7773,5.7309,5.5054,5.4514,5.1144,5.3662,0.54039,2.3595,5.8629,5.9758,5.7525,5.7515,6.0379,5.994,6.2328,6.9968,6.7378,6.871,4.7683,6.0712,7.2597,6.4981,7.1833,7.3295,7.5345,7.4944,7.216583333,7.216583333,7.216583333,7.216583333,7.216583333,7.216583333,7.216583333,7.216583333,7.216583333,7.216583333,7.216583333,7.216583333,7.216583333,7.216583333,7.216583333,7.216583333,7.216583333,7.216583333,7.216583333,7.216583333,7.216583333,7.216583333,7.216583333,7.216583333,7.216583333,7.216583333,7.216583333,7.216583333,7.216583333,7.216583333,7.216583333,7.216583333,7.216583333
ARE,3.407628754,3.825286653,4.015815655,4.070238921,4.300999555,4.517068028,4.90938719,5.156017135,5.308718925,5.72890189,5.932586986,5.748687438,5.927340708,5.93228981,5.770537134,5.854031919,5.551581786,5.298450273,5.20539,5.161772631,4.553371673,4.178418067,3.904431752,3.705306147,3.473072677,3.586728548,3.675360317,3.768458286,3.625827443,3.600922828,3.568861338,3.530622273,3.491554373,3.451660216,3.410967316,3.369521243,3.327525764,3.285423672,3.243626805,3.202543562,3.162582342,3.123660605,3.085410363,3.04781012,3.01084612,2.974508906,2.938991929,2.904769793,2.872252616,2.841850518,2.813971037,2.78923494,2.767567426,2.748373522,2.731109841,2.715290605,2.701080891,2.688282948,2.675950151,2.663190899,2.649168619
ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,1.00E-04,0,0,0,0,1.00E-04,0,0.0001,1.00E-04,4.34E-14,8.82E-14,0.0001,0,1.00E-04,0.0001,0,0,0,5.04E-14,5.10E-14,5.15E-14,0,0,0,0,0,0,0.0001,0,0,0,1.00E-04
ARM,1.384736701,1.404339383,1.321770444,1.134827042,1.116621354,1.148046166,1.199917575,1.237450802,1.205395331,1.274617155,1.354911397,1.364593567,1.458177427,1.470474764,1.557495236,1.546035305,1.775618376,1.760739013,1.727949055,1.650732373,1.582573934,1.627876603,1.783226326,1.933700504,1.955964068,2.038892179,2.34443866,2.068861057,1.996710512,2.011577795,2.02562159,2.038018411,2.049035334,2.06016354,2.072649386,2.087650207,2.104898926,2.12366108,2.144159235,2.16663821,2.191276057,2.218362109,2.247896367,2.279789803,2.313864369,2.350031037,2.387911448,2.427149501,2.467544886,2.508897298,2.551028684,2.595496993,2.643348277,2.693670022,2.745482947,2.797763256,2.849709719,2.900187259,2.947637928,2.990481519,3.027115571
ATA,0.011,0.014667,0.014667,0.014667,0.014667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0073334,0.0073334,0.0073334,0.011,0.005308,0.005177,0.0050461,0.0049151,0.0047842,0.0046532,0.0045223,0.0043913,0.0042604,0.0041294,0.0044568,0.0044568,0.0044568,0.0044568,0.0044568,0.0044568,0.0044568,0.0044568,0.0044568,0.0044568,0.0044568,0.0044568,0.0044568,0.0044568,0.0044568,0.0044568,0.0044568,0.0044568,0.0044568,0.0044568,0.0044568,0.0044568,0.0044568,0.0044568,0.0044568,0.0044568,0.0044568,0.0044568,0.0044568,0.0044568,0.0044568,0.0044568,0.0044568
ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDI,0.879342185,0.900905652,0.921913045,0.93620511,0.9520583,0.966456305,0.980208456,0.994710181,1.007677322,1.00596399,1.026573323,1.071115552,1.103703975,1.13966347,1.172793844,1.210568278,1.256349087,1.2995877,1.346750105,1.393196776,1.443162131,1.504009839,1.563899959,1.589640944,1.617492966,1.669117066,1.708533579,1.748061832,1.752332014,1.778928313,1.806168813,1.834550469,1.864809511,1.897148402,1.931695983,1.968562687,2.008135035,2.050320998,2.094457971,2.140030591,2.186578716,2.234985821,2.286172193,2.339861747,2.395759989,2.453682863,2.514587468,2.578952352,2.645857229,2.714510652,2.784231608,2.855811543,2.930060312,3.006628204,3.085202323,3.165709044,3.249326336,3.337176949,3.429205665,3.525467703,3.626073496
BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEN,1.004891814,1.046670292,1.101964228,1.201148031,1.222108275,1.305939293,1.263161615,1.236201978,1.272355763,1.309871714,1.364474957,1.411568308,1.462938151,1.512865164,1.563597612,1.619882228,2.169745815,2.248805736,2.221692108,2.268246925,2.323433222,2.440914752,2.469855417,2.530477025,2.574152533,2.785645312,2.840454872,2.895239514,2.789720079,2.818018674,2.852482373,2.894481201,2.943254034,2.997278623,3.055184945,3.115739979,3.178745832,3.244735292,3.313693136,3.385588919,3.460422641,3.53848353,3.620380484,3.70664629,3.797752845,3.89406549,3.996132232,4.103892183,4.216949558,4.334862904,4.457282105,4.584587723,4.717434325,4.85582191,4.999902703,5.149874597,5.307731736,5.47493548,5.651105265,5.836027978,6.029505726
BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
