cat,IPCM0EL
clss,NOTCOV
ent,KYOTOGHG
gwp,AR4
note,"Share of emissions not-covered by an (I)NDC, based on per-country, per-main-sector and per-kyoto-GHG information from countries' (I)NDCs and their corresponding HISTCR_PRIMAPHIST21 emissions."
scen,HISTORY
srce,PRIMAPHIST21
tablename,KYOTOGHG_IPCM0EL_NOTCOV_PC_HISTORY_PRIMAPHIST21
tpe,PC
unit,MtCO2eq/MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1.7750797972519062e-09,6.478083402722769e-09,1.4802396894202853e-08,3.2341498294906907e-08,8.150190344083508e-08,1.6889395913681537e-07,7.750043842417332e-07,1.7491866847463863e-06,3.080254153558584e-06,5.034308695132433e-06,1.0557101012606698e-05,2.8030529039383425e-05,5.941364523516758e-05,9.222731420274014e-05,0.00013800699236200917,0.0002548759508491609,0.00026431457321817174,0.0002931052675346389,0.00034166613467027327,0.00036492636133974573,0.00037054748746598255,0.00036720381093209445,0.0003914173414479673,0.0004369493541803214,0.0004668829863698395,0.00048072332548058217,0.0005071910990048861,0.0005381420035395741
AIA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ALB,0.4344713892221251,0.31517176201498104,0.42547934952979416,0.44939022445354215,0.45674803923148743,0.4613603601308587,0.48042729412626095,0.4686183119256849,0.4283210273106476,0.41717639918429056,0.5444052673115952,0.50661300598907,0.5024895159092816,0.488561628065638,0.4771588610464949,0.47687922603215455,0.48403224997353483,0.45707131475718404,0.44022969078696306,0.42534454980630515,0.4133583503352119,0.3849884175116765,0.4041501173590053,0.4012918913162347,0.3766685910183951,0.4028958817619502,0.39783932869904853,0.392492591607796
AND,0.02006216996612802,0.02018957678637002,0.019416882805012112,0.018831495963036463,0.01849288815353361,0.017148024205271447,0.01654743134216124,0.016256470916103147,0.016071279513637723,0.01597018375459814,0.015913662349855,0.017191611438389345,0.018293880389308743,0.019691616748687822,0.020613511928150443,0.021813601095123605,0.024309304149312087,0.026302558648905634,0.02808075400169666,0.030423077705231824,0.0319193848702167,0.03396383744390459,0.03569112023242186,0.03700148280609404,0.03972807089566283,0.03862234189923615,0.04051753679887449,0.04184473166788487
ANT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ARE,0.05567138466737154,0.05684160661122789,0.05822064629903772,0.05332793867746353,0.051691848232550915,0.053288614532475395,0.06314429939122683,0.06367426368736653,0.051511403893961444,0.055600487693404796,0.043060217266983156,0.042706624214780504,0.0471796569040944,0.037939023036693185,0.03371513267868801,0.03198314594095856,0.029771520613940346,0.027349804487185932,0.024523534704915178,0.023918267610076312,0.02230539323654813,0.020345419097486023,0.01843977181311923,0.017988826716375066,0.014662332977985743,0.014114115964671861,0.014006057327248463,0.014510724177565212
ARG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARM,0.05334815426781583,0.05768586804778722,0.04568225768941063,0.08469111329447844,0.08418055229448478,0.08143961909995633,0.11237708613674369,0.11348595031502509,0.1274714293893316,0.1702690597863496,0.22314087561271695,0.22295094716451894,0.24669713530097054,0.22929950012077122,0.2282044301621904,0.2013958399659852,0.22165583230086977,0.1994945629544444,0.18110964946252356,0.19490316704555413,0.18611729059166052,0.17409700151789795,0.17098399938710324,0.18694114448813737,0.1868910229705734,0.18171620643774156,0.20229163375242387,0.1839200136264441
ATA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ATG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDI,0.2629690436516647,0.26346892782728515,0.2662487855986488,0.2691714181594676,0.27709945279969306,0.27818897123264197,0.27929349673846265,0.2750933877318064,0.2822072203282641,0.3006467394391138,0.30007112414641496,0.28090413352561683,0.284254655095048,0.2894309910668649,0.27599045601414096,0.2779337582730637,0.27380387641273735,0.27601471837003744,0.2744436960171006,0.27199187382385126,0.2661874964617502,0.2645203557306333,0.2688915182245022,0.24948458715193547,0.24509325946522573,0.24855435593223799,0.26264120685602577,0.2672060275796311
BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEN,0.16718938754163556,0.16587484810879172,0.1698779410783276,0.17683185101785065,0.16866669535527976,0.18370741805654367,0.1718540467789237,0.16401995226744573,0.16262007936772757,0.16073031640429686,0.15922642861382685,0.16420458657578832,0.14961068397451616,0.15753104707219864,0.16501130391025098,0.15334856464204927,0.1901434405710168,0.18166148876675509,0.18664505710460755,0.18236721327231,0.17713685117836403,0.1799567050912211,0.18007505388706846,0.1773955824494916,0.17395038130073956,0.1844920399726767,0.1752534210150981,0.171393023711717
BFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGD,0.7235035134569753,0.7214992139665096,0.6984500761786895,0.7010096972368423,0.6867336262054988,0.6478931870137887,0.6365364282927471,0.6296700522477937,0.6374154411394087,0.637047852610222,0.6246496825208342,0.5987257307331859,0.5970637599374702,0.5881540975459139,0.579906557569555,0.5755816594730793,0.5580040405866971,0.5562207537991104,0.5490958128873371,0.538149483113905,0.5212223174149809,0.5112048263753531,0.49656313673796065,0.49695510900310813,0.48473983434839896,0.44879030468201314,0.44562219224059885,0.4413476244709765
BGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHR,0.24945082029844048,0.13834720060858924,0.15911821674025034,0.14440982120713364,0.13361748314646257,0.13461088726654105,0.1255432303953992,0.12410031286083131,0.11388815466583868,0.11939939621320021,0.11009152325469161,0.14317430681429089,0.12895228962535424,0.11965334297229413,0.11780903193266368,0.12691439347312303,0.1391436660803598,0.1048665258941609,0.09776975599066931,0.1068113630263245,0.1074035832658159,0.11272511385856458,0.11759314634015382,0.10791400028371802,0.11074707980245178,0.13455840492037657,0.13893892595199614,0.14093998998928178
BHS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIH,0.020475664712192167,0.019171815516690147,0.024351922627762094,0.016766953516426118,0.010985097735021591,0.010952027720801163,0.009164789504743597,0.010164207425660567,0.01191379288855296,0.02263638804972805,0.02287013307922707,0.01833482237172929,0.014796757678505877,0.01904479798623244,0.023307978540848765,0.02823558115958447,0.02962703994586832,0.03259607841720846,0.033573499770415356,0.03435819621738439,0.03784333064129173,0.035359949819900274,0.03972504225682981,0.04269275928605735,0.04214266313126142,0.04643048740338875,0.047321879025015,0.04884990612144973
BLR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLZ,0.3673015354737763,0.32947201393915343,0.3583021336112249,0.32581059467737516,0.3267436062655637,0.28747001437605996,0.3246131797669715,0.29151470012471237,0.31809856429019123,0.3482674882524498,0.3147552312289311,0.3050413663969224,0.3660859977693801,0.4122523868523068,0.32346889519983896,0.33015604430599343,0.3200370144453728,0.32934571103446514,0.3506526335611497,0.32447876474872145,0.33775754635675775,0.3424902332302066,0.3794100433642308,0.4175274514357557,0.41091060007611924,0.36785681367781214,0.36853788753864064,0.36738355667289135
BOL,0.03649878664302993,0.04180656000802724,0.04497424605860057,0.04754721598147094,0.05241635325649144,0.22660553954741733,0.4435682957695971,0.5531807504339455,0.59657067216317,0.5937031562693027,0.5614785814510779,0.5035162357230841,0.39033178016738684,0.4318499826638981,0.5324436478534643,0.5519966784782667,0.5418095559513016,0.5758244679441075,0.5810733107012801,0.5875786784474492,0.5770867834465536,0.5854643437040723,0.574393975653883,0.5862564482317102,0.5912349447894075,0.6063304175548594,0.6068974179134884,0.6119255657079941
BRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN,0.017619043712217862,0.018158053559228147,0.01881721277326607,0.0196136191895537,0.020677361183092595,0.020927734070601386,0.035659018714361154,0.03757136186297331,0.03693922469907083,0.044379559059697,0.04733862798883954,0.05024360846442924,0.05646024764077088,0.0574985370130543,0.06129385981142741,0.06618360550487606,0.0667464397864748,0.05260691588787492,0.05104989833383311,0.06052034551926709,0.06515572260643168,0.05972482841988343,0.06483014752751859,0.07450214837407437,0.07023543956922876,0.07058435101962851,0.0679361539001249,0.06874625375449181
BTN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BWA,0.7781825828868294,0.7728542618858915,0.7564612460067147,0.7280266415502996,0.7447780870242718,0.7583774215629057,0.784191533988496,0.7739231418312519,0.726036255328324,0.7323731180435377,0.6936885837821019,0.7540273039862295,0.7554928101502925,0.5548427380969081,0.5686995991379573,0.6194446847600839,0.6761418886897063,0.6184090609198925,0.7811700902591133,0.6226170236814949,0.8105952453750949,0.8492173587508083,0.6860358182302662,0.6140894478569459,0.4826647117636203,0.4344769978086633,0.41682261162139805,0.5676876900100936
CAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,0.30588199783537057,0.297326781687512,0.28966763135795376,0.2781924192905697,0.27169900066292035,0.27129392879315833,0.2724621229805671,0.2608338020572591,0.2738249340605749,0.2855980177636114,0.2776064224489155,0.27685452284754697,0.26440507510141753,0.24112922558629252,0.2301810850355944,0.2202668122365431,0.2140402070452742,0.20389511015634357,0.20001626823827937,0.1974134950311397,0.19066449995929083,0.18679422334515408,0.18790846278911916,0.18545161916081904,0.18853915907125393,0.19427074791884735,0.19827079204433895,0.19844642043162747
CIV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMR,0.03971274681226186,0.03907603459375034,0.03352063495399921,0.03282532728007379,0.016656310287067704,0.014087394883678286,0.016227204305887824,0.017762750840785945,0.014909001444312066,0.01542447575602087,0.013530014992113096,0.011544481394830958,0.008764222177065496,0.009741097050556244,0.011038713463619116,0.01102680458455053,0.010982554318811977,0.010460912035253216,0.011037673017972609,0.008679399676022225,0.009449683890177151,0.007709723086111137,0.006977363618103015,0.006119527972730524,0.005513828292840954,0.004755751481086227,0.00403350977440905,0.003318016089113926
COD,0.16500282450981987,0.17336377038713313,0.1782604937097207,0.1850505481801817,0.1724417558515058,0.17865236263459378,0.20445217929716203,0.21224217308350501,0.2172971487430968,0.24019066870081252,0.2478025784728433,0.22299070103091764,0.21689576161369772,0.2111374297840064,0.2120051375139096,0.21769964107366846,0.2166934009220472,0.23851831214990313,0.23452021279775273,0.24443546168720787,0.24470207334391583,0.25606260295244043,0.26376049479813785,0.25207092441862544,0.2532244430677633,0.25830415052091454,0.2643814616154117,0.27486792239422975
COG,1.0249937629425112e-07,2.784161703508421e-07,6.5622787778551e-07,2.4756872618740793e-06,4.710952109962292e-06,9.86711608501813e-06,1.758927018239884e-05,2.271049845136425e-05,3.46106576251647e-05,4.495764269739768e-05,7.763353599047217e-05,0.0001297705364515041,0.00024697526694740095,0.00026216203669945763,0.0003491673847733469,0.0004258073968978785,0.00042417546542156446,0.0005483612108380004,0.0006324283583283125,0.0006184066109384683,0.0006226484988033905,0.0006937359799650087,0.0007268006910308867,0.0007584327702581428,0.0008356007705084132,0.0008858689893441096,0.0009361609256081715,0.001037880196547627
COK,0.23203312569015516,0.2336090396989411,0.24442840699613197,0.2737296330580295,0.2950757430454855,0.3103242464910866,0.3102282302068618,0.3207227076763329,0.3317456011510594,0.29520321169575553,0.28331103895910237,0.333324590284225,0.35052703510192523,0.3221333301997171,0.22990286054379216,0.20972556924960511,0.201573289682418,0.2013765656232907,0.1940604617332756,0.19403288745037722,0.1930488692285557,0.19301129397470432,0.19351046873993458,0.19220698688770496,0.19205652381100746,0.18608499039653642,0.1760505282908874,0.16893179450799795
COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPV,0.01773112703539722,0.017418715313404182,0.015552766526267133,0.015473270868359097,0.01606401175855567,0.014934454586069078,0.015820324150429266,0.015448494410770761,0.014452701632659654,0.013712393172568985,0.013967234946616062,0.013170083390269245,0.012367476270863341,0.0118790482395201,0.010910652912220056,0.009484059354362046,0.00900190393852185,0.008849545508590384,0.009467663591565756,0.008811336215730433,0.008572058960696448,0.008519853118241872,0.00974935255897126,0.009962473345714158,0.010238601340541043,0.008094373446074698,0.007780922535177999,0.0077241317468908915
