cat,IPCM0EL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clss,NOTCOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ent,KYOTOGHG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family,share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwp,AR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
note,"Share of emissions not covered by an (I)NDC, based on per-country, per-main-sector and per-kyoto-GHG information from countries' (I)NDCs and their corresponding HISTCR_PRIMAPHIST21 emissions (1990 to 2017). Future values were calculated using methods stated in info_per_country.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scen,SSP2BLMESGBFILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
srce,CORR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tablename,KYOTOGHG_IPCM0EL_NOTCOV_PC_SSP2BLMESGBFILLED_CORR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpe,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unit,MtCO2eq/MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABW,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75E-06,0,0,0,0,1.11E-16,1.11E-16,0,2.41E-06,2.35E-06,0,0,0,0,0,0,0,0,0,0,0,0,1.11E-16,0,1.11E-16,0,0,0,0,0,0
AGO,1.78E-09,6.48E-09,1.48E-08,3.23E-08,8.15E-08,1.69E-07,7.75E-07,1.75E-06,3.08E-06,5.03E-06,1.06E-05,2.80E-05,5.94E-05,9.22E-05,0.000138007,0.000254876,0.000264315,0.000293105,0.000341666,0.000364926,0.000370547,0.000367204,0.000391417,0.000436949,0.000466883,0.000480723,0.000507191,0.000538142,0.000693405,0.00088436,0.001089705,0.001311244,0.001547156,0.001799584,0.002067869,0.002354477,0.002660658,0.002990337,0.003344916,0.003728958,0.004145859,0.004600011,0.005088044,0.0056106,0.006170753,0.006765675,0.007404204,0.008082601,0.0088015,0.009565594,0.01037254,0.011231857,0.012149587,0.013123436,0.014154764,0.015241561,0.01638108,0.017574554,0.018816232,0.020104717,0.021432926
AIA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALB,0.434471389,0.315171762,0.42547935,0.449390224,0.456748039,0.46136036,0.480427294,0.468618312,0.428321027,0.417176399,0.544405267,0.506613006,0.502489516,0.488561628,0.477158861,0.476879226,0.48403225,0.457071315,0.440229691,0.42534455,0.41335835,0.384988418,0.404150117,0.401291891,0.376668591,0.402895882,0.397839329,0.392492592,0.383519501,0.383244811,0.382773488,0.382074845,0.381193419,0.380185492,0.37910009,0.377982612,0.37682467,0.375605981,0.374352382,0.373082063,0.371816794,0.370491444,0.369044912,0.367496885,0.365868477,0.364179614,0.362457147,0.36073565,0.359040387,0.357397811,0.355830652,0.354294914,0.352749977,0.351217825,0.349719118,0.3482716,0.346879242,0.345539332,0.344259225,0.343042583,0.341897087
AND,0.02006217,0.020189577,0.019416883,0.018831496,0.018492888,0.017148024,0.016547431,0.016256471,0.01607128,0.015970184,0.015913662,0.017191611,0.01829388,0.019691617,0.020613512,0.021813601,0.024309304,0.026302559,0.028080754,0.030423078,0.031919385,0.033963837,0.03569112,0.037001483,0.039728071,0.038622342,0.040517537,0.041844732,0.03866243,0.03866243,0.03866243,0.03866243,0.03866243,0.03866243,0.03866243,0.03866243,0.03866243,0.03866243,0.03866243,0.03866243,0.03866243,0.03866243,0.03866243,0.03866243,0.03866243,0.03866243,0.03866243,0.03866243,0.03866243,0.03866243,0.03866243,0.03866243,0.03866243,0.03866243,0.03866243,0.03866243,0.03866243,0.03866243,0.03866243,0.03866243,0.03866243
ANT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ARE,0.055671385,0.056841607,0.058220646,0.053327939,0.051691848,0.053288615,0.063144299,0.063674264,0.051511404,0.055600488,0.043060217,0.042706624,0.047179657,0.037939023,0.033715133,0.031983146,0.029771521,0.027349804,0.024523535,0.023918268,0.022305393,0.020345419,0.018439772,0.017988827,0.014662333,0.014114116,0.014006057,0.014510724,0.01412086,0.013867432,0.013549383,0.013181632,0.012818312,0.012459608,0.012105893,0.011757641,0.011416522,0.011085824,0.010768159,0.010465753,0.010180532,0.009910817,0.009653199,0.009406853,0.009171074,0.008945235,0.008729974,0.008527499,0.008339448,0.008167326,0.008012533,0.007877566,0.007761131,0.007659355,0.00756889,0.007486873,0.007413908,0.007348756,0.007286472,0.007222544,0.007152878
ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01E-07,2.96E-07,0,0,0,0,2.74E-07,0,2.65E-07,2.60E-07,1.11E-16,2.22E-16,2.48E-07,0,2.39E-07,2.35E-07,0,0,0,1.11E-16,1.11E-16,1.11E-16,0,0,0,0,0,0,2.10E-07,0,0,0,2.09E-07
ARM,0.053348154,0.057685868,0.045682258,0.084691113,0.084180552,0.081439619,0.112377086,0.11348595,0.127471429,0.17026906,0.223140876,0.222950947,0.246697135,0.2292995,0.22820443,0.20139584,0.221655832,0.199494563,0.181109649,0.194903167,0.186117291,0.174097002,0.170983999,0.186941144,0.186891023,0.181716206,0.202291634,0.183920014,0.185700781,0.185928385,0.186140816,0.186326298,0.186489555,0.186652974,0.186834578,0.187050346,0.187295249,0.187557833,0.187840281,0.188144828,0.188472546,0.188825702,0.189202532,0.189600123,0.190014566,0.190443203,0.190880212,0.191320519,0.191761209,0.192199646,0.192633689,0.193078548,0.19354271,0.194015329,0.194486133,0.194945703,0.195387676,0.195803808,0.196183531,0.196517245,0.196795967
