cat,IPCMAG
clss,NOTCOV
ent,KYOTOGHG
gwp,AR4
note,"Part of emissions not-covered by an (I)NDC, based on per-country, per-main-sector and per-kyoto-GHG information from countries' (I)NDCs and their corresponding HISTCR_PRIMAPHIST21 emissions."
scen,HISTORY
srce,PRIMAPHIST21
tablename,KYOTOGHG_IPCMAG_NOTCOV_EMI_HISTORY_PRIMAPHIST21
tpe,EMI
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0.0025027,0.0,0.0,1.2218e-05,2.086e-05,1.49e-05,1.3112e-05,2.6522e-05,2.9204e-05,2.9502e-05,3.7846e-05,3.8144e-05,4.47e-05,4.7382e-05,5.5726e-05,5.5726e-05,5.5726e-05,5.5726e-05,5.5726e-05,5.5726e-05,5.5726e-05,5.5726e-05,5.5726e-05,6.434e-05,6.6313e-05,6.8286e-05,7.025899999999999e-05,7.2232e-05
AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,2.5000999999999998,2.0429,1.92252,2.0773,2.391,2.468,2.39779,2.32792,2.4139,2.4243500000000004,2.93714,2.8511,2.9614000000000003,2.9726999999999997,2.9393000000000002,2.8456,2.7635,2.6301,2.4749,2.3964,2.3911,2.4115,2.4417,2.429616,2.461266,2.508316,2.535867,2.466117
AND,0.0074211,0.007526799999999999,0.0073284,0.007271699999999999,0.0072153,0.006997400000000001,0.0071768,0.0071221,0.0069833000000000004,0.0070466,0.0069542,0.0073258,0.0076226,0.007893299999999999,0.0083132,0.008708599999999999,0.0088748,0.009174300000000002,0.009363,0.009341100000000001,0.009521499999999999,0.0091304,0.0093758,0.009476199999999999,0.009698100000000001,0.0093789,0.0095182,0.0094685
ANT,0.008736899999999999,0.0083162,0.008131600000000001,0.0077724000000000005,0.007542200000000001,0.0074578000000000005,0.007607,0.007420899999999999,0.0078472,0.0073188,0.0078241,0.0078647,0.008497900000000001,0.008370200000000001,0.008694799999999999,0.008635,0.0086748,0.0089165,0.009038599999999999,0.009043599999999999,0.0091928,0.009167999999999999,0.0092455,0.009287799999999999,0.0093351,0.0093176,0.009305299999999999,0.0093526
ARE,2.17676,2.4493,2.71577,2.88819,3.22334,3.4770499999999998,3.7815600000000003,3.95087,4.13055,4.44248,4.57081,4.37965,4.48421,4.4261,4.16943,4.2070099999999995,3.7805099999999996,3.44276,3.2388500000000002,3.1296999999999997,2.441,2.0349299999999997,1.64688,1.403918,1.097463,1.136899,1.151299,1.170079
ARG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1.30258,1.3169,1.27136,1.10955,1.10829,1.13903,1.19334,1.22928,1.19694,1.2665199999999999,1.34246,1.35257,1.44796,1.4596,1.54617,1.53249,1.76162,1.73899,1.70342,1.6302400000000001,1.5617200000000002,1.6041400000000001,1.75972,1.9081899999999998,1.92925,2.0109299999999997,2.31527,2.03846
ATA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGD,33.285799999999995,33.427499999999995,33.6077,33.492200000000004,34.001,34.687999999999995,34.6284,34.3883,33.9658,35.2311,35.332300000000004,35.5019,36.6917,37.457100000000004,38.0366,39.3869,40.1794,40.6967,42.137499999999996,42.2665,43.0424,43.4482,43.4242,43.8571,44.3296,44.6811,44.116200000000006,45.178799999999995
BGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
