cat,IPC4
clss,COV
ent,N2O
family,emi
gwp,AR4
note,"Part of emissions covered by an (I)NDC, based on per-country, per-main-sector and per-kyoto-GHG information from countries' (I)NDCs and their corresponding HISTCR_PRIMAPHIST21 emissions."
scen,HISTORY
srce,PRIMAPHIST21
tablename,N2O_IPC4_COV_EMI_HISTORY_PRIMAPHIST21
tpe,EMI
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,0.10907,0.10966,0.11413,0.12278,0.12903,0.13887,0.14781,0.15466,0.15317,0.15168,0.15407,0.1636,0.17463,0.18297,0.19161,0.19817,0.21218,0.22201,0.23155,0.23751,0.24406,0.25151,0.25151,0.26713000000000003,0.27535,0.28358,0.2918,0.30002
AGO,0.073308,0.073308,0.07599,0.08075800000000001,0.085526,0.09089,0.096254,0.098638,0.10132,0.10698,0.11622,0.12307,0.13022999999999998,0.13827,0.14691,0.15496,0.16748,0.18029,0.194,0.2083,0.21545,0.2229,0.2229,0.23851,0.24808,0.25765,0.26722,0.27679000000000004
AIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,0.0016208,0.0016699000000000002,0.0017,0.0017413,0.0017754,0.0018089,0.0018677,0.0018954,0.0019139,0.0019725000000000003,0.0020399000000000003,0.0018912,0.0017339000000000002,0.0015869000000000002,0.0014390999999999998,0.0012885,0.0015647,0.0018477,0.0021248,0.0023836,0.0026245,0.0024158,0.0022731,0.0022756,0.0020093,0.0021588,0.0022028000000000004,0.002347
ANT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARE,0.044988,0.048449,0.053063,0.056139,0.0596,0.062452,0.066777,0.07188,0.077405,0.082536,0.0894,0.10004,0.11069,0.12133,0.13197,0.14261,0.15325999999999998,0.1639,0.17454,0.18519,0.19583,0.20647,0.21711,0.22776,0.2384,0.24904,0.25969000000000003,0.27033
ARG,0.39574,0.41004,0.42149,0.43789,0.45224,0.47369,0.49174,0.51035,0.5243,0.546,0.55835,0.5854,0.59985,0.62356,0.6450600000000001,0.66596,0.6842600000000001,0.6884600000000001,0.68266,0.67011,0.68401,0.68916,0.6873600000000001,0.6893600000000001,0.69501,0.72526,0.7338399999999999,0.74243
ARM,0.050958,0.047485,0.049673,0.0486,0.050511,0.050167,0.052172,0.05223,0.052692,0.053162,0.05364,0.053775,0.055181,0.056172,0.057941,0.058918,0.059898,0.060349,0.060425,0.060122,0.06019600000000001,0.06019600000000001,0.06019600000000001,0.062637,0.063276,0.063915,0.064554,0.065193
ATA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATG,0.00094168,0.00091486,0.0010013,0.0009387,0.00096254,0.00096552,0.0010043,0.001046,0.00084632,0.00086122,0.00085228,0.00084036,0.0008642000000000001,0.0008493,0.00086122,0.00087016,0.0008791000000000001,0.00089102,0.00089996,0.00089996,0.00089996,0.00089996,0.00089996,0.00091128,0.0009159,0.00092052,0.00092514,0.00092976
AUS,0.31223,0.32143,0.33016,0.33867,0.33941,0.34125,0.35018,0.36704,0.3778,0.3852,0.39287,0.40067,0.40886,0.4194100000000001,0.4282,0.43624,0.4473,0.45796,0.48569,0.47356,0.4688100000000001,0.48348,0.52874,0.5192899999999999,0.5724899999999999,0.6211899999999999,0.6692899999999999,0.6726800000000001
