cat,IPC2
clss,COV
ent,CH4
family,emi
gwp,AR4
note,"Part of emissions covered by an (I)NDC, based on per-country, per-main-sector and per-kyoto-GHG information from countries' (I)NDCs and their corresponding HISTCR_PRIMAPHIST21 emissions."
scen,HISTORY
srce,PRIMAPHIST21
tablename,CH4_IPC2_COV_EMI_HISTORY_PRIMAPHIST21
tpe,EMI
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,4.8121e-05,4.9388e-05,5.2729e-05,5.194e-05,5.7129e-05,5.9525e-05,6.006e-05,6.089e-05,6.103e-05,6.207e-05,6.3495e-05,6.600100000000001e-05,6.5247e-05,6.7353e-05,6.2003e-05,6.1888e-05,6.5715e-05,6.672899999999999e-05,6.011e-05,5.4051e-05,5.831e-05,5.933100000000001e-05,5.7404e-05,5.8378e-05,5.7919e-05,5.746e-05,5.700100000000001e-05,5.6542e-05
ANT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARE,0.00074838,0.00079589,0.00079763,0.00078123,0.0007786000000000001,0.000825,0.0017175,0.002625,0.0035,0.0044,0.0053,0.0062,0.007075,0.007975,0.008875,0.00975,0.01065,0.01155,0.01245,0.01335,0.014225,0.015125,0.016025,0.016915,0.017809000000000002,0.018703,0.019597,0.02049
ARG,0.019459,0.021584,0.020984,0.019986,0.023201,0.023703,0.031536,0.025736,0.025132,0.027114,0.034967000000000005,0.046297000000000005,0.043381,0.053492,0.056362,0.055723,0.05841900000000001,0.067008,0.048323000000000005,0.042216,0.055418,0.06325900000000001,0.0572,0.067466,0.069611,0.067139,0.068707,0.070275
ATA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,0.08164600000000001,0.075137,0.08230599999999999,0.08329199999999999,0.093006,0.098387,0.10048,0.098385,0.10283,0.096,0.08678999999999999,0.081024,0.08038200000000001,0.08647200000000001,0.086311,0.081794,0.08866,0.089279,0.08932000000000001,0.07714800000000001,0.092362,0.097592,0.075327,0.068478,0.06501799999999999,0.068675,0.070578,0.07348500000000001
AUT,0.042769,0.042616,0.0394,0.040122000000000005,0.040885000000000005,0.040824,0.040815,0.040978,0.041607,0.041075,0.041083,0.041278,0.042591,0.0424,0.042771,0.044989,0.057316,0.057766,0.057970000000000015,0.057655999999999985,0.058945,0.058887,0.059224,0.062051,0.060237,0.060829,0.060955,0.061397
