cat,IPC2
clss,NOTCOV
ent,CO2
family,emi
gwp,AR4
note,"Part of emissions not-covered by an (I)NDC, based on per-country, per-main-sector and per-kyoto-GHG information from countries' (I)NDCs and their corresponding HISTCR_PRIMAPHIST21 emissions."
scen,HISTORY
srce,PRIMAPHIST21
tablename,CO2_IPC2_NOTCOV_EMI_HISTORY_PRIMAPHIST21
tpe,EMI
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0.036337,0.037869,0.039899,0.042166,0.044335,0.046127,0.047404,0.048346,0.049034,0.04965,0.050342000000000005,0.05115,0.052011,0.052882000000000005,0.05368,0.054377,0.055119000000000015,0.055845000000000006,0.056574,0.05728200000000001,0.057991,0.058793,0.059518,0.060331,0.061086,0.061841,0.062596,0.06335199999999999
AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIA,4.17e-07,4.33e-07,4.49e-07,4.63e-07,4.77e-07,4.9e-07,5.03e-07,5.15e-07,5.27e-07,5.4e-07,5.54e-07,5.69e-07,5.85e-07,6.01e-07,6.17e-07,6.32e-07,6.45e-07,6.57e-07,6.68e-07,6.790000000000001e-07,6.88e-07,6.979999999999999e-07,7.070000000000002e-07,7.3038e-07,7.4362e-07,7.568600000000002e-07,7.701e-07,7.8334e-07
ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANT,0.050719,0.078562,0.072339,0.091232,0.085967,0.08608099999999999,0.086759,0.087826,0.08899800000000001,0.090228,0.091832,0.092469,0.092782,0.093284,0.095024,0.096793,0.099113,0.1015,0.10321,0.10177,0.10293,0.10280999999999997,0.103,0.1056,0.10664,0.10769,0.10873,0.10978
ARE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDI,0.08831599999999999,0.090244,0.092013,0.093591,0.094889,0.096009,0.096832,0.097526,0.098255,0.099383,0.10108,0.10341,0.10622,0.10968,0.11348,0.11756,0.12159,0.1256,0.12967,0.13304000000000002,0.13642,0.15039,0.16606,0.18263,0.17407,0.18929,0.1923,0.19532
BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEN,0.15635,0.16633,0.18554,0.24366,0.22667,0.27558,0.18688,0.12209,0.12316,0.12433,0.14637,0.14741,0.14857,0.14973,0.15091,0.1522,0.64072,0.6571100000000001,0.5755,0.56519,0.56058,0.61869,0.5896600000000001,0.6150100000000001,0.60519,0.76317,0.76445,0.76574
BFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHR,1.2717,1.2397,1.412,1.7267,1.6916,1.7366,1.6705,1.8668,1.7888,1.8929,1.7682,1.898,1.8664,1.7412,1.8808,2.312,2.57,2.495,2.5314,2.6917,2.7844,2.9213,2.8412,3.0612,3.1763,3.2387,3.3415,3.4039
