cat,IPCM0EL
clss,COV
ent,CH4
gwp,AR4
note,"Part of emissions covered by an (I)NDC, based on per-country, per-main-sector and per-kyoto-GHG information from countries' (I)NDCs and their corresponding HISTCR_PRIMAPHIST21 emissions."
scen,HISTORY
srce,PRIMAPHIST21
tablename,CH4_IPCM0EL_COV_EMI_HISTORY_PRIMAPHIST21
tpe,EMI
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,7.10014,7.428570000000001,7.544590000000001,7.71697,8.04686,8.53387,9.4555,10.19276,10.76407,11.60397,10.39892,9.188120000000001,11.08564,11.50963,11.49659,11.77876,12.023579999999999,12.292589999999999,13.422500000000001,13.7047,15.347480000000001,15.46961,15.42838,15.43647,15.73587,15.24577,15.138760000000001,14.95536
AGO,50.802099999999996,52.975699999999996,55.167699999999996,53.9801,49.6224,53.9214,57.4989,56.033699999999996,57.380799999999994,52.5245,46.4007,46.184,46.4069,48.2742,48.1239,48.6708,44.850300000000004,45.6944,45.330999999999996,44.9915,48.785700000000006,49.3735,48.5732,44.826800000000006,43.474500000000006,43.7076,43.0039,42.1241
AIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,0.015819621,0.016517188,0.016624929,0.01606064,0.015545929,0.015215625,0.015298560000000001,0.014933989999999998,0.014683830000000002,0.014575169999999998,0.014674395,0.014961301,0.015173047,0.015785553,0.016307803,0.016514188,0.015980414999999998,0.015399229,0.01496331,0.014166100999999999,0.013464639999999998,0.013052721,0.012673429,0.013390777999999999,0.01329883891,0.013143460000000001,0.013208201,0.013136742
ANT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARE,10.82670838,12.07502589,12.59609763,13.175881229999998,13.8221786,15.993925,18.663517499999998,19.615425000000002,20.6137,22.0054,24.960499999999996,25.9263,27.828075000000002,30.928575,32.995675,35.64035,37.05625,37.03645,37.26435,36.23725,37.350525,38.731125000000006,39.890924999999996,41.715615,42.744219,45.047403,46.405097000000005,47.766690000000004
ARG,89.16935899999999,90.688784,92.17398399999999,93.98448599999999,95.600901,94.831003,95.209636,94.094436,93.650632,94.295514,99.63396700000001,102.47449699999999,106.29538099999999,112.507892,115.331262,116.310523,118.573219,119.16690799999999,115.589223,110.884116,85.99861800000001,87.341659,90.1581,91.75716600000001,92.901811,93.50253899999998,95.48110700000001,96.705475
ARM,2.6631299999999998,2.48835,2.28177,2.08928,2.1123000000000003,1.83508,1.8177499999999998,1.71652,1.5465,1.42221,1.2592599999999998,1.21564,1.27156,1.3283,1.33229,1.39354,1.42951,1.41063,1.4704800000000002,1.51971,1.58523,1.615,1.6665299999999998,1.59399,1.61436,1.6347200000000002,1.65509,1.67545
ATA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATG,0.046271,0.0475852,0.047681699999999994,0.0479592,0.048544699999999996,0.0496784,0.0482148,0.0477166,0.046862499999999994,0.0478118,0.0504804,0.0512077,0.0514668,0.0518609,0.05249940000000001,0.053145399999999995,0.053482600000000005,0.0524627,0.052072299999999995,0.051125699999999996,0.034064,0.0372321,0.0371364,0.0368951,0.0371101,0.036942100000000005,0.0374251,0.037634100000000004
AUS,120.080846,120.04213699999998,119.577706,116.087792,112.851906,111.415587,111.54848000000001,114.369385,113.31763,109.2468,112.76069000000001,111.201824,109.437182,104.285372,106.239911,107.932594,107.40406,107.11767900000001,105.45872,104.53494799999999,102.50066199999999,104.377892,103.74122700000001,102.96687800000001,100.88871799999998,101.34827499999999,102.04847799999999,103.602385
AUT,10.370769,10.250516000000001,9.9653,9.882382,9.595565,9.524624,9.221865000000001,8.922808,8.745337000000001,8.568185,8.401793,8.243488000000001,8.102801,8.04088,8.042511,7.756649,7.657145999999999,7.552526,7.428750000000001,7.357946,7.268155,7.072227000000001,6.961124,6.904230999999999,6.763657,6.691578999999999,6.631875,6.6121870000000005
AZE,16.0237075,14.856270000000002,12.77337825,11.7547525,10.991689000000001,11.449355,10.763919999999999,10.55565225,10.14840375,10.564047500000001,10.52373,11.4259625,11.424582499999998,11.5363175,11.720517500000001,12.374217499999999,13.542517499999999,16.4340175,20.9737175,20.552432500000002,20.802949999999996,20.33476675,20.94508325,19.03930921,22.41637442,23.23456962,23.986364820000002,24.73056003
BDI,1.21914,1.2375,1.26542,1.26335,1.24267,1.24432,1.26786,1.33542,1.30288,1.0876000000000001,1.11754,1.46848,1.5125199999999999,1.57104,1.7906499999999999,1.88361,1.9942600000000001,2.0547,2.15331,2.27086,2.41722,2.54089,2.55458,2.9334,2.9639,3.0301,2.93242,2.89463
BEL,12.204080000000001,12.157012000000002,12.06471,12.01531,12.062218000000001,12.144374,11.987939,11.879383,11.715240000000001,11.458421999999999,11.015802,10.565861,10.135442999999999,9.559137,9.508206999999999,9.265801,9.170047,9.111904000000001,8.910796,8.844234,8.798691999999997,8.535282,8.401949,8.253506,8.152632,8.110444000000001,8.083602,7.981704
BEN,2.69666,2.79233,2.83451,2.8560100000000004,3.0321,2.86749,2.98497,3.06316,3.21723,3.1923000000000004,3.40631,3.29661,3.69436,3.52749,3.3941500000000002,3.9527599999999996,3.7406,3.9050399999999996,3.7363999999999997,3.8491,3.9543,4.1015999999999995,4.067,4.1831,4.1511,4.2005,4.5168,4.7149
BES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BFA,8.2518,8.5027,8.7625,8.9505,9.1841,9.4103,9.6345,10.048300000000001,10.176400000000001,10.0082,10.62267,10.7423,11.14832,12.90485,13.7751,14.6815,14.6683,15.4266,16.039099999999998,16.6946,17.511400000000002,17.7584,17.8662,18.486,18.9507,19.3586,20.3277,21.1132
BGD,0.051404999999999985,0.052102,0.052991,0.053734,0.054654,0.12388,0.19046,0.24778000000000006,0.31098000000000003,0.37844,0.44829,0.53997,0.57067,0.61105,0.65179,0.70375,0.8177399999999999,0.8834700000000001,1.0169,1.122,1.1518,1.1482,1.2375,1.3157,1.3835,1.4514,1.5192,1.5871
BGR,16.149014,15.120865000000002,14.812619000000002,13.728697,11.820818,11.879567000000002,11.777794,11.41748,10.806695999999999,10.290379000000001,10.149216,9.454926,9.30574,9.675582,9.092998,8.662122,8.376843999999998,8.314214,8.097612,7.7606708,7.740861000000001,7.9771888,7.6096243,7.499366,7.3918674,7.3420682,7.0521694,6.7875705
BHR,1.9218,1.7292,1.9108,2.0606,2.0621,2.0701,2.1585,2.2364,2.3708,2.4009,2.4537,2.5271,2.6286,2.7049,3.3294,3.7055,3.8782,4.0313,4.2794,4.3039,4.4532,4.4787,4.4543,4.9612,5.148,5.3349,5.5217,5.7085
BHS,0.1508475,0.151345,0.1501155,0.151192,0.1546305,0.1608945,0.169058,0.169775,0.17179100000000003,0.173055,0.17570400000000003,0.175834,0.1768785,0.18066149999999997,0.191166,0.19096449999999998,0.196878,0.199509,0.206739,0.1996035,0.1926685,0.217834,0.216856,0.218962,0.218333,0.22247150000000002,0.2261475,0.2310585
BIH,5.35949868,5.186155579999999,4.728515,4.179054175,4.07655565,3.760356125,3.7687561250000003,3.967256125,4.0671561249999995,4.163956125,4.228756125,4.152756125,4.014157925,4.049752425,4.03904005,3.9995400500000002,4.04844005,3.8854400500000006,3.7735824300000003,3.70414242,3.61872493,3.5107549299999996,3.39901243,3.3271477099999998,3.00179441,3.1761711000000004,3.1216178,3.0523645000000004
