cat,IPCM0EL
clss,COV
ent,CO2
gwp,AR4
note,"Part of emissions covered by an (I)NDC, based on per-country, per-main-sector and per-kyoto-GHG information from countries' (I)NDCs and their corresponding HISTCR_PRIMAPHIST21 emissions."
scen,HISTORY
srce,PRIMAPHIST21
tablename,CO2_IPCM0EL_COV_EMI_HISTORY_PRIMAPHIST21
tpe,EMI
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,2.85066,2.64437,1.5968600000000002,1.53077,1.4078301,1.3614051,1.29265,1.2081,1.15204,0.9346699999999999,0.93391,0.9960600000000001,1.2503999999999997,1.37945,1.12893,1.50769,1.82477,2.4325734999999997,4.3642526,6.9335601,8.6361776,12.410783599999998,10.9863403,10.2123783,11.1601663,11.6575842,13.230162199999999,13.6395602
AGO,5.1349100000000005,5.11034,5.2101999999999995,5.79535,3.91242,11.001560000000001,10.479,7.40072,7.32343,9.18621,9.57306,9.73053,12.660240000000002,9.04978,18.77224,19.07831,22.178269999999998,25.05575,25.567610000000002,27.649070000000002,28.94954,30.22859,33.27314,32.4605,34.551399999999994,36.6726,38.0338,38.836
AIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,3.8352,5.537990000000001,3.33155,3.24467,3.50211,3.4422599999999997,3.3494599999999997,3.46534,4.18529,4.52578,3.20162,3.65472,3.83872,4.1005400000000005,4.34277,4.24251,4.15024,4.4909799999999995,4.58142,4.97499,5.229850000000001,5.9321,5.5358,5.6955,6.4380999999999995,5.896700000000001,6.1264,6.221
AND,0.4318562,0.4392019,0.44746980000000003,0.45739609999999997,0.4612490000000001,0.48834920000000004,0.5181233,0.5296445,0.5566459,0.5793638000000001,0.59143,0.5917107,0.5985714000000001,0.6004029,0.62668165,0.6416156999999999,0.6114112299999999,0.6068990000000001,0.6046961000000001,0.5827519,0.5864984999999999,0.555808,0.5502496,0.5437846,0.5301828000000001,0.5315726,0.5381664,0.5410033999999999
ANT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARE,46.4314,50.829570000000004,51.83657,58.53019,64.57294,63.52885,53.29626,55.26237,76.09885000000001,74.20368,105.37160999999999,101.19265,89.79821000000001,117.2766,130.17353,139.49301,142.06801,149.84336,168.49515,173.5612,161.3363,161.7895,167.5222,160.48181799999998,190.871009,205.512399,212.601389,208.446079
ARG,111.488811,118.959039,122.74669,123.13498100000001,128.93491200000003,124.27897800000001,134.339354,138.464043,142.995985,144.280653,148.593304,137.95731099999998,131.732556,139.866513,152.707272,160.381504,170.89082,184.25270799999998,187.94944900000002,181.51308899999998,189.55231899999998,199.026609,198.40835900000002,203.14361799999998,203.3095,206.17863900000003,205.93597200000002,204.30510500000003
ARM,21.781010000000002,20.33235,25.21374,10.06422,9.92576,11.004840000000002,7.54857,7.83919,6.58985,4.669989999999999,3.33028,3.39118,2.9914199999999997,3.35975,3.59897,4.26845,4.30745,5.0786299999999995,5.6979,4.606949999999999,4.58851,5.3504,6.17276,5.95602,5.983350000000001,6.58232,6.573650000000001,6.4361
