cat,IPCMAG
clss,COV
ent,CO2
family,emi
gwp,AR4
note,"Part of emissions covered by an (I)NDC, based on per-country, per-main-sector and per-kyoto-GHG information from countries' (I)NDCs and their corresponding HISTCR_PRIMAPHIST21 emissions."
scen,HISTORY
srce,PRIMAPHIST21
tablename,CO2_IPCMAG_COV_EMI_HISTORY_PRIMAPHIST21
tpe,EMI
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,0.069,0.0659,0.0596,0.0629,1.01e-05,0.0039351,0.007859999999999999,0.007859999999999999,0.00864,0.007859999999999999,0.007859999999999999,0.0333,0.0327,0.0361,0.0409,0.0346,0.02218,0.007253499999999999,1.26e-05,3.01e-05,4.760000000000001e-05,3.6000000000000007e-06,0.008020300000000001,0.0070283,0.0060363,0.0050442,0.0040522,0.0030601999999999995
AIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,0.0013735,0.0014416,0.0014507,0.0015173,0.0014887,0.0014337,0.0015174,0.0015002,0.0015011,0.0015436,0.0014602,0.0015623,0.0015902999999999998,0.0016732,0.0017303000000000002,0.0018547,0.00184,0.0019475,0.0019644000000000003,0.001914,0.0021313,0.0018113,0.0019415,0.0020853,0.0021254,0.0021656,0.0022057,0.0022458
ANT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARE,0.0027,0.00417,0.00577,0.00609,0.00704,0.00775,0.007659999999999998,0.00777,0.00815,0.00838,0.00801,0.00805,0.00811,0.0082,0.00823,0.00761,0.00901,0.00706,0.00905,0.0131,0.0138,0.0103,0.0109,0.011518,0.011809,0.012099,0.012389,0.012679
ARG,0.91596,0.92735,0.92769,0.96065,0.90404,0.89105,0.92592,0.8908799999999999,0.8991,0.9019,1.0502,1.1591,1.0597,1.1398,1.051,1.0663,1.1064,1.1126,1.0233,1.0451,0.83521,0.80657,0.7975,0.88177,0.894,0.82549,0.8034399999999999,0.7813899999999999
ARM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,0.58201,0.6349,0.68981,0.76703,0.8687799999999999,0.9194,0.94555,1.1537,1.3287,1.5129,1.7011,1.8186,1.9304,1.9259,2.0351,1.9635,1.8297,1.8158,1.8304,1.9432,2.1891,2.2006,2.0451,2.0381,2.4909,2.5766,2.6633,2.8617
AUT,0.094383,0.096888,0.097255,0.096601,0.097984,0.099801,0.10019,0.10076,0.10157,0.10128,0.098559,0.095742,0.096189,0.098717,0.10201,0.10295,0.10476,0.10697,0.10489,0.11001,0.10724000000000003,0.1056,0.10842,0.10786,0.11136,0.11191,0.11607,0.11449
AZE,0.138,0.126,0.0785,0.0535,0.0534,0.0534,0.0263,0.0317,0.0201,0.0219,0.00356,0.0156,0.0261,0.0541,0.029,0.029,0.0165,0.0102,0.0008269999999999999,0.00128,0.0011,0.0013800000000000002,0.00134,0.0011761,0.0,0.0,0.0,0.0
BDI,0.000293,0.000294,0.000607,0.000305,0.000306,0.00031,0.000313,0.000321,0.00033,0.000667,0.0006730000000000001,0.000685,0.00034500000000000004,0.000349,0.00035,0.000423,0.000445,0.000156,0.000175,0.000201,0.000293,0.00011,2.52e-05,5.9549e-05,2.3432e-05,0.0,0.0,0.0
