cat,IPC4
clss,NOTCOV
ent,CH4
family,emi
gwp,AR4
note,"Part of emissions not-covered by an (I)NDC, based on per-country, per-main-sector and per-kyoto-GHG information from countries' (I)NDCs and their corresponding HISTCR_PRIMAPHIST21 emissions."
scen,HISTORY
srce,PMH21
tablename,CH4AR4_IPC4_NOTCOV_EMI_HISTORY_PMH21
tpe,EMI
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0.018183,0.01857,0.019238,0.020032,0.02165,0.02229,0.022675,0.02293,0.023985,0.024113,0.024265,0.024425,0.024583,0.025593,0.02565,0.025633,0.025587,0.02547,0.025328,0.025157,0.025013,0.025743,0.025665,0.025942000000000003,0.026049,0.026157,0.026264,0.026372000000000003
AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIA,0.0020084,0.0020861,0.0021639,0.0022316,0.0022994,0.0023621,0.0024249,0.0024827,0.0025404,0.0025982,0.002666,0.0027388,0.0028141,0.0028945,0.0029699,0.0030402,0.0031055,0.0031633000000000004,0.0032187,0.0032665,0.0033143,0.0033594,0.0034020000000000005,0.0035158,0.0035795,0.0036432,0.0037069,0.0037706
ALB,0.1185,0.127,0.1585,0.19175,0.2795,0.326,0.44425,0.4975,0.4945,0.58225,0.6035,0.606,0.60475,0.61625,0.66725,0.674,0.7575,0.7665,0.727,0.882,0.88103,0.88315,0.8877700000000001,0.93197,0.95985,0.98774,1.0156,1.0435
AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANT,0.00612,0.0062275,0.0063875,0.0065575,0.007452500000000002,0.0075099999999999984,0.0074625,0.0073675,0.0072450000000000014,0.007109999999999998,0.0069675,0.0068675,0.00677,0.0067125,0.0067825,0.0069575,0.007302500000000002,0.0077575,0.008334999999999999,0.0088925,0.0094,0.0098075,0.010128,0.0096289,0.0098572,0.010086,0.010314,0.010542
ARE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDI,0.69643,0.7135,0.7303,0.74235,0.7569,0.76867,0.7782,0.78773,0.8,0.81228,0.82983,0.85045,0.8741,0.903,0.9347,0.96665,1.0044,1.0421,1.0827,1.1234,1.1671,1.2112,1.255,1.2571,1.2904,1.3237,1.357,1.3904
BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEN,0.76339,0.7919,0.82615,0.86341,0.89841,0.93092,0.96492,0.99892,1.0304,1.0649,1.1002,1.1402,1.1827,1.2252,1.2702,1.3177,1.3627,1.4102,1.4602,1.5102,1.5602,1.6127,1.6677,1.694,1.7398,1.7856,1.8314,1.8772
BFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGD,1.3996,1.4368,1.4793,1.5219,1.5623,3.333,5.0975,6.855,8.582,10.3728,12.1408,13.9607,14.462,14.9819,15.4609,15.9395,16.1904,16.4622,16.7968,17.0686,17.3404,17.675,18.0096,19.5705,20.1381,20.7057,21.2733,21.8409
BGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHR,0.34928000000000003,0.35187,0.3625,0.37088,0.37598,0.3891,0.39238,0.41575,0.40675,0.43125,0.42825,0.45475,0.46375,0.4626,0.48205,0.50133,0.5213800000000001,0.5585,0.5935,0.631,0.6535,0.6735,0.6809999999999999,0.69597,0.71677,0.73757,0.75837,0.77918
BHS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOL,0.10675,0.20669,0.30663,0.40656,0.5065,0.67181,0.8371299999999999,1.0024,1.1678,1.2423,1.3225,1.5462,1.7719999999999998,1.8072,1.85,1.8914,1.8223,1.8714,1.9154,1.9619,2.0136,2.0652,2.1212,2.2512,2.3128,2.3745,2.4361,2.4978
