cat,IPC4
clss,COV
ent,CO2
family,emi
gwp,AR4
note,"Part of emissions covered by an (I)NDC, based on per-country, per-main-sector and per-kyoto-GHG information from countries' (I)NDCs and their corresponding HISTCR_PRIMAPHIST21 emissions."
scen,HISTORY
srce,PMH21
tablename,CO2AR4_IPC4_COV_EMI_HISTORY_PMH21
tpe,EMI
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND,0.0041807,0.0042233,0.0043771,0.0043068,0.0047033000000000005,0.004589500000000001,0.0044019,0.0038743,0.0038288,0.0036922,0.0037168,0.0029734,0.0022301,0.0014867,0.00074335,0.0,0.00063123,0.0012625,0.0018937,0.0025249,0.0031562,0.0029907,0.0027221,0.0027933000000000003,0.0028914,0.003027,0.0031577,0.0034846
ANT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,0.017651,0.018289,0.0188,0.019531,0.020172,0.021128,0.021934,0.022763,0.023385,0.024353,0.024904,0.026111,0.026756,0.027813,0.028772,0.029704,0.03052,0.030708,0.030449,0.029889,0.030509,0.030739,0.030659,0.030748,0.031,0.032349,0.032732,0.033115
ATA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,0.07336000000000001,0.0735,0.073632,0.073759,0.073893,0.079577,0.058117,0.027968,0.028085,0.028783,0.027663,0.027806,0.027957,0.028115,0.028265,0.028428,0.028704,0.029048,0.029493,0.029909,0.029706,0.029812,0.029959,0.030388,0.030785000000000007,0.030483,0.030625,0.030745
AUT,0.02792,0.024365,0.011127,0.010796,0.010788,0.01111,0.011433,0.011755,0.012078,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124,0.01026,0.008208,0.006156,0.004104,0.002052,0.002052,0.002052,0.002052,0.002052,0.002052,0.002052,0.002052
BDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
