cat,IPCM0EL
clss,NOTCOV
ent,KYOTOGHG
gwp,AR4
note,"Share of emissions not covered by an (I)NDC, based on per-country, per-main-sector and per-kyoto-GHG information from countries' (I)NDCs and their corresponding HISTCR_PRIMAPHIST21 emissions (1990 to 2017). Future values were calculated using methods stated in info_per_country."
scen,PMH21SSP4BLGCAM4FILLED
srce,CORR
tablename,KYOTOGHGAR4_IPCM0EL_NOTCOV_PC_PMH21SSP4BLGCAM4FILLED_CORR
tpe,PC
unit,MtCO2eq/MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABW,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,1.1102230246251565e-16,0.0,0.0,2.3906058750355896e-06,2.339356396152681e-06,0.0,2.2390348863865484e-06,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,1.325920553574278e-06
AGO,1.7750798608773266e-09,6.478083403038681e-09,1.4802396863800027e-08,3.234149825726007e-08,8.15019034483555e-08,1.6889395915153926e-07,7.750043842236209e-07,1.7491866847185733e-06,3.080254153520201e-06,5.0343086952509e-06,1.0557101012609316e-05,2.803052903932457e-05,5.941364523520676e-05,9.222731420266417e-05,0.00013800699236210523,0.0002548759508490539,0.00026431457321807184,0.0002931052675345658,0.00034166613467023765,0.00036492636133977907,0.00037054748746601085,0.0003672038109321374,0.000391417341447986,0.0004369493541803715,0.00046688298636987646,0.00048072332548054764,0.0005071910990048778,0.0005381420035396323,0.0007193355708899896,0.0009525353148728266,0.0012177057536802982,0.0015310691327825587,0.0019109322497965486,0.002358416401999963,0.0028680818869103453,0.0034374877446958774,0.0040552749701501245,0.00471096890521383,0.005390259407231035,0.006074509935671379,0.006742827451021505,0.007399381708832253,0.00806409336491809,0.008741520733168362,0.009429517930643838,0.010130834078868833,0.01084917885202974,0.01158804782521905,0.012349235798292169,0.013142658891241665,0.013974204845526694,0.014838043991182048,0.01572994317736398,0.01664759569421126,0.017590159537637096,0.018557522478776622,0.019550357347945524,0.02056712288689122,0.02160998846679263,0.02267629911617508,0.0237662642848544
AIA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ALB,0.43447138922212514,0.315171762014981,0.42547934952979416,0.44939022445354226,0.45674803923148743,0.4613603601308587,0.48042729412626084,0.4686183119256848,0.4283210273106475,0.4171763991842906,0.5444052673115951,0.50661300598907,0.5024895159092817,0.4885616280656381,0.47715886104649496,0.4768792260321546,0.4840322499735348,0.4570713147571841,0.44022969078696306,0.4253445498063052,0.41335835033521184,0.38498841751167645,0.4041501173590054,0.4012918913162349,0.3766685910183952,0.4028958817619501,0.3978393286990486,0.3924925916077959,0.38226372468971326,0.38068771385398803,0.3791622430477535,0.3775660673054072,0.37580385399734884,0.37393823455877884,0.3720220764229444,0.370108007610069,0.3682228888631789,0.36639509269136106,0.3646734388241253,0.36309962707861865,0.36171158571682116,0.3604443879343773,0.3591993097691146,0.3579728984625963,0.3567610014972944,0.3555625476270555,0.35439469058865813,0.3532919749771838,0.3522733225438539,0.35135906999746114,0.3505677218620863,0.34991979542750484,0.34941065697904317,0.34901270510570737,0.3487006102852559,0.3484467499910514,0.34821360861396033,0.34795622429971673,0.3476417896306496,0.34723514753033424,0.346704914929889
AND,0.020062169966127974,0.02018957678637001,0.019416882805012192,0.01883149596303646,0.01849288815353356,0.017148024205271506,0.01654743134216119,0.01625647091610316,0.016071279513637737,0.015970183754598133,0.015913662349854918,0.01719161143838932,0.018293880389308792,0.019691616748687912,0.02061351192815042,0.021813601095123647,0.024309304149312094,0.026302558648905627,0.02808075400169674,0.030423077705231893,0.031919384870216616,0.03396383744390463,0.035691120232421936,0.037001482806094055,0.03972807089566288,0.03862234189923619,0.04051753679887449,0.04184473166788494,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185
ANT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ARE,0.05567138466737154,0.056841606611227835,0.05822064629903778,0.05332793867746355,0.05169184823255091,0.053288614532475465,0.0631442993912269,0.0636742636873665,0.05151140389396147,0.055600487693404754,0.04306021726698317,0.04270662421478055,0.047179656904094425,0.037939023036693165,0.03371513267868809,0.031983145940958524,0.029771520613940394,0.027349804487185936,0.024523534704915195,0.023918267610076316,0.02230539323654812,0.020345419097485995,0.018439771813119177,0.01798882671637514,0.014662332977985693,0.014114115964671825,0.014006057327248467,0.01451072417756516,0.014151187041523183,0.013881066645987317,0.013500830365177796,0.013009422894470601,0.012464519279064556,0.011888128117204744,0.011299350252202967,0.010714202153418673,0.010145284358479945,0.009604580992981004,0.00910272959106162,0.00864800011872513,0.008246913831305602,0.00788534485671255,0.007546228652470122,0.007230407689162388,0.006938345151645486,0.006670240924976256,0.006420792883584325,0.0061862331328288445,0.005968527000987933,0.0057692484470466265,0.005589671282940301,0.005427838953683928,0.0052810692937256265,0.005149435640773636,0.005033045216872201,0.004932083068674542,0.004844189248377706,0.004765852838676143,0.004695684648537868,0.004632388829013734,0.004574762493913864
ARG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.51391009342683e-07,1.1102230246251565e-16,0.0,0.0,0.0,0.0,2.220446049250313e-16,1.1102230246251565e-16,0.0,2.1785054282741356e-07,2.1547410011812929e-07,2.1333852184834967e-07,0.0,2.0981572523837144e-07,0.0,1.1102230246251565e-16,1.1102230246251565e-16,2.053760046472064e-07,0.0,2.0373760722947054e-07,0.0,0.0,0.0,2.0104567866052747e-07,0.0
ARM,0.053348154267815806,0.0576858680477873,0.0456822576894107,0.08469111329447843,0.08418055229448484,0.08143961909995634,0.11237708613674369,0.11348595031502517,0.12747142938933154,0.17026905978634965,0.223140875612717,0.2229509471645189,0.2466971353009706,0.22929950012077127,0.2282044301621905,0.2013958399659852,0.22165583230086983,0.19949456295444434,0.18110964946252361,0.19490316704555422,0.1861172905916605,0.17409700151789798,0.1709839993871033,0.18694114448813737,0.18689102297057336,0.18171620643774156,0.20229163375242387,0.18392001362644406,0.18608819155614487,0.1868387640886271,0.18749185630927612,0.18808374673290362,0.18866121141463765,0.18923002807189127,0.1897919994692796,0.19034843412986757,0.19088679528431018,0.19138711815256448,0.1918388115036901,0.1922314805947991,0.19255551181582586,0.19283617213995952,0.19310944259709883,0.19338074328891341,0.19365531711550232,0.19393614920522673,0.1942182686749433,0.19449686963423607,0.19477686712969933,0.19506240532169894,0.19535708329595225,0.19565081388247185,0.19593522895332693,0.19621404593824188,0.19649120156113298,0.1967693039852444,0.197044165581031,0.19730856535475638,0.19756076233848208,0.19779946523633407,0.19802332573705017
