cat,IPCM0EL
clss,NOTCOV
ent,KYOTOGHG
gwp,AR4
note,"Share of emissions not covered by an (I)NDC, based on per-country, per-main-sector and per-kyoto-GHG information from countries' (I)NDCs and their corresponding HISTCR_PRIMAPHIST21 emissions (1990 to 2017). Future values were calculated using methods stated in info_per_country."
scen,PMH21SSP5BLREMMPFILLED
srce,CORR
tablename,KYOTOGHGAR4_IPCM0EL_NOTCOV_PC_PMH21SSP5BLREMMPFILLED_CORR
tpe,PC
unit,MtCO2eq/MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABW,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,2.775226111584317e-06,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,0.0,0.0,1.2994691667156388e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.734600899229505e-07,0.0
AGO,1.7750798608773266e-09,6.478083403038681e-09,1.4802396863800027e-08,3.234149825726007e-08,8.15019034483555e-08,1.6889395915153926e-07,7.750043842236209e-07,1.7491866847185733e-06,3.080254153520201e-06,5.0343086952509e-06,1.0557101012609316e-05,2.803052903932457e-05,5.941364523520676e-05,9.222731420266417e-05,0.00013800699236210523,0.0002548759508490539,0.00026431457321807184,0.0002931052675345658,0.00034166613467023765,0.00036492636133977907,0.00037054748746601085,0.0003672038109321374,0.000391417341447986,0.0004369493541803715,0.00046688298636987646,0.00048072332548054764,0.0005071910990048778,0.0005381420035396323,0.0006411940752345524,0.0007721500140965842,0.0009163222484113165,0.0010709900608537604,0.0012374549066150875,0.0014170115162023267,0.0016113116219513834,0.0018208868424692826,0.0020477058227008627,0.0022966410500195877,0.002567088103260562,0.002861995348234392,0.003184346955073858,0.003540638739290669,0.00393579127291499,0.00436918160160471,0.004839161702035355,0.005343068438611542,0.0058818185656653865,0.00645669420538364,0.007064895901949697,0.007705465823755087,0.008376186726706703,0.009083922777809672,0.009835409088391311,0.010628427536905405,0.011463164307550344,0.012338714497976189,0.013255867565656443,0.014216531570030222,0.015219321837056876,0.016264403913174852,0.017350671088930958
AIA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ALB,0.43447138922212514,0.315171762014981,0.42547934952979416,0.44939022445354226,0.45674803923148743,0.4613603601308587,0.48042729412626084,0.4686183119256848,0.4283210273106475,0.4171763991842906,0.5444052673115951,0.50661300598907,0.5024895159092817,0.4885616280656381,0.47715886104649496,0.4768792260321546,0.4840322499735348,0.4570713147571841,0.44022969078696306,0.4253445498063052,0.41335835033521184,0.38498841751167645,0.4041501173590054,0.4012918913162349,0.3766685910183952,0.4028958817619501,0.3978393286990486,0.3924925916077959,0.38431422035225515,0.38435680624780155,0.3840040767932229,0.3829544114988367,0.3810900955678227,0.3785903477040531,0.37563493361277944,0.37238761244865703,0.3689112009196116,0.365279026092343,0.3616359768057862,0.35810110788999794,0.3547726254177185,0.3515205425648623,0.34821932342846673,0.34493788186975716,0.34172847668327,0.33863244453738317,0.3356397098798656,0.3327361685843926,0.3299452401829813,0.3272840865912443,0.324764746170795,0.3223523445193466,0.32002175825995927,0.3177898166915163,0.31566938344318096,0.3136708535005346,0.3117838219132347,0.3099929282454653,0.30829551286482415,0.30668915525213436,0.3051710351942889
AND,0.020062169966127974,0.02018957678637001,0.019416882805012192,0.01883149596303646,0.01849288815353356,0.017148024205271506,0.01654743134216119,0.01625647091610316,0.016071279513637737,0.015970183754598133,0.015913662349854918,0.01719161143838932,0.018293880389308792,0.019691616748687912,0.02061351192815042,0.021813601095123647,0.024309304149312094,0.026302558648905627,0.02808075400169674,0.030423077705231893,0.031919384870216616,0.03396383744390463,0.035691120232421936,0.037001482806094055,0.03972807089566288,0.03862234189923619,0.04051753679887449,0.04184473166788494,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185,0.03866243030844185
ANT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ARE,0.05567138466737154,0.056841606611227835,0.05822064629903778,0.05332793867746355,0.05169184823255091,0.053288614532475465,0.0631442993912269,0.0636742636873665,0.05151140389396147,0.055600487693404754,0.04306021726698317,0.04270662421478055,0.047179656904094425,0.037939023036693165,0.03371513267868809,0.031983145940958524,0.029771520613940394,0.027349804487185936,0.024523534704915195,0.023918267610076316,0.02230539323654812,0.020345419097485995,0.018439771813119177,0.01798882671637514,0.014662332977985693,0.014114115964671825,0.014006057327248467,0.01451072417756516,0.0135617751149123,0.012742481453419607,0.011970986935462835,0.011256652292621183,0.010625817781387048,0.010057299375642148,0.009534186715963622,0.009042854053218363,0.008580132209286662,0.008142351923009716,0.007719098062890395,0.007302296084931603,0.0068859609615892214,0.006473828636995638,0.006070128419150778,0.005672617389239076,0.005280719285856272,0.004895008198682382,0.004524032026111957,0.004175588317780199,0.0038498204413661696,0.003547015641525708,0.0032675595424305204,0.0030057943255351605,0.002755568131025843,0.002516822971011856,0.0022897587192238777,0.0020747416126218887,0.0018756647525186576,0.001694051510834127,0.0015271998606831705,0.0013728686937263257,0.0012291656973005827
ARG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.428061987025387e-07,2.3509072255567531e-07,0.0,2.220446049250313e-16,0.0,0.0,0.0,2.0127207978060113e-07,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.729778199566212e-07,0.0,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.7526622053676277e-07
ARM,0.053348154267815806,0.0576858680477873,0.0456822576894107,0.08469111329447843,0.08418055229448484,0.08143961909995634,0.11237708613674369,0.11348595031502517,0.12747142938933154,0.17026905978634965,0.223140875612717,0.2229509471645189,0.2466971353009706,0.22929950012077127,0.2282044301621905,0.2013958399659852,0.22165583230086983,0.19949456295444434,0.18110964946252361,0.19490316704555422,0.1861172905916605,0.17409700151789798,0.1709839993871033,0.18694114448813737,0.18689102297057336,0.18171620643774156,0.20229163375242387,0.18392001362644406,0.187567724029311,0.18872835503636542,0.189822589912506,0.19084293739046265,0.1917772391944078,0.1926508562914927,0.19348394416531778,0.19429166316351787,0.1950774718227648,0.1958431359485031,0.1965969341637448,0.1973439188102757,0.1980871274716296,0.19883603858326127,0.1995881273729334,0.20032873511214122,0.20104460724269824,0.20172481002465026,0.20235787174629205,0.2029406920549166,0.2034752180695203,0.20396290814085527,0.20440436134271023,0.20481223813686755,0.20519900050573747,0.20556475030398247,0.2059089747618269,0.20623092485322247,0.2065260762200104,0.20679219509263302,0.20703175252062567,0.20724675858297548,0.20743882824802606
