cat,IPC2
clss,TOTAL
ent,CH4
family,emi
gwp,AR4
note,Read in by JG and RG
scen,HISTORY
srce,UNFCCC2019BI
tablename,CH4_IPC2_TOTAL_NET_HISTORY_UNFCCC2019BI
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ARG,0.023737,nan,nan,nan,0.026327,nan,nan,0.032405,nan,nan,0.032136,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.056798,nan,0.055845000000000006,nan,nan,nan,nan
AZE,nan,0.00475,0.001,0.001,0.0005,0.00075,0.00175,0.001,0.00075,0.0015,nan,0.001,0.00225,0.0015,0.00175,nan,nan,nan,nan,nan,nan,nan,nan,0.0058875,nan,nan,nan
BRA,1.1775,1.0525,0.99,1.075,1.105,1.0275,0.9475,0.955,0.9,1.0,1.0925,1.0,1.035,1.195,1.3875,1.3725,1.41,1.4575,1.41,0.98,1.1325,1.18,1.1,1.04,1.025,1.0175,nan
CHL,0.055,nan,nan,nan,0.055,nan,nan,nan,nan,nan,0.17,nan,nan,nan,nan,nan,0.16029000000000002,nan,nan,nan,0.0575,nan,nan,0.02,nan,nan,0.0225
COL,0.0050003,nan,nan,nan,0.009750499999999999,nan,nan,nan,nan,nan,0.02225,nan,nan,nan,0.02175,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
IDN,0.0115,0.01075,0.008,0.0115,0.01275,nan,nan,nan,nan,nan,2.611,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
IND,nan,nan,nan,nan,0.05,nan,nan,nan,nan,nan,0.13475,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5745,nan,nan,nan,nan,nan,nan
ISR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.005,nan,nan,0.0051348999999999995,0.0040356,0.0043943,0.0032775,0.00506,0.005343100000000001,0.0055846,0.0049896,0.005981800000000001,0.0057216,0.0047507,0.0052911,0.005335899999999999,nan
KOR,0.13275,0.185,0.26275,0.293,0.31325,0.32175,0.36475,0.4455,0.465,0.49425,0.5165,0.495,0.5385,0.5355,0.5495,0.5605,0.5835,0.612,0.59325,0.59875,0.6135,0.6155,0.64575,0.63925,0.67075,nan,nan
MEX,0.097048,0.086607,0.08981,0.07753600000000001,0.08325,0.08988099999999999,0.091583,0.089679,0.08975,0.08592899999999999,0.087262,0.074893,0.072857,0.07544,0.08014299999999999,0.07744,0.079345,0.07813099999999999,0.077488,0.076714,0.076679,0.09125,0.082512,0.059583000000000004,nan,nan,nan
MYS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.10325,0.099702,0.1335,0.080321,0.09102400000000001,0.11642999999999999,0.11675,0.11473,0.11725,0.13308,0.14145,0.128,nan,nan,nan,nan,nan
SAU,0.23973000000000003,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2795,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8925,nan,0.9135,nan,nan,nan,nan
TKM,nan,nan,nan,nan,0.0017324999999999999,nan,nan,nan,nan,nan,0.000425,nan,nan,nan,0.0005775,nan,nan,nan,nan,nan,0.00017250000000000002,nan,nan,nan,nan,nan,nan
UZB,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.381e-05,0.00011905,0.00013095,0.00019048,0.0017262,0.0027857,0.0031666999999999997,0.0034881,0.0037619,0.0034167,0.0034643,0.0035238,0.0036905,0.0035238,nan,nan,nan,nan
