cat,IPCMAG
clss,TOTAL
ent,CH4
family,emi
gwp,AR4
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP | built by Johannes Guetschow
scen,HISTCR
srce,PRIMAPHIST21
tablename,CH4_IPCMAG_TOTAL_NET_HISTCR_PRIMAPHIST21
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0.0010425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,5.3713,5.6136,5.6782,5.7226,5.9346,6.2558,7.0391,7.7103,8.2194,8.988,7.7121,6.422000000000001,8.2119,8.5032,8.3527,8.5026,8.6508,8.7982,9.8253,9.9944,11.5439,11.535,11.3827,11.2882,11.4763,10.875,10.6567,10.362
AGO,15.8125,15.8634,15.9229,15.8494,15.8762,15.7809,13.6806,13.5552,14.9836,13.9523,14.3934,15.573,16.7017,18.7232,18.617,18.8275,17.1293,18.7433,17.6882,17.735,18.5319,19.0634,18.197,18.8106,18.0621,18.8991,18.7993,18.5232
ALB,1.0385,1.0008,0.94425,1.028,1.1112,1.1947,1.278,1.278,1.3052,1.3885,1.8445,1.7942,1.7395,1.7530000000000001,1.7395,1.6665,1.633,1.524,1.4303,1.3425,1.3502,1.3387,1.3637,1.3691,1.3852,1.393,1.3861,1.3539
AND,0.0042839,0.004314,0.0042412,0.0041473,0.0041225,0.0039817,0.0040258,0.0039965,0.0038863,0.0039055,0.003958,0.0041895000000000005,0.0044252,0.0045994,0.0048938,0.0051378,0.0052766,0.0054123999999999995,0.005520399999999999,0.005538800000000001,0.005469699999999999,0.0054223,0.005461100000000001,0.005433299999999999,0.005539100000000001,0.0053159,0.0054123,0.0053225
ANT,0.0049225,0.00477,0.004645000000000001,0.004405,0.004145,0.00415,0.00418,0.0042025,0.00445,0.0041600000000000005,0.0043375,0.0044675,0.0048325,0.004675,0.00494,0.00491,0.00492,0.0050425,0.005104999999999999,0.00511,0.00514,0.005145,0.0052225,0.005235,0.0052525,0.005235,0.0052525,0.00527
ARE,0.92176,0.98603,1.054,1.1276,1.21,1.3286,1.4567,1.5853,1.7312,1.8831,2.0,1.9508,1.9066,1.8672,1.7593,1.875,1.7792,1.6885,1.6054,1.7082,1.3098,1.1782,1.0664,1.0478,0.98701,1.0203,1.0337,1.0509
ARG,74.7726,75.5993,76.5884,77.6287,78.4506,76.7235,75.9575,74.0199,73.0531,72.8952,77.7622,79.78399999999999,83.6688,88.7207,90.8534,91.427,93.1468,93.615,90.2021,86.3285,61.2912,62.5371,65.6151,67.4003,68.3929,68.0209,69.8491,70.9231
ARM,1.1099,1.1035,0.99316,0.89733,0.89896,0.9028799999999999,0.9192100000000001,0.93563,0.87328,0.9055,0.9378,0.97155,1.0138,1.0552,1.1079,1.1138,1.1476,1.2085,1.2248,1.1346,1.1066,1.1095,1.1673,1.2883,1.3255,1.3495,1.38,1.2896
ATG,0.029388,0.03077,0.030777999999999996,0.031145,0.031602,0.03171,0.02995,0.029715,0.029363,0.029994999999999997,0.029613,0.030456999999999998,0.030935,0.031372000000000004,0.032010000000000004,0.032012,0.032148,0.031285,0.031207,0.031032999999999998,0.015018,0.015142,0.015142,0.015094999999999999,0.015137000000000001,0.014794999999999999,0.015105,0.01514
AUS,67.3992,66.8509,64.6844,62.7313,62.3914,60.0014,61.1011,61.497,61.2938,60.8479,62.9147,61.8355,61.4806,58.0225,59.6625,60.49,59.0524,57.0223,54.6793,54.3236,52.0216,55.2626,56.1799,56.5126,55.9785,53.8319,52.7979,54.7652
AUT,5.3659,5.2922,5.0711,5.0788,5.0705,5.1519,5.0667,4.9781,4.9423,4.8869,4.8514,4.7873,4.6876,4.6352,4.63,4.5753,4.5721,4.6041,4.6032,4.675,4.6748,4.6252,4.6044,4.6221,4.6534,4.6579,4.6849,4.7079
AZE,3.2287,3.2118,3.0858,3.128,2.8615,2.9245,3.0788,3.2127,3.3438,3.4398,3.6115,3.7792,3.9457,4.0737,4.207,4.3065,4.542,4.665,4.94,4.8483,4.8888,4.7745,4.645,4.8631,4.8921,4.9086,4.8587,4.8013
BDI,0.59664,0.60607,0.61082,0.59172,0.5350199999999999,0.54789,0.5395,0.55996,0.4984,0.49988,0.51079,0.53678,0.51423,0.53304,0.56295,0.59291,0.64336,0.6813,0.73751,0.8125600000000001,0.91102,0.9919899999999999,0.9935799999999999,1.1902,1.1503,1.1461,0.9780200000000001,0.8698299999999999
BEL,6.7156,6.6504,6.6145,6.7064,6.6923,6.769,6.7015,6.6297,6.6188,6.6391,6.374,6.354,6.1621,5.9563,5.9112,5.8356,5.8012,5.8982,5.8542,5.8858,5.912999999999999,5.847,5.7801,5.7506,5.8281,5.8535,5.8853,5.847
BEN,1.9242,2.0007,2.0288,2.0293,2.1868,2.0041,2.1863,2.2856,2.4404,2.3334,2.6308,2.4913,2.88,2.6965,2.5380000000000003,3.07,2.79,2.9229,2.7239,2.8054,2.8713,2.9875,2.9367,3.0408,2.9819,3.0044,3.2939,3.4651
BFA,6.0612,6.2556,6.4251,6.5501,6.7224,6.941,7.1028,7.3885,7.4414,7.5852,8.1415,8.08,8.5647,10.2265,10.5593,10.978,10.6187,10.975999999999999,11.1732,11.6689,12.3074,12.3938,12.3978,12.6612,12.872,13.0261,13.7413,14.273
BGD,28.3372,28.1268,28.2174,27.9614,28.1931,28.2108,27.818,27.7772,27.2258,27.8089,27.7927,27.6178,28.4984,29.180999999999997,29.4285,30.3923,30.7958,31.0905,32.0269,32.4073,32.88,33.1858,33.3612,33.5024,33.6594,33.7424,33.4558,34.1782
BGR,5.6446,5.3449,4.8369,3.9596,3.1095,2.6488,2.5233,2.4372,2.3506,2.3898,2.2997,2.0177,2.0909,2.1915,2.165,2.0731,2.0419,1.9582,1.9207,1.8223,1.8303,1.8178,1.7516,1.7919,1.814,1.7881,1.7752,1.7541
BHR,0.019915000000000002,0.019268,0.019453,0.019008,0.018393,0.017033,0.01845,0.018568,0.018945,0.019825,0.01895,0.018158,0.024128,0.02103,0.019613,0.019365,0.019497999999999998,0.019303,0.016663,0.017105000000000002,0.019747999999999998,0.019753,0.019855,0.02027,0.02027,0.019622999999999998,0.01935,0.019615
BHS,0.009422499999999999,0.00903,0.009122499999999999,0.008870000000000001,0.0086275,0.0094725,0.010665000000000001,0.010323,0.01261,0.013333000000000001,0.009855,0.00896,0.0077125,0.0061725,0.01217,0.0091825,0.008565000000000001,0.009134999999999999,0.014519999999999998,0.0098025,0.006877500000000001,0.010855,0.007359999999999999,0.010905,0.0069299999999999995,0.007722499999999999,0.0080525,0.0096175
BIH,2.1968,2.0938,2.0414,1.9299,1.7813,1.4485,1.2034,1.4387,1.4745,1.5086,1.5448,1.4636,1.3632,1.4386,1.4676,1.4694,1.56,1.4380000000000002,1.3661,1.3314,1.2859,1.2184,1.1478,1.1148,1.0881,1.1061,1.0965,1.0723
