cat,IPCMLULUCF
clss,TOTAL
ent,CH4
family,emi
gwp,AR4
note,Renamed as composite source from CH4_IPCMLULUCF_TOTAL_NET_HISTORY_CRF2019! | Renamed as composite source from CH4_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC1! | Renamed as composite source from CH4_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC2! | Add the countries {COL.IDN.MDA.ZAF} from CH4_IPCMLULUCF_TOTAL_NET_HISTORY_BUR2IPCC2006I || Renamed as composite source from CH4_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC3! | Renamed as composite source from CH4_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC4! | Add the countries {ARG.BOL.BRA.CAF.CHL.CRI.CUB.DOM.GEO.GHA.GTM.GUY.IND.KEN.KGZ.KOR.LBN.MDG.MEX.MKD.MLI.NER.PER.TGO.VCT.VNM} from CH4_IPCMLULUCF_TOTAL_NET_HISTORY_UNFCCC2019BI || Renamed as composite source from CH4_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC5! | Add the countries {AFG.AGO.ALB.ARM.AZE.BDI.BEN.BFA.BGD.BHS.BIH.BLZ.BRN.BTN.BWA.CHN.CIV.CMR.COD.COG.COM.DZA.ECU.EGY.ERI.ETH.FJI.GAB.GIN.GMB.GNB.GNQ.GRD.HKG.HND.HTI.IRN.IRQ.ISR.JAM.KHM.LAO.LBR.LKA.LSO.LUX.MAR.MMR.MNE.MNG.MOZ.MRT.MUS.MWI.MYS.NAM.NGA.NIC.NPL.PAK.PAN.PHL.PNG.PRK.PRY.RWA.SDN.SEN.SGP.SLB.SLE.SLV.SOM.SRB.SSD.SUR.SWZ.SYR.TCA.TCD.THA.TJK.TKM.TLS.TTO.TUN.TWN.TZA.UGA.URY.UZB.VEN.VUT.WSM.ZMB.ZWE} from CH4_IPCMLULUCF_TOTAL_NET_HISTORY_FAO2019BIPMH || Renamed as composite source from CH4_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC6! | Add the countries {LBY.LIE.MCO.SMR.VAT} from CH4_IPCMLULUCF_TOTAL_NET_HISTORY_EDGAR42COMPI ||  | built by Johannes Guetschow
scen,HISTCR
srce,PRIMAPHIST21
tablename,CH4_IPCMLULUCF_TOTAL_NET_HISTCR_PRIMAPHIST21
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AFG,1.4999999999999999e-05,1.4999999999999999e-05,1.4999999999999999e-05,1.4999999999999999e-05,1.4999999999999999e-05,1.4999999999999999e-05,0.00011750000000000001,7e-05,0.00018999999999999998,5.25e-05,0.00041749999999999996,0.0,0.0,0.0,0.0,0.0,0.00012749999999999998,0.0,0.0,0.00012749999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0714e-06
AGO,17.6902,17.6902,17.6902,17.6902,17.6902,17.6902,26.7192,24.5331,29.7576,27.3603,24.4905,16.2108,17.5767,18.8255,21.5727,21.2018,14.8516,20.2955,14.7601,15.782,15.7674,23.3872,16.012,18.9427,14.7581,19.5702,13.5293,16.1803
ALB,0.013655,0.013655,0.013655,0.013655,0.013655,0.013655,0.0083575,0.01994,0.010153,0.00826,0.046163,0.00409,0.0,0.005985,0.0,0.00038250000000000003,0.0002575,0.13317,0.003165,0.0034325000000000002,0.0010425,0.034960000000000005,0.06266000000000001,0.0006349999999999999,0.0,0.00604,0.001145,0.016802
ARG,0.61431,0.6282,0.6421,0.65599,0.66988,0.91904,1.1682,1.4174,1.1766,0.9357700000000001,0.69498,1.3718,2.0485,2.7253,3.4021,4.0789,4.7556,5.4324,6.1092,6.7860000000000005,7.4627,6.5626,5.6625,6.3729,3.5398,3.1301,4.9501,5.9805
ARM,0.0012547,0.0012547,0.0014375,0.0014375,0.0014375,0.0014375,0.0001525,0.00016,0.0014625,0.0001575,0.0,0.0022875,0.00012749999999999998,0.00012749999999999998,0.0007625,0.00038250000000000003,0.0033049999999999998,0.0006349999999999999,0.0005075,0.0,0.011184999999999999,0.0,0.0017800000000000001,0.0008900000000000001,0.0,0.0007625,0.00025499999999999996,0.0016028
AUS,14.7572,13.9487,12.5814,12.054,11.6682,11.8194,12.2279,12.2604,12.3979,12.9299,14.1669,13.6616,13.8561,13.718,12.8631,12.9906,14.045,14.4734,13.7587,13.552,13.2934,13.1155,12.0934,12.1418,12.3855,11.7429,11.5604,11.9303
AUT,0.024252000000000003,0.02391,0.024094,0.024047,0.023922,0.023861,0.023854,0.023833,0.024003,0.023805,0.023884,0.023843,0.024233,0.024213,0.023826,0.023859,0.023959,0.023873,0.023903,0.023916999999999997,0.023901,0.023888999999999997,0.023915000000000002,0.023997,0.023918000000000002,0.024109000000000002,0.023832,0.023871
AZE,0.004894600000000001,0.004894600000000001,0.00551,0.00551,0.00551,0.00551,0.000985,0.001175,0.008935,0.00123,0.015819999999999997,0.016778,0.013218,0.00216,0.0007625,0.0034325000000000002,0.00483,0.0031774999999999998,0.001755,0.00483,0.013728,0.002415,0.0029225,0.00305,0.00521,0.0067125,0.0031774999999999998,0.0042577
BDI,0.43165,0.43165,0.43165,0.43165,0.43165,0.43165,0.30515,0.33359,0.38287,0.33363000000000004,0.3732,0.47408999999999996,0.70244,0.76389,0.57058,0.40210999999999997,0.37951999999999997,0.25754,0.40253,0.45225,0.43462,0.36833,0.31375,0.3818,0.28920999999999997,0.28351,0.43018999999999996,0.25111
BEL,0.00057141,0.00057547,0.00048805,0.00056867,0.00047345,3.1151999999999996e-05,0.027224,0.00028721,0.00043650000000000004,8.778e-05,2.233e-06,2.7925e-05,0.00026181,0.00016072,8.0783e-05,8.4565e-07,3.4168e-06,3.9343e-05,0.0022207,0.0044021,0.006583499999999999,0.0087649,0.0,0.0,0.000655,0.0,0.00038250000000000003,0.0022719000000000003
