cat,CATM1
clss,TOTAL
ent,CO2
family,emi
gwp,AR4
note,Read in by LJ. released 3 March 1017. downloaded: 29 May 2017 | calculated the values for ANT from {BES.CUW.SXM}
scen,HISTORY
srce,CDIAC2017P
tablename,CO2_CATM1_TOTAL_NET_HISTORY_CDIAC2017P
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
ABW,0.12833,0.17600000000000002,0.18333,0.19067,0.19434,0.198,0.20534000000000002,0.209,0.21634,0.22366999999999998,0.231,0.23834,0.24934,0.253,0.25667,0.264,0.264,0.27134,0.275,0.28234000000000004,0.27134,0.275,0.28967,0.29334,0.29334
AFG,0.018334,0.018334,0.018334,0.018334,0.014667,0.014667,0.014667,0.014667,0.014667,0.014667,0.014667,0.014667,0.014667,0.025667000000000002,0.0,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033
AGO,2.1854,2.1964,0.81034,0.9203399999999999,1.3163,1.188,1.0377,1.045,0.6673399999999999,1.1733,1.4080000000000001,1.5253,1.3090000000000002,0.46934,1.287,0.9020100000000001,0.29334,0.39234,1.3090000000000002,1.1843,1.177,1.1513,1.7233,1.3713,1.8664
ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11367000000000001,0.12467,0.13567,0.13567,0.14667,0.15033,0.17967,0.13932999999999998,0.062334,0.025667000000000002,0.025667000000000002,0.025667000000000002,0.025667000000000002,0.025667000000000002,0.088001,0.084334
ANT,5.3754,5.5477,5.5477,5.5037,5.5551,5.5771,5.5954,5.6211,5.6541,5.7604,5.5844,5.6174,5.6357,5.5991,5.6577,5.7421,7.3004,7.5864,7.7257,7.4251,7.5571,7.6487,6.5781,6.6514,6.7504
ARE,0.9093399999999999,0.94234,0.94234,0.94234,1.0047,1.5033,36.2453,36.9237,36.7257,34.6063,33.422,31.2256,29.9569,39.900999999999996,45.0527,45.7237,50.0871,56.1372,58.8395,59.2172,67.7899,68.615,70.914,77.954,63.4962
ARG,2.3027,1.5033,1.5217,1.2173,1.2247,1.5033,1.815,2.0094,1.7197,1.8774,1.5877,1.7857,3.7364,3.773,3.8939999999999997,3.8794,3.1534,4.565,4.697,4.7447,5.6541,6.4974,7.5827,8.2611,7.6231
ARM,0.0,0.0,0.46934,0.20534000000000002,0.15033,0.10633,0.058667,0.062334,0.066001,0.066001,0.19067,0.18333,0.16133,0.080667,0.11732999999999999,0.13932999999999998,0.121,0.18333,0.17600000000000002,0.091667,0.13567,0.13932999999999998,0.14667,0.14300000000000002,0.12467
ATA,0.20167000000000002,0.20534000000000002,0.20534000000000002,0.20534000000000002,0.20534000000000002,0.22366999999999998,0.22366999999999998,0.22366999999999998,0.22366999999999998,0.22366999999999998,0.22734000000000001,0.231,0.231,0.231,0.231,0.231,0.231,0.231,nan,nan,nan,nan,nan,nan,nan
ATG,0.11367000000000001,0.11732999999999999,0.11732999999999999,0.12467,0.13932999999999998,0.13932999999999998,0.13932999999999998,0.14300000000000002,0.14300000000000002,0.14667,0.15033,0.14667,0.16133,0.15767,0.16133,0.16133,0.16133,0.165,0.16867000000000001,0.17232999999999998,0.14300000000000002,0.15033,0.154,0.154,0.16133
