cat,IPC2
clss,TOTAL
ent,CO2
family,emi
gwp,AR4
note,calculated by the function combine_tables by Julia_dot_Nabel_at_pik_minus_potsdam_dot_de
scen,HISTORY
srce,UNFCCC2019BI
tablename,CO2_IPC2_TOTAL_NET_HISTORY_UNFCCC2019BI
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ALB,0.19871,0.35466,0.23046999999999998,0.25773,0.28446,0.3018,0.24841999999999997,0.1571,0.14205,0.15035,0.52,0.852,0.8059999999999999,0.966,1.043,1.1179999999999999,1.195,1.47,1.547,1.6231,nan,nan,nan,nan,nan,nan,nan
ARE,nan,nan,nan,nan,3.443,nan,nan,nan,nan,nan,6.466,nan,nan,nan,nan,8.629,nan,nan,nan,nan,nan,nan,nan,nan,22.6759,nan,nan
ARG,6.7659,nan,nan,nan,7.3126,nan,nan,9.2181,nan,nan,9.6119,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.4215,nan,14.7132,nan,nan,nan,nan
ARM,0.6303300000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.11968,nan,nan,nan,nan,nan,0.32378,nan,nan,nan,0.22596,nan,nan,nan,nan,nan,nan
AZE,1.1427,1.0927,1.0462,0.66925,0.30041999999999996,0.1061,0.11102999999999999,0.14795,0.09785,0.08332,0.12124000000000001,0.26000999999999996,0.45861999999999997,0.57367,0.8279799999999999,1.1755,1.3076,1.5306,1.1883,0.8471,1.0778,1.5369,1.9948,1.2936,nan,nan,nan
BGD,nan,nan,nan,nan,1.2815,nan,nan,nan,nan,nan,nan,2.9158,nan,nan,nan,2.9127,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
BIH,3.3393,2.4998,0.04204,nan,nan,0.02106,0.08897999999999999,0.19061,0.30727,0.39449,0.45565,0.59663,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.9980000000000002,2.188,nan,nan
BOL,0.31396999999999997,nan,nan,nan,0.4635,nan,nan,nan,0.6540199999999999,nan,0.60748,nan,0.5949,nan,0.75149,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
BRA,43.551,49.037,47.44,50.583999999999996,51.277,54.373000000000005,57.766999999999996,60.268,61.49,60.214,64.314,61.836000000000006,64.282,64.956,67.118,65.75,65.238,71.166,73.49,64.844,80.786,87.398,87.87,88.089,86.822,84.212,nan
CHL,2.884,nan,nan,nan,3.8537,nan,nan,nan,nan,nan,5.3834,nan,nan,nan,nan,nan,4.9026,nan,nan,nan,3.6886,nan,nan,3.4797,nan,nan,3.3225
