cat,IPCM0EL
clss,TOTAL
ent,CO2
family,emi
gwp,AR4
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP | built by Johannes Guetschow
scen,HISTCR
srce,PRIMAPHIST21
tablename,CO2_IPCM0EL_TOTAL_NET_HISTCR_PRIMAPHIST21
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,1.6754,1.7209,1.5029,1.6372,1.6577,1.7145,1.7378,1.7937,1.8457,1.8574,2.4301,2.4602,2.4904,2.6161,2.6719,2.7753,2.7722,2.8795,2.7152,2.6865,2.5661,2.5597,1.4091,0.92225,0.93401,0.95325,0.97988,0.97567
AFG,2.8506,2.6443,1.5968,1.5308,1.4078,1.3614,1.2927,1.2081,1.1520000000000001,0.9346700000000001,0.93391,0.9960600000000001,1.2504,1.3794,1.1289,1.5077,1.8248,2.4326,4.3642,6.9335,8.6362,12.4108,10.9863,10.2124,11.1601,11.6575,13.2302,13.6396
AGO,5.1349,5.1104,5.2102,5.7953,3.9124,11.0016,10.479000000000001,7.4008,7.3235,9.1862,9.573,9.7305,12.6602,9.0498,18.7722,19.0783,22.1783,25.0558,25.5676,27.649,28.9496,30.2286,33.2731,32.4605,34.5514,36.6726,38.0338,38.836
AIA,0.051802,0.051802,0.055501999999999996,0.066602,0.066602,0.066602,0.070302,0.070302,0.077703,0.081403,0.08880299999999999,0.096203,0.096203,0.10347,0.12165999999999999,0.12902,0.14368,0.15100999999999998,0.15095,0.14703,0.15069000000000002,0.14336,0.14336,0.13602,0.14332,0.14631,0.15050999999999998,0.14966
ALB,3.9514,5.5741,3.3560000000000003,3.2693,3.5228,3.4595,3.3593,3.4731,4.2139999999999995,4.5359,3.2125,3.6697,3.8748,4.1228,4.3882,4.2662,4.18,4.5196,4.6033,5.0085,5.2591,5.961,5.5644,5.7283,6.4718,5.9312,6.1617,6.2572
AND,0.43186,0.4392,0.44747,0.45738999999999996,0.46125,0.48835,0.51812,0.52964,0.5566399999999999,0.57936,0.59143,0.5917100000000001,0.5985699999999999,0.6004,0.62668,0.64161,0.61141,0.6069,0.60469,0.58275,0.5865,0.55581,0.55025,0.54378,0.5301899999999999,0.53157,0.53817,0.541
ANT,5.4774,4.4089,3.64,5.5986,5.3660000000000005,5.3111,4.9745,5.2029,0.37134,2.2059,5.7056,5.8089,5.6038,5.608,5.8811,5.8315,6.0758,6.8299,6.5749,6.7238,4.6643,5.9219,7.1101,6.3573,7.044,7.1919,7.3986,7.3601
ARE,46.4314,50.8296,51.8366,58.5302,64.5729,63.5289,53.2963,55.2624,76.0988,74.2037,105.3716,101.1926,89.7982,117.2766,130.1735,139.4931,142.0681,149.8433,168.4951,173.5612,161.3364,161.7895,167.5222,160.4818,190.87099999999998,205.5124,212.6015,208.4461
ARG,111.4888,118.959,122.7467,123.1349,128.9349,124.2789,134.3393,138.464,142.9959,144.2806,148.5934,137.9574,131.7326,139.8665,152.7073,160.3816,170.8908,184.2527,187.9495,181.513,189.5523,199.0266,198.4083,203.1436,203.3095,206.1787,205.9359,204.3052
ARM,21.8219,20.3702,25.2376,10.088,9.9368,11.0158,7.5614,7.852,6.6048,4.6796,3.3413,3.3991,2.9985,3.362,3.6236,4.293,4.3433,5.1427,5.7591,4.6792,4.6662,5.4504,6.2958,6.0609,6.096,6.7028,6.7019,6.5722
