cat,IPCMLULUCF
clss,TOTAL
ent,CO2
family,emi
gwp,AR4
note,emissions/removalsRenamed as composite source from CO2_IPCMLULUCF_TOTAL_NET_HISTORY_CRF2018! | Renamed as composite source from CO2_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC1! | Add the countries {AND.ARG.MKD.NAM.ZAF} from CO2_IPCMLULUCF_TOTAL_NET_HISTORY_BUR2IPCC2006I || Renamed as composite source from CO2_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC2! | Add the countries {IDN.MNG.MRT.TGO} from CO2_IPCMLULUCF_TOTAL_NET_HISTORY_BUR1IPCC2006I || Renamed as composite source from CO2_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC3! | Add the countries {ALB.ARE.ARM.AZE.BGD.BIH.BOL.BRA.CAF.CHL.CHN.COL.CRI.CUB.DMA.DOM.ETH.GEO.GHA.GTM.GUY.IND.ISR.JOR.KEN.KGZ.KOR.LBN.LCA.MAR.MDA.MDG.MEX.MNE.MUS.MYS.NER.PER.PRK.PRY.SAU.TJK.URY.UZB.VCT.VNM.ZWE} from CO2_IPCMLULUCF_TOTAL_NET_HISTORY_UNFCCC2018I || Renamed as composite source from CO2_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC4! | Add the countries {ABW.AGO.AIA.ANT.ATG.BDI.BEN.BFA.BHR.BHS.BLZ.BRB.BRN.BTN.BWA.CIV.CMR.COD.COG.COK.COM.CPV.DZA.ECU.EGY.ERI.FJI.FSM.GAB.GIN.GMB.GNB.GNQ.GRD.HND.HTI.IRN.IRQ.JAM.KHM.KIR.KNA.KWT.LAO.LBR.LKA.LSO.MDV.MLI.MMR.MOZ.MWI.NGA.NIC.NIU.NPL.OMN.PAK.PAN.PCN.PHL.PLW.PNG.RWA.SDN.SEN.SGP.SHN.SLB.SLE.SLV.SOM.SRB.STP.SUR.SWZ.SYR.TCA.TCD.THA.TKM.TLS.TON.TTO.TUN.TUV.TZA.UGA.VEN.VGB.VUT.WSM.ZMB} from CO2_IPCMLULUCF_TOTAL_NET_HISTORY_FAO2018IPMH || Renamed as composite source from CO2_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC5! | Add the countries {AFG.DJI.HKG.IOT.LBY.MAC.MHL.NRU.QAT.SMR.SSD.SYC.TKL.VAT.YEM} from CO2_IPCMLULUCF_TOTAL_NET_HISTORY_HOUGHTONDWNI ||  | built by Louise Jeffery and Johannes Guetschow
scen,HISTCR
srce,PRIMAPHIST20
tablename,CO2_IPCMLULUCF_TOTAL_NET_HISTCR_PRIMAPHIST20
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ABW,-0.001184,-0.001184,-0.001184,-0.001184,-0.001184,-0.001184,-0.001184,-0.001184,-0.001184,-0.001184,-0.001184,-0.0007885,-0.0007885,-0.0007885,-0.0007885,-0.0007885,0.0040045,0.0040045,0.0040045,0.0040045,0.0040045,0.00028250000000000004,0.00028250000000000004,0.00028250000000000004,0.00028250000000000004,0.00028250000000000004,0.00028250000000000004
AFG,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367
AGO,83.4229,83.4229,83.4229,83.4229,83.4229,83.4229,81.9803,79.1579,83.774,79.2179,82.3972,71.4911,84.0233,86.9929,93.7224,94.7676,75.2146,91.4124,77.5969,77.7337,81.0407,101.8297,78.8235,89.1619,73.9661,84.1547,81.5266
AIA,-0.015503999999999999,-0.015503999999999999,-0.015503999999999999,-0.015503999999999999,-0.015503999999999999,-0.015503999999999999,-0.015503999999999999,-0.015503999999999999,-0.015503999999999999,-0.015503999999999999,-0.015503999999999999,-0.010326,-0.010326,-0.010326,-0.010326,-0.010326,0.05244,0.05244,0.05244,0.05244,0.05244,0.0036989000000000006,0.0036989000000000006,0.0036989000000000006,0.0036989000000000006,0.0036989000000000006,0.0036989000000000006
ALB,3.4773,3.5178,1.9996,1.4944,1.7818,1.5011,1.431,1.3021,1.08,0.8945200000000001,3.303,2.5069999999999997,2.056,1.719,1.7890000000000001,1.715,1.6380000000000001,1.618,1.179,0.9109999999999999,-0.21104,-0.34936999999999996,-0.35433000000000003,-0.3577,-0.3577,-0.3548,-0.35613
AND,-0.12930999999999998,-0.12946,-0.12961,-0.12976,-0.12991,-0.13007,-0.13027,-0.13047,-0.13067,-0.13087000000000001,-0.13108,-0.13136,-0.13165,-0.13194,-0.13223,-0.13251,-0.13304000000000002,-0.13357,-0.1341,-0.13463,-0.13516,-0.12808,-0.12803,-0.12729000000000001,-0.02175,-0.02175,-0.074705
ANT,-0.0033264,-0.0033264,-0.0033264,-0.0033264,-0.0033264,-0.0033264,-0.0033264,-0.0033264,-0.0033264,-0.0033264,-0.0033264,-0.0022154,-0.0022154,-0.0022154,-0.0022154,-0.0022154,0.011251,0.011251,0.011251,0.011251,0.011251,0.0007936,0.0007936,0.0007936,0.0007936,0.0007936,0.0007936
ARE,-1.1917,-1.1917,-1.1917,-1.1917,-4.227,-5.1333,-6.0397,-6.946000000000001,-7.8523,-8.7587,-9.665,-10.3766,-11.0882,-11.7998,-12.5114,-13.222999999999999,-0.21266999999999997,-0.21266999999999997,-0.21266999999999997,-0.21266999999999997,-0.21266999999999997,-0.21266999999999997,-0.21266999999999997,-0.21266999999999997,-0.21266999999999997,-0.21266999999999997,-0.21266999999999997
ARG,67.69,68.967,70.245,71.52199999999999,72.793,75.439,78.084,97.485,90.104,82.72200000000001,68.866,72.45,76.03399999999999,79.619,83.20299999999999,86.788,90.37200000000001,93.95700000000001,97.541,101.125,104.71,83.12,61.53,56.812,45.74100000000001,95.5641,64.9118
ARM,-0.79342,-0.75975,-0.72607,-0.6924,-0.65873,-0.62505,-0.59138,-0.55771,-0.52404,-0.49036,-0.45669,-0.46542,-0.47415,-0.48288000000000003,-0.49161000000000005,-0.50034,-0.50907,-0.51644,-0.52382,-0.5312,-0.53857,-0.14667,-0.14667,-0.14667,-0.14667,-0.14667,-0.14667
