cat,IPCM0EL
category,IPC2
clss,TOTAL
ent,FGASES
family,emi
gwp,AR4
note,Scenario based on RCPSSP IAM scenario dowscaled to country level using GDP data from SSP scenarios. For methodology see Guetschow et al. 2017Check info_per_country.csv for further information.
scen,SSP5BLREMMPFILLED
srce,PMSSPBIE
tablename,FGASES_IPCM0EL_TOTAL_NET_SSP5BLREMMPFILLED_PMSSPBIE
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AGO,1.2827e-07,4.8231e-07,1.1368e-06,2.463e-06,5.6949e-06,1.3725e-05,6.358e-05,0.00013516,0.0002463,0.00038195,0.00074485,0.0020107,0.004527300000000001,0.0070734,0.011903,0.022218,0.022382,0.026427999999999997,0.030474,0.033226,0.035977999999999996,0.036557,0.039478,0.042399,0.04532,0.048242,0.051163,0.054084,0.077441,0.097571,0.11972000000000001,0.14339000000000002,0.1687,0.19593,0.22548,0.25795999999999997,0.29346,0.33189,0.37378,0.41977,0.47057,0.52698,0.5897100000000001,0.65952,0.73727,0.8239700000000001,0.9193899999999999,1.023,1.1358,1.2586,1.3925,1.5403,1.7046,1.8869,2.0887,2.3119,2.5588,2.8311,3.1295,3.4545,3.8063
ALB,1.4257000000000001e-05,3.565e-05,7.9206e-05,0.00042368,0.0011982000000000002,0.0029583,0.005382,0.0052854,0.0083859,0.012676,0.017534,0.024423,0.031218,0.041532,0.055229999999999994,0.071082,0.078835,0.089665,0.1005,0.1103,0.1201,0.12299000000000002,0.13193,0.14085999999999999,0.1498,0.15874000000000002,0.16768,0.17662,0.18732000000000001,0.19658,0.20517,0.21344000000000002,0.2219,0.23054000000000002,0.23938,0.24841999999999997,0.25786,0.26785,0.27842,0.28958,0.30136999999999997,0.31395,0.32735,0.34144,0.3561,0.37118,0.38671,0.40274,0.41913,0.43576000000000004,0.45248999999999995,0.46938,0.48656000000000005,0.50393,0.52141,0.5389,0.55643,0.57411,0.59191,0.6098600000000001,0.62795
AND,0.0,0.0,0.0,0.0,0.0,0.0,6.9188e-05,0.00025522,0.00052582,0.00084868,0.0011914999999999999,0.0016101,0.0021579999999999998,0.0027995,0.0034990000000000004,0.0042207,0.0050125,0.0059088000000000005,0.006854300000000001,0.0077938,0.008672,0.011948,0.012532999999999999,0.012919,0.01377,0.013498,0.014482,0.015468,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332
ARE,0.8845700000000001,0.99118,0.9236200000000001,0.78777,0.65973,0.6038399999999999,0.6558,0.7478100000000001,0.7175,0.82011,0.8826,0.89805,0.91179,0.94437,1.0264,1.0704,1.1789,1.2363,1.2898,1.3347,1.3964,1.4173,1.4682,1.5192,1.5701,1.6211,1.6721,1.723,1.9229,2.1612,2.4089,2.6654,2.93,3.2049,3.4926,3.7959,4.1166,4.4566,4.8191,5.2075,5.6252,6.0822,6.5854,7.1328,7.7223,8.3513,9.0137,9.7025,10.4129,11.14,11.8784,12.6397,13.4372,14.2675,15.1268,16.0112,16.9119,17.8222,18.7417,19.6698,20.6068
ARG,0.53027,0.46563000000000004,0.46146000000000004,0.49531000000000003,0.54027,0.51849,0.54672,0.6017399999999999,0.57901,0.55795,0.60502,0.58785,0.62292,0.67799,0.73063,0.80538,0.84073,0.87613,0.8401700000000001,0.7095600000000001,0.8358399999999999,0.90086,0.85501,0.9103100000000001,0.9214200000000001,0.9620299999999999,0.98462,1.0072,1.16,1.3569,1.5624,1.7744,1.9923,2.2161,2.4464,2.6841,2.9283,3.1784,3.4362,3.7033,3.9815,4.2748,4.5852,4.9103,5.2474,5.5933,5.9435,6.2936,6.6405,6.9811,7.3121,7.6426,7.9805,8.3207,8.6575,8.9858,9.2978,9.586,9.8453,10.0709,10.2582
ARM,7.1093e-05,0.00029135,0.00034161,0.0012147,0.0031864000000000003,0.007577199999999999,0.013137000000000001,0.017506999999999998,0.025738,0.034851,0.047691000000000004,0.070477,0.11055,0.17321,0.25311999999999996,0.38234,0.40881,0.47526999999999997,0.54173,0.59486,0.64799,0.6559999999999999,0.70635,0.75671,0.80706,0.8574200000000001,0.9077700000000001,0.9581299999999999,1.0006,1.1022,1.2031,1.3029,1.4024,1.5027,1.6051,1.7107,1.8205,1.9355,2.0565,2.1842,2.3191,2.4661,2.6277,2.8006,2.9816,3.1672,3.3542,3.5405,3.7238,3.9021,4.0733,4.2412,4.41,4.5782,4.7441,4.9061,5.0619,5.2099,5.3492,5.4793,5.5997
ATG,4.0720999999999995e-06,1.0015e-05,2.2036e-05,9.7846e-05,0.00024505,0.00048218,0.00088289,0.0012232,0.0017331,0.002408,0.0031107,0.0036553000000000006,0.0042834,0.0050716,0.0061299,0.007201300000000001,0.0079558,0.008803,0.009650200000000001,0.010467,0.011283,0.011788,0.012562,0.013337,0.014112000000000001,0.014886000000000002,0.015661,0.016434999999999998,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336
AUS,6.2523,6.2748,6.1946,5.4223,3.4874,2.8511,2.1137,2.2002,2.8989999999999996,2.7249,3.1134,4.3278,4.8786,5.492000000000001,6.2116,6.9907,6.0398,6.824,7.4668,8.6146,9.0367,9.5908,9.5025,10.2012,11.1325,12.1439,12.3934,12.6318,13.8873,14.6484,15.3416,15.9824,16.6028,17.2088,17.8069,18.4042,19.0039,19.6093,20.2281,20.869,21.5415,22.2479,22.9835,23.747,24.5372,25.3527,26.191999999999997,27.0521,27.9291,28.8188,29.7168,30.6279,31.5572,32.5007,33.4544,34.4148,35.3844,36.368,37.3659,38.3788,39.4071
AUT,1.656,1.8109,1.1728,1.0434,1.2590000000000001,1.5433,1.6823,1.7175,1.5434,1.4647,1.3865,1.6193,1.6951,1.7708,1.8283,1.8334,1.8138,1.8551,1.8848,1.6927,1.9037,1.7989,1.8635,1.8835,1.9633,1.9884,2.0816,2.1799,2.1977,2.2983,2.3888,2.4722,2.5527,2.6312,2.7084,2.7854,2.8627,2.9410000000000003,3.0215,3.1055,3.1946,3.2886,3.3868,3.4896,3.5971,3.7094,3.8264,3.9475,4.0719,4.1991,4.3283,4.46,4.5949,4.7328,4.8737,5.0174,5.1641,5.3143,5.4681,5.6258,5.7874
AZE,0.5192399999999999,0.46481999999999996,0.36785,0.27501,0.18087999999999999,0.10585,0.11435,0.1853,0.27546,0.39033,0.55512,0.56472,0.57792,0.7195600000000001,0.85513,0.9675,1.0539,1.2209999999999999,1.327,1.3459,1.4778,1.3780000000000001,1.4777,1.6109,1.7318,1.8185,1.9051,1.9917,2.2963,2.5049,2.6997,2.8753,3.0348,3.1847,3.3317,3.483,3.6423,3.8086,3.9811,4.1586,4.3391,4.5248,4.7201,4.9267,5.1464,5.3815,5.6256,5.8704,6.1160000000000005,6.3622,6.6093,6.8637,7.1309,7.4096,7.6986,7.9968,8.2992,8.6023,8.9066,9.2128,9.5218
