cat,IPC2
clss,TOTAL
ent,KYOTOGHG
family,emi
gwp,AR4
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP | built by Johannes Guetschow
scen,HISTCR
srce,PRIMAPHIST21
tablename,KYOTOGHG_IPC2_TOTAL_NET_HISTCR_PRIMAPHIST21
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0.036337,0.037869,0.039899000000000004,0.042166,0.044335,0.046127,0.047404,0.048346,0.049033999999999994,0.04965,0.050342000000000005,0.051151,0.052012,0.052882000000000005,0.05368,0.054376999999999995,0.05512,0.055845000000000006,0.056574,0.057282000000000007,0.057990999999999994,0.058793,0.059519,0.060330999999999996,0.061086,0.061841999999999994,0.062597,0.06335199999999999
AFG,0.22334,0.19622,0.20379,0.1822,0.17724,0.17467,0.16806,0.16785999999999998,0.16605,0.16585,0.17981,0.17259000000000002,0.17833,0.18667,0.17712999999999998,0.17728,0.17685,0.17264000000000002,0.17922000000000002,0.18187,0.19794,0.19226,0.24489,0.22,0.24455,0.24184,0.26078,0.26574000000000003
AGO,0.21126,0.21448000000000003,0.23603000000000002,0.21856,0.21902,0.20454,0.23803000000000002,0.253,0.2772,0.2211,0.2226,0.36971,0.39382,0.44128999999999996,0.47395,0.7096100000000001,0.73361,0.7443,0.89738,0.91406,0.80616,0.80656,0.8518,1.0267,1.2249,1.2518,1.2216,1.2295
AIA,4.4433e-07,4.614e-07,4.7844e-07,4.934e-07,5.082899999999999e-07,5.2218e-07,5.3608e-07,5.4867e-07,5.6157e-07,5.754600000000001e-07,5.903600000000001e-07,6.0625e-07,6.2344e-07,6.403399999999999e-07,6.5753e-07,6.7342e-07,6.8732e-07,7.0021e-07,7.1181e-07,7.234e-07,7.33e-07,7.438899999999999e-07,7.5319e-07,7.7822e-07,7.9232e-07,8.0643e-07,8.2053e-07,8.346299999999999e-07
ALB,0.77536,0.62643,0.24445999999999998,0.26093,0.21364,0.2774,0.27143,0.2112,0.2068,0.22065,0.24105,0.31682,0.4019,0.50363,0.51194,0.48823999999999995,0.48895,0.6644,0.70719,0.77423,0.898,1.1597,1.3684,1.4212,1.3774,1.5369,1.5582,1.5675
AND,0.053073,0.053689,0.055603,0.056144000000000006,0.058329,0.05969,0.061078999999999994,0.061177999999999996,0.048481,0.043894999999999997,0.045202,0.044957,0.045471,0.047193,0.048355,0.049405000000000004,0.049864,0.051699,0.049541,0.051684,0.055749,0.058617999999999996,0.054569000000000006,0.057512,0.058322000000000006,0.058024,0.059029,0.060167
ANT,0.050719,0.078562,0.072339,0.09123200000000001,0.085967,0.08608099999999999,0.086759,0.087826,0.08899800000000001,0.090228,0.09183200000000001,0.09246900000000001,0.092782,0.093284,0.095024,0.09679299999999999,0.09911299999999999,0.1015,0.10321,0.10177,0.10293,0.10280999999999998,0.10300000000000001,0.1056,0.10664000000000001,0.10769000000000001,0.10873,0.10977999999999999
ARE,3.6833,4.1119,4.1442,4.1304,4.3278,5.1262,5.4472,6.0025,7.2186,8.0307,7.6646,7.5527,8.1202,8.7516,9.5612,10.1521,13.4656,16.9946,22.201999999999998,21.5832,22.1155,23.1384,22.2312,23.6385,25.0466,24.862,25.6454,26.4289
ARG,10.7299,9.5286,9.4796,10.1411,11.0074,10.6142,11.0443,12.0835,11.708,11.2526,12.1491,11.7284,12.4661,13.4778,14.4555,15.8793,16.5467,17.128,16.5949,14.1608,16.4811,17.5337,16.7272,17.785999999999998,17.9805,17.7267,17.8842,18.0417
ARM,0.8084399999999999,0.76379,0.62011,0.39366999999999996,0.29569,0.40642,0.43503000000000003,0.42357,0.40457,0.36696999999999996,0.30944,0.33986,0.44372,0.52017,0.67757,0.84172,0.87716,0.99725,1.0466,0.94126,1.0165,1.0057,1.0666,1.1031,1.1416,1.1898,1.1729,1.2233
ATG,0.048218000000000004,0.048804,0.049678,0.050795,0.052077,0.053449,0.054967999999999996,0.056421000000000006,0.058011,0.05970399999999999,0.061366,0.062773,0.064178,0.065688,0.06744700000000001,0.069253,0.070729,0.072304,0.073876,0.075397,0.076918,0.078499,0.080045,0.081662,0.083235,0.08480700000000001,0.086379,0.087952
AUS,27.0461,26.3242,26.9485,26.6795,26.6316,26.2999,26.0603,26.2379,27.5171,28.0073,27.8196,29.0173,29.7518,32.3373,33.8038,33.0687,33.1663,35.4479,35.6638,34.024,36.96,37.5678,34.7452,32.8292,32.4986,34.191,34.3625,35.0677
AUT,14.7101,14.6248,12.8452,12.8266,13.5513,14.5223,13.9559,15.1956,14.7651,14.4903,15.6139,15.537,16.2207,16.3749,15.7428,16.6379,17.4657,18.0184,18.2734,14.6773,16.7961,16.8225,16.4924,16.8368,16.9462,17.5248,17.3122,18.1092
AZE,1.9245,1.7971,1.6526,1.1807,0.72149,0.45806,0.47236000000000006,0.59351,0.63485,0.76702,0.98336,1.1439,1.3661,1.6334,2.0465,2.5183,2.7405,3.1342,2.927,2.6073,2.9772,3.3541,3.9216,3.1671,3.9247,4.0004,4.0402,4.1959
BDI,0.08833400000000001,0.090263,0.092033,0.093611,0.09490900000000001,0.096029,0.096853,0.09754700000000001,0.098277,0.09940399999999999,0.1011,0.10343,0.10624000000000001,0.10970999999999999,0.1135,0.11759000000000001,0.12162,0.12563,0.1297,0.13308,0.13645,0.15042,0.16609000000000002,0.18267,0.1741,0.18932000000000002,0.19234,0.19535
BEL,27.0891,26.2488,27.0846,26.2415,29.1816,30.8681,30.3657,27.6673,28.8115,27.9294,29.0895,27.7224,27.4965,27.3715,28.3982,27.1687,26.4461,24.673000000000002,25.0791,19.1457,22.0771,21.2078,19.6216,20.3988,20.3809,20.3402,20.9487,20.266
BEN,0.15637,0.16635,0.18556,0.24366999999999997,0.22669,0.2756,0.1869,0.12212,0.12318,0.12435999999999998,0.14639000000000002,0.14743,0.1486,0.14975,0.15093,0.15223,0.64075,0.65714,0.57553,0.56522,0.56061,0.6187199999999999,0.5896899999999999,0.6150399999999999,0.60522,0.76321,0.76449,0.76577
BFA,0.057880999999999995,0.059597000000000004,0.061342999999999995,0.063087,0.064849,0.078699,0.080454,0.08530499999999999,0.08719600000000001,0.14579,0.11818,0.099672,0.093278,0.095919,0.098676,0.10134,0.10395,0.1066,0.27892,0.31693000000000005,0.32674000000000003,0.32569000000000004,0.35284,0.33246,0.26527,0.21308000000000002,0.22959000000000002,0.2318
BGD,1.2305,1.0814,1.382,1.4363,1.525,2.0443,2.2802,2.2915,2.5053,2.9505,3.1561,3.3758,3.3218,3.3989999999999996,3.2461,3.3930000000000002,3.1171,3.2083,3.2117,2.4741,1.7208,1.7247,1.7037,2.1438,2.0587,1.9774,1.8915,1.8069
BGR,10.0476,7.8561,6.6133,6.9043,8.4202,10.4544,10.3149,9.5361,7.142,6.2653,7.2108,7.166,6.4431,7.1093,7.2146,7.6837,7.4771,7.9826,7.1577,4.1631,4.4502,5.0254,4.7889,4.7642,5.1245,5.7734,6.0661,6.4154
BHR,4.3237,1.7439,1.9607,2.3501,2.1253,2.1451,2.0659,2.2621,2.1621,2.2436,2.0932,2.2058,2.1453,2.0272,2.1689,2.697,3.0082,2.9341,2.9746,3.1282,3.2334,3.3501,3.2758,3.5022,3.6242,3.6935,3.8031,3.8724
BHS,0.32350999999999996,0.32946,0.33565,0.34196,0.34825,0.35435,0.36025999999999997,0.36599,0.37159000000000003,0.37715,0.38269000000000003,0.38821,0.39371,0.39921,0.40468000000000004,0.41013999999999995,0.4156,0.42107,0.42653,0.43191,0.43728999999999996,0.44283999999999996,0.44823,0.45388999999999996,0.45937,0.46485,0.47034,0.47581999999999997
BIH,4.3069999999999995,4.0092,3.386,3.0361,3.1085,2.9246,2.5944,2.6624,2.8776,2.9911,3.5762,3.5058,3.6613,3.5186,3.7991,3.7097,3.9435,3.9408,4.0172,3.5441,3.4789,3.3452,3.286,3.3049,3.5573,3.4509,3.4924,3.5052
BLR,6.5884,6.3846,6.0595,4.8427,4.0597,4.0582,4.1018,4.2077,4.6423,4.8725,4.7462,4.811,5.1385,5.4521,5.7264,6.1274,6.5265,6.8241,7.0068,7.0178,7.3937,7.4567,7.5072,7.7914,8.2054,7.8239,7.4837,7.5842
BLZ,0.0029728000000000003,0.0030351999999999996,0.0030998,0.0031651,0.0032406999999999996,0.0033063000000000003,0.0033818000000000003,0.0035221,0.0035872,0.0036512,0.0038010999999999995,0.0038658,0.0039295,0.0039939,0.0040571,0.0041302,0.0044144,0.0044675,0.0045717,0.0046248999999999995,0.0046881,0.0045937,0.0048371,0.004932,0.005021800000000001,0.005111500000000001,0.005201300000000001,0.005291
BOL,0.37235,0.40092,0.41505,0.45003000000000004,0.5278,5.4665,16.2016,26.9721,31.9077,30.213,26.4718,18.2636,12.0792,15.3828,25.4367,29.4816,31.4903,33.4258,35.4277,37.4688,39.4233,41.4404,43.3587,45.4633,47.5829,49.5508,51.5202,53.4144
BRA,54.9158,61.6483,60.3078,64.6781,65.26899999999999,68.3386,69.6233,71.2442,73.6854,73.6516,76.6444,73.1149,77.4294,78.1912,83.4951,81.5331,83.0765,83.3766,86.2119,76.8004,94.3687,100.3632,101.5086,102.5859,102.1708,99.6759,99.445,98.999
BRB,0.10720999999999999,0.1073,0.096352,0.037536,0.048639999999999996,0.045004,0.063487,0.096322,0.13823,0.13423,0.14121,0.1325,0.15636,0.16215,0.16145,0.1629,0.16107,0.15741,0.15043,0.12049000000000001,0.10862999999999999,0.10565,0.08591,0.079381,0.079311,0.07923999999999999,0.07917,0.079138
BRN,0.0164,0.016901,0.017502,0.018213999999999998,0.020076,0.023416,0.15952,0.17157,0.16649,0.1828,0.25024,0.27781,0.31985,0.35495,0.3987,0.44856999999999997,0.47978000000000004,0.49606000000000006,0.55695,0.5847,0.64975,0.68053,0.73838,0.77887,0.82237,0.8436899999999999,0.88365,0.92361
BTN,0.021531,0.069707,0.069865,0.08463899999999999,0.077196,0.12165999999999999,0.13093,0.14196,0.1471,0.14762999999999998,0.13758,0.14733,0.16527,0.16557,0.16931,0.16558,0.1684,0.17155,0.20642,0.41853,0.45065,0.56904,0.5604,0.56699,0.63373,0.69476,0.774,0.7963399999999999
BWA,0.071639,0.063833,0.10565,0.10745999999999999,0.13955,0.15865,0.10544,0.15853,0.15316,0.18350999999999998,0.15359,0.19382,0.21500999999999998,0.23215999999999998,0.20106,0.1959,0.17768,0.1651,0.15017,0.23824,0.21606,0.21639,0.22515,0.25669000000000003,0.24982,0.24355,0.23728000000000002,0.23101
CAF,0.13852,0.14217,0.14593,0.14992,0.15392,0.15768,0.16143,0.16497,0.16834000000000002,0.17151,0.17448,0.17719000000000001,0.17958,0.18185,0.18411,0.18648,0.1889,0.19124000000000002,0.19355999999999998,0.1957,0.19783,0.20085,0.20265,0.20595,0.20843000000000003,0.21091,0.21339,0.21586999999999998
CAN,59.9896,61.3443,59.1841,59.2694,61.1887,61.4275,62.9135,62.9991,59.1538,56.7444,56.229,53.7975,56.0318,57.7259,61.8655,58.3466,58.7447,57.5079,56.747,50.0142,53.3086,56.888000000000005,61.0162,57.8683,55.2789,55.4972,57.0518,56.2999
CHE,3.5799,3.2072,3.0446,2.7331,2.926,2.9149,2.7874,2.702,2.8172,2.8846,3.1477,3.2525,3.2918,3.3810000000000002,3.6494,3.7762,3.8327,3.9099,3.9335,3.7959,3.968,3.9953,3.9902,3.9747,4.0461,3.9192,3.9139,3.9101
