cat,IPCMLULUCF
clss,TOTAL
ent,KYOTOGHG
family,emi
gwp,AR4
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP | built by Johannes Guetschow
scen,HISTCR
srce,PRIMAPHIST21
tablename,KYOTOGHG_IPCMLULUCF_TOTAL_NET_HISTCR_PRIMAPHIST21
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,0.44369,0.44369,0.44369,0.44369,0.44369,0.44369,0.44388,0.4438,0.44398000000000004,0.44375,0.44436000000000003,0.44367,0.44367,0.44367,0.44367,0.44367,0.44388999999999995,0.44367,0.44367,0.44388999999999995,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44368
AGO,106.8952,106.8952,106.8952,106.8952,106.8952,106.8952,114.9023,109.3307,120.6705,113.2048,112.2792,90.1086,106.9117,113.8324,123.9109,122.42299999999999,96.3681,118.7897,95.8801,98.9703,100.6642,132.8209,98.9821,112.5915,94.1205,114.5209,89.2471,102.0391
AIA,0.0,0.0,0.0,-0.036667,0.0,-0.036667,0.0,-0.036667,0.0,0.0,-0.036667,0.0,0.0,-0.036667,0.0,0.0,0.036667,0.07333300000000001,0.036667,0.036667,0.07333300000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,3.4999,3.5405,2.0222,1.517,1.8044,1.5237,1.4446,1.3349,1.0965,0.90794,3.3792,2.5122,2.056,1.7285,1.7890000000000001,1.7156,1.6383,1.8306,1.1841,0.9167,-0.2479,-0.29545,-0.29278000000000004,-0.39571999999999996,-0.39678,-0.37865,-0.39495,-0.36801
AND,-0.13001,-0.13015,-0.13029000000000002,-0.13044,-0.13058,-0.13072,-0.12739,-0.12405999999999999,-0.12074000000000001,-0.11740999999999999,-0.11408,-0.11450999999999999,-0.11494000000000001,-0.11537,-0.11579,-0.11622,-0.1203,-0.12437000000000001,-0.12845,-0.13253,-0.13660999999999998,-0.13576,-0.13587,-0.13526,-0.13527,-0.13538,-0.13545,-0.1356
ANT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036667,0.0,0.0,0.0,0.0091667,0.0091667,0.0091667,0.0091667,0.0091667,0.0091667,0.0091667
ARE,-1.21,-1.21,-1.1733,-1.21,-4.227,-5.1333,-6.0397,-6.946000000000001,-7.8523,-8.7587,-9.665,-10.3766,-11.0882,-11.7998,-12.5114,-13.222999999999999,-12.6909,-12.1589,-11.6268,-11.0947,-10.5627,-10.0306,-9.4985,-8.9664,-8.4344,-0.22,-0.22,-4.4602
ARG,68.3547,69.6467,70.9397,72.2317,73.5178,76.4334,79.3479,99.0185,91.37700000000001,83.7345,69.6179,73.9341,78.2503,82.5674,86.8836,91.2008,95.51700000000001,99.8341,104.1503,108.4665,112.7836,90.2205,67.6574,65.126,50.2743,97.3464,101.8825,80.1429
ARM,-0.79133,-0.75766,-0.72368,-0.69001,-0.6563399999999999,-0.62266,-0.59114,-0.55743,-0.52162,-0.49008999999999997,-0.45669,-0.46161,-0.47393,-0.48266000000000003,-0.49033999999999994,-0.49972,-0.50359,-0.51539,-0.52299,-0.5312,-0.52003,-0.14667,-0.14372000000000001,-0.14518,-0.14667,-0.1454,-0.14623,-0.14401
ATG,0.0,0.0,-0.036667,0.0,-0.036667,0.0,-0.036667,0.0,-0.036667,0.0,-0.036667,0.0,0.0,0.0,0.0,0.0,0.07333300000000001,0.11,0.07333300000000001,0.11,0.07333300000000001,0.036667,0.0,0.0,0.0,0.0,0.0,0.0
AUS,184.5885,161.5884,96.2612,77.6895,68.7437,47.6813,47.0906,45.8831,34.1409,42.5303,51.1351,72.3503,65.7203,74.3749,66.0307,88.7865,85.0507,93.8895,78.6503,69.7068,48.6802,29.3794,18.1101,7.3038,8.0993,-3.5378,-16.3412,-19.4311
AUT,-11.9884,-16.69,-11.6625,-11.9571,-11.8301,-13.1432,-10.5588,-19.0751,-17.2074,-19.5163,-16.4187,-19.2654,-14.2621,-4.8691,-9.1882,-10.6593,-5.1692,-5.4966,-4.2618,-4.5321,-5.8637,-6.0909,-5.4669,-4.5171,-4.724,-4.5511,-4.3788,-4.906000000000001
AZE,-3.6819,-3.6419,-3.6119,-3.6089,-3.7059,-3.7809,-3.8534,-4.0661,-4.5412,-4.6160000000000005,-4.8438,-4.8652,-5.0671,-5.2214,-5.2747,-5.3433,-5.345,-5.4327,-5.3801,-5.352,-5.3872,-5.431,-5.4371,-6.195,-8.4614,-8.4589,-8.4647,-7.8955
BDI,9.4394,9.4394,9.476,9.4394,9.4394,9.4394,8.8772,8.9801,9.2221,9.0109,9.1677,6.1893,7.2111,7.4332,6.6098,5.8965,0.030264,-0.5053300000000001,0.08139400000000001,0.33993,0.22030999999999998,3.5327,3.2793,3.6007,3.1865,3.1548,3.7992,3.3295
BEL,-3.3135,-2.8409,-2.6544,-2.6617,-2.404,-2.6299,-2.5788,-2.3583,-2.9062,-2.1456,-1.7748,-1.6418,-1.6955,-1.6478,-1.5545,-1.5366,-1.5202,-1.3105,-1.0525,-1.0655,-0.32442,-0.15939,-0.25073,-0.32211,-0.28362,-0.29571,-0.28513,-0.25714000000000004
BEN,14.8383,14.8383,14.8383,14.8383,14.8383,14.8383,15.411,15.3058,16.1059,15.8986,15.5486,10.5716,10.5761,10.5899,10.6254,10.6044,10.5607,10.6261,10.5591,10.648,10.5383,10.5377,10.6845,10.5569,10.5994,10.6438,10.6214,10.6092
BFA,10.6863,10.6863,10.6863,10.6863,10.6863,10.6863,11.8037,11.7355,12.3656,11.9422,12.1665,8.8434,9.0332,8.8378,9.0676,8.8232,11.0392,11.0115,11.0053,11.0898,11.0123,8.8117,8.8317,8.8115,8.8096,8.8061,8.8136,8.8
BGD,23.9708,23.9708,23.9342,23.9708,8.2249,11.165,13.8505,16.7818,19.7295,22.7154,25.572,28.7164,25.8757,23.4928,21.1813,18.4105,12.7571,12.1106,12.9546,11.8158,13.6366,20.951999999999998,19.7142,20.1961,20.4124,20.2814,19.5592,20.1568
BGR,-12.2171,-11.6937,-11.4408,-10.5942,-10.4541,-10.4965,-12.8418,-12.8056,-12.8076,-12.6733,-12.1881,-11.6514,-11.7598,-11.8938,-11.9001,-11.981,-10.0015,-9.7418,-10.6087,-9.9907,-9.8275,-6.4885,-6.8003,-7.3751,-8.0344,-7.9199,-8.2754,-8.0318
BHR,0.0,0.0,0.0,0.0,0.0,-0.036667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036667,-0.0009777999999999998,0.0009777999999999998,-0.0091667
BHS,-1.3259,-1.3259,-1.3626,-1.3259,-1.3626,-1.3626,-1.337,-1.3748,-1.3267,-1.3644,-1.3365,-0.9152100000000001,-0.8731200000000001,-0.9785299999999999,-0.7489100000000001,-0.8382,4.9816,4.9199,5.0458,4.9954,4.9552,0.59268,0.38225,0.61427,0.4081,0.42353999999999997,0.48085,0.47944
BIH,-7.3715,-7.6369,-10.0961,-10.5171,-10.0301,-10.1891,-9.3338,-8.4652,-8.227,-7.2254,-7.1278,-7.1868,-7.1099,-6.8583,-6.8726,-6.8449,-6.7253,-6.5915,-6.5289,-6.4887,-6.4005,-6.1966,-6.0906,-6.136,-6.3849,0.11735999999999999,0.087462,-3.0658
BLR,-21.105,-24.4173,-22.4234,-18.0621,-27.8413,-28.9095,-27.9965,-26.1855,-25.1393,-32.0836,-33.2428,-32.0799,-28.909000000000002,-25.1669,-26.8335,-29.1442,-32.3969,-33.0678,-32.7183,-38.44,-40.1264,-37.5773,-32.0281,-35.1216,-30.108,-27.4096,-21.9029,-13.3007
BLZ,6.6735,6.6735,6.6735,6.6735,6.6735,6.6735,4.8858,4.6389,4.9627,4.8468,4.8339,6.3082,8.6676,9.1905,6.0575,8.3917,6.564,8.7414,7.3007,5.8432,8.0199,5.8058,2.0708,6.2826,2.2681,3.8028,3.4415,3.8885
BOL,23.4595,24.384,25.3085,26.2329,27.1574,27.3312,27.5049,27.6787,27.8525,28.3575,28.8626,33.5565,38.2504,43.911,49.5716,90.1054,93.8532,101.6631,94.0364,90.3867,121.6545,95.196,88.4497,86.7098,86.8648,88.493,94.9673,91.4309
BRA,795.6904,652.6791,804.4193,866.2318,866.2326,1941.7805,1265.9176,961.3219,1218.9354,1211.0386,1272.8191,1268.43,1486.6524,2452.3146,2650.4677,1916.114,1495.1002,1280.9012,1385.3176,425.1842,353.1533,286.7815,255.7905,395.0932,237.6372,335.8173,329.2047,297.173
BRB,0.0,0.0,-0.036667,0.0,-0.036667,0.0,-0.036667,0.0,-0.036667,0.0,-0.036667,0.0,0.0,-0.036667,0.0,0.0,0.036667,0.07333300000000001,0.036667,0.07333300000000001,0.07333300000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN,1.9009,1.9009,1.9009,1.9009,1.9009,1.9009,2.0422,2.2335,6.4453,1.9548,1.9719,1.9346,1.8723,2.0198,1.8581,1.8847,1.8329,1.827,1.8222,1.8473,1.8329,0.34393,0.34387,0.33789,0.43161000000000005,0.40101,0.4566,0.401
BTN,-4.0549,-4.0549,-4.0549,-4.0549,-4.0549,-4.0549,-4.0895,-4.0898,-4.0743,-4.0511,-4.0844,-4.3784,-4.3936,-4.3957,-4.3744,-4.3697,-2.9098,-2.8173,-2.9067,-2.918,-2.8246,-3.7617,-3.6318,-3.7893,-3.7357,-3.7312,-3.7806,-3.722
BWA,46.6794,46.6794,46.6794,46.6794,46.6794,46.6794,60.1529,71.4034,81.0593,65.4612,53.411,37.075,129.29,79.1226,19.4472,66.4405,26.69,70.7165,22.6833,16.0597,10.8765,16.9817,17.1738,50.3654,18.634,117.0378,55.5142,53.4122
CAF,14.9907,14.9907,14.9907,14.9907,-139.0611,-317.8583,-496.2885,-674.2774,-852.2521,-1031.4137,-1210.6628,-1390.6261,-1569.5343,-1748.1494,-1748.3079,-1748.1704,-1748.3478,-1748.3152,-1748.1866,-1748.3147,-1748.2572,14.1634,14.2701,14.2039,13.7841,14.2601,16.2444,13.7178
CAN,-68.2413,-74.8058,-66.7104,-60.027,-61.9362,-49.187,-57.408,-59.0509,-66.182,-55.5594,-41.9058,-57.9555,-43.923,-49.8994,-26.7039,-21.2669,-29.6341,-31.855999999999998,-37.265,-49.3663,-32.4075,-32.8176,-35.5166,-32.545,-31.8291,-25.1384,-25.4113,-23.7227
CHE,-2.4844,-6.2895,-5.0221,-4.3684,-3.1903,-3.835,-6.4619,-4.2307,-3.0473,-3.5139,5.5692,-1.0425,-2.7838,-3.7260000000000004,-3.3343,-2.4908,-1.6028,-0.48391000000000006,-2.3207,-3.1218,-2.6191,-1.4202,-1.8664,-2.0688,-0.65915,-2.1859,-2.1153,-1.5976
CHL,-49.8579,-48.7952,-47.7325,-46.6697,-45.607,-48.3923,-51.1777,-53.963,-56.7483,-59.5337,-62.318999999999996,-55.1187,-47.9184,-40.7181,-33.5178,-26.3175,-19.1172,-32.2019,-45.2865,-58.3711,-71.4557,-71.4287,-71.4017,-71.3747,-69.2634,-67.152,-65.0407,-68.3251
CHN,-318.4072,-318.4072,-318.4072,-318.4072,-404.1614,-405.4388,-408.6578,-409.9083,-410.9355,-412.3642,-413.4332,-414.9106,-416.2457,-411.1798,-415.8529,-418.9662,-441.6795,-462.5164,-479.0276,-505.4387,-527.7729,-551.7485,-574.0686,-309.8467,-307.074,-309.7691,-309.983,-309.4005
CIV,-4.2145,-4.2145,-4.2145,-4.2145,-4.2145,-4.2145,-4.6439,-4.446000000000001,-3.9978,-4.025,-4.1954,-7.3087,-7.8673,-7.7023,-7.5795,-7.6806,7.0758,8.0461,7.2607,7.4999,6.9273,6.8621,7.852,6.9705,6.9134,7.0244,7.5492,7.3088
CMR,118.3618,118.3618,118.3618,118.3618,118.3618,118.3618,114.0553,113.9872,116.2825,115.2849,114.9759,114.59899999999999,113.4194,119.6955,117.3941,122.6497,114.0789,117.3888,120.1133,117.3541,115.3478,115.663,114.2626,122.8266,116.2575,120.1147,120.0593,119.6912
COD,161.4644,161.4644,161.4644,161.4644,161.4644,161.4644,173.135,179.5398,180.6313,174.7965,171.1318,156.0057,154.8739,158.7838,161.2198,163.4378,159.452,161.5485,160.9628,161.4466,160.5492,163.4662,162.2069,167.1022,161.5062,161.4601,167.0917,165.1958
COG,34.3036,34.3036,34.3036,34.3036,34.3036,34.3036,15.3014,15.478,15.224,15.3548,14.7587,21.3212,17.3617,29.2459,33.8502,42.6705,38.606,34.0772,28.3763,25.6616,33.0681,41.9769,39.4436,41.6392,22.9903,38.0753,40.0149,37.0887
COK,-0.036667,-0.036667,-0.07333300000000001,-0.036667,-0.036667,-0.07333300000000001,-0.036667,-0.036667,-0.07333300000000001,-0.036667,-0.036667,-0.036667,0.0,0.0,0.0,-0.036667,-0.036667,-0.036667,-0.07333300000000001,-0.036667,-0.036667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COL,129.4634,131.1927,132.917,134.3965,136.0262,137.4955,138.8054,141.8802,143.1247,143.9847,129.0186,110.9154,111.5941,124.3301,125.4132,116.5899,116.1449,124.4021,120.226,114.0453,115.5085,120.1305,118.465,107.2623,109.6526,18.1476,41.6029,69.3117
COM,0.079184,0.079184,0.042517,0.079184,0.042518,0.042518,0.07518,0.038511000000000004,0.075263,0.038431,0.07348099999999999,0.07333300000000001,0.07333300000000001,0.11295,0.07333300000000001,0.1392,0.074392,0.075152,0.07973999999999999,0.074602,0.074678,0.07359,0.07359,0.037211,0.0777,0.079997,0.074134,0.064203
CPV,-0.40333,-0.40333,-0.40333,-0.40333,-0.40333,-0.40333,-0.40333,-0.40333,-0.40333,-0.40333,-0.40333,0.0,0.0,0.0,0.0,0.0,-0.07333300000000001,-0.07333300000000001,-0.07333300000000001,-0.07333300000000001,-0.07333300000000001,-0.18333,-0.14667,-0.18333,-0.14667,-0.18333,-0.18333,-0.17417
CRI,2.4837,1.9559,1.4281,0.90038,0.37262,-0.15514,-0.6829,-1.298,-1.9131,-2.5282,-3.1433,-3.2107,-3.2781,-3.3455,-3.4129,-3.4803,-7.4607,-7.434,-7.5001,-7.5019,-7.3622,-11.2603,-11.1525,-11.0854,-11.1644,-11.1232,-10.9224,-11.1216
CUB,-10.5624,-10.7511,-10.9397,-11.1284,-11.317,-11.5057,-11.7129,-11.9039,-12.08,-12.2658,-12.4488,-12.7984,-13.115,-32.6806,-32.5611,-32.4729,37.8829,37.7754,37.7482,37.8573,37.7808,-13.7303,-13.9254,-13.8673,-13.9041,-13.7628,-13.8947,-13.8424
CYP,-0.25119,-0.24748,-0.25506999999999996,-0.27155,-0.25601999999999997,-0.27701,-0.28456,-0.25478,-0.18035,-0.35872,0.068985,-0.18644000000000002,-0.33746,-0.35198,-0.34726999999999997,-0.37701,-0.45223,-0.20826,-0.51205,-0.54159,-0.48851999999999995,-0.565,-0.5447,-0.5797399999999999,-0.57702,-0.57248,0.075761,-0.53401
CZE,-5.2259,-8.4237,-9.2671,-8.8651,-6.5274,-6.9957,-7.1748,-6.5162,-6.6014,-7.0381,-7.8875,-8.228,-7.8599,-6.3464,-6.521,-7.0369,-4.8271,-2.5637,-5.8334,-6.9067,-5.5389,-6.8515,-6.6905,-5.9753,-5.92,-5.0823,-5.1579999999999995,-2.1349
DEU,-31.3117,-28.8041,-29.3726,-29.2812,-32.5467,-33.0549,-33.1315,-34.1624,-34.536,-35.607,-37.9604,-38.5763,-4.2372,-6.2491,-9.3616,-12.0595,-12.4439,-11.8666,-18.7654,-18.0295,-16.3686,-15.7333,-14.4757,-14.2875,-14.8912,-14.3754,-13.9095,-15.1852
DJI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMA,-0.07333300000000001,-0.07333300000000001,-0.036667,-0.036667,-0.37185,-0.33281,-0.29377,-0.25473,-0.21568,-0.17664000000000002,-0.1376,-0.1376,-0.1326,-0.1316,-0.1296,-0.1276,0.55,0.5133300000000001,0.5133300000000001,0.55,0.5133300000000001,0.11,0.11,0.14667,0.11,0.11,0.11,0.11917
DNK,4.9382,4.4634,5.3995,4.1647,3.6069,3.6185,3.0329,3.4549,3.4404,3.7307,3.6007,4.2271,5.1967,4.8433,4.5747,4.4505,4.7801,2.2549,-2.3545,1.9552,-1.0162,-2.6195,-0.7346199999999999,0.39439,0.06622,3.6334,4.5034,2.9718
DOM,-5.537000000000001,-5.7733,-6.0097,-6.2461,-6.4825,-9.6307,-12.7789,-15.9271,-19.0753,-18.9335,-18.7916,-17.2222,-15.6527,-14.0833,-12.5138,-10.9444,-9.3749,-7.8054,-6.236000000000001,-4.6665,-3.0971,-8.696,-8.7175,-8.6798,-8.6755,-8.6058,-8.7251,-8.6724
DZA,0.97209,0.97209,0.97209,0.97209,0.97209,0.97209,0.9794299999999999,0.95347,0.95767,0.9612799999999999,1.2794,0.51925,0.52832,0.54708,0.54432,0.60268,-6.6526,-6.537999999999999,-6.5869,-6.6975,-6.7256,-0.26439,0.0016274999999999998,-0.42421000000000003,-0.37108,-0.43572,-0.38034,-0.31732
ECU,42.3635,42.3635,42.4002,42.3635,42.3635,42.3635,42.3612,42.3164,42.3213,42.352,42.3094,33.8288,33.7788,33.7797,33.8623,33.9338,33.8837,33.8952,33.8454,33.8954,33.882,33.8966,34.0043,33.8666,33.8787,33.9589,10.6779,28.122
EGY,-0.54996,-0.54996,-0.54996,-0.5133,-0.54996,-0.54996,-0.54979,-0.54979,-0.54979,-0.54979,-0.55,-0.58612,-0.58667,-0.58667,-0.58667,-0.58667,-0.22,-0.22,-0.18333,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,-0.21974000000000002,-0.22,-0.21994
ERI,1.551,1.5488,1.5444,0.015038,1.225,1.225,1.2526,1.2159,1.2159,1.2292,1.285,0.59199,0.62866,0.62866,0.62866,0.62866,0.59199,0.57262,0.59199,0.73035,0.59199,0.66532,0.66532,0.66532,0.66532,0.66532,0.66532,0.66771
ESP,-35.8754,-35.0876,-34.3594,-34.6692,-32.6816,-34.5776,-35.3189,-34.8084,-35.1744,-38.341,-39.523,-40.5863,-39.0835,-38.6754,-38.8153,-38.2008,-40.275999999999996,-39.5164,-37.6583,-35.1546,-37.4195,-37.4148,-35.4599,-34.4158,-36.4573,-38.7268,-38.2292,-38.3278
EST,-1.4895,-1.3682,-0.86167,-1.8766,-1.3675,-1.6956,-1.7665,-2.0279,-2.7348,-2.8842,-3.3916,-1.6636,-2.4224,-2.7762,-2.8396,-2.9317,-3.1895,-3.5589999999999997,-3.3821,-3.2451,-2.1448,-2.5162,-2.6238,-1.6540000000000001,-1.8318,-2.3822,-2.7452,-1.7927
ETH,-27.139,-20.833000000000002,-16.076,-14.7218,-23.69,74.8158,51.1421,53.0957,55.9072,57.4837,106.9733,123.2322,115.3768,117.3922,67.0674,64.80199999999999,67.3816,64.9625,81.1688,75.5863,80.5923,105.8241,36.4751,32.1306,16.945,17.2582,23.0412,21.7858
FIN,-14.7716,-27.1864,-21.0827,-21.2224,-14.5469,-14.0479,-21.3566,-17.2825,-15.5369,-17.8276,-18.885,-20.7645,-21.8415,-22.3242,-23.4886,-24.4275,-30.5481,-22.5653,-21.2854,-33.7492,-22.1495,-22.261999999999997,-24.7811,-19.0042,-21.7648,-20.0666,-18.526,-20.3777
