cat,IPCMLULUCF
clss,TOTAL
ent,KYOTOGHG
family,emi
gwp,AR4
note,"LULUCF data from different sources (one per country) were inter/extrapolated with constant values (interpolation & forward extrapolation: last value kept constant, backward extrapolation: first available value after 1990 used for 1990 to year of first available value). CRF2019: MCO; FAO2019BI: AFG, AGO, AIA, ALB, AND, ANT, ARE, ARG, ARM, ATG, AUS, AUT, AZE, BDI, BEL, BEN, BFA, BGD, BGR, BHR, BHS, BIH, BLR, BLZ, BOL, BRA, BRB, BRN, BTN, BWA, CAF, CAN, CHE, CHL, CHN, CIV, CMR, COD, COG, COK, COL, COM, CPV, CRI, CUB, CYP, CZE, DEU, DMA, DNK, DOM, DZA, ECU, EGY, ERI, ESP, EST, ETH, FIN, FJI, FRA, FSM, GAB, GBR, GEO, GHA, GIN, GMB, GNB, GNQ, GRC, GRD, GTM, GUY, HKG, HND, HRV, HTI, HUN, IDN, IND, IRL, IRN, IRQ, ISL, ISR, ITA, JAM, JPN, KAZ, KEN, KGZ, KHM, KIR, KNA, KOR, KWT, LAO, LBN, LBR, LCA, LIE, LKA, LSO, LTU, LUX, LVA, MAR, MDA, MDG, MDV, MEX, MKD, MLI, MLT, MMR, MNE, MNG, MOZ, MRT, MUS, MWI, MYS, NAM, NER, NGA, NIC, NIU, NLD, NOR, NPL, NZL, OMN, PAK, PAN, PCN, PER, PHL, PLW, PNG, POL, PRK, PRT, PRY, ROU, RUS, RWA, SDN, SEN, SGP, SLB, SLE, SLV, SOM, SRB, SSD, STP, SUR, SVK, SVN, SWE, SWZ, SYR, TCA, TCD, TGO, THA, TJK, TKM, TLS, TON, TTO, TUN, TUR, TUV, TWN, TZA, UGA, UKR, URY, USA, UZB, VCT, VEN, VGB, VNM, VUT, WSM, ZAF, ZMB, ZWE; UNFCCC2019BI: JOR, SAU, YEM"
scen,INTERLIN
srce,VARIOUSFAO
tablename,KYOTOGHG_IPCMLULUCF_TOTAL_NET_INTERLIN_VARIOUSFAO
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFG,1.4999999999999999e-05,1.4999999999999999e-05,1.4999999999999999e-05,1.4999999999999999e-05,1.4999999999999999e-05,1.4999999999999999e-05,0.00020690000000000001,0.0001296,0.0003092,8.23e-05,0.0006857,0.0,0.0,0.0,0.0,0.0,0.0002169,0.0,0.0,0.0002169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,106.8952,106.8952,106.8952,106.8952,106.8952,106.8952,114.9024,109.3307,120.67049999999998,113.20479999999999,112.27919999999999,90.1087,106.9117,113.8324,123.9109,122.423,96.36810000000001,118.78970000000001,95.88019999999999,98.9703,100.6642,132.8208,98.982,112.5915,94.12039999999999,114.5209,89.2471,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141,106.13527142857141
AIA,0.0,0.0,0.0,-0.036667,0.0,-0.036667,0.0,-0.036667,0.0,0.0,-0.036667,0.0,0.0,-0.036667,0.0,0.0,0.036667,0.07333300000000001,0.036667,0.036667,0.07333300000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286,0.01047614285714286
ALB,0.1027016,0.1027016,0.1027006,0.1027016,0.1027016,0.1027006,0.0954115,0.114618,0.0985454,0.0952544,0.15862300000000001,0.8648328000000001,0.8500200000000001,0.8620614,0.84995,0.8505708999999999,-0.24891270000000001,0.01235700000000002,-0.244148,-0.24435269999999998,-0.2479015,-0.295445,-0.292777,-0.3957278,-0.39678,-0.37864580000000003,-0.39495,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996,-0.34317529999999996
AND,0.0,0.0,-0.036667,-0.036667,0.0,-0.036667,0.0,-0.036667,0.0,-0.036667,0.0,-0.036667,-0.036667,-0.036667,0.0,-0.036667,-0.036667,-0.036667,-0.036667,-0.036667,-0.036667,-0.036667,-0.036667,0.0,-0.036667,0.0,0.0,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428,-0.020952571428571428
ANT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARE,-1.21,-1.21,-1.1733,-1.21,-1.1733,-1.21,-1.1733,-1.21,-1.1733,-1.1733,-1.21,-0.036667,-0.07333300000000001,-0.036667,-0.07333300000000001,-0.036667,-0.22,-0.22,-0.18333,-0.22,-0.22,-0.22,-0.22,-0.18333,-0.22,-0.22,-0.22,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858,-0.21476142857142858
ARG,80.403,80.403,80.403,80.403,80.403,80.403,71.95800000000001,71.82780000000001,73.3898,73.88749999999999,70.37040999999999,94.42460000000001,103.3745,104.8532,116.9224,105.0715,124.0392,114.6546,120.5908,123.88730000000001,105.9368,105.36749999999999,116.1548,104.6568,99.80874,97.34639999999999,101.88250000000001,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571,104.45050571428571
ARM,0.10761748,0.10759748,0.11014609999999998,0.1123911,0.1490611,0.1123911,0.14691189999999998,0.1102792,0.1490861,0.1102767,0.14667,0.1138073,0.1102169,0.1468869,0.1112691,0.1106209,0.1154804,0.1477222,0.1108353,0.14667,0.1285456,-0.14667,-0.1437278,-0.14518399999999998,-0.14667,-0.1454009,-0.14623619999999998,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428,-0.10647761428571428
ATG,0.0,0.0,-0.036667,0.0,-0.036667,0.0,-0.036667,0.0,-0.036667,0.0,-0.036667,0.0,0.0,0.0,0.0,0.0,0.07333300000000001,0.11,0.07333300000000001,0.11,0.07333300000000001,0.036667,0.0,0.0,0.0,0.0,0.0,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715,0.015714285714285715
