cat,IPC2
clss,TOTAL
ent,N2O
family,emi
gwp,AR4
note,calculated by the function combine_tables by Julia_dot_Nabel_at_pik_minus_potsdam_dot_de
scen,HISTORY
srce,UNFCCC2019BI
tablename,N2O_IPC2_TOTAL_NET_HISTORY_UNFCCC2019BI
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ARG,0.12185,nan,nan,nan,0.12985,nan,nan,0.14203,nan,nan,0.13973,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.11849000000000001,nan,0.13973,nan,nan,nan,nan
BRA,3.5253,4.3389,4.0528,5.1494,5.2061,5.5339,4.3717,3.9247,5.9809,5.966,6.2848,5.1643,6.3891,5.9302,8.1712,7.2176,7.7838,1.2993,1.1026,0.58408,0.6407,0.65262,0.55428,0.53938,0.60196,0.55428,nan
CHL,0.298,nan,nan,nan,0.298,nan,nan,nan,nan,nan,0.5066,nan,nan,nan,nan,nan,0.1997,nan,nan,nan,0.5066,nan,nan,0.5364,nan,nan,0.447
CHN,nan,nan,nan,nan,4.47,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.6774,nan,nan,nan,nan,nan,nan,75.99,nan,nan,nan,nan
COL,0.0596,nan,nan,nan,0.0745,nan,nan,nan,nan,nan,0.3278,nan,nan,nan,0.4023,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CUB,0.98936,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0447,nan,0.01788,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
EGY,0.298,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.8473,nan,nan,nan,nan,4.8473,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GEO,0.48067,0.49915,0.2831,0.21665,0.12575999999999998,0.15794,0.25092,0.27714,nan,nan,0.46002,0.30244,0.30256,0.30286,0.45531000000000005,0.54218,0.54833,0.61985,0.39635,0.73011,0.765,0.78652,0.7791600000000001,0.79251,nan,nan,nan
IDN,0.00298,0.00298,0.00298,0.01788,0.00298,nan,nan,nan,nan,nan,0.12814,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
IND,nan,nan,nan,nan,2.682,nan,nan,nan,nan,nan,3.8144,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.4168,nan,nan,nan,nan,nan,nan
ISR,nan,nan,nan,nan,nan,nan,0.51679,nan,nan,nan,0.48553999999999997,nan,nan,0.76058,0.8327200000000001,0.8333299999999999,0.78932,0.8638899999999999,0.8194899999999999,0.6702,0.74384,0.51261,0.80576,0.77284,0.8137800000000001,0.75539,nan
KOR,0.15496,0.37846,2.3363,2.3482,2.5777,3.0664,3.4747,4.178,4.7978,5.7276,6.5202,6.8927,6.6484,9.8638,12.1435,10.3138,9.5509,0.8761200000000001,0.27118000000000003,0.22648000000000001,0.19966,0.30396,0.20264000000000001,0.25628,0.34568000000000004,nan,nan
LCA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00041719999999999995,nan,nan,nan,nan,0.000596,nan,nan,nan,nan,0.0020264,nan,nan,nan,nan,nan,nan
MDA,2.98e-05,2.98e-05,2.98e-05,2.98e-05,2.98e-05,nan,5.96e-07,8.94e-07,1.49e-06,1.2814000000000001e-05,1.192e-05,nan,1.192e-05,1.192e-05,2.98e-05,2.98e-05,2.98e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MEX,0.52746,0.62956,0.32685,0.40765999999999997,0.44628999999999996,0.8419700000000001,1.0581,0.8178300000000001,0.7438100000000001,0.61811,0.26807,0.2236,0.11582999999999999,0.10762000000000001,0.10678,0.11239,0.12762,0.12705,0.13421,0.14246,0.14877,0.15334,0.1613,0.16754000000000002,nan,nan,nan
PRK,2.086,nan,nan,nan,2.98,nan,nan,nan,nan,nan,0.298,nan,0.298,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
TKM,nan,nan,nan,nan,0.33573000000000003,nan,nan,nan,nan,nan,0.38582,nan,nan,nan,0.3854,nan,nan,nan,nan,nan,0.26671,nan,nan,nan,nan,nan,nan
URY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0056619999999999995,nan,nan,nan,0.005364,nan,nan,nan,nan,nan,0.0035759999999999998,nan,0.00298,nan,0.002384,nan,nan
UZB,1.6032,2.086,2.0115,1.7373,1.3261,1.4006,1.4989,1.3261,1.3857,1.2158,1.2367,1.2784,1.2218,1.2754,1.3589,1.4215,1.49,1.6658,1.7254,1.6926,1.7195,1.7135,1.7135,nan,nan,nan,nan
ZWE,nan,nan,nan,nan,1.8029,nan,nan,nan,nan,nan,0.00298,nan,nan,nan,nan,nan,0.24019000000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
