cat,IPCMAG
clss,TOTAL
ent,N2O
family,emi
gwp,AR4
note,Read in by JG and RG
scen,HISTORY
srce,UNFCCC2019BI
tablename,N2O_IPCMAG_TOTAL_NET_HISTORY_UNFCCC2019BI
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ALB,0.00894,0.00894,0.00894,0.00894,0.00894,0.00894,0.00894,0.00894,0.00894,0.00894,0.0030992,0.0030992,0.0031081,0.0030992,0.0030992,0.0032393,0.0030992,0.0030694000000000003,0.0030605,0.0030396,nan,nan,nan,nan,nan,nan,nan
ARE,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.5628,nan,nan,nan,nan,2.3244,nan,nan,nan,nan,nan,nan,nan,nan,0.09864400000000001,nan,nan
ARG,48.3889,nan,nan,nan,52.843999999999994,nan,nan,57.7557,nan,nan,62.8551,nan,nan,nan,nan,nan,nan,nan,nan,nan,69.52600000000001,nan,67.41,nan,nan,nan,nan
ARM,0.048276,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.39366,nan,nan,nan,nan,nan,0.57812,nan,nan,nan,0.37742,nan,nan,nan,nan,nan,nan
AZE,3.4121,1.7284,1.9221,1.5138,1.2576,1.1294,1.1473,1.347,1.5526,2.1486,2.2529,2.3363,2.4823,2.5509,2.6433,2.7416,2.7625,2.9651,2.9085,3.0694,3.0158,2.9681,3.0098,2.5082,nan,nan,nan
BGD,nan,nan,nan,nan,4.2683,nan,nan,nan,nan,nan,nan,14.5096,nan,nan,nan,16.9085,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
BIH,2.6671,2.1754,1.5019,0.70328,0.8046,0.8880399999999999,1.0192,1.0579,1.0758,1.1592,1.1264,1.2933,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.788,1.49,nan,nan
BOL,0.4023,nan,nan,nan,0.63772,nan,nan,nan,0.6228199999999999,nan,0.6705,nan,1.0353,nan,1.1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
BRA,90.4549,92.7674,95.36,96.4,99.7317,101.3677,95.056,98.1821,100.4945,101.2336,106.0671,109.2915,113.9135,122.8892,125.1183,127.8331,129.0429,132.7381,133.5219,135.2533,140.6798,147.3252,146.3478,150.037,153.02,152.1409,nan
CAF,nan,nan,nan,nan,10.0486,nan,nan,nan,nan,nan,nan,nan,nan,2.4406,2.4406,2.4406,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CHL,4.768,nan,nan,nan,5.2448,nan,nan,nan,nan,nan,5.3342,nan,nan,nan,nan,nan,6.9887,nan,nan,nan,5.513,nan,nan,5.0064,nan,nan,4.7382
CHN,nan,nan,nan,nan,234.52599999999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,279.524,nan,nan,nan,nan,nan,nan,439.55,nan,nan,nan,nan
COL,22.6459,nan,nan,nan,26.0756,nan,nan,nan,nan,nan,30.7417,nan,nan,nan,31.6059,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CRI,0.14192000000000002,nan,nan,nan,nan,nan,2.2743,nan,nan,nan,2.414,nan,nan,nan,nan,2.399,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CUB,4.6875,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.8966,nan,2.5568,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DMA,nan,nan,nan,nan,0.009387000000000001,nan,nan,nan,nan,nan,0.030177999999999996,0.027187,0.02522,0.027007999999999997,0.017859,0.024058,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DOM,0.7390399999999999,nan,nan,nan,0.65262,nan,nan,nan,2.471,nan,2.6534,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.5032,nan,nan,nan,nan,nan,nan
EGY,6.3474,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.476,nan,nan,nan,nan,22.9043,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ETH,2.086,3.278,3.278,3.278,10.0377,8.842,9.6067,11.0664,11.2795,11.3209,10.6573,10.8824,13.1346,12.5789,14.0666,8.1505,15.7665,10.5856,18.5281,19.1522,19.993,16.6679,20.2648,20.3455,nan,nan,nan
GEO,nan,1.3535,1.2507,0.79894,0.8063899999999999,0.7882100000000001,0.88685,nan,nan,nan,1.2009,1.347,1.49,1.49,1.3261,1.633,1.38,1.0984,1.0978,1.1425,1.0296,0.998,1.0692,1.2069,nan,nan,nan
