cat,DEMOGR
clss,TOTAL
ent,POP
family,pop
note,Scenario based on RCPSSP IAM scenario dowscaled to country level using GDP data from SSP scenarios. For methodology see Guetschow et al. 2017
scen,SSP2BLMESGB
srce,PMSSPBIEMISC
tablename,POP_DEMOGR_TOTAL_NET_SSP2BLMESGB_PMSSPBIEMISC
tpe,NET
unit,Pers
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFG,12412308.0,13299017.0,14485546.0,15816603.0,17075727.0,18110657.0,18853437.0,19357126.0,19737765.0,20170844.0,20779953.0,21606988.0,22600770.0,23680871.0,24726684.0,25654277.0,26433049.0,27100536.0,27722276.0,28394813.0,29185507.0,30117413.0,31161376.0,32269589.0,33370794.0,34413603.0,35383032.0,36296113.0,37116409.5339,38064715.4434,39027650.5515,40009748.1231,41014700.0951,42040910.2292,43086872.1816,44151174.0039,45235927.7603,46339048.0349,47452757.9942,48569087.3353,49679872.7912,50798647.4492,51939252.5938,53093653.2138,54253541.6945,55410325.5017,56564285.0722,57717906.5298,58865527.5153,60001268.331999995,61119031.87100001,62231443.2779,63353045.6329,64480374.3057,65609852.9318,66737791.7207,67860330.1867,68973516.7182,70073308.6175,71155487.4915,72215656.4411
AGO,11848386.0,12248901.0,12657366.0,13075049.0,13503747.0,13945206.0,14400719.0,14871570.0,15359601.0,15866869.0,16395473.0,16945753.0,17519417.0,18121479.0,18758145.0,19433602.0,20149901.0,20905363.0,21695634.0,22514281.0,23356246.0,24220661.0,25107931.0,26015781.0,26941779.0,27884381.0,28842489.0,29816766.0,30501472.8315,31334538.3518,32167584.8879,33004227.2865,33849463.1145,34699993.0089,35552528.6842,36403790.8049,37253399.6046,38101683.5081,38946434.7805,39785451.0958,40616535.3582,41440343.4672,42259793.4077,43076086.1092,43890424.4711,44704014.0912,45515492.975,46321827.3372,47121727.3222,47913915.1482,48697124.1165,49474253.8691,50248581.4005,51019411.4677,51786046.6063,52547788.117,53302663.0033,54047478.0146,54779713.8063,55496864.1713,56196435.3655
ALB,3286073.0,3280395.0,3245886.0,3195199.0,3146519.0,3112936.0,3098700.0,3099752.0,3110682.0,3122697.0,3129243.0,3129704.0,3126187.0,3118023.0,3104892.0,3086810.0,3063021.0,3033998.0,3002678.0,2973048.0,2948023.0,2928592.0,2914096.0,2903790.0,2896305.0,2890513.0,2886438.0,2884169.0,2866168.0575,2871355.8936,2876011.5583,2880390.3043,2884695.9056,2888692.4025,2892143.6983,2894813.5147,2897021.0093,2899097.385,2900824.4947,2901984.5068,2902359.9405,2902006.6197,2901193.4108,2900022.9673,2898598.3269,2897022.9272,2894871.9767,2891808.7745,2888069.2765,2883889.5277,2879505.6289999997,2874801.5234,2869572.7002,2863922.7657,2857955.5711,2851775.2329,2845268.7548,2838305.6414,2830964.0239999997,2823322.1127,2815458.1959
ARE,1828432.0,1937153.0,2052891.0,2173139.0,2294385.0,2415090.0,2539126.0,2671362.0,2813214.0,2966034.0,3134062.0,3302719.0,3478777.0,3711932.0,4068570.0,4588225.0,5300174.0,6168838.0,7089487.0,7917372.0,8549988.0,8946777.0,9141596.0,9197910.0,9214175.0,9262900.0,9360980.0,9487203.0,10236469.9527,10465349.3219,10699159.0476,10938310.6879,11174090.6303,11406769.9262,11636619.5241,11863910.033,12087994.9712,12308210.3534,12524801.3014,12738013.9824,12948095.2134,13155764.7441,13361390.4638,13564691.2363,13765385.275,13963190.102,14158013.2105,14349470.3982,14536840.5261,14719401.5263,14896430.1096,15069387.1246,15239727.4413,15406717.2511,15569622.1945,15727707.3488,15880339.8693,16027263.5736,16168305.8982,16303290.7211,16432037.7995
ARG,32618651.0,33079000.0,33529326.0,33970111.0,34402672.0,34828170.0,35246374.0,35657429.0,36063459.0,36467218.0,36870787.0,37275652.0,37681749.0,38087868.0,38491972.0,38892931.0,39289878.0,39684295.0,40080160.0,40482788.0,40895752.0,41320500.0,41755196.0,42196030.0,42637511.0,43075416.0,43508460.0,43937140.0,44233768.3539,44537649.0192,44831396.6297,45118177.2934,45401918.0141,45682563.0226,45960055.1727,46234337.1993,46502722.2683,46762256.9522,47012483.9945,47252944.4856,47483177.2257,47707581.0711,47930418.1137,48151022.2211,48368730.593,48582883.9336,48791534.7328,48991643.1491,49180911.8071,49357041.1281,49517730.1833,49670248.4244,49822867.3453,49974787.5672,50125211.526999995,50273347.3829,50413699.67600001,50538552.4704,50643786.8607,50725280.8207,50778910.7308
ARM,3538171.0,3505258.0,3442817.0,3363108.0,3283667.0,3217348.0,3168221.0,3133089.0,3108687.0,3089022.0,3069591.0,3050687.0,3033978.0,3017932.0,3000720.0,2981269.0,2958307.0,2932618.0,2907618.0,2888092.0,2877319.0,2876538.0,2884234.0,2897588.0,2912409.0,2925553.0,2936143.0,2944791.0,2916997.1926,2908168.9287,2898618.2414,2888348.1157,2877337.7868,2865911.3993,2854392.7041,2843105.2404,2832120.5767,2821230.5358,2810339.8544,2799354.3285,2788180.7597,2776847.2689,2765320.4591,2753416.5109,2740952.9086,2727748.68,2713743.2673,2699090.4325,2683930.2757,2668400.2851,2652635.1279,2636413.0211,2619559.2998,2602275.2814,2584759.6689,2567208.5004,2549391.4126,2531064.4563,2512400.874,2493573.2412,2474753.4555
AUS,16960597.0,17189240.0,17402173.0,17603205.0,17798529.0,17993074.0,18189277.0,18387214.0,18587021.0,18788186.0,18991431.0,19194672.0,19401368.0,19624166.0,19879649.0,20178540.0,20526303.0,20916344.0,21332282.0,21750851.0,22154679.0,22538001.0,22903948.0,23254913.0,23596424.0,23932502.0,24262712.0,24584620.0,25032488.6957,25397516.3414,25761615.6517,26126322.5308,26491974.2524,26856803.6011,27219048.1295,27576949.8094,27930263.6837,28279907.1571,28625861.8525,28968100.3429,29306586.3428,29641502.1373,29973541.5595,30303422.1915,30631852.6951,30959533.0155,31286064.5804,31610719.7694,31933697.6156,32255195.9928,32575411.5658,32895298.6578,33215259.411999997,33534657.4483,33852851.1827,34169193.7623,34484087.8169,34797839.6335,35109652.8183,35418729.5701,35724270.7114
AUT,7723949.0,7772701.0,7830933.0,7892086.0,7947209.0,7990121.0,8017863.0,8032876.0,8041050.0,8051113.0,8069276.0,8097748.0,8134412.0,8175852.0,8216805.0,8253650.0,8285343.0,8313737.0,8341532.0,8372663.0,8409949.0,8453501.0,8502227.0,8556189.0,8615214.0,8678660.0,8747301.0,8819901.0,8810401.5234,8838210.4242,8865839.2501,8893645.3782,8921569.0822,8949267.6897,8976398.4018,9002618.2581,9028081.126,9052960.5482,9076943.1684,9099715.9559,9120966.2404,9141021.654,9160395.6935,9179055.0902,9196966.963,9214098.8189,9230399.9989,9245888.9631,9260637.2303,9274716.3642,9288197.9584,9301504.6075,9314776.6006,9327662.2977,9339810.2842,9350869.329,9361379.4949,9371676.7751,9381103.9766,9389003.9311,9394719.5194
AZE,7242761.0,7357948.0,7471926.0,7581754.0,7683708.0,7775424.0,7855553.0,7925668.0,7989905.0,8054126.0,8122741.0,8197298.0,8277061.0,8361433.0,8448946.0,8538605.0,8630146.0,8724243.0,8821873.0,8924388.0,9032461.0,9146275.0,9264692.0,9385468.0,9505622.0,9622745.0,9736043.0,9845320.0,9931968.9854,10013133.5396,10084548.3469,10148173.5913,10207863.752,10263827.2461,10316271.5357,10365403.1717,10411587.9768,10455387.9172,10497298.4286,10537809.3714,10577405.6562,10616221.0077,10653747.9155,10689501.4629,10722991.1101,10753721.5205,10782630.6396,10810415.4389,10836221.962000001,10859203.6791,10878520.428,10895994.4062,10912839.354,10927309.6155,10937663.7053,10942162.5532,10942809.0541,10942870.1558,10942503.2806,10941866.2898,10941117.515999999
BDI,5438957.0,5564926.0,5685565.0,5798053.0,5898967.0,5987043.0,6060111.0,6122130.0,6185562.0,6267124.0,6378871.0,6525545.0,6704113.0,6909154.0,7131693.0,7364862.0,7607849.0,7862214.0,8126102.0,8397668.0,8675602.0,8958406.0,9245988.0,9540291.0,9844299.0,10160030.0,10487995.0,10827019.0,11027484.8471,11290179.9983,11546399.6629,11796707.064000001,12043174.6845,12285968.0625,12525252.1538,12761190.9973,12992540.4493,13218714.0819,13440863.1008,13660139.8691,13877697.2205,14093693.4079,14307875.4399,14520778.9609,14732939.3611,14944892.1343,15156136.9942,15365580.7131,15572868.9243,15777646.2208,15979556.1573,16180002.6052,16380025.6356,16578722.3539,16775189.7465,16968524.5133,17158118.3979,17343494.421,17523944.7432,17698759.8973,17867228.6407
