cat,DEMOGR
clss,TOTAL
ent,POP
family,pop
note,Scenario based on RCPSSP IAM scenario dowscaled to country level using GDP data from SSP scenarios. For methodology see Guetschow et al. 2017
scen,SSP3BLAIMCGE
srce,PMSSPBIEMISC
tablename,POP_DEMOGR_TOTAL_NET_SSP3BLAIMCGE_PMSSPBIEMISC
tpe,NET
unit,Pers
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABW,62149.0,64622.0,68235.0,72504.0,76700.0,80324.0,83200.0,85451.0,87277.0,89005.0,90853.0,92898.0,94992.0,97017.0,98737.0,100031.0,100834.0,101222.0,101358.0,101455.0,101669.0,102046.0,102560.0,103159.0,103774.0,104341.0,104872.0,105366.0,106211.7446,107259.716,108283.1093,109290.3133,110272.2429,111232.7437,112175.6558,113104.8242,114017.4736,114903.23,115754.5318,116563.7935,117323.4048,118039.6628,118726.4452,119387.5112,120026.646,120647.662,121247.9852,121827.6566,122394.4592,122956.2141,123520.7808,124083.993,124641.1386,125199.3162,125765.6645,126347.3611,126940.552,127538.4081,128143.6566,128759.0046,129387.1432
AFG,12412308.0,13299017.0,14485546.0,15816603.0,17075727.0,18110657.0,18853437.0,19357126.0,19737765.0,20170844.0,20779953.0,21606988.0,22600770.0,23680871.0,24726684.0,25654277.0,26433049.0,27100536.0,27722276.0,28394813.0,29185507.0,30117413.0,31161376.0,32269589.0,33370794.0,34413603.0,35383032.0,36296113.0,37267863.8744,38387741.4701,39539696.0373,40731621.9382,41970025.3894,43250027.2641,44566928.5663,45916217.8591,47300535.3114,48718264.1476,50158656.4034,51610981.294,53064536.7573,54527850.4309,56014539.15,57521311.9644,59044532.1484,60580206.7292,62131228.2049,63703248.1887,65296021.2437,66909136.9175,68542015.2362,70198026.6893,71879502.5199,73584106.6928,75309410.5766,77052890.396,78818617.3103,80607064.0962,82410316.2123,84220569.5811,86030134.0962
AGO,11848386.0,12248901.0,12657366.0,13075049.0,13503747.0,13945206.0,14400719.0,14871570.0,15359601.0,15866869.0,16395473.0,16945753.0,17519417.0,18121479.0,18758145.0,19433602.0,20149901.0,20905363.0,21695634.0,22514281.0,23356246.0,24220661.0,25107931.0,26015781.0,26941779.0,27884381.0,28842489.0,29816766.0,30547829.8172,31440996.5107,32350623.2178,33285246.8429,34249882.4685,35236597.2018,36237428.2647,37244379.644,38256384.894,39274971.4162,40296059.5673,41315632.9823,42329731.4406,43340212.0467,44351602.6611,45363973.5209,46377380.5788,47391868.0223,48404383.2471,49413747.4113,50422809.2767,51434418.8947,52451426.8616,53477769.8952,54513648.124,55556300.8215,56602959.0765,57650846.4754,58698012.7672,59742517.9214,60781607.7893,61812542.9542,62832596.7577
ALB,3286073.0,3280395.0,3245886.0,3195199.0,3146519.0,3112936.0,3098700.0,3099752.0,3110682.0,3122697.0,3129243.0,3129704.0,3126187.0,3118023.0,3104892.0,3086810.0,3063021.0,3033998.0,3002678.0,2973048.0,2948023.0,2928592.0,2914096.0,2903790.0,2896305.0,2890513.0,2886438.0,2884169.0,2873779.8957,2886418.8506,2898023.3648,2909580.235,2922147.8412,2935332.1783,2948740.3009,2961979.5393,2975260.9069999997,2988764.9397,3002052.1079,3014681.2735,3026209.383,3036390.8142,3045326.6175,3053094.8575,3059777.0439,3065457.979,3070335.2431,3074634.7715,3078487.123,3082023.9879,3085378.1213,3088490.2181,3091239.2207,3093665.1657,3095806.8658,3097701.8126,3099602.3417,3101717.7262,3104019.7812,3106480.1524,3109070.2013
ARE,1828432.0,1937153.0,2052891.0,2173139.0,2294385.0,2415090.0,2539126.0,2671362.0,2813214.0,2966034.0,3134062.0,3302719.0,3478777.0,3711932.0,4068570.0,4588225.0,5300174.0,6168838.0,7089487.0,7917372.0,8549988.0,8946777.0,9141596.0,9197910.0,9214175.0,9262900.0,9360980.0,9487203.0,10202417.2604,10392822.7557,10579651.4181,10763074.2147,10938237.8509,11107463.1627,11273076.175999999,11437412.6495,11598884.3627,11754922.4059,11906383.0481,12054095.9965,12198862.2099,12341337.8956,12481669.048,12619875.2265,12755983.6653,12890029.3375,13022050.8221,13151813.2073,13278946.8711,13403082.0139,13523848.7024,13642497.2271,13759936.6096,13875292.0485,13987698.0421,14096298.2607,14200276.5219,14299577.0928,14394474.2802,14485219.3821,14572040.6653
ARG,32618651.0,33079000.0,33529326.0,33970111.0,34402672.0,34828170.0,35246374.0,35657429.0,36063459.0,36467218.0,36870787.0,37275652.0,37681749.0,38087868.0,38491972.0,38892931.0,39289878.0,39684295.0,40080160.0,40482788.0,40895752.0,41320500.0,41755196.0,42196030.0,42637511.0,43075416.0,43508460.0,43937140.0,44343032.5368,44766787.8046,45192015.8409,45622306.8586,46060833.9108,46506763.8076,46959266.6343,47417517.6529,47878447.2321,48338417.5405,48795753.5295,49248776.2068,49695803.0143,50138376.8602,50579419.9942,51019319.0516,51458463.6415,51897245.8738,52335885.0614,52774419.7133,53212973.2275,53651669.8866,54090634.5073,54530011.467,54969936.9386,55410525.8106,55851895.775,56294167.1593,56736465.0784,57177551.7983,57617005.0435,58054402.8574,58489324.3076
ARM,3538171.0,3505258.0,3442817.0,3363108.0,3283667.0,3217348.0,3168221.0,3133089.0,3108687.0,3089022.0,3069591.0,3050687.0,3033978.0,3017932.0,3000720.0,2981269.0,2958307.0,2932618.0,2907618.0,2888092.0,2877319.0,2876538.0,2884234.0,2897588.0,2912409.0,2925553.0,2936143.0,2944791.0,2925400.3081,2925649.8678,2925431.3911,2925235.8789,2925449.2323,2925852.4806,2926227.1999,2926355.2785,2926345.2643,2926425.0923,2926556.0354,2926699.4987,2926816.9733,2926719.643,2926215.2893,2925260.5532,2923812.5176,2921829.0192,2919382.7835,2916578.0273,2913420.8316,2909917.5889,2906075.0781,2902071.1642,2898068.3839999996,2894051.2285,2890004.8684,2885915.3515,2881722.9527,2877343.5710000005,2872728.4037,2867830.0074,2862602.3676
AUS,16960597.0,17189240.0,17402173.0,17603205.0,17798529.0,17993074.0,18189277.0,18387214.0,18587021.0,18788186.0,18991431.0,19194672.0,19401368.0,19624166.0,19879649.0,20178540.0,20526303.0,20916344.0,21332282.0,21750851.0,22154679.0,22538001.0,22903948.0,23254913.0,23596424.0,23932502.0,24262712.0,24584620.0,24927134.1475,25166658.1815,25380951.2953,25577993.402,25768727.582,25953446.0837,26132426.249,26305932.1733,26474047.6159,26636842.9996,26794541.9113,26947353.48,27095473.2228,27234843.3485,27362664.4263,27481045.5256,27592141.1755,27698149.7431,27800245.9101,27898151.6765,27991932.8849,28081673.4564,28167474.3543,28250761.0834,28331044.0302,28405549.8698,28471487.5745,28526050.4284,28575027.5058,28623918.4986,28669471.9177,28708432.1525,28737536.9625
AUT,7723949.0,7772701.0,7830933.0,7892086.0,7947209.0,7990121.0,8017863.0,8032876.0,8041050.0,8051113.0,8069276.0,8097748.0,8134412.0,8175852.0,8216805.0,8253650.0,8285343.0,8313737.0,8341532.0,8372663.0,8409949.0,8453501.0,8502227.0,8556189.0,8615214.0,8678660.0,8747301.0,8819901.0,8788164.636,8789621.1198,8785345.1767,8776718.9824,8766467.6336,8755452.8512,8744535.4246,8734576.9917,8723770.2582,8710262.7439,8694850.9171,8678333.5378,8661512.4677,8642292.4656,8618786.5391,8592108.8631,8563368.4999,8533668.3763,8502746.7129,8469916.0512,8435634.3552,8400356.9894,8364536.4565,8327833.9804,8289468.6988,8249229.5559,8206908.052999999,8162298.5923,8115775.442000001,8067934.7632,8018906.7813,7968822.3037,7917812.7041
AZE,7242761.0,7357948.0,7471926.0,7581754.0,7683708.0,7775424.0,7855553.0,7925668.0,7989905.0,8054126.0,8122741.0,8197298.0,8277061.0,8361433.0,8448946.0,8538605.0,8630146.0,8724243.0,8821873.0,8924388.0,9032461.0,9146275.0,9264692.0,9385468.0,9505622.0,9622745.0,9736043.0,9845320.0,9937804.4836,10025155.2828,10103331.9174,10174332.9721,10241821.2525,10305885.4242,10366605.7215,10424054.8397,10478272.3199,10529793.287999999,10579425.2344,10627971.7256,10676232.9899,10724554.8054,10772297.6997,10818772.1866,10863276.4119,10905097.5638,10945216.0874,10984636.0387,11022672.3954,11058639.3377,11091850.8588,11123962.1109,11156448.0782,11188349.6182,11218703.3734,11246542.2393,11272482.0515,11297252.9076,11320055.2936,11340088.3352,11356550.9081
