cat,DEMOGR
clss,TOTAL
ent,POP
family,pop
note,Scenario based on RCPSSP IAM scenario dowscaled to country level using GDP data from SSP scenarios. For methodology see Guetschow et al. 2017Check info_per_country.csv for further information.
scen,SSP4BLGCAM4FILLED
srce,PMSSPBIEMISC
tablename,POP_DEMOGR_TOTAL_NET_SSP4BLGCAM4FILLED_PMSSPBIEMISC
tpe,NET
unit,Pers
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABW,62149.0,64622.0,68235.0,72504.0,76700.0,80324.0,83200.0,85451.0,87277.0,89005.0,90853.0,92898.0,94992.0,97017.0,98737.0,100031.0,100834.0,101222.0,101358.0,101455.0,101669.0,102046.0,102560.0,103159.0,103774.0,104341.0,104872.0,105366.0,106224.43280000001,107285.1025,108327.88023333333,109365.28566666668,110384.80570000001,111385.62043333333,112366.92923333333,113327.95466666667,114260.3972,115155.0947,116009.97996666667,116822.96100000001,117591.91600000001,118330.80923333333,119056.07250000001,119769.27556666666,120472.01846666668,121165.9427,121837.80263333333,122471.07166666666,123062.52143333333,123608.93886666668,124107.12479999999,124579.833,125048.95106666668,125510.00516666665,125958.5323,126390.0714,126819.24066666665,127258.11366666667,127698.36893333333,128131.60906666667,128549.34426666668
AFG,12412308.0,13299017.0,14485546.0,15816603.0,17075727.0,18110657.0,18853437.0,19357126.0,19737765.0,20170844.0,20779953.0,21606988.0,22600770.0,23680871.0,24726684.0,25654277.0,26433049.0,27100536.0,27722276.0,28394813.0,29185507.0,30117413.0,31161376.0,32269589.0,33370794.0,34413603.0,35383032.0,36296113.0,37233871.9556,38313714.2915,39420583.6383,40561678.1895,41742270.6945,42957617.2117,44202950.0873,45473473.4982,46779886.6975,48126157.7924,49496989.4669,50876542.3282,52248417.2106,53626051.8913,55032317.6633,56464238.0654,57918409.8294,59390986.491000004,60875855.1568,62366577.8383,63858080.5982,65344739.0037,66820346.9554,68304736.0814,69822113.7919,71372449.4882,72955805.9769,74572342.0909,76225882.8241,77917763.5065,79644821.3477,81404359.1771,83194160.9446
AGO,11848386.0,12248901.0,12657366.0,13075049.0,13503747.0,13945206.0,14400719.0,14871570.0,15359601.0,15866869.0,16395473.0,16945753.0,17519417.0,18121479.0,18758145.0,19433602.0,20149901.0,20905363.0,21695634.0,22514281.0,23356246.0,24220661.0,25107931.0,26015781.0,26941779.0,27884381.0,28842489.0,29816766.0,30562095.3791,31471103.8397,32397946.8194,33350620.3246,34333625.8649,35338892.5537,36358334.7518,37383848.0825,38414419.5533,39451647.8692,40491397.7143,41529618.7421,42562337.5837,43590380.4937,44617723.323,45645163.0706,46673490.3746,47703490.7457,48731145.7669,49754161.5089,50775914.6678,51799790.0005,52829178.5231,53867650.6856,54914787.3061,55967991.381000005,57024655.9561,58082164.6134,59139140.3488,60193738.1599,61242649.5374,62282587.6537,63310286.0851
AIA,8899.0,9135.0,9332.0,9493.0,9664.0,9866.0,10117.0,10388.0,10684.0,10971.0,11252.0,11515.0,11761.0,12001.0,12233.0,12453.0,12661.0,12868.0,13063.0,13258.0,13438.0,13620.0,13795.0,13954.0,14112.0,14279.0,14429.0,14584.0,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666
ALB,3286073.0,3280395.0,3245886.0,3195199.0,3146519.0,3112936.0,3098700.0,3099752.0,3110682.0,3122697.0,3129243.0,3129704.0,3126187.0,3118023.0,3104892.0,3086810.0,3063021.0,3033998.0,3002678.0,2973048.0,2948023.0,2928592.0,2914096.0,2903790.0,2896305.0,2890513.0,2886438.0,2884169.0,2863979.3838,2866144.5533,2866531.6668,2865863.0271,2865258.8363,2864746.1029,2864351.6631,2864102.2610000004,2862934.6414,2860071.1618,2855968.3943,2851085.2082,2845882.8047,2840445.5715,2834591.4237,2828383.9207,2821887.5621,2815167.9361,2807942.9716,2799906.0887,2791087.4734,2781517.8988,2771228.5994,2760311.4347,2748935.6748,2737247.7435,2725392.5,2713513.3198,2701456.1072,2689036.0212,2676349.2317,2663491.875,2650560.1174
AND,54509.0,56671.0,58888.0,60971.0,62677.0,63850.0,64360.0,64327.0,64142.0,64370.0,65390.0,67341.0,70049.0,73182.0,76244.0,78867.0,80993.0,82684.0,83862.0,84463.0,84449.0,83747.0,82427.0,80774.0,79213.0,78011.0,77297.0,77001.0,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5
ANT,188501.0,189516.0,190415.0,190973.0,190940.0,190149.0,188569.0,186357.0,183789.0,181258.0,179097.0,177322.0,175965.0,175362.0,175954.0,177967.0,181590.0,186648.0,192579.0,198660.0,204300.0,209366.0,213900.0,217882.0,221368.0,224385.0,226880.0,228842.0,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5
ARE,1828432.0,1937153.0,2052891.0,2173139.0,2294385.0,2415090.0,2539126.0,2671362.0,2813214.0,2966034.0,3134062.0,3302719.0,3478777.0,3711932.0,4068570.0,4588225.0,5300174.0,6168838.0,7089487.0,7917372.0,8549988.0,8946777.0,9141596.0,9197910.0,9214175.0,9262900.0,9360980.0,9487203.0,10227879.5288,10447545.2581,10671461.487,10900508.425,11126119.0462,11348012.9746,11565907.3774,11779518.261,11986941.3039,12187388.2409,12382243.7174,12572879.3583,12760649.3454,12946553.548,13130229.5925,13310974.5727,13488085.935999999,13660861.3915,13829624.2578,13994589.5915,14154890.6444,14309657.6598,14458017.7109,14601897.527,14742806.6611,14879247.7373,15009728.4543,15132761.7232,15248528.9053,15357892.7255,15460380.6994,15555504.3783,15642758.7343
ARG,32618651.0,33079000.0,33529326.0,33970111.0,34402672.0,34828170.0,35246374.0,35657429.0,36063459.0,36467218.0,36870787.0,37275652.0,37681749.0,38087868.0,38491972.0,38892931.0,39289878.0,39684295.0,40080160.0,40482788.0,40895752.0,41320500.0,41755196.0,42196030.0,42637511.0,43075416.0,43508460.0,43937140.0,44184578.3571,44433042.2839,44665592.0044,44887829.7232,45105266.0878,45316990.1773,45522077.8914,45719594.2653,45905880.5445,46077853.5811,46235439.338999994,46378567.41,46507168.5839,46629481.6621,46752644.0216,46874927.8258,46994600.3872,47109928.4956,47217136.3016,47308380.4623,47375826.1837,47411644.9619,47408028.7649,47387964.6548,47377338.2927,47372741.1639,47370791.1217,47368123.1213,47357561.0127,47336558.5683,47308710.0698,47277625.336,47246935.2986
ARM,3538171.0,3505258.0,3442817.0,3363108.0,3283667.0,3217348.0,3168221.0,3133089.0,3108687.0,3089022.0,3069591.0,3050687.0,3033978.0,3017932.0,3000720.0,2981269.0,2958307.0,2932618.0,2907618.0,2888092.0,2877319.0,2876538.0,2884234.0,2897588.0,2912409.0,2925553.0,2936143.0,2944791.0,2913941.4738,2901680.416,2888275.4655,2873772.5206,2858283.1141,2842220.9186,2825997.707,2810023.7323,2794217.8967,2778268.5622,2762240.0606,2746197.6960000005,2730207.7531,2713888.2542,2696846.8291,2679133.0967,2660794.2371,2641874.951,2622268.8669,2601959.1461,2581120.0009,2559921.5208,2538529.4514,2516781.6994,2494444.0664,2471571.5711,2448220.261,2424447.2365,2400349.0786,2376033.0319,2351574.8311,2327052.6897,2302547.3231
