cat,IPC1
clss,TOTAL
ent,CH4
family,emi
gwp,AR4
note,Read in by JG and RG
scen,HISTORY
srce,UNFCCC2019BI
tablename,CH4AR4_IPC1_TOTAL_NET_HISTORY_UNFCCC2019BI
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ALB,0.20475,0.28125,0.28025,0.276,0.1685,0.04275,0.15075,0.13275,0.1255,0.10975,0.11813,0.11865,0.12293,0.1282,0.13573,0.11525,0.13452999999999998,0.1363,0.13758,0.1376,nan,nan,nan,nan,nan,nan,nan
ARE,nan,nan,nan,nan,9.9,nan,nan,nan,nan,nan,19.925,nan,nan,nan,nan,25.275,nan,nan,nan,nan,nan,nan,nan,nan,0.19275,nan,nan
ARG,10.6151,nan,nan,nan,13.0575,nan,nan,14.7102,nan,nan,14.572000000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.4685,nan,9.5958,nan,nan,nan,nan
ARM,2.0536,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.60193,nan,nan,nan,nan,nan,0.7431800000000001,nan,nan,nan,0.89102,nan,nan,nan,nan,nan,nan
AZE,10.855,9.6973,7.7287,6.6457,6.1355,6.5048,5.648,5.2935,4.7498,5.063,4.825,5.5329999999999995,5.337999999999999,5.2915,5.2748,5.7875,6.6525,9.365,13.575,13.23,13.3675,12.9875,13.7,13.3038,nan,nan,nan
BGD,nan,nan,nan,nan,0.01565,nan,nan,nan,nan,nan,nan,0.4975,nan,nan,nan,0.65075,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
BIH,1.9378,1.8969999999999998,0.5720000000000001,0.20125,0.20675,0.205,0.39075,0.578,0.70225,0.67025,0.67175,0.682,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9,0.75,nan,nan
BOL,1.0993,nan,nan,nan,2.3493,nan,nan,nan,1.2968,nan,0.96425,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
BRA,15.25,15.53,15.21,14.275,14.2625,13.9,13.8475,14.25,14.46,14.57,14.7225,15.415,16.13,16.105,16.91,18.7975,17.6775,17.2575,17.285,18.4025,17.075,16.14,16.5225,16.8475,17.415,17.2025,nan
CHL,2.9525,nan,nan,nan,2.4375,nan,nan,nan,nan,nan,2.5575,nan,nan,nan,nan,nan,2.7489,nan,nan,nan,1.91,nan,nan,1.93,nan,nan,1.885
