cat,IPCM0EL
clss,TOTAL
ent,CH4
family,emi
gwp,AR4
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP | built by Johannes Guetschow
scen,HISTCR
srce,PMH21
tablename,CH4AR4_IPCM0EL_TOTAL_NET_HISTCR_PMH21
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0.022571,0.022144999999999998,0.023362,0.024248,0.026126,0.027007,0.024059,0.024782,0.026483999999999997,0.026810000000000004,0.030909,0.031107999999999997,0.031261000000000004,0.032264999999999995,0.032256,0.0324,0.032926,0.033662,0.033955,0.034144,0.033852999999999994,0.034677,0.034606,0.036157999999999996,0.036667,0.037176,0.037683999999999995,0.038193
AFG,7.1001,7.4285,7.5445,7.7170000000000005,8.0469,8.5339,9.4555,10.1928,10.7641,11.604000000000001,10.399000000000001,9.1881,11.0856,11.5096,11.4966,11.7787,12.0236,12.2926,13.4225,13.7047,15.3474,15.4696,15.4284,15.4364,15.7359,15.2458,15.1388,14.9553
AGO,50.8021,52.9757,55.1677,53.9801,49.6225,53.9214,57.4988,56.0338,57.3808,52.5245,46.4007,46.184,46.4069,48.2742,48.1239,48.6708,44.8503,45.6944,45.331,44.9914,48.7857,49.3735,48.5733,44.8269,43.4744,43.7077,43.004,42.1241
AIA,0.0024205,0.0024874000000000003,0.0024618,0.0025007,0.0027383000000000004,0.0028149,0.0028656,0.0028968,0.002928,0.0029416,0.0030161,0.0029462,0.0031417,0.0032650999999999995,0.0042085000000000004,0.0043479,0.0044748999999999995,0.0045132,0.0044722,0.0046094,0.0046659,0.0047152,0.004757899999999999,0.0052223999999999994,0.0053835,0.0055445,0.005705600000000001,0.0058667
ALB,1.3630000000000002,1.4099,1.3836,1.4967,1.5602,1.5647,1.8739,1.9091,1.9261,2.0813,2.5665,2.5192,2.4678,2.4985,2.5434,2.4567,2.5255,2.4272,2.2952,2.3623,2.3678,2.3567,2.3862,2.4422,2.4877,2.5249,2.5474,2.5446
AND,0.015819999999999997,0.016517,0.016625,0.016061000000000002,0.015546,0.015216,0.015299,0.014934000000000001,0.014684000000000001,0.014575,0.014674000000000001,0.014961000000000002,0.015172999999999999,0.015786,0.016308,0.016513999999999997,0.01598,0.015399000000000001,0.014962999999999999,0.014166,0.013465000000000001,0.013053,0.012673,0.013391,0.013299,0.013143,0.013208000000000001,0.013137000000000001
ANT,0.087605,0.086377,0.09751900000000001,0.1001,0.10144,0.10211,0.10232999999999999,0.1002,0.10454000000000001,0.090681,0.093398,0.10255999999999998,0.087994,0.081971,0.09303600000000001,0.096607,0.091161,0.0964,0.091847,0.086117,0.049713,0.07988200000000001,0.080558,0.074602,0.07284,0.071043,0.069281,0.06751900000000001
ARE,10.8267,12.075,12.5961,13.1759,13.8222,15.9939,18.6635,19.6154,20.6136,22.0054,24.9605,25.9264,27.8281,30.9286,32.9956,35.6404,37.0563,37.0364,37.2643,36.2373,37.3506,38.7311,39.8909,41.7156,42.7442,45.0474,46.4051,47.7667
ARG,89.1694,90.6889,92.17399999999999,93.9845,95.6009,94.8311,95.2096,94.0944,93.6507,94.2955,99.634,102.4745,106.2954,112.5079,115.3312,116.3105,118.5733,119.1669,115.5892,110.8841,85.9987,87.3416,90.1582,91.7571,92.9018,93.5025,95.4811,96.7055
ARM,3.773,3.5919,3.2749,2.9866,3.0112,2.738,2.737,2.6522,2.4198,2.3277,2.1971,2.1872,2.2853,2.3835,2.4402,2.5073,2.5771,2.6191,2.6953,2.6543,2.6918,2.7245,2.8339,2.8823,2.9398,2.9842,3.0351,2.965
ATG,0.046271,0.047585,0.047681,0.047958999999999995,0.048545,0.049678,0.048214,0.047716,0.046863,0.047811,0.050480000000000004,0.051208000000000004,0.051466,0.051861000000000004,0.052499000000000004,0.053146000000000006,0.053482,0.052462,0.052072,0.051125,0.034063,0.037232999999999995,0.037136,0.036895,0.037111,0.036942,0.037425,0.037634
AUS,120.0809,120.0422,119.5777,116.0879,112.852,111.4156,111.5484,114.3694,113.3176,109.2468,112.7607,111.2018,109.4372,104.2855,106.24,107.9326,107.4041,107.1176,105.4587,104.5349,102.5007,104.3779,103.7412,102.9668,100.8887,101.3482,102.0485,103.6023
AUT,10.3707,10.2505,9.9653,9.8824,9.5955,9.5245,9.2219,8.9228,8.7453,8.5682,8.4018,8.2435,8.1028,8.0409,8.0424,7.7566,7.6572,7.5525,7.4287,7.358,7.2681,7.0723,6.9611,6.9042,6.7636,6.6915,6.6318,6.6122
AZE,16.0237,14.8561,12.7733,11.7548,10.9917,11.4493,10.7638,10.5557,10.1485,10.564,10.5237,11.425999999999998,11.4246,11.5364,11.7204,12.3742,13.5425,16.434,20.9738,20.5524,20.8029,20.3348,20.9451,19.0393,22.4164,23.2345,23.9863,24.7306
BDI,1.9156,1.9509999999999998,1.9957,2.0057,1.9996,2.013,2.0461,2.1231,2.1029,1.8999,1.9474,2.3189,2.3866,2.4741,2.7253,2.8502,2.9986,3.0967,3.2361,3.3942,3.5843,3.7521,3.8097,4.1905,4.2543,4.3538,4.2895,4.285
BEL,12.2042,12.157,12.0647,12.0153,12.0623,12.1444,11.9879,11.8794,11.7152,11.4584,11.0159,10.5659,10.1354,9.5592,9.5082,9.2658,9.1699,9.1118,8.9108,8.8442,8.7988,8.5352,8.402000000000001,8.2535,8.1526,8.1104,8.0836,7.9817
BEN,3.4601,3.5842,3.6606,3.7194,3.9305,3.7985,3.9499,4.0621,4.2477,4.2573,4.5065,4.4367,4.877,4.7527,4.6643,5.2704,5.1033,5.3152,5.1966,5.3593,5.5145,5.7142,5.7346,5.8771,5.8909,5.9861,6.3482,6.5920000000000005
BFA,8.2519,8.5027,8.7625,8.9505,9.1841,9.4102,9.6344,10.0482,10.1764,10.0082,10.6227,10.7423,11.1483,12.9049,13.7751,14.6814,14.6683,15.4266,16.0391,16.6946,17.5114,17.7584,17.8662,18.486,18.9507,19.3586,20.3277,21.1133
BGD,29.7882,29.6157,29.7497,29.537,29.81,31.6677,33.1059,34.8801,36.1188,38.5601,40.3817,42.1185,43.5311,44.7739,45.5412,47.0355,47.803999999999995,48.4363,49.8405,50.5979,51.3723,52.00899999999999,52.6083,54.3885,55.181000000000004,55.8995,56.2483,57.6061
BGR,16.149,15.1209,14.8126,13.7287,11.8208,11.8796,11.7778,11.4175,10.8068,10.2904,10.1492,9.4549,9.3057,9.6756,9.093,8.6621,8.3769,8.3141,8.0976,7.7606,7.7408,7.9772,7.6097,7.4995,7.3918,7.3420000000000005,7.0521,6.7876
BHR,2.3118,2.1211,2.3135,2.4713,2.4772,2.497,2.5914,2.6965,2.8185,2.8762,2.9222,3.0237,3.1395,3.2115,3.8541,4.2491,4.4398,4.6299,4.9103,4.9728,5.1471,5.1926,5.1759,5.6977,5.9051,6.1118,6.319,6.5266
BHS,0.15084,0.15134,0.15011,0.15119000000000002,0.15463,0.16089,0.16906,0.16978,0.17179,0.17306,0.1757,0.17583,0.17687999999999998,0.18066,0.19117,0.19096,0.19688,0.1995,0.20674,0.1996,0.19267,0.21783000000000002,0.21686,0.21896,0.21833000000000002,0.22246999999999997,0.22615,0.23106
BIH,5.3595,5.1862,4.7285,4.1791,4.0766,3.7603,3.7688,3.9673,4.0671,4.164,4.2287,4.1529,4.0143,4.0498,4.039,3.9995,4.0484,3.8854,3.7735,3.7041,3.6188,3.5107,3.3991,3.3272,3.0018,3.1762,3.1216,3.0524
BLR,18.7523,17.9206,16.7882,15.8649,15.0911,14.3202,14.2289,14.2105,14.1733,13.7411,13.5253,13.4014,13.2792,13.3923,14.1387,13.8267,14.2433,14.4759,15.4374,15.4909,16.0158,15.9171,16.2318,16.6384,16.7817,16.9577,16.7608,16.9179
BLZ,0.14914000000000002,0.14365999999999998,0.1622,0.1478,0.15034,0.12586,0.12847999999999998,0.13995,0.14808,0.15659,0.1525,0.16599,0.1688,0.17522000000000001,0.16826,0.17386,0.18578,0.20125,0.20789000000000002,0.22088000000000002,0.22671999999999998,0.2462,0.24131,0.2656,0.23417,0.24045999999999998,0.25791,0.26911999999999997
