cat,IPCMLULUCF
clss,TOTAL
ent,CH4
family,emi
gwp,AR4
note,Renamed as composite source from CH4_IPCMLULUCF_TOTAL_NET_HISTORY_CRF2018! | Renamed as composite source from CH4_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC1! | Add the countries {ZAF} from CH4_IPCMLULUCF_TOTAL_NET_HISTORY_BUR2IPCC2006I || Renamed as composite source from CH4_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC2! | Renamed as composite source from CH4_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC3! | Add the countries {ARG.BOL.BRA.CAF.CHL.COL.CRI.CUB.DOM.GEO.GHA.GTM.GUY.IDN.IND.KEN.KGZ.KOR.LBN.MDA.MDG.MEX.MKD.NER.PER.TGO.VCT.VNM} from CH4_IPCMLULUCF_TOTAL_NET_HISTORY_UNFCCC2018I || Renamed as composite source from CH4_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC4! | Add the countries {AFG.AGO.ALB.ARM.AZE.BDI.BEN.BFA.BGD.BHS.BIH.BLZ.BRN.BTN.BWA.CHN.CIV.CMR.COD.COG.COM.DZA.ECU.EGY.ERI.ETH.FJI.GAB.GIN.GMB.GNB.GNQ.GRD.HKG.HND.HTI.IRN.IRQ.ISR.JAM.KHM.LAO.LBR.LKA.LSO.MAR.MLI.MMR.MNE.MNG.MOZ.MRT.MUS.MWI.MYS.NAM.NGA.NIC.NPL.PAK.PAN.PHL.PNG.PRK.PRY.RWA.SDN.SEN.SGP.SLE.SLV.SOM.SRB.SUR.SWZ.SYR.TCA.TCD.THA.TJK.TKM.TLS.TTO.TUN.TWN.TZA.UGA.URY.UZB.VEN.VUT.WSM.ZMB.ZWE} from CH4_IPCMLULUCF_TOTAL_NET_HISTORY_FAO2018IPMH || Renamed as composite source from CH4_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC5! | Add the countries {LBY.LIE.LUX.MCO.SMR.VAT} from CH4_IPCMLULUCF_TOTAL_NET_HISTORY_EDGAR42COMPI ||  | built by Johannes Guetschow
scen,HISTCR
srce,PMH20
tablename,CH4AR4_IPCMLULUCF_TOTAL_NET_HISTCR_PMH20
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AFG,0.00011999999999999999,0.00011999999999999999,0.00011999999999999999,0.00011999999999999999,0.00011999999999999999,0.00011999999999999999,0.00011750000000000001,7e-05,0.00018999999999999998,5.25e-05,0.00041749999999999996,0.0001425,0.0,0.0,0.0,0.0,0.0005075,0.0,0.00055,0.0,0.0,0.0,0.0,9.499999999999999e-05,0.0001225,0.00012749999999999998,0.00010557
AGO,23.5025,23.5025,23.5025,23.5025,23.5025,23.5025,26.7192,24.5331,29.7576,27.3603,24.4905,16.8356,21.9066,22.4282,25.9132,26.3654,19.7426,23.8337,20.4619,21.0534,22.2334,29.4705,20.5084,24.3955,19.3036,22.7368,23.2057
ALB,0.015548,0.015548,0.015548,0.015548,0.015548,0.015548,0.0083575,0.01994,0.010153,0.00826,0.046163,0.0006475,0.0,0.0018575,0.0,0.00037,0.0007174999999999999,0.11889000000000001,0.002905,0.0001425,0.000145,0.0087775,0.06387999999999999,0.00012749999999999998,0.0,0.019594999999999998,0.022675
ARG,0.61431,0.6282,0.6421,0.65599,0.66988,0.91904,1.1682,1.4174,1.1766,0.9357700000000001,0.69498,1.3718,2.0485,2.7253,3.4021,4.0789,4.7556,5.4324,6.1092,6.7860000000000005,7.4627,6.5626,5.6625,3.9613,2.1256,4.1814,5.8607
ARM,0.00021494,0.00021494,0.00023999999999999998,0.00023999999999999998,0.00023999999999999998,0.00023999999999999998,0.0001525,0.00016,0.0014625,0.0001575,0.0,9.25e-05,0.0,0.00012749999999999998,0.0001675,0.0002525,0.0009975,0.0,0.0002275,0.0,0.0001325,0.00038250000000000003,0.0,0.0002525,0.0,0.000225,0.00017743
AUS,13.1015,12.1487,10.3357,9.7876,9.4425,9.7139,9.7695,10.2239,10.3102,10.9716,11.4134,11.2564,11.2977,11.2501,10.3697,11.0409,11.7222,11.8331,10.6538,10.4374,10.3219,9.8917,9.1505,9.3001,9.9556,9.009,9.8845
AUT,0.024252000000000003,0.02391,0.024094,0.024047,0.023922,0.023861,0.023854,0.023833,0.024003,0.023805,0.023884,0.023843,0.024233,0.024213,0.023826,0.023859,0.023959,0.023873,0.023903,0.023916999999999997,0.023901,0.023888999999999997,0.023915000000000002,0.023997,0.023918000000000002,0.024109000000000002,0.023832
AZE,0.0022478999999999997,0.0022478999999999997,0.0026625,0.0026625,0.0026625,0.0026625,0.000985,0.001175,0.008935,0.00123,0.015819999999999997,0.003445,0.0017925,0.000305,0.0007825,0.000695,0.0014550000000000001,0.0002625,0.00292,0.0,0.006017499999999999,0.00078,0.000515,0.0,0.004432500000000001,0.0017075,0.0019654
BDI,0.29868,0.29868,0.29868,0.29868,0.29868,0.29868,0.30515,0.33359,0.38287,0.33363000000000004,0.3732,0.45113000000000003,0.43896,0.45771000000000006,0.43067,0.28935,0.18458,0.14264000000000002,0.32065,0.22710999999999998,0.21195999999999998,0.1999,0.21961999999999998,0.25656999999999996,0.19008,0.22424000000000002,0.13842000000000002
BEL,0.00057141,0.00057547,0.00048805,0.00056867,0.00047345,3.1151999999999996e-05,0.027224,0.00028721,0.00043650000000000004,8.778e-05,2.233e-06,2.7925e-05,0.00026181,0.00016072,8.0783e-05,8.4565e-07,3.4168e-06,3.9343e-05,0.0022207,0.0044021,0.006583499999999999,0.0087649,0.0,0.0,0.0,0.00048499999999999997,0.0028016
