cat,IPCM0EL
clss,TOTAL
ent,CO2
family,emi
gwp,AR4
note,Scenario based on RCPSSP IAM scenario dowscaled to country level using GDP data from SSP scenarios. For methodology see Guetschow et al. 2017Check info_per_country.csv for further information.
scen,PMH21SSP1BLIMAGEFILLED
srce,PMH21SSPBIE
tablename,CO2AR4_IPCM0EL_TOTAL_NET_PMH21SSP1BLIMAGEFILLED_PMH21SSPBIE
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABW,1.6754,1.7209,1.5028999999999997,1.6372,1.6577,1.7145,1.7378,1.7937,1.8457,1.8574,2.4301,2.4602,2.4904,2.6161,2.6718999999999995,2.7753,2.7722,2.8795,2.7152,2.6865,2.5661,2.5597,1.4090999999999998,0.92225,0.9340100000000001,0.95325,0.97988,0.97567,0.5413100000000001,0.5654566666666666,0.5912433333333333,0.61939,0.6499066666666667,0.6826033333333333,0.7172766666666668,0.7537233333333333,0.7924266666666667,0.8337066666666667,0.8771266666666667,0.9222466666666667,0.9686533333333333,1.0167533333333332,1.0672,1.1198633333333332,1.1746666666666667,1.2315666666666667,1.2911333333333332,1.3537333333333335,1.4191,1.4870666666666665,1.5573,1.6305333333333334,1.7073,1.7873333333333334,1.8702666666666667,1.9558333333333333,2.0444,2.1362666666666663,2.2309666666666668,2.3279333333333336,2.4266666666666663
AFG,2.8506,2.6443,1.5968,1.5308,1.4078,1.3614,1.2927,1.2081,1.1520000000000001,0.9346700000000001,0.93391,0.9960600000000001,1.2504,1.3794,1.1289,1.5077,1.8248,2.4326,4.3642,6.9335,8.6362,12.4108,10.9863,10.2124,11.1601,11.6575,13.2302,13.6396,14.9954,14.8818,14.8449,14.8862,14.982999999999999,15.1318,15.3287,15.5696,15.8613,16.2094,16.6088,17.0548,17.5432,18.0933,18.7201,19.4158,20.1737,20.9887,21.8732,22.8322,23.8513,24.916999999999998,26.0171,27.1783,28.4296,29.7645,31.1788,32.6701,34.2529,35.9347,37.7054,39.5571,41.4838
AGO,5.1349,5.1104,5.2102,5.7953,3.9124,11.0016,10.479000000000001,7.4008,7.3235,9.1862,9.573,9.7305,12.6602,9.0498,18.7722,19.0783,22.1783,25.0558,25.5676,27.649,28.9496,30.2286,33.2731,32.4605,34.5514,36.6726,38.0338,38.836,45.8677,47.4077,48.4798,49.0833,49.3864,49.4724,49.4183,49.2942,49.0789,48.7535,48.3798,48.0111,47.6921,47.3604,46.979,46.6178,46.3368,46.1874,46.1486,46.1752,46.2756,46.456,46.7214,47.0972,47.5936,48.1931,48.8791,49.6365,50.4902,51.4508,52.4848,53.5619,54.6542
AIA,0.051802,0.051802,0.055501999999999996,0.066602,0.066602,0.066602,0.070302,0.070302,0.077703,0.081403,0.08880299999999999,0.096203,0.096203,0.10347,0.12165999999999999,0.12902,0.14368,0.15100999999999998,0.15095,0.14703,0.15069000000000002,0.14336,0.14336,0.13602,0.14332,0.14631,0.15050999999999998,0.14966,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332
ALB,3.9514,5.5741,3.3560000000000003,3.2693,3.5228,3.4595,3.3593,3.4731,4.2139999999999995,4.5359,3.2125,3.6697,3.8748,4.1228,4.3882,4.2662,4.18,4.5196,4.6033,5.0085,5.2591,5.961,5.5644,5.7283,6.4718,5.9312,6.1617,6.2572,6.5126,6.4716,6.4358,6.4021,6.3661,6.327999999999999,6.2886,6.2488,6.2128,6.1848,6.1662,6.1589,6.1649,6.1828,6.207999999999999,6.2381,6.2712,6.3052,6.34,6.3755,6.4095,6.4403,6.466,6.4875,6.5064,6.5219,6.5332,6.54,6.5434,6.545,6.5453,6.5443,6.5424
AND,0.43186,0.4392,0.44747,0.45738999999999996,0.46125,0.48835,0.51812,0.52964,0.5566399999999999,0.57936,0.59143,0.5917100000000001,0.5985699999999999,0.6004,0.62668,0.64161,0.61141,0.6069,0.60469,0.58275,0.5865,0.55581,0.55025,0.54378,0.5301899999999999,0.53157,0.53817,0.541,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916
ANT,5.4774,4.4089,3.64,5.5986,5.3660000000000005,5.3111,4.9745,5.2029,0.37134,2.2059,5.7056,5.8089,5.6038,5.608,5.8811,5.8315,6.0758,6.8299,6.5749,6.7238,4.6643,5.9219,7.1101,6.3573,7.044,7.1919,7.3986,7.3601,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001
ARE,46.4314,50.8296,51.8366,58.5302,64.5729,63.5289,53.2963,55.2624,76.0988,74.2037,105.3716,101.1926,89.7982,117.2766,130.1735,139.4931,142.0681,149.8433,168.4951,173.5612,161.3364,161.7895,167.5222,160.4818,190.87099999999998,205.5124,212.6015,208.4461,207.4617,210.0862,212.9063,215.8542,218.5108,220.8898,223.0092,224.8913,226.5697,228.0977,229.52700000000002,230.9053,232.2749,233.5656,234.7085,235.7359,236.6706,237.5265,238.2593,238.7898,239.0742,239.0702,238.7371,238.1139,237.2666,236.1938,234.8912,233.3519,231.535,229.4479,227.15,224.6962,222.1362
ARG,111.4888,118.959,122.7467,123.1349,128.9349,124.2789,134.3393,138.464,142.9959,144.2806,148.5934,137.9574,131.7326,139.8665,152.7073,160.3816,170.8908,184.2527,187.9495,181.513,189.5523,199.0266,198.4083,203.1436,203.3095,206.1787,205.9359,204.3052,208.0132,212.7977,216.9487,220.6421,224.0841,227.2781,230.2293,232.9453,235.4364,237.7374,239.893,241.9462,243.9381,245.8043,247.4652,248.9387,250.2438,251.3996,252.4425,253.4105,254.3255,255.2089,256.08099999999996,257.0163,258.0456,259.1218,260.1967,261.2216,262.1148,262.7923,263.2023,263.2944,263.0193
ARM,21.8219,20.3702,25.2376,10.088,9.9368,11.0158,7.5614,7.852,6.6048,4.6796,3.3413,3.3991,2.9985,3.362,3.6236,4.293,4.3433,5.1427,5.7591,4.6792,4.6662,5.4504,6.2958,6.0609,6.096,6.7028,6.7019,6.5722,6.2995,6.3557,6.4135,6.4776,6.5524,6.6372,6.731,6.8326,6.9388,7.0452,7.1489,7.2469,7.3356,7.4223,7.5153,7.6136,7.716,7.8218,7.9302,8.041,8.154,8.2689,8.3857,8.4945,8.5867,8.6646,8.7303,8.7866,8.8364,8.8819,8.9243,8.9653,9.0068
