cat,IPCM0EL
clss,TOTAL
ent,CO2
family,emi
gwp,AR4
note,Scenario based on RCPSSP IAM scenario dowscaled to country level using GDP data from SSP scenarios. For methodology see Guetschow et al. 2017Check info_per_country.csv for further information.
scen,PMH21SSP4BLGCAM4FILLED
srce,PMH21SSPBIE
tablename,CO2AR4_IPCM0EL_TOTAL_NET_PMH21SSP4BLGCAM4FILLED_PMH21SSPBIE
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABW,1.6754,1.7209,1.5028999999999997,1.6372,1.6577,1.7145,1.7378,1.7937,1.8457,1.8574,2.4301,2.4602,2.4904,2.6161,2.6718999999999995,2.7753,2.7722,2.8795,2.7152,2.6865,2.5661,2.5597,1.4090999999999998,0.92225,0.9340100000000001,0.95325,0.97988,0.97567,0.5413100000000001,0.5654566666666666,0.5912433333333333,0.61939,0.6499066666666667,0.6826033333333333,0.7172766666666668,0.7537233333333333,0.7924266666666667,0.8337066666666667,0.8771266666666667,0.9222466666666667,0.9686533333333333,1.0167533333333332,1.0672,1.1198633333333332,1.1746666666666667,1.2315666666666667,1.2911333333333332,1.3537333333333335,1.4191,1.4870666666666665,1.5573,1.6305333333333334,1.7073,1.7873333333333334,1.8702666666666667,1.9558333333333333,2.0444,2.1362666666666663,2.2309666666666668,2.3279333333333336,2.4266666666666663
AFG,2.8506,2.6443,1.5968,1.5308,1.4078,1.3614,1.2927,1.2081,1.1520000000000001,0.9346700000000001,0.93391,0.9960600000000001,1.2504,1.3794,1.1289,1.5077,1.8248,2.4326,4.3642,6.9335,8.6362,12.4108,10.9863,10.2124,11.1601,11.6575,13.2302,13.6396,15.2364,15.3601,15.5521,15.814,16.1232,16.4739,16.8603,17.2769,17.7156,18.1686,18.6308,19.097,19.5614,20.034000000000002,20.5298,21.0508,21.5986,22.1743,22.7747,23.3932,24.0256,24.6677,25.3147,25.9797,26.6792,27.4145,28.1872,28.9992,29.8482,30.7291,31.6404,32.5809,33.5493
AGO,5.1349,5.1104,5.2102,5.7953,3.9124,11.0016,10.479000000000001,7.4008,7.3235,9.1862,9.573,9.7305,12.6602,9.0498,18.7722,19.0783,22.1783,25.0558,25.5676,27.649,28.9496,30.2286,33.2731,32.4605,34.5514,36.6726,38.0338,38.836,45.4606,46.7336,47.7647,48.6215,49.4341,50.2042,50.9316,51.6157,52.2298,52.7246,53.0671,53.2266,53.1742,52.9161,52.5264,52.0739,51.6205,51.2216,50.8424,50.4467,50.0794,49.7808,49.5874,49.4998,49.4988,49.5881,49.7713,50.0513,50.4683,51.0411,51.7424,52.5471,53.4317
AIA,0.051802,0.051802,0.055501999999999996,0.066602,0.066602,0.066602,0.070302,0.070302,0.077703,0.081403,0.08880299999999999,0.096203,0.096203,0.10347,0.12165999999999999,0.12902,0.14368,0.15100999999999998,0.15095,0.14703,0.15069000000000002,0.14336,0.14336,0.13602,0.14332,0.14631,0.15050999999999998,0.14966,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332
ALB,3.9514,5.5741,3.3560000000000003,3.2693,3.5228,3.4595,3.3593,3.4731,4.2139999999999995,4.5359,3.2125,3.6697,3.8748,4.1228,4.3882,4.2662,4.18,4.5196,4.6033,5.0085,5.2591,5.961,5.5644,5.7283,6.4718,5.9312,6.1617,6.2572,6.6264,6.7004,6.77,6.84,6.9152,6.994,7.0748,7.156000000000001,7.237,7.3169,7.3937,7.4653,7.5298,7.5893,7.6479,7.7062,7.765,7.8247,7.8847,7.9429,7.9983,8.0497,8.0959,8.1401,8.1856,8.2316,8.2772,8.3217,8.3653,8.4085,8.451,8.4927,8.5332
AND,0.43186,0.4392,0.44747,0.45738999999999996,0.46125,0.48835,0.51812,0.52964,0.5566399999999999,0.57936,0.59143,0.5917100000000001,0.5985699999999999,0.6004,0.62668,0.64161,0.61141,0.6069,0.60469,0.58275,0.5865,0.55581,0.55025,0.54378,0.5301899999999999,0.53157,0.53817,0.541,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916
ANT,5.4774,4.4089,3.64,5.5986,5.3660000000000005,5.3111,4.9745,5.2029,0.37134,2.2059,5.7056,5.8089,5.6038,5.608,5.8811,5.8315,6.0758,6.8299,6.5749,6.7238,4.6643,5.9219,7.1101,6.3573,7.044,7.1919,7.3986,7.3601,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001
ARE,46.4314,50.8296,51.8366,58.5302,64.5729,63.5289,53.2963,55.2624,76.0988,74.2037,105.3716,101.1926,89.7982,117.2766,130.1735,139.4931,142.0681,149.8433,168.4951,173.5612,161.3364,161.7895,167.5222,160.4818,190.87099999999998,205.5124,212.6015,208.4461,206.1174,208.1087,211.2043,215.5247,220.59099999999998,226.2409,232.3165,238.6635,245.1463,251.6051,257.8553,263.7166,269.0138,273.8802,278.545,282.9809,287.1622,291.0644,294.7446,298.2334,301.4698,304.3966,306.9594,309.1681,311.0646,312.6439,313.9011,314.8313,315.48900000000003,315.9544,316.2598,316.4367,316.5158
ARG,111.4888,118.959,122.7467,123.1349,128.9349,124.2789,134.3393,138.464,142.9959,144.2806,148.5934,137.9574,131.7326,139.8665,152.7073,160.3816,170.8908,184.2527,187.9495,181.513,189.5523,199.0266,198.4083,203.1436,203.3095,206.1787,205.9359,204.3052,208.7767,214.7884,220.7732,226.8414,233.002,239.2056,245.4018,251.5393,257.5622,263.4065,269.0079,274.3025,279.22700000000003,283.8909,288.4136,292.7482,296.8487,300.6705,304.2149,307.5025,310.5179,313.246,315.6724,317.7989,319.68,321.3778,322.9523,324.4611,325.9086,327.2623,328.5233,329.6931,330.7733
ARM,21.8219,20.3702,25.2376,10.088,9.9368,11.0158,7.5614,7.852,6.6048,4.6796,3.3413,3.3991,2.9985,3.362,3.6236,4.293,4.3433,5.1427,5.7591,4.6792,4.6662,5.4504,6.2958,6.0609,6.096,6.7028,6.7019,6.5722,6.2554,6.3020000000000005,6.3448,6.3839,6.4212,6.4585,6.4976,6.5399,6.5839,6.6262,6.6649,6.6981,6.7238,6.7447,6.766,6.7889,6.8146,6.8443,6.8762,6.9092,6.9446,6.9835,7.027,7.0689,7.1036,7.1335,7.1609,7.1881,7.2147,7.2395,7.2633,7.2871,7.3119
