cat,IPCM0EL
clss,TOTAL
ent,CO2
family,emi
gwp,AR4
note,Scenario based on RCPSSP IAM scenario dowscaled to country level using GDP data from SSP scenarios. For methodology see Guetschow et al. 2017Check info_per_country.csv for further information.
scen,PMH21SSP5BLREMMPFILLED
srce,PMH21SSPBIE
tablename,CO2AR4_IPCM0EL_TOTAL_NET_PMH21SSP5BLREMMPFILLED_PMH21SSPBIE
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABW,1.6754,1.7209,1.5028999999999997,1.6372,1.6577,1.7145,1.7378,1.7937,1.8457,1.8574,2.4301,2.4602,2.4904,2.6161,2.6718999999999995,2.7753,2.7722,2.8795,2.7152,2.6865,2.5661,2.5597,1.4090999999999998,0.92225,0.9340100000000001,0.95325,0.97988,0.97567,0.5413100000000001,0.5654566666666666,0.5912433333333333,0.61939,0.6499066666666667,0.6826033333333333,0.7172766666666668,0.7537233333333333,0.7924266666666667,0.8337066666666667,0.8771266666666667,0.9222466666666667,0.9686533333333333,1.0167533333333332,1.0672,1.1198633333333332,1.1746666666666667,1.2315666666666667,1.2911333333333332,1.3537333333333335,1.4191,1.4870666666666665,1.5573,1.6305333333333334,1.7073,1.7873333333333334,1.8702666666666667,1.9558333333333333,2.0444,2.1362666666666663,2.2309666666666668,2.3279333333333336,2.4266666666666663
AFG,2.8506,2.6443,1.5968,1.5308,1.4078,1.3614,1.2927,1.2081,1.1520000000000001,0.9346700000000001,0.93391,0.9960600000000001,1.2504,1.3794,1.1289,1.5077,1.8248,2.4326,4.3642,6.9335,8.6362,12.4108,10.9863,10.2124,11.1601,11.6575,13.2302,13.6396,15.136,15.1802,15.3226,15.56,15.8682,16.2523,16.715,17.258,17.8931,18.6306,19.4689,20.4067,21.4431,22.6113,23.9378,25.4149,27.0378,28.8045,30.7477,32.8883,35.21,37.6984,40.3407,43.1743,46.2382,49.526,53.0344,56.7642,60.7629,65.0661,69.6616,74.5396,79.6938
AGO,5.1349,5.1104,5.2102,5.7953,3.9124,11.0016,10.479000000000001,7.4008,7.3235,9.1862,9.573,9.7305,12.6602,9.0498,18.7722,19.0783,22.1783,25.0558,25.5676,27.649,28.9496,30.2286,33.2731,32.4605,34.5514,36.6726,38.0338,38.836,46.8073,49.6094,51.9957,53.8402,55.2515,56.3819,57.3775,58.3751,59.3576,60.2809,61.2271,62.2699,63.4754,64.7811,66.14,67.6278,69.31,71.2445,73.3663,75.605,78.0031,80.5999,83.4318,86.5355,89.9377,93.6575,97.7139,102.1263,106.9395,112.1579,117.7415,123.6513,129.8494
AIA,0.051802,0.051802,0.055501999999999996,0.066602,0.066602,0.066602,0.070302,0.070302,0.077703,0.081403,0.08880299999999999,0.096203,0.096203,0.10347,0.12165999999999999,0.12902,0.14368,0.15100999999999998,0.15095,0.14703,0.15069000000000002,0.14336,0.14336,0.13602,0.14332,0.14631,0.15050999999999998,0.14966,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332,0.14486333333333332
ALB,3.9514,5.5741,3.3560000000000003,3.2693,3.5228,3.4595,3.3593,3.4731,4.2139999999999995,4.5359,3.2125,3.6697,3.8748,4.1228,4.3882,4.2662,4.18,4.5196,4.6033,5.0085,5.2591,5.961,5.5644,5.7283,6.4718,5.9312,6.1617,6.2572,6.5656,6.5961,6.6404,6.7189,6.8448,7.0111,7.2113,7.4387,7.6912,7.9663,8.2556,8.5509,8.8436,9.1424,9.4596,9.7916,10.1348,10.4859,10.8461,11.2171,11.5966,11.982000000000001,12.3708,12.7647,13.1657,13.5716,13.9804,14.3899,14.8011,15.2168,15.6369,16.0616,16.491
AND,0.43186,0.4392,0.44747,0.45738999999999996,0.46125,0.48835,0.51812,0.52964,0.5566399999999999,0.57936,0.59143,0.5917100000000001,0.5985699999999999,0.6004,0.62668,0.64161,0.61141,0.6069,0.60469,0.58275,0.5865,0.55581,0.55025,0.54378,0.5301899999999999,0.53157,0.53817,0.541,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916,0.53916
ANT,5.4774,4.4089,3.64,5.5986,5.3660000000000005,5.3111,4.9745,5.2029,0.37134,2.2059,5.7056,5.8089,5.6038,5.608,5.8811,5.8315,6.0758,6.8299,6.5749,6.7238,4.6643,5.9219,7.1101,6.3573,7.044,7.1919,7.3986,7.3601,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001,7.077000000000001
ARE,46.4314,50.8296,51.8366,58.5302,64.5729,63.5289,53.2963,55.2624,76.0988,74.2037,105.3716,101.1926,89.7982,117.2766,130.1735,139.4931,142.0681,149.8433,168.4951,173.5612,161.3364,161.7895,167.5222,160.4818,190.87099999999998,205.5124,212.6015,208.4461,212.3827,220.9106,229.3965,237.6292,245.1932,252.2723,259.0497,265.7066,272.3388,279.0406,285.9856,293.3404,301.2637,309.698,318.5229,327.7785,337.4841,347.6403,358.0743,368.5682,379.039,389.398,399.5508,409.5972,419.685,429.782,439.848,449.8352,459.5672,468.9312,477.9693,486.7237,495.2375
ARG,111.4888,118.959,122.7467,123.1349,128.9349,124.2789,134.3393,138.464,142.9959,144.2806,148.5934,137.9574,131.7326,139.8665,152.7073,160.3816,170.8908,184.2527,187.9495,181.513,189.5523,199.0266,198.4083,203.1436,203.3095,206.1787,205.9359,204.3052,208.8273,215.1943,221.8563,229.1395,237.1787,245.8126,254.8807,264.2234,273.6834,283.1167,292.388,301.3659,309.9227,318.2249,326.4824,334.6352,342.6234,350.3866,357.8594,364.99300000000005,371.7519,378.1005,384.0039,389.5087,394.7151,399.6649,404.3953,408.9397,413.2561,417.2955,421.07599999999996,424.6143,427.9254
ARM,21.8219,20.3702,25.2376,10.088,9.9368,11.0158,7.5614,7.852,6.6048,4.6796,3.3413,3.3991,2.9985,3.362,3.6236,4.293,4.3433,5.1427,5.7591,4.6792,4.6662,5.4504,6.2958,6.0609,6.096,6.7028,6.7019,6.5722,6.6357,6.8725,7.1035,7.3237,7.5279,7.7228,7.9145,8.1089,8.3114,8.5258,8.7561,9.0058,9.2784,9.577,9.8995,10.2409,10.5964,10.9603,11.3277,11.6955,12.0612,12.422,12.7749,13.1232,13.4721,13.8208,14.168,14.5123,14.8497,15.177,15.4936,15.7989,16.0925
