cat,IPCMLULUCF
clss,TOTAL
ent,CO2
family,emi
gwp,AR4
note,emissions/removalsRenamed as composite source from CO2_IPCMLULUCF_TOTAL_NET_HISTORY_CRF2019! | Renamed as composite source from CO2_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC1! | Add the countries {AND.NAM} from CO2_IPCMLULUCF_TOTAL_NET_HISTORY_BUR3IPCC2006I || Renamed as composite source from CO2_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC2! | Add the countries {ARG.COL.IDN.MDA.MEX.MKD.ZAF} from CO2_IPCMLULUCF_TOTAL_NET_HISTORY_BUR2IPCC2006I || Renamed as composite source from CO2_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC3! | Add the countries {MNG.MRT.TGO} from CO2_IPCMLULUCF_TOTAL_NET_HISTORY_BUR1IPCC2006I || Renamed as composite source from CO2_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC4! | Add the countries {ALB.ARE.ARM.AZE.BGD.BIH.BOL.BRA.CAF.CHL.CHN.CRI.CUB.DMA.DOM.ETH.GEO.GHA.GTM.GUY.IND.ISR.JOR.KEN.KGZ.KOR.LBN.LCA.MAR.MDG.MLI.MNE.MUS.MYS.NER.PER.PRK.PRY.SAU.TCD.TJK.URY.UZB.VCT.VNM.YEM.ZWE} from CO2_IPCMLULUCF_TOTAL_NET_HISTORY_UNFCCC2019BI || Renamed as composite source from CO2_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC5! | Add the countries {AGO.AIA.ANT.ATG.BDI.BEN.BFA.BHR.BHS.BLZ.BRB.BRN.BTN.BWA.CIV.CMR.COD.COG.COK.COM.CPV.DZA.ECU.EGY.ERI.FJI.FSM.GAB.GIN.GMB.GNB.GNQ.GRD.HTI.IRN.IRQ.JAM.KHM.KIR.KNA.KWT.LAO.LBR.LKA.LSO.MDV.MMR.MOZ.MWI.NGA.NIC.NIU.NPL.OMN.PAK.PAN.PCN.PHL.PLW.PNG.RWA.SDN.SEN.SGP.SLB.SLE.SLV.SOM.SRB.SSD.STP.SUR.SWZ.SYR.TCA.THA.TKM.TLS.TON.TTO.TUN.TUV.TZA.UGA.VEN.VGB.VUT.WSM.ZMB} from CO2_IPCMLULUCF_TOTAL_NET_HISTORY_FAO2019BIPMH || Renamed as composite source from CO2_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC6! | Add the countries {ABW.AFG.DJI.HKG.HND.IOT.LBY.MAC.MHL.NRU.QAT.SHN.SMR.SYC.TKL.VAT} from CO2_IPCMLULUCF_TOTAL_NET_HISTORY_HOUGHTONDWNI ||  | built by Louise Jeffery and Johannes Guetschow
scen,HISTCR
srce,PMH21
tablename,CO2AR4_IPCMLULUCF_TOTAL_NET_HISTCR_PMH21
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367
AGO,86.7784,86.7784,86.7784,86.7784,86.7784,86.7784,82.2243,79.4018,84.01799999999999,79.4618,82.6412,70.8279,86.9615,92.6066,99.475,98.412,79.5601,95.8138,79.1672,81.0107,82.8599,106.4438,80.6893,91.0993,77.27199999999999,92.2666,73.8063,83.611
AIA,0.0,0.0,0.0,-0.036667,0.0,-0.036667,0.0,-0.036667,0.0,0.0,-0.036667,0.0,0.0,-0.036667,0.0,0.0,0.036667,0.07333300000000001,0.036667,0.036667,0.07333300000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,3.4773,3.5178,1.9996,1.4944,1.7818,1.5011,1.431,1.3021,1.08,0.8945200000000001,3.303,2.5069999999999997,2.056,1.719,1.7890000000000001,1.715,1.6380000000000001,1.618,1.179,0.9109999999999999,-0.24954,-0.34462,-0.39671,-0.39678,-0.39678,-0.38704,-0.39684,-0.39436
AND,-0.13001,-0.13015,-0.13029000000000002,-0.13044,-0.13058,-0.13072,-0.12739,-0.12405999999999999,-0.12074000000000001,-0.11740999999999999,-0.11408,-0.11450999999999999,-0.11494000000000001,-0.11537,-0.11579,-0.11622,-0.1203,-0.12437000000000001,-0.12845,-0.13253,-0.13660999999999998,-0.13576,-0.13587,-0.13526,-0.13527,-0.13538,-0.13545,-0.1356
ANT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036667,0.0,0.0,0.0,0.0091667,0.0091667,0.0091667,0.0091667,0.0091667,0.0091667,0.0091667
ARE,-1.21,-1.21,-1.1733,-1.21,-4.227,-5.1333,-6.0397,-6.946000000000001,-7.8523,-8.7587,-9.665,-10.3766,-11.0882,-11.7998,-12.5114,-13.222999999999999,-12.6909,-12.1589,-11.6268,-11.0947,-10.5627,-10.0306,-9.4985,-8.9664,-8.4344,-0.22,-0.22,-4.4602
ARG,67.69,68.967,70.245,71.52199999999999,72.793,75.439,78.084,97.485,90.104,82.72200000000001,68.866,72.45,76.03399999999999,79.619,83.20299999999999,86.788,90.37200000000001,93.95700000000001,97.541,101.125,104.71,83.12,61.53,56.812,45.74100000000001,93.1463,95.4536,72.7882
ARM,-0.79342,-0.75975,-0.72607,-0.6924,-0.65873,-0.62505,-0.59138,-0.55771,-0.52404,-0.49036,-0.45669,-0.46542,-0.47415,-0.48288000000000003,-0.49161000000000005,-0.50034,-0.50907,-0.51644,-0.52382,-0.5312,-0.53857,-0.14667,-0.14667,-0.14667,-0.14667,-0.14667,-0.14667,-0.14667
