cat,IPCM0EL
clss,TOTAL
ent,FGASES
family,emi
gwp,AR4
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
scen,HISTORY
srce,UNFCCC2019BI
tablename,FGASESAR4_IPCM0EL_TOTAL_NET_HISTORY_UNFCCC2019BI
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ARG,1.8121,nan,nan,nan,0.5884,nan,nan,1.3567,nan,nan,1.5596,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.35675,nan,0.4652,nan,nan,nan,nan
AZE,0.312,0.299,0.22425,0.1495,0.1495,0.078,nan,nan,nan,nan,0.5172,0.5268,0.54,0.5784,0.6276,0.7248,0.8112,0.9252,1.0236,1.1184,1.23,1.0512,1.128,1.2384,nan,nan,nan
BOL,0.010872,nan,nan,nan,0.018144,nan,nan,nan,31.2036,nan,25.8084,nan,11.4257,nan,24.6229,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
BRA,4.4534,4.9775,5.5482,5.5625,5.3351,5.0429,4.1384,3.6606,2.8407,3.9608,2.4039,2.5322,3.0860000000000003,3.4315,4.0885,4.3989,5.7938,6.5701,7.3337,7.5309,8.9505,8.2684,9.1336,9.9363,10.7097,11.5679,nan
CHL,0.0684,nan,nan,nan,0.0684,nan,nan,nan,nan,nan,0.12529,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.2863,nan,nan,2.1506,nan,nan,3.2146
GEO,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.9998000000000006e-06,0.055733000000000005,0.11145999999999999,0.16719,0.22291,0.27864,0.33437,0.44106999999999996,0.56109,0.6562,0.16521,0.28611,0.42548,0.24989,nan,nan,nan
GHA,0.62905,0.62905,0.7038,0.7038,0.5543,0.47955,0.47955,0.5543,0.1495,0.1495,0.07475,0.07475,0.07475,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KEN,nan,nan,nan,nan,nan,0.005928,nan,nan,nan,nan,0.016692,nan,nan,nan,nan,0.042276,nan,nan,nan,nan,0.084396,nan,nan,nan,nan,nan,nan
KGZ,nan,nan,nan,nan,nan,3.36e-06,3.78e-06,4.356e-06,5.088e-06,5.976e-06,7.02e-06,8.208e-06,9.564e-06,1.1075999999999999e-05,1.2612e-05,1.4544000000000002e-05,1.6524e-05,1.8648e-05,2.0928e-05,2.3375999999999998e-05,2.5968000000000003e-05,nan,nan,nan,nan,nan,nan
KOR,1.345,1.276,2.6083,2.9105,5.5116,9.5053,9.7425,12.8373,9.0948,15.0185,15.4493,12.1777,15.3033,13.9105,15.2025,16.3465,15.7097,19.2348,18.6626,17.6009,23.5571,20.1821,20.4483,20.4728,21.9578,nan,nan
LCA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0492,nan,nan,nan,nan,0.045264,nan,nan,nan,nan,0.045264,nan,nan,nan,nan,nan,nan
MDA,nan,nan,nan,nan,nan,0.0022756,0.0048878,0.0079265,0.011351,0.013748,0.016053,0.019806999999999998,0.023392,0.031029,0.038439,0.04734,0.056753,0.07279400000000001,0.092032,0.105,0.12345,0.13545,0.15184,0.17129,nan,nan,nan
MEX,1.4108,1.4435,1.0706,1.7433,1.5782,2.1868,4.2409,5.1368,5.4141,6.6872,6.3559,6.3249,7.382999999999999,7.3975,7.7836,10.1454,11.3734,14.2776,15.1906,14.8439,18.8313,18.6794,16.8654,10.3639,nan,nan,nan
MNE,2.5599,3.4132,1.7066,0.8533,nan,nan,1.7066,1.7066,1.7066,1.7066,2.5599,2.5599,2.5599,1.7066,1.7066,1.7066,1.6393,1.7664,0.8308700000000001,0.5617800000000001,0.68885,0.67637,nan,nan,nan,nan,nan
MUS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.19934000000000002,0.15608,0.10442,0.059191999999999995,0.054165,0.008934899999999999,0.4957,nan,nan,nan,nan,nan,nan,0.8613200000000001,nan,nan,nan
MYS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.17107,0.40805,0.5188,0.3167,0.4503,0.53773,0.5239199999999999,0.5844699999999999,0.66247,0.7116399999999999,0.76002,1.0272,nan,nan,nan,nan,nan
SGP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.65961,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.2663,nan,1.2012,nan,nan,nan,nan
URY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0035039999999999997,nan,0.02191,nan,0.011915,nan,0.027107,nan,0.14092000000000002,nan,0.04283,nan,7.2168e-05,nan,0.30498000000000003,nan,nan
UZB,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0076048999999999995,0.0076048999999999995,0.0020245000000000003,0.01086,0.045834,0.014542,0.043077,0.012637,0.038774,0.023029,0.026726,0.089303,0.11339,nan,nan,nan,nan
