cat,IPCM0EL
clss,TOTAL
ent,FGASES
family,emi
gwp,AR4
note,Scenario based on RCPSSP IAM scenario dowscaled to country level using GDP data from SSP scenarios. For methodology see Guetschow et al. 2017
scen,PMH21SSP1BLIMAGE
srce,PMH21SSPBIE
tablename,FGASESAR4_IPCM0EL_TOTAL_NET_PMH21SSP1BLIMAGE_PMH21SSPBIE
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AGO,1.2827e-07,4.8231e-07,1.1368e-06,2.463e-06,5.6949e-06,1.3725e-05,6.358e-05,0.00013516,0.0002463,0.00038195,0.00074485,0.0020107,0.004527300000000001,0.0070734,0.011903,0.022218,0.022382,0.026427999999999997,0.030474,0.033226,0.035977999999999996,0.036557,0.039478,0.042399,0.04532,0.048242,0.051163,0.054084,0.082338,0.10722000000000001,0.13414,0.16232,0.1918,0.22261,0.25489,0.28901,0.32487,0.36230999999999997,0.40178,0.44385,0.48918,0.5378,0.58962,0.6454,0.70607,0.77276,0.84559,0.92416,1.0091,1.101,1.2005,1.3102,1.4324,1.5677,1.7165,1.8793,2.0581,2.2544,2.4684,2.6997,2.9481
ALB,1.4257000000000001e-05,3.565e-05,7.9206e-05,0.00042368,0.0011982000000000002,0.0029583,0.005382,0.0052854,0.0083859,0.012676,0.017534,0.024423,0.031218,0.041532,0.055229999999999994,0.071082,0.078835,0.089665,0.1005,0.1103,0.1201,0.12299000000000002,0.13193,0.14085999999999999,0.1498,0.15874000000000002,0.16768,0.17662,0.18807000000000001,0.19776,0.20640999999999998,0.21461999999999998,0.22318000000000002,0.23206,0.24125,0.25072,0.26054,0.27082,0.28155,0.29273000000000005,0.30435999999999996,0.31655,0.32938,0.34276999999999996,0.35666,0.37098000000000003,0.38576,0.40103,0.41671,0.4327,0.44891000000000003,0.46546000000000004,0.48246000000000006,0.49978999999999996,0.51735,0.5350199999999999,0.5528,0.5707399999999999,0.58878,0.6068399999999999,0.62484
ARE,0.8845700000000001,0.99118,0.9236200000000001,0.78777,0.65973,0.6038399999999999,0.6558,0.7478100000000001,0.7175,0.82011,0.8826,0.89805,0.91179,0.94437,1.0264,1.0704,1.1789,1.2363,1.2898,1.3347,1.3964,1.4173,1.4682,1.5192,1.5701,1.6211,1.6721,1.723,1.9112,2.1149,2.3212,2.5286,2.7359,2.9449,3.1579,3.3769,3.6039999999999996,3.8413,4.091,4.3554,4.6371,4.9391,5.2629,5.6076,5.9725,6.3565,6.7566,7.1691,7.5915,8.0208,8.4541,8.8982,9.3606,9.8385,10.3291,10.8291,11.3331,11.8378,12.3437,12.8513,13.3616
ARG,0.53027,0.46563000000000004,0.46146000000000004,0.49531000000000003,0.54027,0.51849,0.54672,0.6017399999999999,0.57901,0.55795,0.60502,0.58785,0.62292,0.67799,0.73063,0.80538,0.84073,0.87613,0.8401700000000001,0.7095600000000001,0.8358399999999999,0.90086,0.85501,0.9103100000000001,0.9214200000000001,0.9620299999999999,0.98462,1.0072,1.2406,1.5187,1.8041,2.0933,2.385,2.6785,2.9739999999999998,3.2719,3.571,3.8712,4.1744,4.4823,4.7972,5.1221,5.4574,5.8005,6.1484,6.4978,6.8449,7.1857,7.517,7.8355,8.1376,8.4268,8.7075,8.9785,9.2385,9.486,9.7182,9.9318,10.1257,10.2985,10.449000000000002
ARM,7.1093e-05,0.00029135,0.00034161,0.0012147,0.0031864000000000003,0.007577199999999999,0.013137000000000001,0.017506999999999998,0.025738,0.034851,0.047691000000000004,0.070477,0.11055,0.17321,0.25311999999999996,0.38234,0.40881,0.47526999999999997,0.54173,0.59486,0.64799,0.6559999999999999,0.70635,0.75671,0.80706,0.8574200000000001,0.9077700000000001,0.9581299999999999,0.9493,1.0241,1.0934,1.1591,1.2246,1.2897,1.354,1.4173,1.4792,1.5395,1.5982,1.6552,1.7103,1.765,1.8201,1.875,1.9289,1.9812,2.0312,2.0785,2.1224,2.1624,2.1981,2.2304,2.2608,2.2892,2.3156,2.3401,2.3629,2.3837,2.4022,2.418,2.4307
AUS,6.2523,6.2748,6.1946,5.4223,3.4874,2.8511,2.1137,2.2002,2.8989999999999996,2.7249,3.1134,4.3278,4.8786,5.492000000000001,6.2116,6.9907,6.0398,6.824,7.4668,8.6146,9.0367,9.5908,9.5025,10.2012,11.1325,12.1439,12.3934,12.6318,13.8223,14.4804,15.0339,15.5198,15.9943,16.46,16.9198,17.3765,17.8296,18.2797,18.7314,19.1898,19.6598,20.1441,20.6413,21.1514,21.6741,22.209,22.7544,23.3081,23.8696,24.4379,25.0123,25.598000000000003,26.1983,26.809,27.4261,28.0457,28.6672,29.2917,29.9176,30.5432,31.1667
AUT,1.656,1.8109,1.1728,1.0434,1.2590000000000001,1.5433,1.6823,1.7175,1.5434,1.4647,1.3865,1.6193,1.6951,1.7708,1.8283,1.8334,1.8138,1.8551,1.8848,1.6927,1.9037,1.7989,1.8635,1.8835,1.9633,1.9884,2.0816,2.1799,2.2025,2.3034,2.3893,2.4663,2.5424,2.6180000000000003,2.6937,2.77,2.8469,2.9245,3.0035,3.0844,3.1681,3.2547,3.3442,3.4368,3.5326,3.6318,3.7343,3.8396,3.9474,4.0571,4.1683,4.2816,4.3978,4.5163,4.6367,4.7585,4.8814,5.0055,5.1306,5.2562,5.3821
AZE,0.5192399999999999,0.46481999999999996,0.36785,0.27501,0.18087999999999999,0.10585,0.11435,0.1853,0.27546,0.39033,0.55512,0.56472,0.57792,0.7195600000000001,0.85513,0.9675,1.0539,1.2209999999999999,1.327,1.3459,1.4778,1.3780000000000001,1.4777,1.6109,1.7318,1.8185,1.9051,1.9917,2.1914,2.3537,2.492,2.6088,2.7149,2.8127,2.9053,2.9958,3.0854,3.1717,3.2523,3.3245,3.3858,3.4352,3.4767,3.515,3.5545,3.5996,3.6487,3.6974,3.7458,3.7939,3.8415,3.8905,3.9424,3.997,4.0537,4.1123,4.1718,4.2318,4.2923,4.3533,4.4149
BEL,3.945,3.9262,4.4625,4.3095,5.1056,5.5453,5.4134,2.7794,2.013,1.5265,1.7353,1.643,1.6802,2.0138,2.2026,2.0749,2.2014,2.4487,2.6131,2.6722,2.7594,2.9995,3.1689,3.3275,3.2955,3.2788,3.5897,3.0657,3.6828,3.8208,3.9346,4.0355,4.1372,4.2398,4.3437,4.449,4.5565,4.6673,4.7815,4.8995,5.0217,5.1493,5.2826,5.4212,5.5644,5.7114,5.8624,6.0172,6.1748,6.3342,6.4943,6.6557,6.8196,6.9861,7.1553,7.3273,7.5018,7.6782,7.8562,8.0358,8.2165
BGR,0.0037007,0.0039171,0.004152,0.0044041,0.005732,0.0082408,0.011048,0.014797,0.020909999999999998,0.027779,0.039564,0.05259199999999999,0.068615,0.09148099999999999,0.1281,0.20337,0.30564,0.39466,0.63507,0.64868,0.68187,0.7697,0.8392799999999999,0.9888299999999999,1.1249,1.2402,1.4188,1.8354,1.6569999999999998,1.7627,1.8548,1.9382,2.023,2.109,2.1959,2.2834,2.3726,2.4639,2.5566,2.6497,2.7426,2.8363,2.9316,3.0273,3.1221,3.2149,3.306,3.3959,3.4838,3.5686,3.6493,3.7267,3.802,3.8752,3.9461,4.0144,4.0804,4.1442,4.2058,4.2652,4.3223
BHR,3.009,0.46063000000000004,0.50455,0.5785899999999999,0.38831,0.36243000000000003,0.34731,0.34279,0.32352,0.29774,0.27393,0.25317,0.2234,0.22901999999999997,0.22903,0.32331,0.3754,0.37238000000000004,0.37238000000000004,0.36216,0.37167,0.34972,0.35429,0.35886,0.36343000000000003,0.368,0.37258,0.37715,0.41303999999999996,0.45513000000000003,0.49713,0.539,0.5809300000000001,0.6230600000000001,0.6655,0.7084,0.752,0.79686,0.84367,0.8931,0.9458700000000001,1.0028,1.0639,1.1289,1.1976,1.2695,1.3442,1.421,1.4993,1.5783,1.6573,1.7375,1.8204,1.9056,1.993,2.0821,2.1718,2.2612,2.3506,2.4405,2.5313
BIH,0.7318100000000001,0.64284,0.40038,0.19460999999999998,0.12650999999999998,0.1142,0.11045,0.15327000000000002,0.23168000000000002,0.44918,0.48191999999999996,0.38833,0.32104,0.41065,0.5380699999999999,0.65766,0.7266199999999999,0.79057,0.8741399999999999,0.9144700000000001,1.0189,1.0233,1.084,1.1447,1.2054,1.2661,1.3268,1.3875,1.4489,1.5285,1.5969,1.6591,1.724,1.7901,1.8559999999999999,1.9205,1.984,2.0477,2.1111,2.174,2.2359999999999998,2.298,2.3603,2.4219999999999997,2.4821,2.5396,2.595,2.6489,2.6999,2.7471,2.7893,2.8278,2.8637,2.8964,2.9251,2.9491,2.9692,2.9862,2.9998,3.0097,3.0156
BLR,0.0034170999999999997,0.0039417,0.0050083,0.0085617,0.013294,0.025580000000000002,0.042041,0.063291,0.091201,0.12047999999999999,0.15216,0.19095,0.23839000000000002,0.30295,0.41293,0.53665,0.58222,0.65975,0.7379,0.78088,0.86205,0.88846,0.9513299999999999,1.0141,1.0767,1.1395,1.2025,1.2654,1.365,1.4974,1.6230000000000002,1.744,1.8656,1.9874,2.1091,2.2305,2.3501,2.4668,2.5812,2.6937,2.8048,2.9161,3.0286,3.1416,3.2546,3.3669,3.4772,3.5843,3.6873,3.7856,3.8781,3.9666,4.0534,4.1386,4.2224,4.3051,4.3862,4.4653,4.5426,4.618,4.6916
BOL,0.010872,0.011327,0.01269,0.014962999999999999,0.018144,4.8929,15.6127,26.3316,31.2036,29.4869,25.8084,17.6362,11.4257,14.6509,24.6229,28.5871,30.4793,32.3715,34.2637,36.156,38.0482,39.9404,41.8326,43.7248,45.6171,47.5093,49.4015,51.2937,52.3637,53.7884,55.0039,56.0537,56.9976,57.8546,58.6384,59.3592,60.0587,60.7727,61.4999,62.2379,62.9845,63.7943,64.6857,65.6067,66.5124,67.3637,68.1404,68.8233,69.3833,69.7957,70.0406,70.1762,70.255,70.2548,70.157,69.9465,69.6193,69.1726,68.5972,67.8866,67.0362
BRA,4.4534,4.9775,5.5482,5.5625,5.3351,5.0429,4.1384,3.6606,2.8407,3.9608,2.4039,2.5322,3.0860000000000003,3.4315,4.0885,4.3989,5.7938,6.5701,7.3337,7.5309,8.9505,8.2684,9.1336,9.9363,10.7097,11.5679,12.0482,12.6931,14.7463,16.2112,17.6338,18.9928,20.3064,21.5868,22.8472,24.101,25.3428,26.5701,27.8013,29.0539,30.3446,31.6904,33.0894,34.5282,35.9924,37.4675,38.9328,40.3665,41.7519,43.0725,44.3116,45.4924,46.6407,47.7437,48.7889,49.7636,50.6519,51.4418,52.1272,52.7022,53.1614
