cat,IPC4
clss,TOTAL
ent,KYOTOGHG
family,emi
gwp,AR4
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP | built by Johannes Guetschow
scen,HISTCR
srce,PMH21
tablename,KYOTOGHGAR4_IPC4_TOTAL_NET_HISTCR_PMH21
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0.018996000000000002,0.019387,0.020072,0.020852000000000002,0.022511,0.023205,0.023587,0.023827,0.0249,0.025033,0.025213,0.025388,0.02556,0.02657,0.02663,0.026619,0.026576999999999996,0.026465,0.026326,0.026156,0.026011000000000003,0.026741,0.026663,0.026962,0.027075,0.027188,0.027302,0.027415
AFG,1.4774,1.5588,1.6699,1.7985,1.9219,2.0312,2.1211,2.1936,2.2502,2.3093,2.3879,2.4872,2.6136,2.738,2.8701,2.9824,3.0769,3.1672,3.2572,3.3433,3.4306,3.5445,3.6491,3.7644,3.8674,3.9704,4.0734,4.1764
AGO,1.8008,1.8661,1.9415,2.0215,2.1016,2.1822,2.2679,2.3480000000000003,2.4334,2.5244,2.6264,2.7387,2.8613,2.9923,3.1239999999999997,3.2676,3.4256,3.5915,3.7708,3.9457,4.1208,4.3113,4.4757,4.5343,4.6827,4.8311,4.9795,5.1278
AIA,0.0020084,0.0020861,0.0021639,0.0022316,0.0022994,0.0023621,0.0024249000000000002,0.0024826,0.0025404,0.0025981999999999997,0.002666,0.0027388,0.0028141,0.0028945,0.0029699,0.0030402,0.0031055,0.0031633000000000004,0.0032186999999999997,0.0032665,0.0033143,0.0033594000000000002,0.0034020000000000005,0.0035158,0.0035795,0.0036431999999999997,0.0037069000000000004,0.0037705999999999994
ALB,0.16146,0.16985999999999998,0.20135,0.23467,0.32248000000000004,0.36905,0.48738000000000004,0.54061,0.53771,0.62555,0.6856300000000001,0.6882199999999999,0.68704,0.69863,0.75271,0.75956,0.8431200000000001,0.85219,0.81276,0.96783,0.96605,0.9678,0.9725,1.0276,1.0576,1.0875,1.1175,1.1475
AND,0.008048600000000001,0.0082308,0.008540100000000002,0.0085871,0.0090949,0.0090309,0.0089054,0.0084274,0.008401700000000002,0.0083356,0.0084637,0.0075979,0.0067649,0.0059417,0.0051192,0.004251899999999999,0.0046142,0.0049832,0.0053465000000000006,0.005691399999999999,0.0060184,0.005607899999999999,0.0049954,0.0052857,0.004901399999999999,0.0051857,0.0053605,0.0058316
ANT,0.006328,0.006447399999999999,0.0066213999999999995,0.006804800000000001,0.007704000000000001,0.0077656999999999995,0.007723000000000001,0.0076342,0.007519499999999999,0.007388,0.0072381,0.0071253,0.0070156,0.006953,0.007026300000000001,0.0072066000000000005,0.0075650000000000005,0.008045100000000001,0.0086509,0.009146099999999999,0.0096536,0.010061,0.010381,0.0098896,0.010118,0.010346,0.010574,0.010801999999999999
ARE,2.3136,2.4361,2.5368,2.6518,2.7671,2.8222,2.8318,2.9296,2.9597,3.0639,3.1144,4.126,5.0556,6.0587,7.1571,8.6176,8.9502,9.2828,9.6154,9.948,10.2806,10.6131,10.9457,11.2783,11.6109,13.0937,13.675,14.2563
ARG,9.3237,9.6607,9.9305,10.3169,10.655,11.1604,11.5857,12.024000000000001,12.3527,12.864,13.155,13.7924,14.1328,14.6913,15.1979,15.6903,16.1215,16.2205,16.0838,15.7881,16.1156,16.237000000000002,16.1946,16.2417,16.3748,17.0874,17.2896,17.4919
ARM,0.6604800000000001,0.66563,0.65465,0.64358,0.64891,0.65215,0.65732,0.66585,0.6751,0.68738,0.71096,0.69618,0.70672,0.71736,0.73251,0.73141,0.74622,0.65765,0.68478,0.72424,0.7544,0.7625,0.80393,0.76258,0.7679699999999999,0.77337,0.77876,0.7841600000000001
ATG,0.014249000000000001,0.014175,0.014291,0.014309,0.014438,0.015346,0.015491999999999999,0.015638,0.015519,0.015614,0.016432,0.016353,0.016281999999999998,0.016146999999999998,0.015989,0.016603,0.016492,0.016409,0.016297,0.016152,0.01598,0.016635,0.016531999999999998,0.01655,0.01659,0.016630000000000002,0.016669999999999997,0.01671
AUS,20.026,20.0048,19.7541,19.5935,18.9017,18.8545,17.2356,16.9677,16.1456,16.2344,15.6612,15.8728,15.9872,14.9086,14.5178,14.387,14.175,14.5142,14.9897,14.9005,15.213,14.5442,12.9841,12.3647,12.4901,11.9491,12.4078,11.7875
AUT,3.925,3.9943,3.9464,3.9210000000000003,3.8232,3.6512,3.4627,3.3148,3.1949,3.0753,2.9631,2.8655,2.8631,2.8666,2.93,2.7910000000000004,2.6712,2.5433,2.4311,2.2847,2.158,2.0426,1.9423,1.8238,1.7208,1.6376,1.5573,1.4843
AZE,2.1538,2.0088,2.0213,2.0433,2.0601,2.0853,2.1023,2.1148,2.1203,2.1266,2.1594,2.194,2.2239,2.2542,2.3247,2.3905,2.4817,2.5625,2.6446,2.6862,2.7825,2.8332,2.8801,0.8859600000000001,2.4528,2.4642,2.4755,2.4869
BDI,0.74679,0.76505,0.78275,0.7939,0.80279,0.81606,0.82588,0.8357,0.84649,0.8563799999999999,0.8736299999999999,0.89426,0.9191,0.948,0.9797,1.0116,1.0493,1.087,1.1277,1.1684,1.2121,1.2562,1.3,1.3021,1.3354,1.3688,1.4021,1.4355
BEL,4.3351,4.4861,4.6073,4.4375,4.5219,4.5014,4.4105,4.4647,4.3207,4.0628,3.9495,3.517,3.5316,3.1967,3.2347,3.0551,3.0365,2.9895,2.7801,2.6023,2.4997,2.2894,2.2062,1.8322,1.6544,1.5966,1.4842,1.4768
BEN,0.81137,0.8425600000000001,0.8780100000000001,0.91794,0.9550299999999999,0.9893299999999999,1.0266,1.0624,1.0969,1.1335,1.1735,1.2171,1.2634,1.3089,1.3569,1.4086,1.4595,1.5118,1.5648,1.6163,1.6692,1.725,1.78,1.8139,1.8632,1.9126,1.9619,2.0113
BFA,1.2713,1.3096,1.3494,1.3897,1.4282,1.4675,1.5126,1.5621,1.6119,1.6652,1.7218,1.7835,1.8488,1.9180000000000001,1.9816,2.055,2.1365,2.2175,2.3022,2.3891,2.4759,2.5656,2.6481,2.687,2.7618,2.8367,2.9116,2.9864
BGD,2.2966,2.3338,2.4001,2.4397,2.5218,4.3134,6.1256,7.9487,9.7203,11.5588,13.3745,15.2451,15.794,16.3378,16.8436,17.3639,17.6357,17.9522,18.3017,18.6182,18.9079,19.2633,19.5979,21.2364,21.8367,22.436999999999998,23.0372,23.6375
BGR,7.977,7.6678,7.6459,7.437,6.5552,6.9991,7.0258,6.9831,6.7258,6.495,6.3807,6.0349,5.7559,5.9004,5.7871,5.3802,5.2117,5.0807,4.9128,4.7566,4.6046,4.5735,4.423,4.4711,4.3164,4.2219,4.0818,3.7838
BHR,0.35146,0.35413,0.36483000000000004,0.37328,0.37845,0.39165,0.395,0.41845,0.40952,0.4341,0.43117,0.45776000000000006,0.46681999999999996,0.46573000000000003,0.48527,0.5046,0.52474,0.56193,0.5969300000000001,0.63443,0.65693,0.67693,0.68443,0.69958,0.72043,0.74129,0.7621399999999999,0.78299
BHS,0.1124,0.1148,0.11664000000000001,0.11888,0.12157000000000001,0.124,0.12571,0.12825999999999999,0.12885,0.13061,0.13304000000000002,0.13513,0.13777,0.1404,0.14324,0.14658,0.14936,0.15214,0.15516,0.15769,0.16021,0.16297999999999999,0.16548,0.16825,0.17095,0.17365999999999998,0.17637,0.17908
BIH,1.2409,1.2438,0.8713,0.50966,0.60219,0.66848,0.95257,0.94475,1.0363,1.1419,1.2073,1.2373,1.248,1.2578,1.2679,1.2762,1.2854,1.2943,1.3026,1.3108,1.3191,1.3274,1.3357,1.3464,1.1972,1.325,1.3305,1.3359999999999999
BLR,3.1642,3.0775,2.7772,2.5964,2.5243,2.5247,2.8528,2.9542,3.0911,3.2537,3.3901,3.4125,3.4929,3.7286,4.3314,3.8449,4.0801,4.1486,5.0216,5.0296,5.4254,5.348,5.4142,5.8982,6.0816,6.1876,6.0599,6.1307
BLZ,0.040202999999999996,0.041399,0.041859,0.042018,0.042682,0.044213,0.045344,0.048027999999999994,0.049274,0.050332999999999996,0.052714,0.053898,0.055497000000000005,0.056511,0.058716,0.058136,0.060311000000000003,0.06057100000000001,0.059585,0.061903999999999994,0.063169,0.065463,0.067163,0.067424,0.068575,0.069726,0.070877,0.072028
BOL,0.19317,0.29909,0.40347,0.50948,0.61378,0.78069,0.9459299999999999,1.1145,1.284,1.3653,1.4506,1.6816,1.915,1.95,1.993,2.0418,1.9801,2.0345,2.0815,2.1332,2.1879,2.2421,2.2982,2.4381,2.5042,2.5703,2.6364,2.7025
BRA,32.5398,33.7786,35.1564,36.3532,37.628,39.1748,40.5596,42.1538,43.6998,45.4689,47.0151,48.2104,50.2558,52.2432,53.434,55.2003,56.7711,57.9903,58.7531,60.0878,62.3861,66.2075,67.1393,72.2963,73.6032,74.0455,75.4997,77.3653
BRB,0.067985,0.06779199999999999,0.067095,0.066768,0.067497,0.0672,0.068674,0.069467,0.06869,0.06941900000000001,0.069849,0.06947,0.069023,0.06955800000000001,0.069543,0.07004400000000001,0.069489,0.069376,0.069078,0.07006799999999999,0.069525,0.06955499999999999,0.068963,0.069536,0.069548,0.06956,0.06957100000000001,0.069583
BRN,0.060476999999999996,0.062487,0.06453099999999999,0.066734,0.069082,0.07186000000000001,0.073727,0.075865,0.077778,0.08012000000000001,0.08200700000000001,0.084229,0.086727,0.088621,0.090018,0.091596,0.09356,0.095514,0.09750199999999999,0.099327,0.1016,0.10357999999999999,0.10543,0.10734,0.10927,0.11120999999999999,0.11315,0.11508
BTN,0.061866,0.062004,0.061812,0.060842999999999994,0.060626,0.060464,0.06172999999999999,0.06285299999999999,0.065354,0.06715499999999999,0.069756,0.072514,0.075849,0.078987,0.08145,0.084938,0.087724,0.089736,0.092748,0.094752,0.09678099999999999,0.099582,0.10148,0.10535,0.10803,0.11070999999999999,0.11338,0.11606
BWA,0.27541,0.28874,0.30159,0.3146,0.32799,0.34275,0.35243,0.36299000000000003,0.37343000000000004,0.38372,0.39492,0.40137,0.40776,0.4144,0.42167,0.42925,0.43738,0.44811999999999996,0.45945,0.46997,0.48122,0.49275,0.50365,0.50631,0.5152800000000001,0.5242399999999999,0.5332,0.5421699999999999
CAF,2.1430000000000002,2.2481,2.3128,2.369,2.4855,2.1939,1.9669,1.6731,1.4349,1.1725,0.91128,0.62227,0.34085,0.07202599999999999,0.073864,0.075379,0.077192,0.078707,0.08054700000000001,0.08416,0.085573,0.087299,0.087381,0.0,0.0,0.0,0.0,0.0
CAN,19.2818,19.3387,19.1937,19.1742,19.4771,19.8532,19.5987,19.1587,19.5497,19.7242,20.1998,19.7548,20.3463,19.9579,20.528000000000002,20.1544,21.1525,20.840999999999998,19.7286,18.659000000000002,18.3812,18.2383,17.7275,18.2339,18.698,18.7823,18.6965,18.7584
CHE,1.0712,0.98064,0.98165,0.9311799999999999,0.8729299999999999,0.8738600000000001,0.8636,0.85078,0.83555,0.8251,0.82965,0.84441,0.8567,0.83495,0.8530700000000001,0.8445299999999999,0.84396,0.8271799999999999,0.80992,0.78817,0.77481,0.75972,0.73821,0.73219,0.72317,0.71599,0.70297,0.69076
CHL,2.9843,3.0104,3.3387,3.327,3.2716,3.3862,3.411,3.4243,3.5148,3.7194,3.8235,3.625,3.3993,3.2098,3.3067,3.0376,2.9342,3.7154,4.2941,4.7892,4.5031,4.7706,5.0381,5.3056,5.4689,5.6322,5.7956,6.0653
CHN,192.4882,196.8556,201.5502,206.1332,210.7768,202.5503,192.9158,185.0868,176.638,167.9669,159.03,150.7082,142.4403,134.1731,126.1551,118.0128,125.1633,131.0407,137.0433,139.8816,148.6294,155.3166,160.5229,136.0635,134.9654,133.8673,132.7692,131.6711
CIV,2.0462,2.1186,2.1967,2.2735,2.3533,2.4384,2.5185,2.5980000000000003,2.6695,2.7489999999999997,2.8204,2.892,2.9637,3.0331,3.1057,3.1764,3.2591,3.0712,3.1021,3.1483,3.2334,3.3217,3.4107,3.4169,3.4610000000000003,3.5052,3.5493,3.5934
CMR,2.0467,2.1175,2.1938,2.2693,2.3506,2.4317,2.5208,2.6097,2.699,2.7937,2.8909,2.9858,3.0781,3.1841,3.2913,3.3972,3.5073,3.6252,3.7377,3.8652,3.9918,4.1184,4.2409,4.3083,4.4184,4.5285,4.6387,4.7488
COD,5.7917,6.0417,6.3066,6.5771,6.8671,7.1045,7.343999999999999,7.5471,7.7477,7.9527,8.2226,8.5039,8.7852,9.107000000000001,9.4663,9.7933,10.145,10.547,10.949000000000002,11.3505,11.7773,12.2285,12.675999999999998,12.7891,13.144,13.4989,13.8537,14.2086
COG,0.45251,0.46903999999999996,0.48203999999999997,0.49394,0.50634,0.5222,0.5391699999999999,0.55682,0.57508,0.5906,0.6088899999999999,0.6272399999999999,0.6462100000000001,0.66297,0.68071,0.7016399999999999,0.7249800000000001,0.74941,0.77955,0.80885,0.8373700000000001,0.86366,0.88849,0.8969,0.91946,0.9420299999999999,0.96459,0.98716
COK,0.00072013,0.0007202999999999999,0.00072302,0.00073323,0.00074343,0.0007511,0.0007712999999999999,0.0007765,0.00063418,0.00063688,0.00064713,0.00065742,0.00067283,0.00068575,0.0007062,0.00072415,0.0007345,0.00074482,0.00075265,0.00076045,0.00076578,0.00077338,0.00077845,0.00080364,0.00081514,0.00082664,0.00083814,0.00084965
COL,7.1633,7.6008,7.9694,8.4396,8.5661,8.908999999999999,8.9683,9.1492,9.3906,9.7919,10.4679,10.9386,11.3513,11.7367,12.1686,13.288,13.3956,13.7981,14.5179,14.9087,15.3594,15.1916,15.4101,16.1217,16.9426,17.2628,17.7073,18.1519
COM,0.065092,0.067866,0.069553,0.071642,0.073671,0.075547,0.07839,0.08000299999999999,0.081893,0.084622,0.08644,0.089175,0.090817,0.092682,0.095322,0.096959,0.099624,0.10159,0.10428,0.10627,0.10898,0.11202000000000001,0.11405,0.11574000000000001,0.11800000000000001,0.12025999999999999,0.12252,0.12478
CPV,0.05778099999999999,0.059567999999999996,0.06172999999999999,0.063601,0.06614,0.068629,0.070737,0.073361,0.07586699999999999,0.079121,0.08150299999999999,0.083694,0.085886,0.08841900000000001,0.08995,0.09195,0.093672,0.094836,0.096217,0.098097,0.09891599999999999,0.10024,0.1022,0.10507999999999999,0.10687999999999999,0.10868,0.11048,0.11227000000000001
CRI,0.5515399999999999,0.6383,0.72514,0.81705,0.9073700000000001,0.9951200000000001,1.0829,1.189,1.3079,1.4203,1.5255,1.5713,1.6236,1.6809,1.732,1.6309,1.6246,1.6781,1.7052,1.7427,1.7775,1.8030000000000002,1.8384,1.8752,1.9041,1.933,1.9618,1.9907
CUB,3.1006,3.0287,2.9396,2.7776,2.716,2.6673,2.6616,2.6049,2.5189,2.4846,2.4456,2.5173,2.5665,2.5397,2.5598,2.5245,2.5580000000000003,2.577,2.5888,2.5918,2.5502,2.5526,2.5895,2.5976,2.6042,2.6109,2.6175,2.6242
CYP,0.38673,0.39153000000000004,0.40054,0.40998,0.42182,0.43013999999999997,0.43517,0.44367,0.45063000000000003,0.45842,0.4671,0.47636999999999996,0.48335,0.48568999999999996,0.48888000000000004,0.49646999999999997,0.49578,0.49763,0.50563,0.51021,0.51256,0.51617,0.52663,0.53804,0.5484899999999999,0.56133,0.57206,0.5796399999999999
CZE,3.1245,3.2668,3.2758,3.3567,3.5035,3.5109,3.5492,3.6660000000000004,3.792,3.8061,3.8535,3.9933,4.127,4.2851,4.2348,4.2946,4.3711,4.3143,4.5116,4.6211,4.8615,4.9171,5.0774,5.3731,5.4034,5.5117,5.567,5.6493
DEU,38.3517,39.7364,40.31,40.1299,39.333,38.35,36.9104,33.9547,31.8493,30.2122,28.6371,26.9722,25.5768,24.0602,22.6212,21.1575,19.4988,18.1767,16.9419,15.7198,14.5913,13.8276,13.0392,12.3326,11.674000000000001,11.1649,10.6973,10.1815
DJI,0.14794000000000002,0.15415,0.1584,0.16209,0.16494,0.16791,0.17165999999999998,0.17501,0.17853,0.18266,0.18592,0.1887,0.19205999999999998,0.19521,0.19805,0.201,0.20483,0.20797,0.21051,0.21389,0.21653000000000003,0.21919,0.22191,0.22582,0.22891,0.23199999999999998,0.23508,0.23817
DMA,0.026467,0.026667000000000003,0.026920999999999997,0.027282,0.027592000000000002,0.028002,0.028176,0.028304000000000003,0.028492,0.028742,0.028957999999999998,0.029033,0.028357999999999998,0.028558,0.028435000000000002,0.028908,0.029195999999999996,0.029452,0.029512,0.029585000000000004,0.029771,0.029994,0.030219,0.030059,0.030173000000000002,0.030286,0.0304,0.030514
DNK,1.7793,1.787,1.7677,1.7668,1.6999,1.6158,1.5672,1.4922,1.4442,1.5065,1.5049,1.5392,1.5687,1.579,1.2741,1.264,1.3222,1.3108,1.288,1.2442,1.1751,1.1697,1.126,1.1042,1.0992,1.0842,1.1237,1.146
DOM,1.6582,2.0254,2.3874,2.7587,3.1161,2.7992,2.5058,2.2067,1.9019,1.9264,1.9703,2.2783,2.5877,2.8964,3.2236,3.543,3.8735,4.2079,4.5375,4.8839,5.2208,5.3753,5.4934,5.9270000000000005,6.2185,6.5101,6.8016,7.0931
