cat,IPCM0EL
clss,TOTAL
ent,KYOTOGHG
family,emi
gwp,AR4
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
scen,HISTORY
srce,UNFCCC2019BI
tablename,KYOTOGHGAR4_IPCM0EL_TOTAL_NET_HISTORY_UNFCCC2019BI
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ALB,4.5558,6.7068,4.7984,4.8236,5.1521,5.1303,5.295,5.4094,6.1358,6.6333,6.1814,6.8534,6.8615,7.2226,7.5949,7.5196,7.5828,7.9352,8.0038,8.5146,nan,nan,nan,nan,nan,nan,nan
ARE,nan,nan,nan,nan,79.1417,nan,nan,nan,nan,nan,133.5872,nan,nan,nan,nan,200.8915,nan,nan,nan,nan,nan,nan,nan,nan,201.8696,nan,nan
ARG,243.9141,nan,nan,nan,271.1618,nan,nan,284.344,nan,nan,295.7857,nan,nan,nan,nan,nan,nan,nan,nan,nan,343.9398,nan,350.8859,nan,nan,nan,nan
ARM,25.5519,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.8588,nan,nan,nan,nan,nan,7.4075,nan,nan,nan,7.6141,nan,nan,nan,nan,nan,nan
AZE,75.8554,68.911,59.5954,52.6774,46.788000000000004,49.3347,41.9886,40.9487,40.3788,40.6904,42.3037,42.6463,42.5935,45.5191,48.1286,51.3127,51.4263,49.6085,57.1888,51.633,51.4603,52.4378,55.2107,62.1722,nan,nan,nan
BGD,nan,nan,nan,nan,50.5169,nan,nan,nan,nan,nan,nan,91.0036,nan,nan,nan,106.2195,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
BHS,1.9192,nan,nan,nan,2.1892,nan,nan,nan,nan,nan,0.72797,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
BIH,34.7709,31.5238,11.0835,4.1814,4.6684,4.6843,7.7026,10.5956,14.6134,15.0009,15.6555,16.5227,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.480999999999998,26.151999999999997,nan,nan
BOL,17.0843,nan,nan,nan,22.8871,nan,nan,nan,55.5865,nan,49.6666,nan,34.8013,nan,49.9958,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
BRA,594.3378,617.7201,627.8202,640.1796,658.9839999999999,685.2513,690.008,715.5622,734.0018,752.0493,775.1927,795.7539,814.3486,834.5312,872.4277,889.5219999999999,896.2051,900.1784,930.1963,917.965,981.9794,1019.1257,1049.2249,1091.4542,1120.1817,1097.3187,nan
CAF,nan,nan,nan,nan,39.0076,nan,nan,nan,nan,nan,nan,nan,nan,37.7639,37.7786,37.7941,11.5419,11.5609,11.5665,6.1111,6.1322,nan,nan,nan,nan,nan,nan
CHL,51.8257,nan,nan,nan,58.0955,nan,nan,nan,nan,nan,76.1735,nan,nan,nan,nan,nan,80.7285,nan,nan,nan,91.4332,nan,nan,103.7876,nan,nan,111.23899999999999
CHN,nan,nan,nan,nan,4184.541,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7658.1117,nan,nan,nan,nan,nan,nan,12126.1871,nan,nan,nan,nan
COL,126.2305,nan,nan,nan,145.5636,nan,nan,nan,nan,nan,155.3703,nan,nan,nan,162.9576,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CRI,6.6856,nan,nan,nan,nan,nan,11.3982,nan,nan,nan,11.5747,nan,nan,nan,nan,12.6866,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CUB,48.7869,nan,34.4912,nan,33.8365,nan,38.6017,nan,40.3117,nan,39.0277,nan,37.7724,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DMA,nan,nan,nan,nan,0.095351,nan,nan,nan,nan,nan,0.17852,0.18936,0.18237,0.18170999999999998,0.17254,0.18697,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DOM,13.1875,nan,nan,nan,21.2993,nan,nan,nan,24.4987,nan,27.2314,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.8435,nan,nan,nan,nan,nan,nan
EGY,120.5635,nan,nan,nan,nan,nan,nan,nan,nan,nan,199.9745,nan,nan,nan,nan,248.7441,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ETH,50.062,51.751000000000005,50.543,50.971000000000004,50.9666,50.8142,53.2932,77.1236,78.0767,78.3315,76.5817,80.1053,88.5327,88.1822,91.1325,70.9755,80.5108,84.0647,92.8224,96.3518,102.5583,100.8053,104.7751,105.6296,nan,nan,nan
