cat,IPCMAG
clss,TOTAL
ent,KYOTOGHG
family,emi
gwp,AR4
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP | built by Johannes Guetschow
scen,HISTCR
srce,PMH21
tablename,KYOTOGHGAR4_IPCMAG_TOTAL_NET_HISTCR_PMH21
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0.0025026999999999996,0.0,0.0,1.2217999999999999e-05,2.086e-05,1.49e-05,1.3112e-05,2.6521999999999998e-05,2.9204e-05,2.9502e-05,3.7845999999999996e-05,3.8144e-05,4.47e-05,4.7382e-05,5.5726e-05,5.5726e-05,5.5726e-05,5.5726e-05,5.5726e-05,5.5726e-05,5.5726e-05,5.5726e-05,5.5726e-05,6.434e-05,6.6313e-05,6.8286e-05,7.025899999999999e-05,7.2232e-05
AFG,8.156,8.4765,8.4832,8.5633,8.538,8.975,9.9854,10.9606,11.7606,12.799000000000001,10.9939,9.3166,11.6,12.0852,11.8315,12.1188,12.0748,12.1314,13.4483,13.8596,15.8493,15.9059,15.793,15.7391,16.2268,15.1511,15.3532,15.2837
AGO,31.6815,31.7642,31.8659,31.7365,31.7106,31.6012,27.1933,26.8264,29.6651,27.5041,28.3509,30.7447,33.1597,37.3671,37.2123,37.4731,33.9601,37.2919,35.049,35.1483,36.8351,37.9345,36.1125,37.4244,35.9329,37.6597,37.3851,36.7733
ALB,2.5001,2.0429,1.9225,2.0773,2.3911,2.4681,2.3978,2.3279,2.4139,2.4244,2.9371,2.8511,2.9614,2.9727,2.9393,2.8456,2.7635,2.6301,2.4749,2.3964,2.3911,2.4115,2.4417,2.4297,2.4613,2.5084,2.5358,2.4661
AND,0.0074211,0.0075268,0.007328399999999999,0.0072718,0.007215300000000001,0.0069973,0.0071768,0.0071221,0.0069833,0.007046500000000001,0.0069542,0.0073257999999999995,0.007622499999999999,0.0078933,0.0083132,0.0087086,0.0088749,0.0091743,0.009362899999999999,0.0093411,0.0095215,0.0091304,0.0093758,0.0094762,0.009698100000000001,0.0093788,0.009518200000000001,0.0094685
ANT,0.0087369,0.008316200000000001,0.008131600000000001,0.007772399999999999,0.0075422,0.0074578000000000005,0.007606999999999999,0.0074209,0.007847199999999999,0.0073188,0.0078241,0.007864699999999999,0.0084979,0.008370200000000001,0.008694799999999999,0.008634999999999999,0.0086748,0.0089165,0.0090386,0.0090436,0.0091928,0.009168,0.0092455,0.009287799999999999,0.0093351,0.0093176,0.009305299999999999,0.0093526
ARE,2.1767,2.4493,2.7157,2.8882,3.2233,3.4771,3.7816,3.9509,4.1305,4.4425,4.5708,4.3797,4.4842,4.4261,4.1694,4.207,3.7805,3.4428,3.2389,3.1297,2.4411,2.0349,1.6469,1.4039,1.0975,1.1369,1.1513,1.17
ARG,115.4245,116.755,117.7769,120.249,118.6603,116.3442,117.0584,113.5829,112.9501,112.9092,124.2233,130.9488,130.6489,139.2245,137.5947,138.8343,142.3036,143.0467,135.7417,132.7292,98.2307,98.2724,101.0189,106.4491,107.9846,106.9529,111.7373,114.1081
ARM,1.3025,1.3169,1.2714,1.1095,1.1083,1.139,1.1933,1.2293,1.1969,1.2665,1.3425,1.3526,1.4479,1.4596,1.5462,1.5325,1.7616,1.739,1.7034,1.6302,1.5617,1.6042,1.7598,1.9082,1.9292,2.0109,2.3153,2.0385
ATG,0.040503,0.042124,0.042132,0.042768,0.043552999999999994,0.044048000000000004,0.042288,0.042232,0.042058,0.042929,0.042219,0.043451,0.044226,0.044992000000000004,0.045719,0.04587,0.046035,0.045083,0.044857,0.044622,0.023362,0.023458,0.023577,0.023589,0.023512,0.023051,0.023808000000000003,0.023455
