cat,IPCMLULUCF
clss,TOTAL
ent,KYOTOGHG
family,emi
gwp,AR4
note,"Sum over CO2, CH4 and N2O. Interpolation method: constant."
scen,INTERCONST
srce,UNFCCC2019BI
tablename,KYOTOGHGAR4_IPCMLULUCF_TOTAL_NET_INTERCONST_UNFCCC2019BI
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ALB,3.4943,3.5348,2.0166,1.5114,1.7988,1.5181,1.4480000000000002,1.3191,1.097,0.9115200000000001,3.303,2.5069999999999997,2.056,1.719,1.7890000000000001,1.715,1.6380000000000001,1.618,1.179,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999
ARE,-4.227,-4.227,-4.227,-4.227,-4.227,-4.227,-4.227,-4.227,-4.227,-4.227,-9.665,-9.665,-9.665,-9.665,-9.665,-13.222999999999999,-13.222999999999999,-13.222999999999999,-13.222999999999999,-13.222999999999999,-13.222999999999999,-13.222999999999999,-13.222999999999999,-13.222999999999999,-8.4344,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999,-12.265279999999999
ARG,-14.6696,-14.6696,-14.6696,-14.6696,-34.0819,-34.0819,-34.0819,-28.732,-28.732,-28.732,-43.18899999999999,-43.18899999999999,-43.18899999999999,-43.18899999999999,-43.18899999999999,-43.18899999999999,-43.18899999999999,-43.18899999999999,-43.18899999999999,-43.18899999999999,116.3137,116.3137,91.4024,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334,108.00993333333334
ARM,-0.75642,-0.75642,-0.75642,-0.75642,-0.75642,-0.75642,-0.75642,-0.75642,-0.75642,-0.75642,-0.45669,-0.45669,-0.45669,-0.45669,-0.45669,-0.45669,-0.50907,-0.50907,-0.50907,-0.50907,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857,-0.53857
AZE,-3.69,-3.65,-3.6210000000000004,-3.6180000000000003,-3.715,-3.79,-3.855,-4.0680000000000005,-4.556,-4.618,-4.87,-4.893,-5.0889999999999995,-5.225,-5.276,-5.349,-5.353,-5.438,-5.382999999999999,-5.36,-5.41,-5.435,-5.442,-6.1977,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175,-5.621175
BGD,7.837999999999999,7.837999999999999,7.837999999999999,7.837999999999999,7.837999999999999,7.837999999999999,7.837999999999999,7.837999999999999,7.837999999999999,7.837999999999999,7.837999999999999,28.419,28.419,28.419,28.419,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055,18.2055
BIH,-7.4235,-7.689,-10.147,-10.568,-10.081,-10.24,-9.367,-8.482999999999999,-8.307,-7.297000000000001,-7.3020000000000005,-7.212000000000001,-7.212000000000001,-7.212000000000001,-7.212000000000001,-7.212000000000001,-7.212000000000001,-7.212000000000001,-7.212000000000001,-7.212000000000001,-7.212000000000001,-7.212000000000001,-7.212000000000001,-6.141,-6.398,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999,-6.834999999999999
BOL,23.4595,23.4595,23.4595,23.4595,27.1574,27.1574,27.1574,27.1574,27.8525,27.8525,28.8626,28.8626,38.2504,38.2504,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716,49.5716
BRA,795.6904,652.6791,804.4193,866.2318,866.2326,1941.7805,1265.9176,961.3219,1218.9354,1211.0386,1272.8191,1268.43,1486.6524,2452.3146,2650.4677,1916.114,1495.1002,1280.9012,1385.3176,425.1842,353.1533,286.7815,255.7905,395.0932,237.6372,335.8173,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663,310.71216666666663
CAF,-139.311,-139.311,-139.311,-139.311,-139.311,-139.311,-139.311,-139.311,-139.311,-139.311,-139.311,-139.311,-139.311,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408,-1743.2408
