cat,IPC1
clss,TOTAL
ent,N2O
family,emi
gwp,AR4
note,Read in by JG and RG
scen,HISTORY
srce,UNFCCC2019BI
tablename,N2OAR4_IPC1_TOTAL_NET_HISTORY_UNFCCC2019BI
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ALB,0.0298,0.0149,0.032780000000000004,0.0298,0.0298,0.03576,0.02682,0.02384,0.02086,0.02384,0.02384,0.02682,0.02682,0.02682,0.02682,0.02384,0.02682,0.02682,0.0298,0.0298,nan,nan,nan,nan,nan,nan,nan
ARE,nan,nan,nan,nan,1.5496,nan,nan,nan,nan,nan,3.278,nan,nan,nan,nan,3.576,nan,nan,nan,nan,nan,nan,nan,nan,0.09536,nan,nan
ARG,0.5688300000000001,nan,nan,nan,0.69418,nan,nan,0.8609399999999999,nan,nan,0.9694200000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.611,nan,1.7597,nan,nan,nan,nan
ARM,0.06377200000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0149,nan,nan,nan,nan,nan,0.018476,nan,nan,nan,0.027714,nan,nan,nan,nan,nan,nan
AZE,nan,0.0596,0.06556000000000001,0.0596,0.050660000000000004,0.050660000000000004,0.0447,0.0447,0.0447,0.04172,nan,0.032780000000000004,0.0298,0.03576,0.03874,nan,nan,nan,nan,nan,nan,nan,nan,0.13794,nan,nan,nan
BGD,nan,nan,nan,nan,0.01788,nan,nan,nan,nan,nan,nan,0.12218,nan,nan,nan,0.14304,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
BIH,0.1341,0.32482,0.032780000000000004,0.0149,0.0149,0.01192,0.032780000000000004,0.03874,0.04768,0.05364,0.0596,0.11026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
BOL,0.06556000000000001,nan,nan,nan,0.08046,nan,nan,nan,0.08344,nan,0.08046,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
BRA,3.7608,3.7786,3.7608,3.7369,4.1422,4.5445,5.1703,5.8736,6.3534,6.6186,6.6782,7.0835,7.6467,8.1831,8.6927,8.9907,9.0801,9.5211,9.9741,9.7595,11.0558,12.072000000000001,13.1329,13.7587,14.6258,14.0775,nan
CHL,0.3278,nan,nan,nan,0.3874,nan,nan,nan,nan,nan,0.596,nan,nan,nan,nan,nan,0.37848000000000004,nan,nan,nan,0.745,nan,nan,1.043,nan,nan,1.1026
CHN,nan,nan,nan,nan,14.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,39.931999999999995,nan,nan,nan,nan,nan,nan,67.05,nan,nan,nan,nan
COL,0.41123999999999994,nan,nan,nan,0.49468,nan,nan,nan,nan,nan,0.30098,nan,nan,nan,0.29502,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CRI,0.03576,nan,nan,nan,nan,nan,0.0298,nan,nan,nan,0.051851999999999995,nan,nan,nan,nan,0.092916,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CUB,0.36058,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.21158000000000002,nan,0.1788,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
