cat,IPC2
clss,TOTAL
ent,N2O
family,emi
gwp,AR4
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP | built by Johannes Guetschow
scen,HISTCR
srce,PMH21
tablename,N2OAR4_IPC2_TOTAL_NET_HISTCR_PMH21
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,2.0383e-07,2.1188000000000002e-07,2.2379999999999998e-07,2.3751e-07,2.5151e-07,2.6343e-07,2.7267e-07,2.8011999999999994e-07,2.8608000000000003e-07,2.9174e-07,2.9769999999999997e-07,3.0396000000000003e-07,3.0991999999999996e-07,3.1886e-07,3.2482e-07,3.278e-07,3.3078000000000005e-07,3.3078000000000005e-07,3.3078000000000005e-07,3.3376e-07,3.3376e-07,3.3376e-07,3.3674e-07,3.4795000000000004e-07,3.5150999999999995e-07,3.5508000000000003e-07,3.5865e-07,3.6220999999999996e-07
AFG,0.0010847,0.0011473,0.0012337,0.0013321,0.0014244000000000001,0.0015049000000000002,0.0015705,0.0016180999999999997,0.0016628,0.0017105,0.0017701000000000001,0.0018445999999999998,0.0019280999999999999,0.0020204,0.0021098000000000002,0.0021903,0.0022618,0.0023244,0.002381,0.0024436,0.0025120999999999997,0.0025866,0.0026701,0.0027476999999999996,0.0028211,0.0028944,0.0029676999999999998,0.003041
AGO,0.06675199999999999,0.068838,0.07122200000000001,0.07360599999999999,0.07599,0.078374,0.08075800000000001,0.082844,0.085228,0.087612,0.09059199999999999,0.093572,0.09685,0.10013,0.10400000000000001,0.10758,0.11145,0.11533,0.1192,0.12337000000000001,0.12754000000000001,0.13172,0.13619,0.13812,0.1418,0.14548,0.14916,0.15284
AIA,2.7327e-08,2.8399000000000002e-08,2.9442e-08,3.0396e-08,3.129e-08,3.2184e-08,3.3078e-08,3.3674e-08,3.4567999999999996e-08,3.5462e-08,3.6356000000000005e-08,3.725e-08,3.8442e-08,3.9336e-08,4.0528000000000004e-08,4.1422e-08,4.2316e-08,4.321000000000001e-08,4.3806e-08,4.4401999999999996e-08,4.4998e-08,4.5892e-08,4.619e-08,4.7842e-08,4.8704000000000004e-08,4.9566e-08,5.0428e-08,5.129e-08
ALB,0.010758,0.010758,0.010639000000000001,0.010459999999999999,0.010311,0.010192,0.010131999999999999,0.010131999999999999,0.010192,0.010221,0.010251,0.010251,0.010251,0.010221,0.010192,0.010102,0.010013,0.009863799999999999,0.009744599999999999,0.0096254,0.009506200000000001,0.0094764,0.009446600000000001,0.0094335,0.009368099999999999,0.009302600000000001,0.009237200000000001,0.009171700000000001
AND,0.019753,0.019972999999999998,0.021098,0.022359999999999998,0.023255,0.024424,0.025685000000000003,0.025021,0.011729,0.0072164,0.0071939,0.0067553,0.0063161,0.006622499999999999,0.0059152,0.0057316,0.0045962,0.0041448,0.0038884999999999996,0.0036431999999999997,0.0035275999999999997,0.003165,0.0031223,0.0018885999999999998,0.0014283,0.00096796,0.00050764,0.00019949
ANT,4.2614e-08,4.4104e-08,4.5594000000000004e-08,4.7382e-08,4.8574e-08,4.9467999999999997e-08,4.9766000000000004e-08,4.9467999999999997e-08,4.8872e-08,4.7977999999999995e-08,4.7084e-08,4.619e-08,4.5594000000000004e-08,4.4998e-08,4.5594000000000004e-08,4.7084e-08,5.0362e-08,5.4534000000000004e-08,5.9302000000000004e-08,6.4368e-08,6.854e-08,7.2116e-08,7.5096e-08,7.0896e-08,7.2943e-08,7.4991e-08,7.7039e-08,7.9086e-08
ARE,0.08105599999999999,0.085824,0.090294,0.09536,0.10013,0.10519,0.11055999999999999,0.11622,0.12247999999999999,0.12903,0.13648,0.14423,0.15198,0.16241,0.1782,0.20085,0.23155,0.26909,0.30992,0.34568000000000004,0.3725,0.39038,0.4023,0.41513999999999995,0.43746999999999997,0.4598,0.48213999999999996,0.50447
ARG,0.050164,0.053610000000000005,0.05379400000000001,0.052894000000000004,0.057151,0.05828099999999999,0.067898,0.061472000000000006,0.060971000000000004,0.064897,0.07388099999999999,0.08795700000000001,0.084826,0.09730499999999999,0.10092999999999999,0.10046000000000001,0.10429000000000001,0.11487,0.093269,0.086311,0.10257999999999999,0.11227000000000001,0.10530999999999999,0.11802,0.12099000000000001,0.11843,0.1207,0.12297999999999999
ARM,0.012962999999999999,0.012844,0.012634999999999999,0.012337,0.012039,0.011801,0.011622,0.011473,0.011384,0.011323999999999999,0.011264,0.011205,0.011145,0.011115,0.011086,0.011026000000000001,0.010995999999999999,0.010937,0.010877,0.010847,0.010847,0.010877,0.010907,0.010748,0.010709,0.010671,0.010631999999999999,0.010593
