cat,IPCM0EL
clss,TOTAL
ent,N2O
family,emi
gwp,AR4
note,Scenario based on RCPSSP IAM scenario dowscaled to country level using GDP data from SSP scenarios. For methodology see Guetschow et al. 2017
scen,PMH21SSP1BLIMAGE
srce,PMH21SSPBIE
tablename,N2OAR4_IPCM0EL_TOTAL_NET_PMH21SSP1BLIMAGE_PMH21SSPBIE
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABW,0.0073335,0.0059797,0.0065516,0.0066293,0.0068499,0.0072763,0.0023661,0.0025983,0.0034135999999999997,0.0039485,0.0071178,0.007660600000000001,0.0072012,0.007196800000000001,0.0069459000000000005,0.0068138999999999995,0.006526100000000001,0.007650199999999999,0.007762399999999999,0.0079124,0.009512600000000001,0.009503200000000002,0.009537799999999999,0.0098568,0.010183,0.010509000000000001,0.010836,0.011162,0.011455,0.01286,0.014379,0.016028,0.017802000000000002,0.019708,0.021751,0.023937,0.026297000000000004,0.028860000000000004,0.031626,0.034592000000000005,0.037757,0.041213,0.045051,0.049274,0.053872,0.05882999999999999,0.06415499999999999,0.069833,0.075801,0.08198,0.088272,0.09477000000000001,0.10164,0.10887999999999999,0.11648,0.12444000000000001,0.13280999999999998,0.1416,0.15081,0.16039,0.17033
AFG,2.8774,2.9578,2.9063,2.9491,2.7852,2.9262,3.1643,3.4744,3.7633,4.0327,3.5094,3.1019,3.6137,3.8186,3.7249,3.8792,3.7186,3.647,3.9744,4.2457,4.7148,4.8007,4.8412,4.8856,5.2023,4.7449,5.1823,5.4246,5.4934,5.3445,5.229,5.1452,5.0839,5.0424,5.0181,5.0086,5.0148,5.0373,5.0733,5.1204,5.1764,5.2442,5.3264,5.421,5.5266,5.6425,5.7726,5.9186,6.0779,6.2485,6.4292,6.622999999999999,6.832000000000001,7.0536,7.2864,7.529,7.7843,8.0533,8.333,8.621,8.9153
AGO,16.3245,16.3665,16.4205,16.3806,16.3396,16.3411,14.0603,13.8357,15.2565,14.1584,14.5799,15.815999999999999,17.128,19.3642,19.3412,19.4005,17.6285,19.389,18.2632,18.3747,19.323,19.9165,18.9733,19.7044,18.9981,19.9245,19.7863,19.4872,22.5338,22.3728,22.0297,21.5269,20.9353,20.2933,19.6308,18.9701,18.2781,17.5302,16.7516,15.9609,15.1712,14.3709,13.5705,12.8027,12.089,11.4426,10.845999999999998,10.2823,9.7571,9.2725,8.8287,8.4224,8.0499,7.709,7.397,7.1112,6.8502,6.6121,6.3938,6.1925,6.0057
ALB,1.4671,1.1026,1.0592,1.1265,1.3624,1.3636,1.208,1.1339,1.1726,1.1355,1.2308,1.1941,1.3419999999999999,1.3548,1.3192,1.3159999999999998,1.2594,1.2353,1.1854,1.1762,1.1678,1.2048,1.2081,1.2016,1.2193,1.2607,1.2972,1.2619,1.2671,1.2593,1.2532,1.249,1.2462,1.2444,1.2434,1.2426,1.2426,1.2435,1.2452,1.2473,1.2497,1.2527,1.2561,1.2599,1.2636,1.2669,1.2701,1.2732,1.2759,1.2781,1.2795,1.2805,1.2812,1.2812,1.2804,1.2785,1.2758,1.2724,1.2682,1.2632,1.2574
ARE,3.0669999999999997,3.4015,3.6195,3.8308,4.1497,4.6395,5.1331,5.3494,5.6292,6.0076,6.5596,6.5918,7.0953,7.2143,6.9601,6.8311,6.1697,5.6129999999999995,5.2117,4.6756,4.0544,3.4361,2.8583,2.2616,1.685,1.9426,1.7336,1.7658,1.0949,1.128,1.1643,1.2038,1.2432,1.2824,1.321,1.3585,1.3933,1.4236,1.4491,1.4694,1.484,1.4927,1.4967,1.4972,1.4954,1.4918,1.4854,1.4755,1.4626,1.4474,1.43,1.4103,1.3883,1.3649,1.3409,1.3164,1.2911,1.2647,1.2384,1.213,1.189
ARG,41.6498,42.2885,42.3879,43.8473,41.6208,41.0371,42.6513,41.2431,41.673,41.8109,48.0973,52.5749,48.3684,51.9403,48.4434,49.206,51.075,51.4989,47.7584,48.4798,39.4174,38.3879,38.0468,41.611000000000004,42.1619,41.7178,44.7654,46.1536,39.8552,39.936,40.0428,40.1651,40.2709,40.3597,40.4313,40.4861,40.5244,40.5514,40.5749,40.6022,40.6402,40.7487,40.9626,41.2502,41.5802,41.9209,42.2408,42.5104,42.7013,42.785,42.7338,42.5948,42.4375,42.2672,42.0884,41.9047,41.7135,41.5112,41.2994,41.0795,40.8526
ARM,0.36163,0.38225,0.42112,0.32375,0.31343000000000004,0.33547,0.36615,0.38228,0.40587,0.44371000000000005,0.4859,0.46381000000000006,0.51641,0.49428999999999995,0.5080600000000001,0.49394,0.6815100000000001,0.5889,0.54487,0.5411100000000001,0.49701999999999996,0.51953,0.59323,0.644,0.62295,0.67571,0.9446399999999999,0.75331,0.72545,0.72545,0.72582,0.72692,0.72895,0.73185,0.7355,0.73974,0.7441399999999999,0.7481399999999999,0.7514,0.75357,0.75429,0.75441,0.75498,0.7559100000000001,0.7571,0.75848,0.7600100000000001,0.76167,0.76347,0.76541,0.76749,0.76928,0.7703899999999999,0.7709,0.7709,0.77045,0.76971,0.76872,0.76745,0.76588,0.76399
AUS,17.5026,17.1053,16.9533,17.4639,17.9515,17.2721,18.5226,19.2084,19.4442,19.8957,20.8136,21.1568,21.6893,20.4358,22.1351,22.2244,22.1898,20.6942,21.0042,21.3582,21.2029,21.9587,22.3433,21.1362,21.5726,21.0723,21.1038,22.7855,22.3865,22.4858,22.581,22.6695,22.746,22.8133,22.874000000000002,22.9306,22.9823,23.0294,23.0761,23.1265,23.1842,23.2486,23.3161,23.3868,23.4606,23.5374,23.6154,23.6934,23.7717,23.8508,23.930999999999997,24.0144,24.1005,24.1861,24.268,24.3436,24.4131,24.4783,24.5389,24.5944,24.6446
AUT,4.6233,4.6756,4.4677,4.4981,4.4387,4.5344,4.5747,4.5821,4.633,4.6068,4.5789,4.4636,4.4703,4.4717,3.8872,3.8906,3.8791,3.8861,4.0594,3.8203,3.6266,3.7137,3.6738,3.6792,3.7603,3.7586,3.8412,3.7632,3.7255,3.7154,3.7082,3.7033,3.6982,3.6933,3.6889,3.6857,3.6834,3.682,3.6819,3.6836,3.6875,3.6932,3.7003,3.7089999999999996,3.7194,3.7316,3.7455,3.7607,3.7769999999999997,3.7939,3.8114,3.8294,3.8481,3.8672,3.8862,3.905,3.9234,3.9416,3.9596,3.9771,3.9943
AZE,4.1558,2.1993,2.3747,1.8963,1.5982,1.4435,1.4388,1.591,1.7952,2.4033,2.5504,2.6133,2.7553,2.8408,2.9432,3.1107,3.1093,3.3755,3.3755,3.5593,3.5328,3.5365,3.6087,2.8374,3.1394,3.0767,3.1586,3.0994,3.2257,3.2089,3.1802,3.14,3.0951,3.0495,3.0067,2.9696,2.9375,2.9057,2.8707,2.8291,2.7778,2.7178,2.6553,2.5948,2.54,2.4938,2.4551,2.4209,2.3915,2.367,2.3475,2.3313,2.3166,2.3033,2.2912,2.2802,2.27,2.2605,2.2521,2.2449,2.2394
