cat,IPCMLULUCF
clss,TOTAL
ent,N2O
family,emi
gwp,AR4
note,Renamed as composite source from N2O_IPCMLULUCF_TOTAL_NET_HISTORY_CRF2019! | Renamed as composite source from N2O_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC1! | Renamed as composite source from N2O_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC2! | Add the countries {IDN.MDA} from N2O_IPCMLULUCF_TOTAL_NET_HISTORY_BUR2IPCC2006I || Renamed as composite source from N2O_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC3! | Renamed as composite source from N2O_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC4! | Add the countries {ARG.BOL.BRA.CHL.COL.CRI.DOM.GEO.GHA.GTM.GUY.IND.KEN.KGZ.KOR.LBN.MDG.MEX.MKD.MUS.PER.PRY.TGO.VNM} from N2O_IPCMLULUCF_TOTAL_NET_HISTORY_UNFCCC2019BI || Renamed as composite source from N2O_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC5! | Add the countries {AFG.AGO.ALB.ARM.AZE.BDI.BEN.BFA.BGD.BHS.BIH.BLZ.BRN.BTN.BWA.CAF.CHN.CIV.CMR.COD.COG.COM.CUB.DZA.ECU.EGY.ERI.ETH.FJI.GAB.GIN.GMB.GNB.GNQ.GRD.HKG.HND.HTI.IRN.IRQ.JAM.KHM.LAO.LBR.LKA.LSO.MAR.MLI.MMR.MNE.MNG.MOZ.MRT.MWI.MYS.NAM.NER.NGA.NIC.NPL.PAK.PAN.PHL.PNG.PRK.RWA.SDN.SEN.SGP.SLB.SLE.SLV.SOM.SRB.SSD.SUR.SWZ.SYR.TCA.TCD.THA.TJK.TKM.TLS.TTO.TUN.TWN.TZA.UGA.URY.UZB.VEN.VUT.WSM.ZAF.ZMB.ZWE} from N2O_IPCMLULUCF_TOTAL_NET_HISTORY_FAO2019BIPMH || Renamed as composite source from N2O_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC6! | Add the countries {ISR.LBY.SMR.VAT} from N2O_IPCMLULUCF_TOTAL_NET_HISTORY_EDGAR42COMPI ||  | built by Johannes Guetschow
scen,HISTCR
srce,PMH21
tablename,N2OAR4_IPCMLULUCF_TOTAL_NET_HISTCR_PMH21
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AFG,0.0,0.0,0.0,0.0,0.0,0.0,8.94e-05,5.96e-05,0.0001192,2.98e-05,0.0002682,0.0,0.0,0.0,0.0,0.0,8.94e-05,0.0,0.0,8.94e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2570999999999994e-06
AGO,2.4266,2.4266,2.4266,2.4266,2.4266,2.4266,5.9589,5.3958,6.8949,6.3827,5.1475,3.07,2.3735,2.4003,2.8632,2.8092,1.9564,2.6804,1.9529,2.1776,2.0369,2.9898,2.2807,2.5495,2.0903,2.6841,1.9115,2.2478
ALB,0.008999600000000002,0.008999600000000002,0.008999600000000002,0.008999600000000002,0.008999600000000002,0.008999600000000002,0.005215,0.012844,0.0063474,0.005155399999999999,0.030038,0.0010728,0.0,0.0035164000000000003,0.0,0.0002384,2.98e-05,0.079387,0.0019370000000000001,0.0022648000000000004,0.000596,0.014215,0.041273000000000004,0.00041719999999999995,0.0,0.0023542,0.000745,0.0095411
ARG,0.050343,0.05148099999999999,0.05262000000000001,0.05375800000000001,0.054897,0.075315,0.095734,0.11615,0.096419,0.076686,0.056954,0.11235,0.16774,0.22314,0.27853,0.33393,0.38932,0.44472,0.50011,0.5555100000000001,0.6109,0.53789,0.46488,1.9411,0.99344,1.07,1.4788,1.3742
ARM,0.00083278,0.00083278,0.0009536,0.0009536,0.0009536,0.0009536,8.94e-05,0.0001192,0.0009536,0.0001192,0.0,0.0015198,8.94e-05,8.94e-05,0.0005066,0.0002384,0.0021754,0.00041719999999999995,0.0003278,0.0,0.007360600000000001,0.0,0.0011622,0.000596,0.0,0.0005066,0.0001788,0.001058
AUS,4.3084,4.038,3.6932,3.5629,3.5306,3.5694,3.8418,3.7893,3.7978,4.1493,4.3009,4.2313,4.2689,4.3502,4.007,4.22,4.3216,4.4527,4.3636,4.4918,4.7503,4.9382,4.6029,4.2757,4.2804,3.7895,3.8322,3.9254
AUT,0.1439,0.14602,0.14857,0.15097,0.14895,0.14598,0.14304,0.14007999999999998,0.13727999999999999,0.13632,0.13555,0.13471,0.13449,0.13405999999999998,0.13288,0.13227,0.13252,0.13267,0.13395,0.1346,0.13468,0.13435999999999998,0.13483,0.13425,0.13421,0.13606,0.13735999999999998,0.13878
AZE,0.0032421,0.0032421,0.0036356,0.0036356,0.0036356,0.0036356,0.0006556,0.0007748,0.0059004,0.0008045999999999999,0.01043,0.011056,0.0087016,0.0014304,0.0005066,0.0022648000000000004,0.0031885999999999998,0.0020859999999999997,0.0011622,0.0031885999999999998,0.0090294,0.0015794000000000001,0.0019370000000000001,0.0019966,0.0034270000000000004,0.0044104,0.0020859999999999997,0.0027958
BDI,0.050988,0.050988,0.050988,0.050988,0.050988,0.050988,0.039902,0.042018,0.045683,0.042495,0.045475,0.057037,0.081592,0.089251,0.067616,0.047501,0.043299000000000004,0.029323000000000002,0.046637,0.051822,0.058228999999999996,0.042197000000000005,0.03719,0.048425,0.033108,0.033138,0.049557,0.030285000000000003
BEL,0.011036,0.015391,0.019019,0.024033000000000002,0.027627999999999996,0.028401999999999997,0.25567,0.039366000000000005,0.045056,0.046688,0.050499,0.05524400000000001,0.061717999999999995,0.06547,0.068756,0.073388,0.078058,0.083023,0.087394,0.09210800000000001,0.10182000000000001,0.18342,0.12142,0.13132,0.14126,0.15125999999999998,0.15714,0.16289
