cat,IPCMLULUCF
clss,TOTAL
ent,N2O
family,emi
gwp,AR4
note,nan
scen,HISTORY
srce,CRF2018
tablename,N2OAR4_IPCMLULUCF_TOTAL_NET_HISTORY_CRF2018
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AUS,6.4414,5.732,5.7487,5.556,5.6103,6.0064,5.4493,5.569,5.2529,6.9597,6.0916,5.3105,4.8828,5.8792,6.061,5.2596,6.2858,5.6602,5.6515,5.6367,6.9866,8.4768,4.7907,4.638,6.8099,5.1113,4.8826
AUT,0.1438,0.14582,0.14827,0.15058,0.14845999999999998,0.14539000000000002,0.14235,0.1393,0.1364,0.13534000000000002,0.13448,0.13354000000000002,0.13322,0.1327,0.13143,0.13072999999999999,0.13089,0.13096,0.13214,0.13265,0.1327,0.13237000000000002,0.13282,0.13226,0.13222,0.13404000000000002,0.13526
BEL,0.011009999999999999,0.015352000000000001,0.018979,0.023995,0.027604000000000004,0.028405,0.25571,0.039458999999999994,0.045212,0.046919999999999996,0.050819,0.055665,0.062252999999999996,0.06613,0.069553,0.074336,0.07916799999999999,0.08430800000000001,0.088867,0.09377200000000001,0.10375,0.18564,0.12395999999999999,0.13422,0.14454,0.15495,0.16118
BGR,0.22136999999999998,0.22016999999999998,0.22914,0.25275,0.24606,0.21961,0.22691999999999998,0.23992,0.26225,0.23956,0.33842,0.38453000000000004,0.38066,0.39762,0.41201000000000004,0.43655,0.46284,0.5491199999999999,0.5161399999999999,0.53581,0.56679,0.5905600000000001,0.62019,0.6119899999999999,0.61,0.6209899999999999,0.62152
BLR,0.013797,0.011205,0.12492,0.016062,0.018446,0.027148000000000002,0.032393,0.013975999999999999,0.014244,0.02384,0.018595,0.012813999999999999,0.059511,0.028100999999999998,0.016301,0.015972999999999998,0.02229,0.017105000000000002,0.016628,0.021247,0.015854,0.015109000000000001,0.014721000000000001,0.014602,0.015943000000000002,0.056948,0.015588
CAN,0.5899399999999999,0.56406,0.81104,0.6762600000000001,0.76551,0.66842,0.69839,0.6310600000000001,0.65764,0.69828,0.75422,0.66499,0.68817,0.71937,0.6653899999999999,0.66673,0.6825399999999999,0.49876000000000004,0.47665,0.40615999999999997,0.41852,0.48034,0.7094600000000001,0.81483,0.5143,0.6088600000000001,0.60578
CHE,0.058929999999999996,0.050219,0.049796,0.049719,0.051898,0.05318200000000001,0.051952,0.061671000000000004,0.051556,0.049866,0.050044,0.049625,0.053048000000000005,0.053720000000000004,0.04935,0.049485,0.050069,0.051174000000000004,0.049561,0.049123,0.048809,0.050108,0.048949,0.050506,0.050016000000000005,0.04918,0.050677999999999994
CYP,1.8496e-05,5.6528000000000005e-05,1.8077e-05,0.00014376,0.00037,0.00014457,0.00024111,0.00034619999999999996,0.0011761,7.0586000000000005e-06,0.0025250999999999997,0.00084926,2.4736999999999997e-05,0.00010795,0.00020974,7.1018e-05,0.00017813,0.0017015999999999997,6.1095e-05,0.00010125,0.0003948,0.00032971,0.00036784,0.00012785,0.00014293,5.0562e-05,0.0042095
CZE,0.040026,0.032267000000000004,0.035006,0.037704,0.037114999999999995,0.033877,0.043585000000000006,0.047958999999999995,0.040588,0.036061,0.033773000000000004,0.03397,0.036039,0.04566,0.040607,0.038842,0.046981999999999996,0.058854,0.047411,0.041263,0.043347000000000004,0.023241,0.025221,0.022668,0.025369,0.026991,0.027415
DEU,0.8304299999999999,0.82588,0.83472,0.82229,0.81857,0.8143699999999999,0.81416,0.80913,0.80586,0.8033100000000001,0.80132,0.7891600000000001,0.77867,0.77241,0.75881,0.74862,0.7599100000000001,0.76963,0.78133,0.79571,0.80871,0.8216100000000001,0.8358700000000001,0.8413299999999999,0.84716,0.85477,0.86016
DNK,0.027417,0.027048000000000003,0.027094999999999998,0.027127,0.027145999999999997,0.027149,0.027136,0.027112,0.027088,0.027014999999999997,0.026945,0.026867000000000002,0.026775,0.026657999999999998,0.026971,0.026936,0.026868,0.026777,0.026687,0.026583,0.027076,0.027563999999999998,0.027995999999999997,0.0285,0.029508999999999997,0.034099000000000004,0.033302
ESP,0.36818,0.46435,0.27837,0.25859,0.69225,0.38379,0.27399999999999997,0.35458,0.40691,0.35051,0.52364,0.37964000000000003,0.40421,0.45738999999999996,0.44506999999999997,0.52165,0.48035,0.34515999999999997,0.31246999999999997,0.40636,0.30662,0.36546,0.5076,0.27602,0.24796999999999997,0.32518,0.2943
EST,0.0015286,0.001615,0.0020751,0.0019776,0.0020612,0.002132,0.0022974000000000002,0.0025706999999999995,0.0024986,0.0027967,0.0030245999999999997,0.0031295999999999997,0.0038615999999999998,0.004213399999999999,0.005174100000000001,0.006662100000000001,0.009675299999999998,0.011293000000000001,0.013753,0.015857,0.017547,0.018588,0.019504,0.020163,0.020721,0.021095,0.021338
FIN,1.2706,1.2683,1.2646,1.2611,1.2718,1.2733,1.2764,1.2828,1.2903,1.2893,1.2865,1.291,1.2888,1.2872,1.2859,1.2818,1.2883,1.2825,1.296,1.2828,1.2812,1.2748,1.2694,1.2701,1.2697,1.2674,1.271
FRA,3.2114,3.1895,3.2153,3.1919,3.1747,3.1671,3.1609,3.1676,3.1453,3.1209,3.1513,3.0998,3.1078,3.0958,3.0447,3.0522,3.0298,3.0553,3.0835,3.1152,3.139,3.1255,3.0827,3.0595,3.0696,3.0885,3.1259
GBR,2.2512,2.2352,2.2153,2.2045,2.1925,2.1912,2.1759,2.1693,2.1576,2.1468,2.0881,2.0234,1.9654,1.9376,1.8564,1.8081,1.7558,1.7154,1.6534,1.6085,1.578,1.558,1.5564,1.5055,1.489,1.4539,1.4422
GRC,0.0064605,0.0049213,0.010662999999999999,0.010729,0.010836,0.0087008,0.0080665,0.011503,0.020404,0.0091983,0.026542000000000003,0.01316,0.011951,0.012856,0.014468,0.014758000000000002,0.016437,0.042109,0.020124,0.020804,0.017499,0.016933,0.019356,0.016554,0.015625,0.015519,0.016963
HRV,0.038801999999999996,0.040425,0.049192,0.062219000000000003,0.047087000000000004,0.044649,0.051253999999999994,0.052239999999999995,0.07232000000000001,0.045208,0.10893,0.064277,0.064718,0.09753099999999999,0.081913,0.091284,0.10315,0.1212,0.1064,0.1036,0.10174,0.11442999999999999,0.12761,0.10235,0.10125,0.11104000000000001,0.10837999999999999
HUN,0.042453,0.037605,0.043961,0.056029999999999996,0.063091,0.05629,0.055771,0.060465,0.06307,0.058321000000000005,0.070266,0.067579,0.06955599999999999,0.070329,0.067246,0.075085,0.062133,0.070387,0.061803,0.069783,0.05631900000000001,0.067038,0.082732,0.057114,0.06111900000000001,0.058271,0.051687000000000004
IRL,0.14617,0.16655,0.13114,0.14517,0.1541,0.19255,0.18399000000000001,0.20049,0.18958,0.18174,0.19813,0.23185,0.25388,0.29880999999999996,0.27862,0.29125,0.29238000000000003,0.28591,0.32198000000000004,0.32244,0.3565,0.33005999999999996,0.32849,0.3346,0.32841,0.33924,0.31994
