cat,IPCMLULUCF
clss,TOTAL
ent,N2O
family,emi
gwp,AR4
note,nan
scen,HISTORY
srce,CRF2019
tablename,N2OAR4_IPCMLULUCF_TOTAL_NET_HISTORY_CRF2019
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AUS,4.3084,4.038,3.6932,3.5629,3.5306,3.5694,3.8418,3.7893,3.7978,4.1493,4.3009,4.2313,4.2689,4.3502,4.007,4.22,4.3216,4.4527,4.3636,4.4918,4.7503,4.9382,4.6029,4.2757,4.2804,3.7895,3.8322,3.9254
AUT,0.1439,0.14602,0.14857,0.15097,0.14895,0.14598,0.14304,0.14007999999999998,0.13727999999999999,0.13632,0.13555,0.13471,0.13449,0.13405999999999998,0.13288,0.13227,0.13252,0.13267,0.13395,0.1346,0.13468,0.13435999999999998,0.13483,0.13425,0.13421,0.13606,0.13735999999999998,0.13878
BEL,0.011036,0.015391,0.019019,0.024033000000000002,0.027627999999999996,0.028401999999999997,0.25567,0.039366000000000005,0.045056,0.046688,0.050499,0.05524400000000001,0.061717999999999995,0.06547,0.068756,0.073388,0.078058,0.083023,0.087394,0.09210800000000001,0.10182000000000001,0.18342,0.12142,0.13132,0.14126,0.15125999999999998,0.15714,0.16289
BGR,0.22136999999999998,0.22016999999999998,0.22745,0.24766,0.24606,0.21961,0.22335,0.22608000000000003,0.23999,0.23956,0.33842,0.31598000000000004,0.31478,0.3328,0.34704,0.37073,0.39731,0.48263,0.45011,0.46853999999999996,0.50085,0.52491,0.5553100000000001,0.54694,0.54501,0.55589,0.5605600000000001,0.55523
BLR,0.013797,0.011205,0.12492,0.016062,0.018446,0.027148000000000002,0.032393,0.013975999999999999,0.014244,0.02384,0.018595,0.012813999999999999,0.059511,0.028100999999999998,0.016301,0.015972999999999998,0.02229,0.017105000000000002,0.016628,0.021247,0.015854,0.015109000000000001,0.014721000000000001,0.014602,0.015943000000000002,0.056948,0.015588,0.015401
CAN,0.43537,0.3714,0.51512,0.57691,0.53591,0.59488,0.5684,0.49831000000000003,0.4975,0.5133,0.50853,0.43232,0.4282,0.43843999999999994,0.44151999999999997,0.46133,0.39938,0.39298,0.35686,0.3039,0.33903,0.32647,0.33957,0.35589,0.32101999999999997,0.33018000000000003,0.30914,0.2996
CHE,0.056639999999999996,0.047784,0.047375,0.047248000000000005,0.049345,0.050644999999999996,0.049424,0.059191999999999995,0.048782,0.047069,0.047303,0.046758,0.050232,0.050822000000000006,0.046363999999999995,0.046532,0.047173,0.048222,0.0469,0.046498000000000005,0.046097000000000006,0.047226,0.045975,0.04803,0.047747000000000005,0.047157,0.048673,0.04643
CYP,1.8496e-05,5.6528000000000005e-05,1.8077e-05,0.00014376,0.00037,0.00014457,0.00024111,0.00034619999999999996,0.0011761,7.0586000000000005e-06,0.0025250999999999997,0.00084926,2.4736999999999997e-05,0.00010795,0.00020974,7.1018e-05,0.00017813,0.0017015999999999997,6.1095e-05,0.00010125,0.0003948,0.00032971,0.00036784,0.00012785,0.00014293,5.0562e-05,0.0042095,0.00013355
CZE,0.040026,0.032267000000000004,0.035006,0.037704,0.037114999999999995,0.033877,0.043585000000000006,0.047958999999999995,0.040588,0.036061,0.033773000000000004,0.03397,0.036039,0.04566,0.040607,0.038842,0.046981999999999996,0.058854,0.047411,0.041263,0.043347000000000004,0.023241,0.025221,0.022668,0.025369,0.026987999999999998,0.027410000000000004,0.030479000000000003
DEU,0.8304299999999999,0.82588,0.83472,0.82229,0.81857,0.8143699999999999,0.81416,0.80913,0.80586,0.8033100000000001,0.80132,0.7891600000000001,0.77867,0.77241,0.75881,0.74862,0.7599100000000001,0.76963,0.78133,0.79571,0.80871,0.8216100000000001,0.8358700000000001,0.8413299999999999,0.84716,0.85477,0.86016,0.86435
