cat,IPCMLULUCF
clss,TOTAL
ent,N2O
family,emi
gwp,AR4
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
scen,HISTORY
srce,FAO2019BI
tablename,N2OAR4_IPCMLULUCF_TOTAL_NET_HISTORY_FAO2019BI
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AFG,0.0,0.0,0.0,0.0,0.0,0.0,8.94e-05,5.96e-05,0.0001192,2.98e-05,0.0002682,0.0,0.0,0.0,0.0,0.0,8.94e-05,0.0,0.0,8.94e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,2.4266,2.4266,2.4266,2.4266,2.4266,2.4266,5.9589,5.3958,6.8949,6.3827,5.1475,3.07,2.3735,2.4003,2.8632,2.8092,1.9564,2.6804,1.9529,2.1776,2.0369,2.9898,2.2807,2.5495,2.0903,2.6841,1.9115
ALB,0.008999600000000002,0.008999600000000002,0.008999600000000002,0.008999600000000002,0.008999600000000002,0.008999600000000002,0.005215,0.012844,0.0063474,0.005155399999999999,0.030038,0.0010728,0.0,0.0035164000000000003,0.0,0.0002384,2.98e-05,0.079387,0.0019370000000000001,0.0022648000000000004,0.000596,0.014215,0.041273000000000004,0.00041719999999999995,0.0,0.0023542,0.000745
ARG,2.2418,2.2418,2.2418,2.2418,2.2418,2.2418,1.0274,1.1678,1.1421,1.4921,0.80201,1.8755,2.4226,3.2539999999999996,3.9045,2.2248,2.4988,2.2214,3.1179,2.6624,1.912,1.8784,2.4137,1.9411,0.99344,1.07,1.4788
ARM,0.00083278,0.00083278,0.0009536,0.0009536,0.0009536,0.0009536,8.94e-05,0.0001192,0.0009536,0.0001192,0.0,0.0015198,8.94e-05,8.94e-05,0.0005066,0.0002384,0.0021754,0.00041719999999999995,0.0003278,0.0,0.007360600000000001,0.0,0.0011622,0.000596,0.0,0.0005066,0.0001788
AUS,1.9144,1.9144,1.9144,1.9144,1.9144,1.9144,1.9247,2.8722,2.2371,2.8133,1.1646,2.2048,3.4697,6.6377,0.6455,0.53327,4.3127,1.7545,0.39059,2.2796,0.41996999999999995,0.72563,1.0445,2.0984,1.6449,1.1382,1.3295
AUT,0.0005364,0.0005364,0.0005364,0.0005364,0.0005364,0.0005364,0.0,0.0,0.0,0.000298,2.98e-05,0.0,8.94e-05,0.0005066,0.000745,0.0027714000000000003,0.0001788,8.94e-05,0.0011324000000000002,0.0002384,0.0,0.0001788,0.0003278,0.0006556,0.0023542,0.0,0.0002682
AZE,0.0032421,0.0032421,0.0036356,0.0036356,0.0036356,0.0036356,0.0006556,0.0007748,0.0059004,0.0008045999999999999,0.01043,0.011056,0.0087016,0.0014304,0.0005066,0.0022648000000000004,0.0031885999999999998,0.0020859999999999997,0.0011622,0.0031885999999999998,0.0090294,0.0015794000000000001,0.0019370000000000001,0.0019966,0.0034270000000000004,0.0044104,0.0020859999999999997
BDI,0.050988,0.050988,0.050988,0.050988,0.050988,0.050988,0.039902,0.042018,0.045683,0.042495,0.045475,0.057037,0.081592,0.089251,0.067616,0.047501,0.043299000000000004,0.029323000000000002,0.046637,0.051822,0.058228999999999996,0.042197000000000005,0.03719,0.048425,0.033108,0.033138,0.049557
BEL,0.0001788,0.0001788,0.0001788,0.0001788,0.0001788,0.0001788,0.000149,0.0001192,0.0001192,0.0001192,0.0001192,0.0,0.0,8.94e-05,0.00041719999999999995,0.0,5.96e-05,0.0006556,0.0,0.0,0.0,0.0033674,0.0,0.0,0.0003576,0.0,0.0002384
BEN,0.016003,0.016003,0.016003,0.016003,0.016003,0.016003,0.16467,0.13735,0.34502,0.29124,0.20038,0.012516,0.013678000000000001,0.0077480000000000005,0.026492,0.021009,0.009685,0.017135,0.0092678,0.022827,0.0038740000000000003,0.003725,0.032273,0.0087016,0.010221,0.03126,0.025449
BFA,0.013738,0.013738,0.013738,0.013738,0.013738,0.013738,0.30380999999999997,0.28611,0.44965,0.33978,0.39798,0.011264,0.060494000000000006,0.0098042,0.069404,0.006019600000000001,0.010162000000000001,0.00298,0.0013708,0.023304,0.0031885999999999998,0.0030396,0.008224799999999999,0.00298,0.0025031999999999997,0.0015794000000000001,0.0035164000000000003
BGD,0.07464900000000001,0.07464900000000001,0.07464900000000001,0.07464900000000001,0.07464900000000001,0.07464900000000001,0.02825,0.027863,0.025151,0.035879,0.020443,0.077152,0.0015794000000000001,0.042405,0.054354999999999994,0.053163,0.16202,0.049706,0.08198,0.08010199999999999,0.075364,0.062967,0.054713,0.15237,0.17272,0.051047,0.022708000000000002
BGR,0.013082,0.013082,0.013082,0.013082,0.013082,0.013082,0.0045892,0.0041123999999999996,0.0062282,0.004321,0.016599000000000003,0.061358,0.0036654000000000005,0.0023542,0.0024436,0.009059200000000002,0.013857,0.040468000000000004,0.006466599999999999,0.0025031999999999997,0.017731,0.016509,0.011264,0.0053342,0.0064069999999999995,0.0051852,0.00447
