cat,IPC2
clss,TOTAL
ent,NF3
family,emi
gwp,AR4
note,The future values are calculated by applying the mean historic share for NF3 in the FGASES to the FGASESAR4_IPCM0EL_TOTAL_NET_SSP4BLGCAM4FILLED_PMSSPBIE (share: mean over last 6 available values from NF3AR4_IPCM0EL_TOTAL_NET_HISTCR_PRIMAPHIST21/FGASESAR4_IPCM0EL_TOTAL_NET_HISTCR_PRIMAPHIST21).
scen,PMH21SSP4BLGCAM4FILLED
srce,PMH21SSPSPLIT
tablename,NF3AR4_IPC2_TOTAL_NET_PMH21SSP4BLGCAM4FILLED_PMH21SSPSPLIT
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AUT,0.008384752537186724,0.009169050947820919,0.005938187062567991,0.005283001689191202,0.006374639761061647,0.007814123545072629,0.008517916179534558,0.008696142803513407,0.007814629870708934,0.007416151594938041,0.007020204947348669,0.008198931028663323,0.008582725860981412,0.008966014367663196,0.009257151608537736,0.009282974215989215,0.009183734391273722,0.009392846879067086,0.009543225593049239,0.008570574045710128,0.00963892113831061,0.009108291871464494,0.009435378232516584,0.009536643359777292,0.009940691217547523,0.010067778952259713,0.010539674445294618,0.011037392545781004,0.011265745407753904,0.011965993762761709,0.012683963515040137,0.013449021551494796,0.014274332338669576,0.015144199781839068,0.016040902483732647,0.016945706395807086,0.017836333190065022,0.01868847923596389,0.019478347228597422,0.020181633537423048,0.020770996578080375,0.021293018309109332,0.02181200208632047,0.022331492189167905,0.02285300759456056,0.023379586256316247,0.023911734500071273,0.02444843967455303,0.024988689128488915,0.025530963884970014,0.02607425129272372,0.026622601956840457,0.027179053831138056,0.027739556310526086,0.028300565115550416,0.028858535966756922,0.029412962538509304,0.029965363807716472,0.03051472712310582,0.031059533507768435,0.03159826398479541
BEL,0.0010507358905235064,0.0010457285813367278,0.0011885700662765902,0.0011478190925756783,0.0013598573289370886,0.0014769697677363754,0.0014418386995589227,0.0007402827209432278,0.0005361549677119946,0.0004065775251924291,0.00046219061871367325,0.0004376068613764566,0.0004475149412566782,0.000536368044698666,0.0005866542135531243,0.0005526417995556967,0.0005863345980731172,0.0006522020215779241,0.0006959893423389037,0.0007117304047292558,0.0007349557962764419,0.000798905526901206,0.000844024578828882,0.0008862670914364938,0.0008777440119696364,0.0008732960298728702,0.0009561030738180561,0.0008165376475482672,0.0009938709697055676,0.0010502298326801618,0.0011081335038081238,0.0011703786185395164,0.001238243638794368,0.0013102636602893127,0.0013848938748709822,0.0014603763973993374,0.001535033246604341,0.0016071065373459534,0.0016743589612641246,0.0017344733061288027,0.0017848393788532629,0.0018296388153009316,0.001874731232605274,0.0019199834576496195,0.001965288951940633,0.002010514542361645,0.0020557934020293245,0.0021012320694370075,0.0021466174675980228,0.0021918430580190346,0.0022367223983367057,0.0022814152962910388,0.0023262413673620416,0.002371147342303046,0.0024161332211140524,0.002461199003795061,0.0025062381518527353,0.0025511707614170737,0.0025959968324880765,0.0026405831919490736,0.002684929839800066
CAN,0.0001259218531302634,0.0001368549984512624,0.00011747185800072783,0.00011286763905210411,0.00010627411470850733,9.7300279870764e-05,9.728099742751708e-05,9.988198477215607e-05,0.00011198600289698142,0.00010649264906530568,0.00011400744569736601,0.00010459868463972011,0.00010804702824037616,0.00010842732087107916,0.00011191637185192313,0.00011092653976524833,0.0001058295472669813,9.959596186399355e-05,9.988519851269722e-05,0.00010383809937831414,0.00010807916564578769,0.00011467911747046676,0.00012125014563027549,0.00012309483270089673,0.0001241917894722766,0.0001336658965875926,0.00014205161690630512,0.00014702862975770248,0.00015626599131982028,0.00016616645468026242,0.00017607655926232802,0.0001863262490949087,0.00019718119339607302,0.00020848284763245743,0.00022006623978961619,0.0002317599703720211,0.0002432276678696984,0.0002540868971582509,0.0002640762740069982,0.0002729194167294014,0.0002803195899488273,0.0002869634628942355,0.0002937219592522781,0.00030055437164276715,0.0003074199926855148,0.00031427811500033307,0.0003211555197583983,0.0003280811306245808,0.00033502281019346904,0.00034195056355334564,0.0003488343957924932,0.0003557128717974054,0.00036263098393565855,0.00036956944976400565,0.000376512200579741,0.0003834378114459234,0.00039034628236255306,0.0003972354708359359,0.00040408502317597773,0.0004108724431988907,0.00041757523472088666
CHE,5.8886716023241714e-05,5.5616633190999705e-05,5.52290848048504e-05,4.378608807772021e-05,4.824174792557871e-05,8.174289806318292e-05,9.360554777649843e-05,0.00011636541601633153,0.0001454177858632278,0.00016072480052326668,0.00019077241297128008,0.0002093862014350307,0.00023273541840409677,0.00026227165043725046,0.0002900191976112535,0.000298366393620623,0.00032214672950445873,0.0003389328489518722,0.00035191228010929835,0.00034159294438342947,0.00034361094781426604,0.0003621169565493243,0.00038979570815182154,0.00039275391772657065,0.00040185786502250386,0.0004115121768904835,0.00039367119201331454,0.0003988996554477548,0.00045155119950685484,0.0004831054349708451,0.0005156228084359165,0.000550295776474836,0.000587904022231336,0.0006277595899903585,0.0006691745240368458,0.0007113232775127282,0.0007531739168454188,0.0007936945084623307,0.0008319448462195514,0.0008668242009729882,0.0008971630480070429,0.0009248417996095403,0.0009526122786407118,0.0009806579399579067,0.0010091393065613048,0.0010382169014510865,0.001067936588341589,0.0010982295716613064,0.001129027055838733,0.0011603978364453744,0.0011922960497668938,0.0012248822188034708,0.0012582710028409489,0.0012923706744506535,0.0013271124380610788,0.001362381634386382,0.0013982470589980686,0.0014347316437533072,0.0014716290019375806,0.0015087786105507086,0.001545974082878174
CHN,0.00035018154066245586,0.0002904669912390521,0.0003219699019215272,0.0005089538393430178,0.0007707349600187102,0.0005613409916404888,0.0006414268906535416,0.0009284376597519411,0.0007138451827550048,0.002015771330833774,0.0015804548686574906,0.001989281359796019,0.002708355979332071,0.0032044101976355906,0.004299037760334163,0.005284151277560343,0.005990669063189414,0.005394500383415711,0.005629538953061267,0.0055981339815595116,0.0056400158680513885,0.006941519331244947,0.007379057466415446,0.007816595601585945,0.008254133736756444,0.008691671871926942,0.009129210007097443,0.00956674814226794,0.01045346886572711,0.011287750889951589,0.01209844503570384,0.012958500528538705,0.013932876818741797,0.01498684931205435,0.01608509289239896,0.01719173604616369,0.018272518101524762,0.019292869105035065,0.02021593815127546,0.021004727426055747,0.021622223651104545,0.022116386096812064,0.02256282381069373,0.02296609611934672,0.023330767504061933,0.0236614204875583,0.023962114391141952,0.024236856989181807,0.024490138019909798,0.024726439489517263,0.024950215053380076,0.02516544928974541,0.025370902494773105,0.02556313391040367,0.02573864349959982,0.025893853904918423,0.026028628526975853,0.026142833343735336,0.02623277243979814,0.026294708662215758,0.02632485073375561
CZE,4.9385831262302775e-05,4.947805612684801e-05,5.044816830959606e-05,5.3123856784756755e-05,5.787402101051106e-05,6.765686107239874e-05,0.00010890705839779277,0.00017013736403574144,0.0002110315033397899,0.0002462637364027697,0.00032554793482796106,0.0003912260472243574,0.00047883383152559395,0.0005681810468163547,0.0006160387470952433,0.0006794287489282388,0.0008433321790820614,0.0010737192299428652,0.0012482460305696208,0.0012987945955672028,0.001466258605934481,0.001597416372157999,0.0016677524239156047,0.0017482448848066734,0.0018620667113023836,0.001984702433080582,0.0020691056951897087,0.002170903267194077,0.0022918462541166983,0.0024637463972089373,0.0026413668167096786,0.0028311866012040625,0.003037992104421653,0.0032586313373210297,0.0034891934986841346,0.003725300825953441,0.00396286740740859,0.004196873408650283,0.00442037277975391,0.004625660658618224,0.0048043317411327734,0.004967184508272789,0.005130212385915106,0.005292131230376183,0.005451948748809646,0.005608497537866823,0.005762536409724351,0.005914882546726301,0.006064368545524001,0.006209885372936208,0.006350382365949118,0.006485275822888393,0.006615849887437575,0.006744205885624275,0.006872445143476108,0.007002552246685821,0.007135227637262614,0.007268661840016047,0.00740162908143001,0.0075329035879883955,0.007661026105505362
DEU,0.005524443478249178,0.005449744017382144,0.005814271356184341,0.007917690584735895,0.00802208892308185,0.008215131626694842,0.008529683443241898,0.008729962421570566,0.00920024490022791,0.007992390045602928,0.008011234511008335,0.008860592255760849,0.008893306247704636,0.009037051829817084,0.009523088281553346,0.009637361119771735,0.009742437858872285,0.00998048114587339,0.00987231391444635,0.009985229951155552,0.01024754490959882,0.010523880150303712,0.010653153182984805,0.010684510373419403,0.010819210612137253,0.01111612400906485,0.011237482366275673,0.011274568274193514,0.01203015595908872,0.01275476334285744,0.013495878478321293,0.014284707800191641,0.015133010254881452,0.016023976579249102,0.01693906381933568,0.017858372219673065,0.0187552180172472,0.01960367122766026,0.02038353058399763,0.021073388773558775,0.021650330926410725,0.022162674251852935,0.022677278913143795,0.023197913803364386,0.023728197059872544,0.024271972953610978,0.024835648602817516,0.025418244095291084,0.026012598534177627,0.026611249511176608,0.02720665924012585,0.02780229510265996,0.028405317995632996,0.029012938938164944,0.029622595082960678,0.03023119593769371,0.030838967635948903,0.031446739334204096,0.032052551208057126,0.0326546695666907,0.03325105920784102
ESP,0.03019107012994393,0.02767302567153796,0.03248701740859162,0.028281317310366372,0.03887125035285349,0.04967337815307147,0.05645441529429001,0.06690995832354761,0.0685749798558756,0.08188242042903568,0.09148989174322902,0.06708042144559138,0.0580670954530444,0.0731194842506111,0.07557811417685242,0.08434246498699523,0.10269306763555829,0.1168945554546243,0.1237399583390212,0.11320024472253039,0.11660384863653304,0.11145105260296916,0.11097856560908848,0.11029529848919518,0.10930434897059216,0.06244891720018625,0.060827041935263525,0.04770279616961107,0.06432259691094956,0.0680197369064799,0.07175648659011999,0.07567926034470412,0.07987222875746552,0.08426678219007123,0.08879077442489273,0.09337135192844247,0.09791373437560066,0.10228848296415147,0.10635554915399258,0.10996286003541686,0.11294631832911246,0.11557965527255219,0.11824128485035602,0.12091847537706014,0.12359637321962334,0.12626083206086358,0.1289118519007809,0.13156004247726177,0.13420611110616534,0.1368514724192098,0.1394968337322543,0.14213017067569403,0.14476067835569734,0.1474216006176421,0.15014688862276515,0.15297190816402173,0.15589736655727093,0.1588963857998668,0.16196401468079563,0.16509318004146645,0.16827680872328815
FRA,0.005573662345369823,0.0057711934247145005,0.005508838633201658,0.004802085989206986,0.004172961741265549,0.0035607377930106563,0.004093497379508205,0.004523678266794111,0.0049305565124509385,0.005699637838297935,0.005660282265768824,0.005973855792821945,0.00714393085886388,0.007628437500573942,0.007719576721167673,0.007788825581443179,0.008069775410215588,0.008296681940826016,0.008520057768159308,0.008385043674841733,0.008886733072500512,0.009388704926421458,0.009562509679743801,0.009496085382090003,0.009431355822009229,0.009523201183258384,0.009662310892377431,0.009394542355839652,0.01043713549555523,0.011046158272838858,0.011666243920390833,0.012324602391466932,0.013038934278496518,0.013795163844414749,0.014578132603151802,0.015371222711283302,0.016156639424292504,0.016914281271521586,0.017622163740564942,0.018256325125181758,0.018790826525296022,0.019269966498024843,0.019755226356434025,0.02024528797130011,0.02073878613735594,0.021234496877465436,0.021733267560415118,0.022236322163341055,0.02274271916536934,0.023251658273757164,0.0237623862718054,0.024278198482572712,0.02480135455615646,0.025329736070590365,0.025861271679951836,0.02639379588623091,0.02692693208107802,0.027461056872842726,0.02799504043647635,0.028527611718799115,0.029057593818718655
GBR,0.00045390961791503837,0.0004637106141205738,0.00046249399286174466,0.0004794220348931954,0.0005092200983701959,0.000549282259048028,0.0005805742811030746,0.0006521377750202679,0.0005738475429171611,0.00035246695243692263,0.00032261394477403957,0.0003365148238023391,0.0003485135874431788,0.00038017713685038393,0.0003527312078071199,0.00038178621657980314,0.00040116581585753977,0.00040913272281051775,0.0004174345276583992,0.0004297629564145346,0.000457274295202897,0.00041793425811095054,0.00042749977923413205,0.00043560797123652243,0.00043906683855732276,0.0004390459074388912,0.0004202209827995886,0.0003948184541931967,0.0004533444777173887,0.0004844821327740031,0.0005160698068768942,0.0005492587115397926,0.0005850666223964286,0.0006228342092162109,0.0006618262664642343,0.0007012212477420633,0.0007400327740936152,0.0007772509190545714,0.0008119023856178689,0.0008429458506415417,0.0008692536501200945,0.0008926912699837322,0.0009159797556285459,0.0009392185298670845,0.0009625096319017019,0.0009859551009347514,0.001009557553356037,0.0010332489630306562,0.0010570502610770405,0.001080977145834014,0.0011050531648098114,0.0011294588489009045,0.0011542648406319997,0.0011793220057842722,0.0012044864429185062,0.001229611634205681,0.0012547080452050127,0.0012798280037125797,0.0013048773196954406,0.0013297591867308496,0.0013543689492266496
