cat,IPC2
clss,TOTAL
ent,NF3
family,emi
gwp,AR4
note,The future values are calculated by applying the mean historic share for NF3 in the FGASES to the FGASESAR4_IPCM0EL_TOTAL_NET_SSP5BLREMMPFILLED_PMSSPBIE (share: mean over last 6 available values from NF3AR4_IPCM0EL_TOTAL_NET_HISTCR_PRIMAPHIST21/FGASESAR4_IPCM0EL_TOTAL_NET_HISTCR_PRIMAPHIST21).
scen,PMH21SSP5BLREMMPFILLED
srce,PMH21SSPSPLIT
tablename,NF3AR4_IPC2_TOTAL_NET_PMH21SSP5BLREMMPFILLED_PMH21SSPSPLIT
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AUT,0.008384752537186724,0.009169050947820919,0.005938187062567991,0.005283001689191202,0.006374639761061647,0.007814123545072629,0.008517916179534558,0.008696142803513407,0.007814629870708934,0.007416151594938041,0.007020204947348669,0.008198931028663323,0.008582725860981412,0.008966014367663196,0.009257151608537736,0.009282974215989215,0.009183734391273722,0.009392846879067086,0.009543225593049239,0.008570574045710128,0.00963892113831061,0.009108291871464494,0.009435378232516584,0.009536643359777292,0.009940691217547523,0.010067778952259713,0.010539674445294618,0.011037392545781004,0.011127518509043036,0.011636882099164402,0.012095106800019111,0.01251738238069627,0.012924974517920625,0.01332244014241891,0.013713323533645247,0.014103194273598978,0.014494583990461617,0.014891036963687296,0.01529862910091165,0.015723942635406628,0.016175078777353087,0.016651024875478423,0.017148236650328504,0.017668739404448547,0.018213039463474863,0.018781643153043745,0.019374044147518893,0.019987204493082486,0.0206170735846441,0.021261119794022208,0.02191529251612639,0.02258212337913816,0.023265156662511645,0.023963379714974236,0.024676792536525934,0.02540438247589413,0.02614716218435143,0.026907663290079358,0.02768639211871421,0.028484867647164902,0.029303089875431433
BEL,0.0010507358905235064,0.0010457285813367278,0.0011885700662765902,0.0011478190925756783,0.0013598573289370886,0.0014769697677363754,0.0014418386995589227,0.0007402827209432278,0.0005361549677119946,0.0004065775251924291,0.00046219061871367325,0.0004376068613764566,0.0004475149412566782,0.000536368044698666,0.0005866542135531243,0.0005526417995556967,0.0005863345980731172,0.0006522020215779241,0.0006959893423389037,0.0007117304047292558,0.0007349557962764419,0.000798905526901206,0.000844024578828882,0.0008862670914364938,0.0008777440119696364,0.0008732960298728702,0.0009561030738180561,0.0008165376475482672,0.0009815657737252924,0.0010210116508828416,0.0010559030074502888,0.0010879178246976716,0.0011192401417383724,0.0011500297663123945,0.0011804465061597414,0.0012107833421370869,0.0012414131589711054,0.0012728952837518098,0.001305602601205875,0.0013399346306833097,0.001376290891534123,0.0014148844607449864,0.0014554756267058943,0.0014980643894168472,0.0015424643065145073,0.0015885688395055385,0.0016363779883899413,0.0016857053108043783,0.0017361779220221743,0.001787449571939988,0.0018391473758311444,0.0018912713336956437,0.0019441943302601612,0.001998049538641366,0.0020529967665792615,0.0021091958218138526,0.0021666999735918055,0.002225589125783123,0.0022860230861278083,0.0023480551238725294,0.002411818412133956
CAN,0.0001259218531302634,0.0001368549984512624,0.00011747185800072783,0.00011286763905210411,0.00010627411470850733,9.7300279870764e-05,9.728099742751708e-05,9.988198477215607e-05,0.00011198600289698142,0.00010649264906530568,0.00011400744569736601,0.00010459868463972011,0.00010804702824037616,0.00010842732087107916,0.00011191637185192313,0.00011092653976524833,0.0001058295472669813,9.959596186399355e-05,9.988519851269722e-05,0.00010383809937831414,0.00010807916564578769,0.00011467911747046676,0.00012125014563027549,0.00012309483270089673,0.0001241917894722766,0.0001336658965875926,0.00014205161690630512,0.00014702862975770248,0.00015438381060955226,0.00016170578280914351,0.00016814719010045908,0.00017383551085829805,0.00017914139649173995,0.0001842116078188307,0.00018919719064500447,0.00019425776075047177,0.000199422241800103,0.0002046949187812863,0.00021019470009404437,0.00021604585037263504,0.00022237906173239852,0.0002292896751427223,0.00023674019696395961,0.0002446642098915933,0.000252991011633718,0.00026165311363896964,0.00027068908079384195,0.0002801203380352759,0.0002898461881596488,0.0002997659339633379,0.0003097735220084851,0.00031991930089690185,0.00033029646910428157,0.0003408643192504363,0.0003515885714362604,0.00036243173202210713,0.0003734355796350115,0.00038465046287678475,0.0003960581705510272,0.00040764156270818596,0.00041938349939870816
CHE,5.8886716023241714e-05,5.5616633190999705e-05,5.52290848048504e-05,4.378608807772021e-05,4.824174792557871e-05,8.174289806318292e-05,9.360554777649843e-05,0.00011636541601633153,0.0001454177858632278,0.00016072480052326668,0.00019077241297128008,0.0002093862014350307,0.00023273541840409677,0.00026227165043725046,0.0002900191976112535,0.000298366393620623,0.00032214672950445873,0.0003389328489518722,0.00035191228010929835,0.00034159294438342947,0.00034361094781426604,0.0003621169565493243,0.00038979570815182154,0.00039275391772657065,0.00040185786502250386,0.0004115121768904835,0.00039367119201331454,0.0003988996554477548,0.0004461163493578972,0.00047019479938492463,0.0004924387008384644,0.0005134901457192368,0.0005344039994569979,0.000555249057623253,0.0005761629113610141,0.0005972831518132924,0.0006187015064087625,0.0006406014300047732,0.0006633039686016848,0.0006870843044855205,0.0007123322792281464,0.0007390020291152254,0.0007670018267180831,0.0007964233994653938,0.0008273126110714947,0.0008598070526793975,0.0008938608605747648,0.0009293364436145853,0.0009661191425130158,0.001004117229841382,0.001043147250742335,0.0010833697282160552,0.0011249681171198913,0.0011679194855966745,0.0012122696973607423,0.0012579958205549257,0.001305281310036574,0.0013542408250915296,0.0014048743657197932,0.0014571131363498584,0.001510980068838894
CHN,0.00035018154066245586,0.0002904669912390521,0.0003219699019215272,0.0005089538393430178,0.0007707349600187102,0.0005613409916404888,0.0006414268906535416,0.0009284376597519411,0.0007138451827550048,0.002015771330833774,0.0015804548686574906,0.001989281359796019,0.002708355979332071,0.0032044101976355906,0.004299037760334163,0.005284151277560343,0.005990669063189414,0.005394500383415711,0.005629538953061267,0.0055981339815595116,0.0056400158680513885,0.006941519331244947,0.007379057466415446,0.007816595601585945,0.008254133736756444,0.008691671871926942,0.009129210007097443,0.00956674814226794,0.010807196835670356,0.01198257783021899,0.01311120317536152,0.014288161506189112,0.01559976043703736,0.016998383484648574,0.018434950232748,0.019859096746324082,0.021222745197031004,0.022475673403934568,0.0235630998595034,0.02442999820825432,0.025021411683069407,0.025418799908838646,0.02574688585486142,0.02601615932286215,0.02623739104537312,0.026421457426147914,0.0265792426009807,0.026722885873586965,0.026865000779504638,0.02701796631570728,0.027193880548360607,0.027392905850316868,0.02760368643130633,0.027820704191699505,0.028038283813708386,0.02825058502934586,0.02845403305851566,0.02864509693601818,0.028817902888357096,0.028966571987342385,0.02908523045947774
CZE,4.9385831262302775e-05,4.947805612684801e-05,5.044816830959606e-05,5.3123856784756755e-05,5.787402101051106e-05,6.765686107239874e-05,0.00010890705839779277,0.00017013736403574144,0.0002110315033397899,0.0002462637364027697,0.00032554793482796106,0.0003912260472243574,0.00047883383152559395,0.0005681810468163547,0.0006160387470952433,0.0006794287489282388,0.0008433321790820614,0.0010737192299428652,0.0012482460305696208,0.0012987945955672028,0.001466258605934481,0.001597416372157999,0.0016677524239156047,0.0017482448848066734,0.0018620667113023836,0.001984702433080582,0.0020691056951897087,0.002170903267194077,0.0022646457560925952,0.0023980799588460273,0.0025218830839728998,0.0026398491923564026,0.00275804878140964,0.0028762483704628775,0.0029941561086789465,0.0031116552557229793,0.003229796474608783,0.0033500390195222,0.0034727914816352658,0.0035986375626223172,0.0037283360746599935,0.0038625874597574975,0.004000983126742794,0.004142589152936945,0.00428664672616331,0.004432221923742951,0.0045791980053410015,0.004727283120120293,0.004875251494564715,0.00502181898499073,0.005165701447714794,0.005305731479388234,0.005442959743024857,0.005579370824317408,0.005716890938791199,0.005857504672138977,0.006001854096202511,0.006149063658470295,0.006298724767770295,0.006450487203097909,0.0066039423732811
DEU,0.005524443478249178,0.005449744017382144,0.005814271356184341,0.007917690584735895,0.00802208892308185,0.008215131626694842,0.008529683443241898,0.008729962421570566,0.00920024490022791,0.007992390045602928,0.008011234511008335,0.008860592255760849,0.008893306247704636,0.009037051829817084,0.009523088281553346,0.009637361119771735,0.009742437858872285,0.00998048114587339,0.00987231391444635,0.009985229951155552,0.01024754490959882,0.010523880150303712,0.010653153182984805,0.010684510373419403,0.010819210612137253,0.01111612400906485,0.011237482366275673,0.011274568274193514,0.011882189216725464,0.012403804019147136,0.012870543738308262,0.013298614614457492,0.013709122448848882,0.01410658991317973,0.014496067324178687,0.014883057265744128,0.015268162760769033,0.015654700435164745,0.01605246941094208,0.01647172107728158,0.016922857579087028,0.0174064819392514,0.017917769974630907,0.018458681509627716,0.019031176368643984,0.019636762108912156,0.0202785292227587,0.02095406561861174,0.021655607376724235,0.02237531519948755,0.02310459601067681,0.023844806611801207,0.024602957143991546,0.025379349118694324,0.02617390715804791,0.026987008151360427,0.027819933522279423,0.02867449233948383,0.0295515891373131,0.03045197769438346,0.031376939434342464
ESP,0.03019107012994393,0.02767302567153796,0.03248701740859162,0.028281317310366372,0.03887125035285349,0.04967337815307147,0.05645441529429001,0.06690995832354761,0.0685749798558756,0.08188242042903568,0.09148989174322902,0.06708042144559138,0.0580670954530444,0.0731194842506111,0.07557811417685242,0.08434246498699523,0.10269306763555829,0.1168945554546243,0.1237399583390212,0.11320024472253039,0.11660384863653304,0.11145105260296916,0.11097856560908848,0.11029529848919518,0.10930434897059216,0.06244891720018625,0.060827041935263525,0.04770279616961107,0.06350847635712224,0.0661014962965931,0.06836349241400387,0.07037439140143313,0.07227353448312414,0.0741047752423413,0.07591479652578535,0.07775169581187533,0.07966710715832571,0.0816857866202051,0.08382188051469557,0.08608741321140183,0.08849865297508329,0.09108389244010401,0.09384808281747777,0.09676788268385411,0.09982065793174182,0.10297953055849492,0.10624167130067703,0.10960778747414725,0.11305736691899163,0.11656848284357792,0.12011850114041486,0.12369822670333414,0.12732887900810883,0.13103592142566658,0.13484411001107607,0.13878032276698316,0.14284668164096515,0.14704106468544476,0.15137974016518133,0.15588180560837064,0.16056565122734942
FRA,0.005573662345369823,0.0057711934247145005,0.005508838633201658,0.004802085989206986,0.004172961741265549,0.0035607377930106563,0.004093497379508205,0.004523678266794111,0.0049305565124509385,0.005699637838297935,0.005660282265768824,0.005973855792821945,0.00714393085886388,0.007628437500573942,0.007719576721167673,0.007788825581443179,0.008069775410215588,0.008296681940826016,0.008520057768159308,0.008385043674841733,0.008886733072500512,0.009388704926421458,0.009562509679743801,0.009496085382090003,0.009431355822009229,0.009523201183258384,0.009662310892377431,0.009394542355839652,0.010298543622916831,0.01071935637750741,0.011086690746460346,0.011416034748151328,0.011733845119137009,0.012043982095000388,0.012350541291542937,0.012657947856872,0.01297105062348817,0.013294415967629874,0.013632280733229672,0.013989022992351208,0.014369397425407689,0.014776840583588857,0.015210081413714946,0.015666624885470114,0.016143975968538518,0.016639498404473235,0.01715295681305579,0.017683645053630754,0.018228220727095772,0.01878305897808633,0.019344440799150507,0.019914060927861327,0.020495873751889177,0.021089455586840805,0.021694476900410348,0.022310702312379322,0.02293963825614598,0.023583261925545513,0.02424199700497117,0.02491636133090361,0.02560687273982347
GBR,0.00045390961791503837,0.0004637106141205738,0.00046249399286174466,0.0004794220348931954,0.0005092200983701959,0.000549282259048028,0.0005805742811030746,0.0006521377750202679,0.0005738475429171611,0.00035246695243692263,0.00032261394477403957,0.0003365148238023391,0.0003485135874431788,0.00038017713685038393,0.0003527312078071199,0.00038178621657980314,0.00040116581585753977,0.00040913272281051775,0.0004174345276583992,0.0004297629564145346,0.000457274295202897,0.00041793425811095054,0.00042749977923413205,0.00043560797123652243,0.00043906683855732276,0.0004390459074388912,0.0004202209827995886,0.0003948184541931967,0.00044799657695814823,0.0004716094949386496,0.0004927473081646295,0.0005119411437662869,0.0005305410588824513,0.0005487092696809664,0.000566634156227716,0.0005845276460968182,0.0006024629982027835,0.0006205605664765926,0.0006391081537966783,0.0006584118777701008,0.0006787961707325481,0.0007002819638024511,0.0007226991916425547,0.0007460844837101137,0.0007704692366827755,0.0007958796144585791,0.0008222502072924265,0.0008494528120839246,0.0008773932388001322,0.0009059772974081072,0.000935095099536085,0.00096486961550485,0.0009954473631434227,0.0010267629327067045,0.0010587535308394015,0.0010913615969658267,0.0011246551572208824,0.0011587624147049616,0.0011937121497059074,0.001229535758901367,0.0012662646389689875
