cat,IPC2
clss,TOTAL
ent,PFCS
family,emi
gwp,AR4
note,Renamed as composite source from PFCSAR4_IPC2_TOTAL_NET_HISTORY_CRF2019! | Renamed as composite source from PFCSAR4_IPC2_TOTAL_NET_PMHTHISTCR_TEMPSRC1! | Renamed as composite source from PFCSAR4_IPC2_TOTAL_NET_PMHTHISTCR_TEMPSRC2! | Add the countries {ARG.IDN.MDA.MEX.MKD.MNE.ZAF} from PFCSAR4_IPC2_TOTAL_NET_HISTORY_BUR2IPCC2006I || Renamed as composite source from PFCSAR4_IPC2_TOTAL_NET_PMHTHISTCR_TEMPSRC3! | Renamed as composite source from PFCSAR4_IPC2_TOTAL_NET_PMHTHISTCR_TEMPSRC4! | Add the countries {BRA.GHA.KOR.SGP} from PFCSAR4_IPC2_TOTAL_NET_HISTORY_UNFCCC2019BI || Renamed as composite source from PFCSAR4_IPC2_TOTAL_NET_PMHTHISTCR_TEMPSRC5! | Add the countries {ARE.ARM.AZE.BHR.BIH.BLR.CHL.CHN.CMR.COL.EGY.GRD.IND.IRN.ISR.KEN.LTU.LUX.LVA.MOZ.MYS.NGA.OMN.SMR.SRB.SUR.TJK.TUN.TWN.VAT.VEN} from PFCSAR4_IPC2_TOTAL_NET_HISTORY_EDGAR42COMPI || Pad values of country ARG... || Pad values of country AUS... || Pad values of country AUT... || Pad values of country BEL... || Pad values of country BGR... || Pad values of country BRA... || Pad values of country CAN... || Pad values of country CHE... || Pad values of country CZE... || Pad values of country DEU... || Pad values of country DNK... || Pad values of country ESP... || Pad values of country EST... || Pad values of country FIN... || Pad values of country FRA... || Pad values of country GBR... || Pad values of country GHA... || Pad values of country GRC... || Pad values of country HRV... || Pad values of country HUN... || Pad values of country IDN... || Pad values of country IRL... || Pad values of country ISL... || Pad values of country ITA... || Pad values of country JPN... || Pad values of country KOR... || Pad values of country LIE... || Pad values of country MCO... || Pad values of country MEX... || Pad values of country MKD... || Pad values of country MNE... || Pad values of country NLD... || Pad values of country NOR... || Pad values of country NZL... || Pad values of country POL... || Pad values of country PRT... || Pad values of country ROU... || Pad values of country RUS... || Pad values of country SGP... || Pad values of country SVK... || Pad values of country SVN... || Pad values of country SWE... || Pad values of country TUR... || Pad values of country UKR... || Pad values of country USA... || Pad values of country ZAF... ||  | built by Johannes Guetschow
scen,HISTCR
srce,PMH21
tablename,PFCSAR4_IPC2_TOTAL_NET_HISTCR_PMH21
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ARE,0.44943999999999995,0.51445,0.42189,0.31254,0.21266999999999997,0.19372,0.19512000000000002,0.26443,0.2273,0.26045,0.25292,0.24216,0.23075,0.24108000000000002,0.29403,0.31082,0.37066,0.38315,0.39175,0.41873,0.44571000000000005,0.43185,0.44808000000000003,0.46431999999999995,0.48056000000000004,0.4968,0.5130399999999999,0.52928
ARG,0.10589000000000001,0.09298300000000001,0.09215,0.098909,0.10789000000000001,0.10354000000000001,0.10918,0.12015999999999999,0.11562,0.11142,0.12082000000000001,0.11739000000000001,0.12439000000000001,0.13539,0.1459,0.16083,0.16789,0.17496,0.16777999999999998,0.14169,0.16691,0.17989000000000002,0.17074,0.18178,0.184,0.19211,0.19662000000000002,0.20113
ARM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,4.607,4.6107,4.6033,3.3155,2.1644,1.5308,1.4104,1.2282,1.6605,1.1391,1.2871,1.8019,1.7276,1.6840000000000002,1.7138,1.7917,0.68706,0.58268,0.44451999999999997,0.35855,0.28331999999999996,0.3013,0.29488000000000003,0.192,0.19254000000000002,0.17132,0.22491999999999998,0.20263
AUT,1.1828,1.1926,0.51047,0.06352000000000001,0.07095599999999999,0.08335,0.08025399999999999,0.11747,0.055531,0.079183,0.087866,0.11634000000000001,0.10197,0.12638,0.15757000000000002,0.16329000000000002,0.17239000000000002,0.23033,0.20819000000000001,0.036022000000000005,0.07804900000000001,0.073513,0.050714999999999996,0.049229,0.053029,0.049549,0.05039,0.04409
AZE,0.20724,0.19962,0.14945,0.10340999999999999,0.056075,0.027851,0.0076329,0.037920999999999996,0.037920999999999996,0.037920999999999996,0.037920999999999996,0.037920999999999996,0.037920999999999996,0.14115999999999998,0.22753,0.2427,0.2427,0.29579,0.30337,0.22753,0.24775,0.32684,0.34965999999999997,0.37248000000000003,0.39531,0.41813,0.44096,0.46378
BEL,2.191,2.0964,2.2848,2.1959,2.6374,2.9143,2.7669,1.5289,0.8438700000000001,0.42875,0.44611000000000006,0.27584000000000003,0.10106,0.25899,0.37854,0.1931,0.20025,0.2245,0.25369,0.1464,0.10699000000000002,0.22578,0.2784,0.43171000000000004,0.30701999999999996,0.30008,0.65864,0.16766
BGR,5.5585e-06,5.8423e-06,6.4352e-06,6.4336000000000005e-06,6.8416e-06,1.5515e-05,2.4255e-05,3.2641e-05,4.0941999999999995e-05,4.9154e-05,4.8883999999999995e-05,4.8607e-05,4.8325e-05,4.8037e-05,4.7745e-05,4.745e-05,4.7171000000000006e-05,4.6883999999999994e-05,2.0662e-05,5.5867e-05,6.3743e-05,5.5308e-05,4.6483e-05,3.9088e-05,3.2885999999999997e-05,2.7681999999999997e-05,2.3313000000000002e-05,1.9642999999999998e-05
BHR,3.009,0.46063000000000004,0.50455,0.5785899999999999,0.38831,0.36243000000000003,0.34731,0.34279,0.32352,0.29774,0.27393,0.25317,0.2234,0.22901999999999997,0.22903,0.32331,0.3754,0.37238000000000004,0.37238000000000004,0.36216,0.37167,0.34972,0.35429,0.35886,0.36343000000000003,0.368,0.37258,0.37715
BIH,0.73178,0.64278,0.40026,0.19425,0.12557000000000001,0.11150999999999998,0.09745,0.12508,0.19411,0.38686,0.39143,0.26056,0.13473,0.14519,0.15827,0.17135,0.17789000000000002,0.15958,0.16089,0.12557000000000001,0.15435,0.14757,0.14232,0.13708,0.13183,0.12658,0.12133,0.11607999999999999
BLR,0.0032186,0.0034205999999999998,0.0038084000000000004,0.0038457,0.004125800000000001,0.009424600000000002,0.014815,0.020012000000000002,0.025164,0.030264999999999997,0.030147000000000004,0.030019999999999998,0.029887,0.029748,0.029605000000000003,0.029462000000000002,0.029330000000000002,0.029193,0.029056,0.028919999999999998,0.028785,0.032272,0.032852,0.033433,0.034013999999999996,0.034594,0.035175,0.035755
BRA,2.5372,2.8222,2.9939,2.8095,2.7104,2.5667,2.5007,1.6813,1.8833,1.6676,1.2189,0.9547200000000001,1.1337,1.1398,1.0334,1.0362,1.0212,0.98231,0.9574600000000001,0.6829,0.63575,0.52351,0.54251,0.47188,0.34481999999999996,0.27537,0.28522,0.22308000000000003
CAN,7.5579,8.0331,7.5787,7.4556,6.895,6.3469,6.5016,6.3737,6.4759,5.3703,4.9845,4.0475,3.463,3.4901,3.5224,3.8393,2.9861,2.5347,2.6019,2.5108,1.8593,1.6874,1.7987,1.6172,1.0881,0.96801,0.76461,0.74398
CHE,0.11652,0.098505,0.080607,0.034695,0.020863999999999997,0.017482,0.020406999999999998,0.021013,0.023815,0.025572,0.049895999999999996,0.030386,0.030367,0.066704,0.065038,0.044456999999999997,0.054861,0.046738999999999996,0.038532,0.033558,0.03408,0.032237,0.035953,0.024475,0.021419999999999998,0.024694,0.018197,0.030756
CHL,0.00019484,0.00019926,0.00020979,0.0002142,0.00022473,0.00022914,0.00022914,0.00024409,0.00024409,0.00025903,0.00025903,0.00026345,0.00027398,0.0002784,0.00028892,0.00029334,0.00030142,0.00030863,0.00031585,0.00032335,0.00033085,0.00033652,0.00034347,0.00035042,0.00035738,0.00036433,0.00037128,0.00037823
CHN,5.415,5.2932,6.3282,7.1698,7.3467,8.9698,8.2415,9.265,9.9813,9.7213,9.3372,9.3826,9.817,11.1446,11.9973,12.3436,13.4326,15.3342,15.8076,11.5857,9.89,13.936,14.2839,14.6319,14.9799,15.3279,15.6759,16.0239
CMR,1.0935,1.051,0.99492,1.0243,0.9425899999999999,0.77394,0.8246100000000001,0.84385,0.69617,0.6936100000000001,0.5980800000000001,0.49676000000000003,0.35893,0.41251000000000004,0.46071999999999996,0.48215,0.47143,0.46608,0.48751000000000005,0.39108000000000004,0.40715,0.31367,0.28546,0.25724,0.22903,0.20082,0.1726,0.14439000000000002
COL,0.00019484,0.00019926,0.00020979,0.0002142,0.00022473,0.00022914,0.00022914,0.00024409,0.00024409,0.00025903,0.00025903,0.00026345,0.00027398,0.0002784,0.00028892,0.00029334,0.00030142,0.00030863,0.00031585,0.00032335,0.00033085,0.00033652,0.00034347,0.00035042,0.00035738,0.00036433,0.00037128,0.00037823
CZE,4.8649e-06,4.8877e-06,4.9114e-06,4.9269e-06,4.9433e-06,8.83e-06,0.00067753,0.0017283,0.0016555999999999997,0.0010956,0.0046859,0.009745,0.016387,0.0085519,0.012809000000000001,0.014891,0.031088,0.029001,0.039758999999999996,0.045436000000000004,0.048041,0.008240899999999999,0.0061866,0.0040786,0.0030234000000000003,0.0019334,0.0014405999999999998,0.0013678
DEU,2.8972,2.4806,2.2232,2.0623,1.7256,1.8338,1.7642,1.3348,1.4629,1.1297,0.5461699999999999,0.56765,0.6385,0.69229,0.6610199999999999,0.54333,0.37453000000000003,0.36573,0.3956,0.28275,0.20655,0.12703,0.10555,0.12315999999999999,0.09559,0.1058,0.10321,0.090121
DNK,4.0949000000000004e-05,4.4036e-05,5.266899999999999e-05,6.4175e-05,6.6225e-05,0.00063355,0.0020934,0.0051953,0.011475,0.015745,0.022567,0.027912,0.028013,0.024592,0.020534,0.018767,0.02115,0.021187,0.018444,0.019545,0.017059,0.011946,0.0033902,0.0036950000000000004,0.0026631,1.7706e-05,7.9297e-06,0.0010935
