cat,IPCM0EL
clss,TOTAL
ent,SF6
family,emi
gwp,AR4
note,The future values are calculated by applying the mean historic share for SF6 in the FGASES to the FGASESAR4_IPCM0EL_TOTAL_NET_SSP4BLGCAM4FILLED_PMSSPBIE (share: mean over last 6 available values from SF6AR4_IPCM0EL_TOTAL_NET_HISTCR_PRIMAPHIST21/FGASESAR4_IPCM0EL_TOTAL_NET_HISTCR_PRIMAPHIST21).
scen,PMH21SSP4BLGCAM4FILLED
srce,PMH21SSPSPLIT
tablename,SF6AR4_IPCM0EL_TOTAL_NET_PMH21SSP4BLGCAM4FILLED_PMH21SSPSPLIT
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AND,0.0,0.0,0.0,0.0,0.0,0.0,1.1960223188112298e-05,4.4118751258455523e-05,9.08961750126208e-05,0.00014670755355389873,0.00020596932891015496,0.00027833085730444025,0.0003730439041444519,0.0004839371685136205,0.000604856636052566,0.0007296137192875293,0.000866488679112171,0.0010214280911996004,0.0011848724894241505,0.0013472796942173445,0.0014990902394535156,0.002065397852974009,0.00216652421253124,0.002233250323281823,0.002380358924962513,0.0023333394894076978,0.002503439212150117,0.0026738846660363217,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517,0.0023817994713949517
ARE,0.6136930072215697,0.6876564148658392,0.6407849410787007,0.5465355373785409,0.4577045204498075,0.41892940692163716,0.4549779826762217,0.5188122678028444,0.4977839319460034,0.5689722375306437,0.6123262694572023,0.6230451011625203,0.6325775767373469,0.6551807830130275,0.712091188500875,0.7426173111567973,0.8178919545242417,0.8577146690799219,0.8948316591274638,0.9259821797468024,0.9687881290165843,0.9832880372781472,1.0186012109869298,1.0539837622472035,1.089296935955986,1.1246794872162593,1.1600620384765328,1.1953752121853156,1.5256817348326914,1.9003898904341359,2.3061098115519374,2.770939406539843,3.3234622266120346,3.958474955406706,4.667166643884535,5.437465598086135,6.254178134235033,7.097323517501902,7.94234209465902,8.760303426734753,9.518738819631437,10.231454406095729,10.934873400660262,11.62726136453777,12.307647012007381,12.975614077760149,13.636920898569807,14.29843585203394,14.962240264697266,15.631039861067924,16.307748498308527,16.988619788638573,17.665397803430665,18.334336154904303,18.99154970017601,19.63322267391379,20.259771341426593,20.8743176925315,21.47693110478,22.06775033327507,22.64705288822269
ARG,0.00104748195660244,0.0009197937342350013,0.0009115564216224979,0.0009784228561388623,0.0010672357038746304,0.0010242120423157996,0.001079976870865193,0.0011886619883567846,0.001143761720807096,0.0011021603290518628,0.0011951412174620632,0.0011612240333957122,0.0012305004250792839,0.0013392843113072363,0.0014432680369480466,0.0015909272978076696,0.0016607567944148627,0.0017306850597584166,0.0016596505845676204,0.0014016468914455416,0.0016510972119987615,0.0017795360767625436,0.0016889651455195508,0.0017982033679347636,0.0018201497811541672,0.001900369748826532,0.0019449934639144105,0.0019895974252550166,0.0023032869319373995,0.002703102776726533,0.0031141782574608153,0.003554291746685217,0.004043196991671929,0.0045729924935120755,0.005133603841096839,0.005713573861008348,0.006299074930156072,0.0068746991256677,0.007425236062143646,0.007934487666820715,0.008385663254517542,0.008790219998652003,0.009170282096168944,0.009525256934650207,0.009854946976623065,0.010159154684614796,0.01044084312071623,0.010704555646799972,0.010953452862429571,0.011190300292223135,0.011418653610689656,0.01163495714332014,0.011834865065714708,0.012020155215127852,0.012192605428814075,0.012353796006555149,0.012502936798460186,0.012637262279911082,0.012756969988380553,0.012861664848923164,0.012951346861538909
AUS,0.09001925749300944,0.09034320760634258,0.08918850542459517,0.07806909775672075,0.05021082778835327,0.04104951858329243,0.030432593535654733,0.031678001749135425,0.04173917238012161,0.03923251839206395,0.04482605701561595,0.06231072446591595,0.07024102324031091,0.07907262321891272,0.08943326773244685,0.10065058032346196,0.08695972864486325,0.09825046992823384,0.10750536472159093,0.12403113983642486,0.13010844396255433,0.13808625542023814,0.1368149311976908,0.14687466205039554,0.16028331718582406,0.1748452347247185,0.1784374815370125,0.1818699129600622,0.2022859689914566,0.21655705131749198,0.23114056553060863,0.2465447533641692,0.2631036433794772,0.28054655725961425,0.29856826200890657,0.3168289699529246,0.33487515093300196,0.3522287985596872,0.3684579793485362,0.3830962051363491,0.3956395535246078,0.406956210817045,0.41827718744432674,0.4296125618544232,0.4409738522735864,0.45237545648463096,0.4638101755961496,0.4752722504950165,0.48677895852060915,0.49835621568199434,0.5100256186533944,0.5218865121362313,0.5339604928047273,0.5461669330751195,0.5584223258070821,0.5706446036385706,0.5828352063478666,0.595024369278881,0.6071804173094214,0.6192644764258879,0.6312362328363987
AUT,0.280459774078395,0.3066936019798101,0.19862513468547205,0.17670998084142356,0.2132239465970407,0.26137292834250425,0.284913935949326,0.2908753997461615,0.2613898643191998,0.2480612506597978,0.2348173168838736,0.2742442706311262,0.28708174096635714,0.29990227532489244,0.30964046192483674,0.31050419673631,0.3071847453039812,0.3141793036792455,0.31920928875782545,0.2866752775256638,0.3224101883532854,0.30466128477634347,0.31560192572167217,0.3189891210607832,0.3325040304638363,0.3367549606144207,0.35253929089467817,0.369187355986409,0.37682548147610445,0.4002479372460574,0.4242631522003547,0.4498534129873387,0.47745905500109376,0.5065550629640577,0.536548677691886,0.5668132680468433,0.596603651054325,0.6251068998329445,0.6515270234780106,0.6750510951081369,0.6947645719817631,0.7122255639548807,0.7295849400678248,0.7469612521574645,0.7644053081538864,0.7820187239172638,0.7998184354242924,0.817770570721581,0.8358412578557385,0.8539796888966781,0.872151991891009,0.8904936546522951,0.9091062930407104,0.9278544192426902,0.9466194814213654,0.9652829277398673,0.9838278222215003,1.0023049727963511,1.0206805075110286,1.0389036184354459,1.0569234976395168
BEL,0.12017916102995373,0.11960644411553975,0.1359441080091682,0.13128316716313956,0.15553529139531858,0.1689301651861603,0.16491200768556438,0.0846707123362873,0.061323358974219734,0.04650278563047512,0.05286359902034948,0.05005180267990215,0.05118505104246597,0.061347729906747986,0.06709926998341599,0.0632090598785934,0.06706271358462361,0.0745963781024202,0.07960460473697645,0.08140500737750123,0.08406143902308094,0.09137576514812323,0.09653631011098107,0.1013678474847075,0.10039301018357731,0.09988426696705001,0.10935542062084282,0.09339245981483629,0.11367516841147587,0.12012128006519912,0.1267440809797522,0.13386343964456848,0.14162558165481745,0.1498629568493674,0.15839887596738844,0.1670322788155225,0.1755712443001096,0.18381471222779158,0.19150678780702185,0.19838243714655557,0.20414311632292165,0.2092671048869871,0.2144246034832789,0.2196003802789669,0.22478224980778697,0.2299549802369089,0.23513380339916293,0.24033090476081317,0.24552191338933133,0.2506946438184533,0.25582777148221686,0.26093957458001815,0.26606660951064964,0.2712027835409792,0.2763480966710069,0.2815025489007327,0.28665395476389244,0.291793175160788,0.29692021009141956,0.3020198277229567,0.30709202805539965
BGR,5.683944134269082e-05,6.016315175060237e-05,6.37710056083585e-05,6.764303607894309e-05,8.803839213562402e-05,0.00012657131575562636,0.00016968739642609458,0.00022726868255946067,0.000321158893851343,0.00042666058882336,0.0006076676459270462,0.0008077660710392075,0.0010538650168153945,0.0014050663208232763,0.001967501401356147,0.0031235812645886,0.004694356973540148,0.006061624535981398,0.009754107064475008,0.009963144488928226,0.01047291319705477,0.011821903424073589,0.01289058997759709,0.015187544189718962,0.017277457661089228,0.01904836251336373,0.021791498737268555,0.02819010204566021,0.02585705393585538,0.02806262147086508,0.03026511718479538,0.0325229056781549,0.034943500688722644,0.037488504453006125,0.04011491147589372,0.04277203670957533,0.04540612328516143,0.0479541988705243,0.05033332429652014,0.05245288084130662,0.054223785693581134,0.055756624412202076,0.05723724217247321,0.05866410306385484,0.060044886639045454,0.061378056987505356,0.06267129366193305,0.06392152484124913,0.06512721461491391,0.06628989889346706,0.06740496994528954,0.06847703550200038,0.06951377511629811,0.07052440425142094,0.07151660246006736,0.07250112111601528,0.0734733524876456,0.07442561702225982,0.07535945063039765,0.07627946104367815,0.07718718417264105
BLR,8.028612711262796e-06,9.26118133036334e-06,1.1767200562411832e-05,2.0116055558812645e-05,3.123478311536906e-05,6.01012300354401e-05,9.877700593901239e-05,0.0001487047283101266,0.00021428038625731713,0.0002830725642951455,0.0003575059875759407,0.0004486446393771418,0.0005601068111082317,0.0007117931055213673,0.0009701955011154917,0.0012608805746098094,0.0013679491067722413,0.0015501089333808287,0.0017337254747127149,0.0018347086985955614,0.0020254208503538364,0.002087472198486595,0.0022351877705088044,0.0023826683885433855,0.0025297495847989974,0.0026773006890298667,0.0028253217012359933,0.002973107759454492,0.003422809691775963,0.0036798493542418405,0.003939943418546892,0.004211080320270496,0.0045003086790415155,0.004802459507132117,0.0051123638168144685,0.005423912804410221,0.005729822896302883,0.006021400794950191,0.006290423110785135,0.006527726638290196,0.006723913217960222,0.006893549997028195,0.0070584876963435935,0.007218726315906417,0.007374970717679551,0.0075267509936877385,0.007675946775832008,0.007821853202149476,0.007963765410677255,0.008100273677489573,0.008229968278660656,0.008354728846091532,0.00847596510370798,0.008593912005497625,0.008707629735509951,0.008816883339757331,0.008921202910264504,0.009021058355006734,0.00911738948993453,0.009212075946948926,0.009306292495988064
BRA,0.08035972641553224,0.08981689006900609,0.10011493108605918,0.10037296856029058,0.0962696313826528,0.09099700551059585,0.07467568415099443,0.06605398448751455,0.05125923447896044,0.07147096698851217,0.04337736253880135,0.04569248197543691,0.0556855696138529,0.06191997152622691,0.07377525967797717,0.07937629688087411,0.10454667959453691,0.11855468597536452,0.13233352620774885,0.1358919171111357,0.16150800091665274,0.1491997938416012,0.1648119632615317,0.17929634651786341,0.19325202362070004,0.2087378809903075,0.2174046921003313,0.22904164085080886,0.2686296418799184,0.2972158633258891,0.3243260382409418,0.3519432658151485,0.3822130464461395,0.41413751493636264,0.44671880608826564,0.4789662725357435,0.5097936306460177,0.5381723394378863,0.563254303716323,0.5842275174435365,0.6003160637389713,0.612584572741064,0.6227869774914441,0.6312101867901305,0.6381465228107284,0.6438846988111189,0.6486610987711924,0.6526687996821571,0.6561207275717001,0.6592153728046152,0.6621458123721102,0.6647929520553093,0.6668969499221191,0.6684235212731664,0.6693383814090778,0.6696090500883415,0.6691434999600078,0.6679272953611829,0.6660362235220605,0.6635388538413873,0.6605019512600486
CAN,0.4214775693792251,0.45807229381357367,0.39319428637529197,0.3777833393226925,0.35571391654262047,0.3256772707865419,0.32561272982634015,0.3343185882357659,0.374832383197916,0.35644538075823945,0.3815984271923914,0.3501060242228751,0.36164809927227426,0.3629209904318073,0.37459931861941,0.3712862159957241,0.35422588884908185,0.33336123065944107,0.3343293450624661,0.3475602419038091,0.36175566753927707,0.38384660397274967,0.4058407289659198,0.41201514749187984,0.415686811005575,0.447397936117997,0.47546608258792455,0.49212482153775633,0.5230435270832579,0.5561817245379167,0.5893521924726766,0.6236592984287659,0.6599922734134076,0.6978204473093882,0.7365916363460933,0.7757321430995077,0.8141160863750028,0.8504634037952449,0.8838992067886114,0.9134984082588787,0.9382677945407208,0.9605057409390972,0.9831273474897836,1.0059963610545763,1.0289765284952719,1.051931596673667,1.0749512058122639,1.0981321673513647,1.121366913023967,1.144555045780868,1.1675961685728653,1.1906193633203621,1.2137752255971623,1.2369992144430644,1.2602375457245667,1.2834185072636672,1.3065420990603667,1.3296011498968645,1.3525275332040587,1.3752459511950477,1.3976811060829293
