cat,IPCMLULUCF
clss,TOTAL
ent,CO2
family,emi
gwp,AR4
note,emissions/removals
scen,HISTORY
srce,CRF2019
tablename,CO2_IPCMLULUCF_TOTAL_NET_HISTORY_CRF2019
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AUS,165.5229,143.6017,79.9866,62.0726,53.545,32.2925,31.0209,29.8334,17.9452,25.4511,32.6673,54.4574,47.5952,56.3067,49.1606,71.5759,66.6841,74.9634,60.5279,51.663000000000004,30.6365,11.3256,1.4138,-9.1137,-8.5666,-19.0703,-31.7338,-35.2869
AUT,-12.1566,-16.8599,-11.8352,-12.1321,-12.003,-13.312999999999999,-10.7257,-19.239,-17.3687,-19.6764,-16.5782,-19.4239,-14.4208,-5.0274,-9.3449,-10.8154,-5.3256,-5.6531,-4.4197,-4.6906,-6.0223,-6.2492,-5.6256,-4.6753,-4.8821,-4.7113,-4.54,-5.0687
BEL,-3.3251,-2.8569,-2.6739,-2.6863,-2.4321,-2.6584,-2.8617,-2.398,-2.9517,-2.1924,-1.8253,-1.6971,-1.7575,-1.7134,-1.6233,-1.61,-1.5982,-1.3936,-1.1421,-1.162,-0.43282,-0.35158,-0.37215,-0.45343,-0.42553,-0.44697,-0.44265,-0.42231
BGR,-12.4409,-11.915,-11.6804,-10.8841,-10.7423,-10.7174,-13.0702,-13.0335,-13.0638,-12.9321,-12.6612,-12.0143,-12.0898,-12.2385,-12.2498,-12.3551,-10.4075,-10.3254,-11.0715,-10.4645,-10.3436,-7.03,-7.386,-7.9298,-8.5815,-8.4886,-8.8507,-8.5977
BLR,-21.1267,-24.4322,-22.6911,-18.0865,-27.8705,-28.9578,-28.0559,-26.2037,-25.1583,-32.1233,-33.2705,-32.0964,-29.0277,-25.2146,-26.8546,-29.1642,-32.4307,-33.0903,-32.7401,-38.4717,-40.1476,-37.5974,-32.048,-35.1416,-30.1308,-27.5227,-21.9232,-13.3209
CAN,-69.5458,-75.9437,-68.25,-61.7565,-63.5425,-50.9835,-59.1076,-60.5454,-67.6695,-57.0936,-43.4255,-59.2508,-45.2012,-51.2214,-28.023000000000003,-22.6494,-30.83,-33.0316,-38.3336,-50.2877,-33.4463,-33.7968,-36.5523,-33.6026,-32.7884,-26.1301,-26.3366,-24.6073
CHE,-2.5707,-6.3537,-5.0852,-4.4311,-3.2578,-3.9052,-6.529,-4.3223,-3.1131,-3.5755,5.5071,-1.1035,-2.8534,-3.7973,-3.3946,-2.5514,-1.6647,-0.54837,-2.3811,-3.1818,-2.6782,-1.4823,-1.9253,-2.1298,-0.72007,-2.2462,-2.18,-1.6579
CYP,-0.25127,-0.24769000000000002,-0.25514000000000003,-0.27211,-0.25745,-0.27756,-0.28549,-0.25611999999999996,-0.18488,-0.35875,0.059258000000000005,-0.18972,-0.33755,-0.3524,-0.34808,-0.37728,-0.45291000000000003,-0.21481999999999998,-0.5122800000000001,-0.54198,-0.49004,-0.5662699999999999,-0.54611,-0.58023,-0.57757,-0.57267,0.05954400000000001,-0.53452
CZE,-5.3101,-8.4887,-9.3398,-8.9455,-6.6075,-7.0689,-7.2745,-6.6285,-6.6928,-7.119,-7.9626,-8.3041,-7.9415,-6.4523,-6.6142,-7.1257,-4.9363,-2.7028,-5.9437,-7.0014,-5.6387,-6.9006,-6.7443,-6.0228,-5.9745,-5.141,-5.2183,-2.2035
DEU,-33.0178,-30.5028,-31.0975,-30.9789,-34.239000000000004,-34.7406,-34.8206,-35.8429,-36.2122,-37.2807,-39.633,-40.2337,-5.8834,-7.8945,-10.9873,-13.6739,-14.0711,-13.5023,-20.4143,-19.6942,-18.0453,-17.4213,-16.1785,-15.9949,-16.6033,-16.0969,-15.6344,-16.9144
DNK,4.7176,4.2442,5.1809,3.9465,3.3892,3.4014,2.8163,3.2388,3.2249,3.5157,3.3863,4.0134,4.9836,4.6308,4.3617,4.2384,4.5680000000000005,2.0429,-2.5663,1.7435,-1.2272,-2.8335,-0.95137,0.17697000000000002,-0.15031,3.4101,4.2783,2.7516
ESP,-36.5604,-35.9802,-34.8256,-35.0759,-34.0338,-35.207,-35.7009,-35.3422,-35.8066,-38.8389,-40.3537,-41.1227,-39.6736,-39.3904,-39.5169,-39.0503,-41.0645,-40.0095,-38.076,-35.7712,-37.8353,-37.9605,-36.3327,-34.8095,-36.801,-39.2493,-38.7012,-38.7908
EST,-1.7922,-1.6708,-1.1673,-2.1805,-1.6714,-1.9995,-2.0714,-2.3342,-3.0396,-3.1906,-3.699,-1.9705,-2.7331,-3.0853,-3.1501,-3.2431,-3.51,-3.8747,-3.701,-3.5652,-2.4665,-2.8392,-2.948,-1.9794,-2.1582,-2.71,-3.0739,-2.1212
FIN,-18.4363,-30.8311,-24.7082,-24.8294,-18.1497,-17.6343,-24.930999999999997,-20.8485,-19.0888,-21.3528,-22.3816,-24.2373,-25.281,-25.7296,-26.8589,-27.7653,-33.8595,-25.8426,-24.5119,-36.9017,-25.2333,-25.2805,-27.7947,-22.0195,-24.7807,-23.0792,-21.541,-23.4013
FRA,-26.0718,-25.86,-23.5786,-26.3576,-26.3418,-28.5253,-34.1226,-33.9263,-35.5307,-38.4306,-21.4016,-33.2015,-41.3028,-45.5568,-47.9272,-48.7313,-51.2667,-51.907,-52.8677,-48.8309,-43.6215,-38.5231,-40.7878,-44.5989,-36.7712,-39.7542,-37.5394,-35.9187
