cat,IPCM0EL
category,IPC2
clss,TOTAL
ent,FGASES
family,emi
gwp,AR4
note,Scenario based on RCPSSP IAM scenario dowscaled to country level using GDP data from SSP scenarios. For methodology see Guetschow et al. 2017Check info_per_country.csv for further information.
scen,SSP2BLMESGBFILLED
srce,PMSSPBIE
tablename,FGASES_IPCM0EL_TOTAL_NET_SSP2BLMESGBFILLED_PMSSPBIE
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AGO,1.2827e-07,4.8231e-07,1.1368e-06,2.463e-06,5.6949e-06,1.3725e-05,6.358e-05,0.00013516,0.0002463,0.00038195,0.00074485,0.0020107,0.004527300000000001,0.0070734,0.011903,0.022218,0.022382,0.026427999999999997,0.030474,0.033226,0.035977999999999996,0.036557,0.039478,0.042399,0.04532,0.048242,0.051163,0.054084,0.081885,0.10599000000000001,0.13146,0.15762,0.18486,0.21300999999999998,0.24203000000000002,0.27197,0.30296999999999996,0.3351,0.36843000000000004,0.40305,0.43906999999999996,0.47616,0.5142,0.5536399999999999,0.59509,0.6393399999999999,0.6865899999999999,0.73666,0.78987,0.8466,0.90725,0.97321,1.0458,1.125,1.2111,1.304,1.4054,1.5168,1.6380000000000001,1.7689,1.9092
ALB,1.4257000000000001e-05,3.565e-05,7.9206e-05,0.00042368,0.0011982000000000002,0.0029583,0.005382,0.0052854,0.0083859,0.012676,0.017534,0.024423,0.031218,0.041532,0.055229999999999994,0.071082,0.078835,0.089665,0.1005,0.1103,0.1201,0.12299000000000002,0.13193,0.14085999999999999,0.1498,0.15874000000000002,0.16768,0.17662,0.18625999999999998,0.19510999999999998,0.20423,0.21364,0.22330999999999998,0.23321999999999998,0.24336,0.2537,0.26432,0.27529000000000003,0.28664,0.29841,0.31064,0.3233,0.33637,0.34986,0.36377,0.37811999999999996,0.39287,0.408,0.42344,0.43915,0.45507,0.47126999999999997,0.48785,0.50472,0.52181,0.53905,0.5564100000000001,0.57391,0.5915199999999999,0.60919,0.6269
AND,0.0,0.0,0.0,0.0,0.0,0.0,6.9188e-05,0.00025522,0.00052582,0.00084868,0.0011914999999999999,0.0016101,0.0021579999999999998,0.0027995,0.0034990000000000004,0.0042207,0.0050125,0.0059088000000000005,0.006854300000000001,0.0077938,0.008672,0.011948,0.012532999999999999,0.012919,0.01377,0.013498,0.014482,0.015468,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332
ARE,0.8845700000000001,0.99118,0.9236200000000001,0.78777,0.65973,0.6038399999999999,0.6558,0.7478100000000001,0.7175,0.82011,0.8826,0.89805,0.91179,0.94437,1.0264,1.0704,1.1789,1.2363,1.2898,1.3347,1.3964,1.4173,1.4682,1.5192,1.5701,1.6211,1.6721,1.723,1.9476,2.1837,2.4142,2.6397,2.8632,3.0867,3.3122,3.5423,3.7798,4.0271,4.2863,4.5597,4.8497,5.1559,5.4763,5.8107,6.159,6.5212,6.8967,7.2846,7.6837,8.0927,8.5099,8.9377,9.3791,9.8334,10.2998,10.7775,11.2636,11.7564,12.2571,12.767000000000001,13.2876
ARG,0.53027,0.46563000000000004,0.46146000000000004,0.49531000000000003,0.54027,0.51849,0.54672,0.6017399999999999,0.57901,0.55795,0.60502,0.58785,0.62292,0.67799,0.73063,0.80538,0.84073,0.87613,0.8401700000000001,0.7095600000000001,0.8358399999999999,0.90086,0.85501,0.9103100000000001,0.9214200000000001,0.9620299999999999,0.98462,1.0072,1.3366,1.6996,2.0511,2.3848,2.7013,3.0009,3.2853,3.5572,3.8181,4.07,4.3162,4.56,4.8048,5.0495,5.2901,5.5255,5.7547,5.9764,6.1903,6.3967,6.5954,6.7862,6.9687,7.1456,7.3188,7.4865,7.647,7.7986,7.9383,8.0626,8.1695,8.2568,8.3229
ARM,7.1093e-05,0.00029135,0.00034161,0.0012147,0.0031864000000000003,0.007577199999999999,0.013137000000000001,0.017506999999999998,0.025738,0.034851,0.047691000000000004,0.070477,0.11055,0.17321,0.25311999999999996,0.38234,0.40881,0.47526999999999997,0.54173,0.59486,0.64799,0.6559999999999999,0.70635,0.75671,0.80706,0.8574200000000001,0.9077700000000001,0.9581299999999999,0.92704,0.9738399999999999,1.0088,1.0346,1.0559,1.0739,1.0893,1.1034,1.1165,1.1294,1.1427,1.1575,1.1744,1.1932,1.2129,1.2333,1.2541,1.275,1.2959,1.3164,1.3363,1.3554,1.3735,1.3906,1.4069999999999998,1.4226,1.4377,1.4521,1.4662,1.4802,1.4937,1.5068,1.5192
ATG,4.0720999999999995e-06,1.0015e-05,2.2036e-05,9.7846e-05,0.00024505,0.00048218,0.00088289,0.0012232,0.0017331,0.002408,0.0031107,0.0036553000000000006,0.0042834,0.0050716,0.0061299,0.007201300000000001,0.0079558,0.008803,0.009650200000000001,0.010467,0.011283,0.011788,0.012562,0.013337,0.014112000000000001,0.014886000000000002,0.015661,0.016434999999999998,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336
AUS,6.2523,6.2748,6.1946,5.4223,3.4874,2.8511,2.1137,2.2002,2.8989999999999996,2.7249,3.1134,4.3278,4.8786,5.492000000000001,6.2116,6.9907,6.0398,6.824,7.4668,8.6146,9.0367,9.5908,9.5025,10.2012,11.1325,12.1439,12.3934,12.6318,13.629000000000001,14.1674,14.7017,15.2294,15.7473,16.2575,16.7626,17.265,17.7664,18.2695,18.7796,19.3021,19.8424,20.3994,20.9683,21.5492,22.1424,22.7479,23.3627,23.9837,24.6103,25.2419,25.8779,26.5233,27.1809,27.8468,28.5168,29.186999999999998,29.8564,30.526,31.1947,31.8609,32.5231
AUT,1.656,1.8109,1.1728,1.0434,1.2590000000000001,1.5433,1.6823,1.7175,1.5434,1.4647,1.3865,1.6193,1.6951,1.7708,1.8283,1.8334,1.8138,1.8551,1.8848,1.6927,1.9037,1.7989,1.8635,1.8835,1.9633,1.9884,2.0816,2.1799,2.1797,2.2698,2.3616,2.4543,2.5465,2.6386,2.7315,2.826,2.9223,3.0206,3.1218,3.2269,3.3369999999999997,3.4522,3.5716,3.6952,3.823,3.9549,4.0909,4.2308,4.3739,4.5193,4.6664,4.816,4.9689,5.1247,5.2823,5.4412,5.601,5.7620000000000005,5.9238,6.0859,6.2479
AZE,0.5192399999999999,0.46481999999999996,0.36785,0.27501,0.18087999999999999,0.10585,0.11435,0.1853,0.27546,0.39033,0.55512,0.56472,0.57792,0.7195600000000001,0.85513,0.9675,1.0539,1.2209999999999999,1.327,1.3459,1.4778,1.3780000000000001,1.4777,1.6109,1.7318,1.8185,1.9051,1.9917,2.1455,2.2503,2.3206,2.3619,2.3888,2.4058,2.4174,2.4276,2.4403,2.4554,2.4709,2.4848,2.4952,2.5017,2.5063,2.5112,2.5184,2.5298,2.5445,2.5604,2.5777,2.5967,2.6177,2.6412,2.6672,2.6956,2.7261,2.7585,2.7933,2.8310000000000004,2.8710000000000004,2.9131,2.9567
BEL,3.945,3.9262,4.4625,4.3095,5.1056,5.5453,5.4134,2.7794,2.013,1.5265,1.7353,1.643,1.6802,2.0138,2.2026,2.0749,2.2014,2.4487,2.6131,2.6722,2.7594,2.9995,3.1689,3.3275,3.2955,3.2788,3.5897,3.0657,3.638,3.7527,3.8717,3.9947,4.1193,4.2463,4.3762,4.5097,4.648,4.7922,4.9432,5.1017,5.2685,5.4447,5.6298,5.8227,6.0218,6.2259,6.4349,6.649,6.867000000000001,7.0877,7.3095,7.5332,7.7602,7.9903,8.2233,8.4591,8.6973,8.9376,9.1796,9.4228,9.6667
BGR,0.0037007,0.0039171,0.004152,0.0044041,0.005732,0.0082408,0.011048,0.014797,0.020909999999999998,0.027779,0.039564,0.05259199999999999,0.068615,0.09148099999999999,0.1281,0.20337,0.30564,0.39466,0.63507,0.64868,0.68187,0.7697,0.8392799999999999,0.9888299999999999,1.1249,1.2402,1.4188,1.8354,1.6321,1.7201,1.8052,1.8872,1.9692,2.0512,2.1333,2.2157,2.2991,2.384,2.4703,2.5579,2.6469,2.7373,2.8293,2.9221,3.0153,3.1084,3.201,3.2932,3.3845,3.4744,3.5624,3.6487,3.7338,3.818,3.9017,3.985,4.0677,4.1494,4.2302,4.3102,4.3896
