cat,IPCM0EL
category,IPC2
clss,TOTAL
ent,FGASES
family,emi
gwp,AR4
note,Scenario based on RCPSSP IAM scenario dowscaled to country level using GDP data from SSP scenarios. For methodology see Guetschow et al. 2017Check info_per_country.csv for further information.
scen,SSP3BLAIMCGEFILLED
srce,PMSSPBIE
tablename,FGASES_IPCM0EL_TOTAL_NET_SSP3BLAIMCGEFILLED_PMSSPBIE
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AGO,1.2827e-07,4.8231e-07,1.1368e-06,2.463e-06,5.6949e-06,1.3725e-05,6.358e-05,0.00013516,0.0002463,0.00038195,0.00074485,0.0020107,0.004527300000000001,0.0070734,0.011903,0.022218,0.022382,0.026427999999999997,0.030474,0.033226,0.035977999999999996,0.036557,0.039478,0.042399,0.04532,0.048242,0.051163,0.054084,0.071685,0.083896,0.096836,0.11039000000000002,0.12469000000000001,0.13975,0.15556,0.17215,0.18969,0.20822,0.22746999999999998,0.24713000000000002,0.26675,0.28657,0.30709000000000003,0.32825,0.35,0.37227,0.39488,0.41778000000000004,0.44113,0.46512,0.48999,0.51617,0.54392,0.5732,0.6039800000000001,0.6362,0.6704899999999999,0.70732,0.74638,0.7872899999999999,0.82962
ALB,1.4257000000000001e-05,3.565e-05,7.9206e-05,0.00042368,0.0011982000000000002,0.0029583,0.005382,0.0052854,0.0083859,0.012676,0.017534,0.024423,0.031218,0.041532,0.055229999999999994,0.071082,0.078835,0.089665,0.1005,0.1103,0.1201,0.12299000000000002,0.13193,0.14085999999999999,0.1498,0.15874000000000002,0.16768,0.17662,0.18895,0.19902,0.20728000000000002,0.21456,0.22202,0.22965,0.23740999999999998,0.24525999999999998,0.25321,0.26129,0.26947,0.27775,0.28611,0.29447,0.30280999999999997,0.31118,0.31963,0.32823,0.33698,0.34586,0.35486999999999996,0.36401999999999995,0.37334,0.38278,0.39233,0.40199,0.41176,0.42165,0.43162,0.44164,0.45174,0.46192,0.47222
AND,0.0,0.0,0.0,0.0,0.0,0.0,6.9188e-05,0.00025522,0.00052582,0.00084868,0.0011914999999999999,0.0016101,0.0021579999999999998,0.0027995,0.0034990000000000004,0.0042207,0.0050125,0.0059088000000000005,0.006854300000000001,0.0077938,0.008672,0.011948,0.012532999999999999,0.012919,0.01377,0.013498,0.014482,0.015468,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332,0.013778333333333332
ARE,0.8845700000000001,0.99118,0.9236200000000001,0.78777,0.65973,0.6038399999999999,0.6558,0.7478100000000001,0.7175,0.82011,0.8826,0.89805,0.91179,0.94437,1.0264,1.0704,1.1789,1.2363,1.2898,1.3347,1.3964,1.4173,1.4682,1.5192,1.5701,1.6211,1.6721,1.723,1.868,2.0331,2.2105,2.3989,2.5931,2.7943,3.0038,3.2230000000000003,3.4530000000000003,3.6933,3.9436,4.2034,4.4721,4.7517,5.0432,5.3449,5.6544,5.9694,6.29,6.6157,6.9429,7.2677,7.5856,7.9015,8.2202,8.5368,8.8464,9.1434,9.4292,9.7069,9.9737,10.2269,10.4636
ARG,0.53027,0.46563000000000004,0.46146000000000004,0.49531000000000003,0.54027,0.51849,0.54672,0.6017399999999999,0.57901,0.55795,0.60502,0.58785,0.62292,0.67799,0.73063,0.80538,0.84073,0.87613,0.8401700000000001,0.7095600000000001,0.8358399999999999,0.90086,0.85501,0.9103100000000001,0.9214200000000001,0.9620299999999999,0.98462,1.0072,1.1229,1.276,1.4344,1.5984,1.7671,1.9403,2.1174,2.2981,2.481,2.6644,2.8476,3.0293,3.2085,3.3861,3.563,3.7382,3.9106,4.0791,4.2435,4.4039,4.56,4.7117,4.8586,5.0013,5.1406,5.2763,5.4085,5.5371,5.6611,5.7787,5.8888,5.9907,6.0833
ARM,7.1093e-05,0.00029135,0.00034161,0.0012147,0.0031864000000000003,0.007577199999999999,0.013137000000000001,0.017506999999999998,0.025738,0.034851,0.047691000000000004,0.070477,0.11055,0.17321,0.25311999999999996,0.38234,0.40881,0.47526999999999997,0.54173,0.59486,0.64799,0.6559999999999999,0.70635,0.75671,0.80706,0.8574200000000001,0.9077700000000001,0.9581299999999999,0.89499,0.91871,0.94211,0.9649399999999999,0.98693,1.0082,1.0288,1.0490000000000002,1.0689,1.0886,1.1082,1.1279,1.1478,1.1677,1.1874,1.2072,1.2272,1.2476,1.2679,1.2875,1.3068,1.3259,1.3453,1.3648,1.3846,1.4046,1.425,1.4459,1.4666,1.4863,1.5045,1.5206,1.5343
ATG,4.0720999999999995e-06,1.0015e-05,2.2036e-05,9.7846e-05,0.00024505,0.00048218,0.00088289,0.0012232,0.0017331,0.002408,0.0031107,0.0036553000000000006,0.0042834,0.0050716,0.0061299,0.007201300000000001,0.0079558,0.008803,0.009650200000000001,0.010467,0.011283,0.011788,0.012562,0.013337,0.014112000000000001,0.014886000000000002,0.015661,0.016434999999999998,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336,0.014498833333333336
AUS,6.2523,6.2748,6.1946,5.4223,3.4874,2.8511,2.1137,2.2002,2.8989999999999996,2.7249,3.1134,4.3278,4.8786,5.492000000000001,6.2116,6.9907,6.0398,6.824,7.4668,8.6146,9.0367,9.5908,9.5025,10.2012,11.1325,12.1439,12.3934,12.6318,13.8321,14.464,14.9444,15.3337,15.716,16.0916,16.4602,16.8221,17.1761,17.5229,17.8653,18.2059,18.5476,18.8879,19.2224,19.5514,19.8751,20.1938,20.5081,20.8188,21.1266,21.4324,21.7371,22.041,22.3426,22.6398,22.9304,23.2124,23.4859,23.7526,24.0124,24.2654,24.5116
AUT,1.656,1.8109,1.1728,1.0434,1.2590000000000001,1.5433,1.6823,1.7175,1.5434,1.4647,1.3865,1.6193,1.6951,1.7708,1.8283,1.8334,1.8138,1.8551,1.8848,1.6927,1.9037,1.7989,1.8635,1.8835,1.9633,1.9884,2.0816,2.1799,2.1974,2.2873,2.3551,2.4105,2.4657,2.5209,2.5763,2.6321,2.6881,2.7442,2.8007,2.8582,2.9171,2.977,3.037,3.0972,3.158,3.2197,3.2824,3.3463,3.411,3.4760000000000004,3.5411,3.6063,3.6719,3.7372,3.8016,3.8645,3.9265,3.9883,4.0493,4.1091,4.1671
AZE,0.5192399999999999,0.46481999999999996,0.36785,0.27501,0.18087999999999999,0.10585,0.11435,0.1853,0.27546,0.39033,0.55512,0.56472,0.57792,0.7195600000000001,0.85513,0.9675,1.0539,1.2209999999999999,1.327,1.3459,1.4778,1.3780000000000001,1.4777,1.6109,1.7318,1.8185,1.9051,1.9917,2.0598,2.1005,2.1353,2.1632,2.186,2.2061,2.2253,2.2459,2.2713,2.3006,2.329,2.352,2.3648,2.3711,2.3771,2.3823,2.3864,2.3888,2.3897,2.3899,2.3902,2.3915,2.3944,2.3983,2.4025,2.4078,2.4148,2.4244,2.4349,2.4441,2.452,2.4582,2.4626
