cat,ECO
clss,TOTAL
ent,GDPPPP
family,gdp
note,Scenario based on RCPSSP IAM scenario dowscaled to country level using GDP data from SSP scenarios. For methodology see Guetschow et al. 2017
scen,SSP2BLMESGB
srce,PMSSPBIEMISC
tablename,GDPPPP_ECO_TOTAL_NET_SSP2BLMESGB_PMSSPBIEMISC
tpe,NET
unit,2011GKD
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFG,24725317536.0,23419568937.0,23596954434.0,17081931240.0,13182461244.0,19939833357.0,19004264496.0,17924698676.0,16895526840.0,15874454228.0,15273265455.0,14952035696.0,24589637760.0,26333128552.0,27372439188.0,30451626799.0,33226342593.0,39214475592.0,40585412064.0,47390942897.0,49177579295.0,53970404096.0,60608876320.0,65345917725.0,67475745468.0,66349426584.0,68253868728.0,70073033662.5461,76583168803.9682,79412829167.2552,82652881351.3731,86402441924.8731,90606884087.5296,95249861947.8346,100316462282.9893,105793775068.2023,111682426560.8492,117970491775.3544,124627373843.2303,131621508992.8762,138920279794.4122,146604433568.3134,154778670963.3157,163444727742.3171,172603131523.7756,182252963160.2574,192477253513.5671,203360962806.9518,214906127755.2072,227116811579.653,239999468080.2187,253650292231.4919,268166520697.2234,283561348209.4457,299852774141.8514,317064242093.2369,335328252443.56396,354739694609.4785,375271758484.9196,396900164039.7632,419603435229.1432
AGO,33830601562.5,31355707031.25,36164011718.75,31365695312.5,33521875000.0,33295988281.25,43772457031.25,40734230468.75,42079972656.25,44278480468.75,36798773437.5,37047273437.5,42365441406.25,44380367187.5,52764265625.0,66810617187.5,84281656250.0,92073625000.0,110301296875.0,89814960937.5,126388789062.5,165386625000.0,173114968750.0,175260953125.0,171307718750.0,145570390625.0,144175015625.0,146037390625.0,180948117210.5009,190733073566.6644,199089230258.65802,206230209834.7584,212914629701.2591,219186636046.3019,225088200456.1816,230660693908.933,235906461890.1227,240762139721.3889,245167629171.4644,249058206125.2321,252364110722.9748,255039349475.0059,257284060013.5843,259394704913.6747,261669484649.2332,264408618606.0121,267615592886.8609,271143193135.6726,275063924305.4617,279446551529.3671,284356870764.2222,290051258555.1876,296687391828.2803,304179549801.8221,312440366668.9771,321381366803.1459,331273855535.145,342340497845.8201,354418380119.2552,367343571606.8763,380951233246.5099
ALB,10297041992.1875,8448994140.625,6562725097.6563,8027696289.0625,9673472656.25,10504735351.5625,11795974609.375,10894136718.75,12109042968.75,13144066406.25,13383586914.0625,14123751953.125,14676195312.5,15717617187.5,16756181640.625,18069826171.875,19499613281.25,21062894531.25,23207287109.375,24668244140.625,27057423828.125,28091714843.75,28934449218.75,28344683593.75,29794019531.25,31280369140.625,31364695312.5,33738601562.5,34338123268.1631,35199619844.0527,36057563192.7141,36938728906.1342,37869311990.2261,38837054020.7461,39829698326.7214,40834940880.1095,41854648276.8862,42894172703.8209,43946344324.7424,45003935659.4114,46059660786.1035,47111028356.722,48163191795.7516,49220263630.1811,50286320538.068,51365401432.8174,52458610774.5409,53563690806.0017,54679652998.4371,55805572088.8016,56940586539.772995,58086562287.8131,59242217407.4742,60402094146.4535,61560840715.5889,62713205855.0969,63860761713.2819,65009119491.9319,66159102424.862,67311468459.2086,68466915510.1367
ARE,205948062500.0,208418640625.0,216961187500.0,177892609375.0,183150000000.0,198868281250.0,212650875000.0,229181000000.0,212201718750.0,234410281250.0,293381062500.0,296899500000.0,307601375000.0,330485375000.0,358510312500.0,416559781250.0,482836500000.0,519254218750.0,560122000000.0,472784468750.0,476537093750.0,554952437500.0,580192312500.0,602509125000.0,639543937500.0,581647562500.0,578228062500.0,596089562500.0,633442983040.2115,654395169894.3138,677493606305.7843,703000114129.3811,729844597255.1798,757871483298.9135,786926463962.2836,816856771910.7705,847440579941.0171,878396279431.6996,909477721359.8524,940432078104.9878,970999571261.3809,1001296967039.325,1031623274953.391,1061987142584.384,1092398137644.682,1122866927881.295,1153330869519.585,1183640453779.4841,1213670956750.937,1243289328839.096,1272353692683.74,1300872313797.31,1328974236949.001,1356684564036.257,1384018437685.657,1410980802228.729,1437241454088.153,1462658752837.941,1487514363935.16,1512091892945.431,1536676675941.2969
ARG,174260562500.0,209316968750.0,251941218750.0,289741843750.0,337225031250.0,374330937500.0,482767000000.0,500660593750.0,500768000000.0,470612125000.0,466399968750.0,436439968750.0,405416562500.0,427786687500.0,460466500000.0,499701406250.0,541804375000.0,592911375000.0,633507500000.0,592230250000.0,658943500000.0,717974437500.0,713034312500.0,723992375000.0,701992062500.0,718820312500.0,709364562500.0,736510875000.0,776667331811.5352,804001638801.7008,832094400118.0107,861125066896.7289,890936655631.792,921482212653.1003,952714861995.6328,984587912295.658,1017015804470.97,1049876990288.8491,1083070888828.337,1116496775792.064,1150053794454.579,1183921968002.331,1218209229562.309,1252706224375.911,1287203277572.232,1321490602342.648,1355594706714.515,1389683887949.953,1423761136947.401,1457829270175.67,1491890754504.863,1525822120990.55,1559612663457.025,1593433504198.029,1627455621063.8909,1661849898602.8018,1696569028428.4082,1731448033231.0042,1766481415970.839,1801663877355.151,1836990315741.651
ARM,21347191406.25,19200675781.25,11015563476.5625,9739891601.5625,8125392089.8438,8516803710.9375,8930552734.375,8469625976.5625,8574900390.625,8652245117.1875,9017800781.25,9850267578.125,11054021484.375,12457209960.9375,13678836914.0625,15699254882.8125,17868910156.25,20674759765.625,22234271484.375,20135666015.625,22002771484.375,24617986328.125,25455658203.125,25938695312.5,26708552734.375,26681625000.0,26856033203.125,29110048828.125,29698991776.015,30681026279.6757,31665951777.7906,32662012127.4464,33681507891.3135,34729084811.6779,35809294181.2293,36926659378.0612,38069254607.1992,39219107618.963,40371653395.7788,41522266465.5609,42666263673.3736,43820660702.6148,45001228717.7588,46201403376.8844,47414652400.6856,48634473495.9298,49851278077.8538,51055214478.4769,52239394754.8479,53396922725.571,54520904295.0021,55607344322.628,56660860330.678,57687530765.118,58693505952.1956,59685014649.1844,60674484427.5509,61668284722.2372,62663558621.6778,63657337645.9328,64646522219.1994
AUS,457506125000.0,457298187500.0,475796625000.0,495106656250.0,516066375000.0,539097250000.0,564025562500.0,592444437500.0,616566125000.0,650830437500.0,663465437500.0,691063562500.0,714119500000.0,748771000000.0,776666437500.0,815898625000.0,839514375000.0,864287937500.0,884782750000.0,891724562500.0,950174562500.0,991756937500.0,1014458812500.0,1049748250000.0,1073613625000.0,1071281375000.0,1116080875000.0,1155150375000.0,1191251359169.47,1229498436119.66,1266551309492.206,1303065790251.707,1339916190110.097,1377013127042.0771,1414262898338.307,1451567774094.066,1488771980243.126,1525828125812.7769,1562796773238.356,1599736745979.0132,1636705253603.945,1673609029062.0142,1710418806654.825,1747285706910.538,1784359683193.799,1821789479810.377,1859481787092.4841,1897346799934.39,1935538946352.0232,1974214441306.036,2013531300783.045,2053571087062.289,2094173753043.397,2135138946176.8892,2176270000930.969,2217373889071.0483,2258500255183.248,2299849669767.2017,2341456204486.781,2383351567925.219,2425565205604.816
AUT,193505656250.0,205200125000.0,213520015625.0,218249500000.0,227394953125.0,238102906250.0,242074359375.0,252449468750.0,265817375000.0,274803093750.0,285299750000.0,281192656250.0,286887593750.0,292061500000.0,303007156250.0,320044250000.0,334317906250.0,347094562500.0,358759687500.0,352116062500.0,361469406250.0,379627031250.0,394418062500.0,396453000000.0,400412781250.0,416196968750.0,428223500000.0,441527781250.0,443449143086.5006,450593309532.7988,457507938880.53796,464388644383.5759,471329118943.5287,478358021133.0675,485504803309.8716,492799753565.8267,500178940884.0613,507579398804.1685,515033790971.606,522575170018.7249,530236897294.2462,538009213970.1152,545878184401.6167,553871165161.8647,562015593119.7395,570338917191.1234,578883949932.154,587647229271.4235,596586714132.1321,605660407037.7874,614826433283.3319,624106700807.9523,633511296405.1416,642980902355.6057,652456511181.1403,661879434967.8324,671270576321.7637,680689622709.5173,690136147433.5967,699609575548.5726,709109197423.8295
AZE,49903250000.0,61045167968.75,42586882812.5,35195191406.25,25602984375.0,17257589843.75,16713470703.125,16723619140.625,15962334960.9375,17342900390.625,20876464843.75,23354730468.75,23616685546.875,25115773437.5,27155636718.75,39687457031.25,57297628906.25,78693695312.5,103728328125.0,98356578125.0,121629093750.0,155538156250.0,154490015625.0,156100312500.0,155079562500.0,140595390625.0,138429140625.0,145533718750.0,166960779067.3944,171677492272.5941,175807905730.0905,179344400784.2198,182606977952.5785,185765307895.2173,188987116189.8963,192439161149.8726,196260099253.8039,200257788754.4161,204101255296.9502,207458504594.3953,209997377413.4407,211806669654.9341,213321318990.9254,214728562723.0414,216216208097.1808,217973209377.3132,219926897942.7939,221902836456.6673,223937153206.797,226064362308.5116,228317609294.3994,230720485177.6993,233275509948.4796,235981942097.1063,238837810032.0414,241840576816.3083,245046904907.3755,248500207935.0816,252178491866.1376,256060044532.7074,260123017577.7072
BDI,4276405761.7188,4450114257.8125,4324957031.25,4048535644.5313,4206754394.5313,3885945312.5,3673145019.5313,3718340332.0313,3934031494.1406,4024075927.7344,3747033203.125,3778393066.4063,3902520751.9531,4057457275.3906,4326257812.5,4363125488.2813,4557171875.0,4758210449.2188,5171108398.4375,5411642578.125,5928529785.1563,6271908691.4063,6686474121.0938,7232395019.5313,7664408691.4063,7608050781.25,7932587890.625,8223047851.5625,8960097234.9095,9543624334.341,10170264728.7706,10850010864.7624,11592013039.4708,12398664665.9048,13272369030.6252,14215537990.2958,15236695115.3682,16340642016.1385,17524373621.8299,18785160794.3058,20120604979.2666,21546788988.8373,23083376970.6913,24733598192.1219,26500649917.8495,28387685294.707,30418633241.4744,32611168362.8263,34959314919.0082,37457549392.4121,40100847338.404,42921140875.2211,45949068762.4645,49178470525.6182,52603771014.8669,56219991646.6759,60055900037.4188,64138613332.9331,68461043820.8115,73016009810.0281,77796244171.771
